this is a non profit organization
Direct
0.6 0.6
432 388.8
Began 349.8611 325 486 -0.08101851 0.2520575
Stationary 349.8918 325 486 -0.08101851 0.2520575
Stationary 349.9226 325 486 -0.08101851 0.2520575
Stationary 349.9533 325 486 -0.08101851 0.2520575
Stationary 349.984 325 486 -0.08101851 0.2520575
Moved 350.0147 364.7501 458.1944 0.01099557 0.1805411
Moved 350.0454 385.2029 441.6377 0.05834003 0.1379569
Moved 350.0762 398 433.5 0.08796295 0.1170266
Moved 350.1069 414.3048 432 0.1257056 0.1131687
Moved 350.1376 438.7296 444.0033 0.1822446 0.1440413
Moved 350.1684 455.8154 456.8154 0.2217948 0.1769942
Moved 350.1991 466.5414 468.9267 0.2466235 0.2081447
Moved 350.2298 469 475.1511 0.2523148 0.2241541
Moved 350.2605 428.9498 481.2521 0.159606 0.2398458
Moved 350.2912 318.7634 451.4594 -0.09545515 0.1632186
Moved 350.3219 257.6153 418.4818 -0.2370016 0.07839948
Moved 350.3527 218.3368 394.373 -0.3279241 0.01639154
Moved 350.3834 196.5893 379.3929 -0.3782656 -0.02213764
Moved 350.4141 188.0757 373.0505 -0.3979728 -0.03845058
Moved 350.4448 186 371 -0.4027778 -0.04372435
Ended 350.4756 186 371 -0.4027778 -0.04372435
Began 350.7521 510 501 0.3472221 0.2906378
Stationary 350.7828 510 501 0.3472221 0.2906378
Moved 350.8135 500.1541 501 0.3244308 0.2906378
Moved 350.8443 451.3056 478.8025 0.2113556 0.2335454
Moved 350.875 339.9475 427.6274 -0.04641781 0.1019222
Moved 350.9057 292.9412 404.5606 -0.1552287 0.04259411
Moved 350.9364 249.2954 385.6477 -0.2562606 -0.006050219
Moved 350.9672 234.1178 379.5589 -0.2913941 -0.02171073
Moved 350.9979 204.026 365.7254 -0.361051 -0.05729062
Moved 351.0286 195.1147 360.4098 -0.3816789 -0.07096255
Moved 351.0593 189.8281 357.8281 -0.3939165 -0.07760279
Stationary 351.09 190 358 -0.3935185 -0.07716057
Ended 351.1208 190 358 -0.3935185 -0.07716057
Began 351.428 131 358 -0.5300926 -0.07716057
Stationary 351.4588 131 358 -0.5300926 -0.07716057
Stationary 351.4894 131 358 -0.5300926 -0.07716057
Stationary 351.5202 131 358 -0.5300926 -0.07716057
Ended 351.5509 131 358 -0.5300926 -0.07716057
Began 351.8582 409 265 0.113426 -0.3163581
Stationary 351.8889 409 265 0.113426 -0.3163581
Moved 351.9196 485.4334 416.3737 0.2903551 0.07297759
Moved 351.9503 521.8126 459.8126 0.3745661 0.184703
Moved 351.981 528.8347 469.6693 0.390821 0.2100547
Moved 352.0117 531 472.7997 0.3958333 0.2181061
Moved 352.0424 531 467.6069 0.3958333 0.2047502
Moved 352.0732 470.1981 358.2377 0.2550881 -0.07654912
Moved 352.1039 439.7387 275.7806 0.1845804 -0.2886301
Moved 352.1346 435 249.3077 0.1736111 -0.3567187
Moved 352.1654 433.1642 238.4928 0.1693616 -0.384535
Ended 352.1961 433 236.5 0.1689814 -0.3896605
Began 352.4111 615 481 0.5902778 0.2391974
Stationary 352.4419 615 481 0.5902778 0.2391974
Moved 352.4726 592.9213 481 0.5391696 0.2391974
Moved 352.5033 547.2576 481 0.4334667 0.2391974
Moved 352.5341 475.3104 486.8621 0.2669223 0.2542748
Moved 352.5648 392.8425 497.3947 0.07602433 0.2813649
Moved 352.5955 339.5265 506.6882 -0.04739229 0.305268
Moved 352.6262 319.5087 510.213 -0.09372979 0.3143338
Moved 352.657 314.2706 510 -0.1058551 0.3137859
Moved 352.6877 314 511.6066 -0.1064815 0.317918
Moved 352.7184 394.6401 526.92 0.08018553 0.3573045
Moved 352.7491 477.9151 536 0.2729515 0.3806583
Moved 352.7798 513.1074 536 0.3544154 0.3806583
Moved 352.8106 533.7689 536 0.4022429 0.3806583
Moved 352.8413 543.3431 536 0.4244052 0.3806583
Moved 352.872 545.5 536 0.4293981 0.3806583
Moved 352.9027 460.4849 491.3596 0.2326038 0.2658426
Moved 352.9334 378.4304 443.2391 0.04266292 0.1420757
Moved 352.9642 353.5 424.5 -0.0150463 0.09387855
Moved 352.9949 345.3359 415.3359 -0.03394474 0.07030828
Moved 353.0256 344 411.7948 -0.03703703 0.06120061
Moved 353.0564 371.2535 412 0.02604971 0.06172835
Moved 353.0871 475.0277 461.792 0.266268 0.1897941
