we run the risk of failure
Direct
0.6 0.6
432 388.8
Began 758.5151 181 492 -0.4143519 0.2674896
Stationary 758.5459 181 492 -0.4143519 0.2674896
Stationary 758.5766 181 492 -0.4143519 0.2674896
Moved 758.6073 194.8366 492 -0.3823226 0.2674896
Moved 758.6381 207.4722 501.368 -0.3530735 0.2915843
Moved 758.6688 216.3361 502 -0.3325553 0.2932098
Moved 758.6995 220.718 503 -0.322412 0.2957818
Moved 758.7303 223.2125 503 -0.3166378 0.2957818
Ended 758.761 226 503 -0.3101852 0.2957818
Began 759.7445 312 486 -0.1111111 0.2520575
Stationary 759.7753 312 486 -0.1111111 0.2520575
Stationary 759.806 312 486 -0.1111111 0.2520575
Stationary 759.8367 312 486 -0.1111111 0.2520575
Stationary 759.8674 312 486 -0.1111111 0.2520575
Moved 759.8983 330.0901 486 -0.06923586 0.2520575
Moved 759.929 367.7364 499.7926 0.01790831 0.2875323
Moved 759.9597 388.9411 508.3949 0.06699324 0.3096576
Moved 759.9904 403.2647 515.1324 0.1001499 0.3269864
Moved 760.0212 411.9777 518.3259 0.1203188 0.3352003
Moved 760.0519 419.2836 520 0.1372306 0.3395061
Moved 760.0826 423.3835 521.3835 0.146721 0.3430644
Moved 760.1133 429.5722 521 0.1610467 0.3420781
Moved 760.1441 437.1368 511.5897 0.1785573 0.3178746
Moved 760.1748 452.91 477.0883 0.2150696 0.2291363
Moved 760.2056 465.7106 411.3068 0.2447004 0.05994534
Moved 760.2363 469.0493 367.4085 0.2524289 -0.05296173
Moved 760.2671 471.8201 330.1593 0.2588427 -0.1487673
Moved 760.2977 472 301 0.2592593 -0.2237656
Moved 760.3286 472 279.8793 0.2592593 -0.2780884
Moved 760.3593 472 264.1 0.2592593 -0.318673
Moved 760.39 465 252.3802 0.2430555 -0.3488162
Moved 760.4207 464 247.0682 0.2407408 -0.3624788
Moved 760.4515 462 242.2841 0.2361111 -0.3747839
Moved 760.4822 459.5247 238.5247 0.2303813 -0.3844531
Moved 760.5129 459 236.7587 0.2291666 -0.3889953
Stationary 760.5436 459 237 0.2291666 -0.3883744
Ended 760.5744 459 237 0.2291666 -0.3883744
Began 761.3121 379 515 0.04398147 0.326646
Stationary 761.3428 379 515 0.04398147 0.326646
Stationary 761.3736 379 515 0.04398147 0.326646
Stationary 761.4043 379 515 0.04398147 0.326646
Moved 761.4351 367.6431 509.5725 0.01769245 0.3126864
Moved 761.4658 363.1241 495.8102 0.007231633 0.2772896
Moved 761.4965 363 470.2778 0.006944438 0.2116197
Moved 761.5272 367.6047 445.764 0.01760354 0.1485698
Moved 761.558 380.1335 414.7331 0.04660517 0.06875788
Moved 761.5887 390.737 392.7103 0.07115046 0.0121148
Moved 761.6194 395.8968 382.1548 0.08309443 -0.01503407
Moved 761.6501 398.3925 374.8224 0.08887152 -0.03389288
Moved 761.6809 400.1568 370.8432 0.09295563 -0.04412757
Moved 761.7116 401 367.0767 0.09490739 -0.05381533
Moved 761.7424 401 365.6649 0.09490739 -0.05744627
Stationary 761.7731 401 366 0.09490739 -0.05658444
Moved 761.8038 384.0822 374.454 0.05574584 -0.03484067
Moved 761.8346 358.8448 398.1552 -0.002674014 0.02611933
Moved 761.8653 335.6725 422.3639 -0.05631363 0.08838441
Moved 761.8961 310.7377 447.4554 -0.114033 0.1529201
Moved 761.9268 281.3638 474.0726 -0.1820282 0.22138
Moved 761.9575 262.1291 496.4946 -0.2265531 0.2790497
Moved 761.9882 254.5256 505.4744 -0.2441536 0.3021459
Moved 762.019 250.0004 510.9996 -0.2546287 0.3163568
Moved 762.0497 248.7479 513.2521 -0.257528 0.3221503
Moved 762.0804 248 516.0196 -0.2592593 0.3292684
Ended 762.1112 248 517.0925 -0.2592593 0.3320279
Began 763.0947 267 503 -0.2152778 0.2957818
Stationary 763.1255 267 503 -0.2152778 0.2957818
Stationary 763.1563 267 503 -0.2152778 0.2957818
Stationary 763.187 267 503 -0.2152778 0.2957818
Moved 763.2177 284.1548 503 -0.1755676 0.2957818
Moved 763.2485 312.8758 503 -0.1090839 0.2957818
Moved 763.2792 343.0052 513.0034 -0.03933991 0.3215108
Moved 763.3099 372.9741 516.329 0.03003269 0.3300643
Moved 763.3407 401.6764 520.4085 0.09647319 0.3405568
Moved 763.3713 422.0525 521 0.14364 0.3420781
