come and see our new car
Direct
0.6 0.6
432 388.8
Began 942.5386 286 215 -0.1712963 -0.4449589
Stationary 942.5693 286 215 -0.1712963 -0.4449589
Moved 942.6001 300.2394 254.7582 -0.1383346 -0.3427002
Moved 942.6308 340.5624 335.7314 -0.0449945 -0.1344357
Moved 942.6616 386.0982 407.5364 0.06041249 0.05024796
Moved 942.6923 430.7433 458.725 0.1637577 0.1819059
Moved 942.723 463.427 490.6843 0.2394143 0.2641056
Moved 942.7537 484.5 509 0.2881944 0.3112139
Moved 942.7844 496.9507 518.9606 0.3170155 0.3368326
Moved 942.8152 501.7462 524.7462 0.3281161 0.3517133
Moved 942.8459 504.5 527.5 0.3344907 0.3587962
Stationary 942.8767 504.5 527.5 0.3344907 0.3587962
Moved 942.9074 485.2355 482.7064 0.2898969 0.2435864
Moved 942.9382 472.5233 410.2173 0.2604706 0.05714318
Moved 942.9689 472 354.3724 0.2592593 -0.08649088
Moved 942.9996 472 319.0256 0.2592593 -0.1774034
Moved 943.0303 472 290.8102 0.2592593 -0.2499737
Moved 943.0611 480.1862 277.0689 0.2782089 -0.2853166
Moved 943.0919 480 267.1671 0.2777778 -0.3107844
Moved 943.1226 480 259.772 0.2777778 -0.3298045
Moved 943.1533 480 254.6427 0.2777778 -0.3429972
Moved 943.184 480 252.5 0.2777778 -0.3485083
Moved 943.2148 457 253 0.2245371 -0.3472223
Moved 943.2455 413.9163 294.8232 0.1248063 -0.2396523
Moved 943.2762 368.4506 349.9915 0.01956145 -0.09775844
Moved 943.307 336.1632 399.728 -0.05517771 0.03016444
Moved 943.3377 317.1913 434.4153 -0.09909426 0.1193808
Moved 943.3685 290.1408 468.7451 -0.1617112 0.2076777
Moved 943.3992 269.731 490.269 -0.208956 0.2630374
Moved 943.4299 257.3842 502.6158 -0.2375365 0.2947936
Moved 943.4607 253.3278 506.6722 -0.2469264 0.3052269
Moved 943.4914 251.7926 508.2074 -0.2504801 0.3091753
Ended 943.5222 251 509 -0.2523148 0.3112139
Began 944.2906 193 383 -0.3865741 -0.01286016
Stationary 944.3213 193 383 -0.3865741 -0.01286016
Stationary 944.3521 193 383 -0.3865741 -0.01286016
Stationary 944.3828 193 383 -0.3865741 -0.01286016
Moved 944.4135 225.6266 355.5301 -0.3110496 -0.08351322
Moved 944.4442 265.2017 331.679 -0.2194405 -0.1448586
Moved 944.475 312.0077 310.1141 -0.1110934 -0.200324
Moved 944.5057 345.2736 290.4871 -0.03408884 -0.2508047
Moved 944.5364 373.8207 273.8774 0.0319924 -0.2935253
Moved 944.5672 394.2855 259.0818 0.07936458 -0.3315798
Moved 944.598 409.7236 246.2211 0.1151009 -0.3646577
Moved 944.6287 423.3312 236.9351 0.1465999 -0.3885416
Moved 944.6594 433.3179 230.894 0.1697175 -0.4040792
Moved 944.6901 436.8601 228.1399 0.177917 -0.4111629
Moved 944.7209 438.6205 228 0.181992 -0.4115227
Moved 944.7516 440.0391 228 0.1852757 -0.4115227
Stationary 944.7822 440.0391 228 0.1852757 -0.4115227
Moved 944.8131 412.5356 249.6506 0.1216103 -0.3558368
Moved 944.8438 379.675 277.6042 0.04554391 -0.2839399
Moved 944.8746 351.3916 301.007 -0.01992683 -0.2237474
Moved 944.9053 324.42 325.58 -0.0823611 -0.1605455
Moved 944.936 303.7379 342.9389 -0.1302363 -0.1158979
Moved 944.9667 289.8091 353.3932 -0.1624789 -0.08900937
Moved 944.9975 284.0075 357.9925 -0.1759086 -0.07717988
Moved 945.0282 281.7171 360.2829 -0.1812104 -0.07128892
Ended 945.059 282 361 -0.1805555 -0.06944452
Began 945.9811 229 378 -0.3032407 -0.02572024
Stationary 946.0118 229 378 -0.3032407 -0.02572024
Stationary 946.0425 229 378 -0.3032407 -0.02572024
Moved 946.0733 229 387.8561 -0.3032407 -0.0003700884
Moved 946.1041 229 404.7234 -0.3032407 0.04301291
Moved 946.1347 229 441.4988 -0.3032407 0.1375997
Moved 946.1655 244.7554 474.2736 -0.2667699 0.221897
Moved 946.1962 254.982 499.9595 -0.2430971 0.2879617
Moved 946.2269 258.4339 514.1694 -0.2351067 0.3245098
Moved 946.2577 261.1726 521.3453 -0.2287671 0.3429662
Moved 946.2884 262 525 -0.2268519 0.3523662
Ended 946.3192 262 525 -0.2268519 0.3523662
