good jobs for those with education
Direct
0.6 0.6
432 388.8
Began 313.7234 352 365 -0.01851852 -0.05915646
Stationary 313.7542 352 365 -0.01851852 -0.05915646
Stationary 313.785 352 365 -0.01851852 -0.05915646
Stationary 313.8156 352 365 -0.01851852 -0.05915646
Moved 313.8465 396.5736 406.9834 0.08466104 0.04882557
Moved 313.8772 447.5135 458.8607 0.2025776 0.1822548
Moved 313.908 475.0948 484.0875 0.2664231 0.2471386
Moved 313.9387 493.8573 498.0859 0.3098548 0.2831426
Moved 313.9694 500.3612 504.3612 0.3249102 0.2992828
Moved 314.0002 503 506.9374 0.3310186 0.305909
Moved 314.0309 503 507.5 0.3310186 0.3073559
Moved 314.0616 488.3407 507 0.2970848 0.3060699
Moved 314.0924 428.0364 463.2727 0.1574916 0.1936025
Moved 314.1231 370.8527 425.9018 0.02512197 0.09748396
Moved 314.1539 334.3881 400.6459 -0.0592869 0.03252532
Moved 314.1847 318.6859 391.343 -0.09563441 0.008598099
Moved 314.2154 306.5584 382.1688 -0.1237073 -0.01499796
Ended 314.2462 300.6 378.6 -0.1374999 -0.02417686
Began 314.4921 433 374 0.1689814 -0.03600823
Stationary 314.5229 433 374 0.1689814 -0.03600823
Stationary 314.5536 433 374 0.1689814 -0.03600823
Moved 314.5844 444.1984 403.7977 0.1949038 0.04063182
Moved 314.6151 476.7283 451.6196 0.2702044 0.1636305
Moved 314.6458 515.0164 499.0164 0.3588342 0.285536
Moved 314.6766 526.7813 512.7083 0.3860677 0.3207518
Moved 314.7073 534.6779 520.3557 0.4043469 0.340421
Moved 314.7381 537.1183 523.1183 0.409996 0.3475263
Stationary 314.7688 537 523 0.4097222 0.3472221
Moved 314.7996 505.2363 486.1406 0.336195 0.2524191
Moved 314.8304 448.0099 403.2159 0.2037267 0.03913542
Moved 314.8611 418.8337 351.2599 0.1361891 -0.09449625
Moved 314.8918 401.2865 324.1158 0.09557068 -0.1643113
Moved 314.9225 388.849 302.9858 0.06678015 -0.218658
Moved 314.9533 382.3842 289.9606 0.05181541 -0.2521589
Moved 314.9841 378.4996 282.9991 0.04282305 -0.2700639
Moved 315.0148 376.7359 278.7359 0.03874053 -0.2810292
Moved 315.0456 375.9873 275.9873 0.03700773 -0.2880985
Moved 315.0763 376 274.6186 0.03703703 -0.2916188
Moved 315.107 375 273 0.03472219 -0.295782
Moved 315.1378 372.1129 273 0.02803922 -0.295782
Moved 315.1685 345.9397 292.6664 -0.03254702 -0.2451995
Moved 315.1992 312.7898 319.7366 -0.1092829 -0.1755747
Moved 315.23 283.5958 341.5745 -0.1768616 -0.1194072
Moved 315.2607 267.6144 352.0314 -0.2138555 -0.09251197
Moved 315.2915 257.2508 357.8746 -0.2378455 -0.07748301
Moved 315.3223 250.3556 360.8815 -0.2538066 -0.06974939
Moved 315.3531 245.7094 364.9359 -0.2645615 -0.05932152
Ended 315.3838 244 367.5 -0.2685185 -0.05272634
Began 316.1217 309 352 -0.1180555 -0.09259266
Stationary 316.1524 309 352 -0.1180555 -0.09259266
Stationary 316.1832 309 352 -0.1180555 -0.09259266
Moved 316.214 344.0328 377.5574 -0.03696119 -0.02685869
Moved 316.2447 403.266 428.1638 0.1001527 0.103302
Moved 316.2755 457.4623 478.4623 0.2256072 0.2326704
Moved 316.3062 486.5937 504.7946 0.2930408 0.3003974
Moved 316.3369 500.5 518 0.3252315 0.3343621
Moved 316.3677 504.9914 522.9914 0.3356283 0.3472
Moved 316.3983 508 526.7578 0.3425926 0.3568871
Moved 316.4291 508 528.2528 0.3425926 0.3607324
Moved 316.4599 508 529 0.3425926 0.3626543
Moved 316.4907 459.6594 529 0.2306931 0.3626543
Moved 316.5214 397.8876 516.6331 0.08770276 0.3308464
Moved 316.5522 358.6007 509.5751 -0.003239115 0.312693
Moved 316.5829 334.2021 505.3146 -0.05971729 0.3017349
Moved 316.6136 321.1878 502.5469 -0.08984312 0.2946165
Moved 316.6444 316.7931 503 -0.100016 0.2957818
Ended 316.6751 317 503 -0.09953702 0.2957818
Began 316.8596 320 509 -0.09259259 0.3112139
Stationary 316.8904 320 509 -0.09259259 0.3112139
Moved 316.9211 331.4097 493.7084 -0.06618132 0.2718836
Moved 316.9518 356.2478 467.3867 -0.008685639 0.2041837
Moved 316.9826 378.451 444.4926 0.0427107 0.1452999
