I just cannot figure this out
Direct
0.6 0.6
432 388.8
Began 84.8664 483 500 0.2847222 0.2880658
Stationary 84.89709 483 500 0.2847222 0.2880658
Stationary 84.92787 483 500 0.2847222 0.2880658
Ended 84.9586 483 500 0.2847222 0.2880658
Began 85.26606 445 362 0.1967593 -0.06687243
Stationary 85.29674 445 362 0.1967593 -0.06687243
Stationary 85.32752 445 362 0.1967593 -0.06687243
Moved 85.35827 445 392.8506 0.1967593 0.01247586
Moved 85.38904 435.6372 425.9024 0.1750862 0.09748553
Moved 85.41978 436 457.2435 0.1759259 0.1780953
Moved 85.45052 436 479.525 0.1759259 0.2354036
Moved 85.48129 436 491.8738 0.1759259 0.2671652
Moved 85.512 436 495.8656 0.1759259 0.277432
Moved 85.54278 432.1292 499 0.1669657 0.2854938
Moved 85.57352 410.953 499 0.1179469 0.2854938
Moved 85.60426 373.8433 462.4483 0.03204455 0.1914822
Moved 85.63495 341.2421 432.8368 -0.04342114 0.1153209
Moved 85.66567 320.8588 411.5019 -0.09060473 0.06044713
Moved 85.6965 304.3284 395.3284 -0.1288695 0.01884861
Moved 85.72717 292.8316 383.8316 -0.1554824 -0.01072126
Moved 85.75797 282.1178 374.1178 -0.1802829 -0.03570533
Moved 85.78873 275.9012 368.9506 -0.1946732 -0.04899547
Moved 85.81947 272.1989 366 -0.2032432 -0.05658444
Moved 85.8502 270.7376 363.7376 -0.2066259 -0.06240334
Moved 85.88093 268.9933 363 -0.2106638 -0.06430049
Moved 85.91167 267.6414 361.6414 -0.2137931 -0.06779494
Stationary 85.94245 267.6414 361.6414 -0.2137931 -0.06779494
Moved 85.97317 266.8671 362 -0.2155854 -0.06687243
Stationary 86.00394 267 362 -0.2152778 -0.06687243
Moved 86.03468 278.8806 386.8806 -0.1877764 -0.002879233
Moved 86.06538 289.4938 413.9875 -0.1632088 0.06684028
Moved 86.09617 310.8123 456.0413 -0.1138605 0.1750033
Moved 86.12691 331.8625 489.9072 -0.06513307 0.2621068
Moved 86.15766 344.5135 511.027 -0.03584832 0.3164275
Moved 86.1884 350.2258 520.8387 -0.02262548 0.3416634
Moved 86.21915 354.3795 526.7591 -0.0130103 0.3568906
Moved 86.24989 359.2921 530.2921 -0.001638681 0.3659776
Ended 86.28058 359.2921 530.2921 -0.001638681 0.3659776
Began 86.4651 317 258 -0.09953702 -0.3343622
Stationary 86.49583 317 258 -0.09953702 -0.3343622
Moved 86.5266 283.2222 282.6806 -0.1777264 -0.2708833
Moved 86.55732 257.5 304.5 -0.2372685 -0.2147634
Moved 86.58806 231.0853 324.6412 -0.2984137 -0.16296
Moved 86.61882 221.9716 333.0284 -0.3195102 -0.1413878
Moved 86.64958 219 340.09 -0.3263889 -0.1232255
Moved 86.68034 231.9598 351.8908 -0.2963894 -0.09287351
Moved 86.71104 281.6725 343.1935 -0.1813137 -0.1152429
Moved 86.74178 334.9546 296.2983 -0.0579755 -0.2358583
Moved 86.77256 366.5 260 0.0150463 -0.3292181
Moved 86.80331 379.7354 248.2117 0.04568388 -0.3595379
Moved 86.83402 387.4026 240.5974 0.06343196 -0.3791219
Moved 86.86479 392.9241 240 0.07621308 -0.3806585
Moved 86.89554 421.7146 280.5718 0.1428578 -0.2763071
Moved 86.92625 467.3748 377.6603 0.2485528 -0.02659393
Moved 86.95695 505.6373 459.2745 0.3371233 0.1833192
Moved 86.98775 526.1519 490.8101 0.3846108 0.2644293
Moved 87.01849 536.7902 509.1853 0.4092366 0.3116905
Moved 87.04926 541.3487 519.0461 0.4197887 0.3370526
Moved 87.08 542 524.1221 0.4212962 0.3501081
Moved 87.11075 542 528.7647 0.4212962 0.3620491
Moved 87.14149 527.3575 534.4404 0.3874016 0.3766471
Moved 87.17226 500.381 542.0688 0.3249561 0.3962674
Moved 87.20298 472.8554 544 0.2612394 0.4012345
Moved 87.23374 445.6953 544 0.1983688 0.4012345
Moved 87.26444 419.139 535.426 0.1368959 0.3791821
Moved 87.2952 393.3329 529.3333 0.0771596 0.3635114
Ended 87.32597 392 529 0.07407407 0.3626543
Began 87.75644 322 375 -0.08796295 -0.03343629
Stationary 87.78715 322 375 -0.08796295 -0.03343629
Stationary 87.81792 322 375 -0.08796295 -0.03343629
Moved 87.84866 370.0578 431.5846 0.02328197 0.1121002
