effort is what it will take
Direct
0.6 0.6
432 388.8
Began 426.9702 252 514 -0.25 0.324074
Stationary 427.0009 252 514 -0.25 0.324074
Stationary 427.0316 252 514 -0.25 0.324074
Stationary 427.0624 252 514 -0.25 0.324074
Stationary 427.0931 252 514 -0.25 0.324074
Stationary 427.1239 252 514 -0.25 0.324074
Stationary 427.1546 252 514 -0.25 0.324074
Stationary 427.1853 252 514 -0.25 0.324074
Moved 427.216 252 501.3871 -0.25 0.2916334
Moved 427.2468 263.3085 471.4574 -0.2238228 0.2146537
Moved 427.2775 274.5 436.5 -0.1979167 0.1247428
Moved 427.3083 281.1078 414.7125 -0.1826208 0.06870478
Moved 427.339 288.8096 398.3809 -0.1647926 0.02669966
Moved 427.3698 294.5585 386.6623 -0.151485 -0.003440645
Moved 427.4005 297.265 380.47 -0.1452199 -0.01936736
Moved 427.4312 300.2151 374.5698 -0.1383909 -0.03454279
Moved 427.4619 302.0842 370.9158 -0.1340644 -0.04394084
Moved 427.4927 302.9579 370 -0.132042 -0.04629637
Stationary 427.5234 303 370 -0.1319445 -0.04629637
Stationary 427.5542 303 370 -0.1319445 -0.04629637
Moved 427.5849 289.7948 404.1335 -0.162512 0.04149566
Moved 427.6157 276.7521 440.7437 -0.1927035 0.1356576
Moved 427.6464 267.1683 464.8845 -0.2148882 0.1977482
Moved 427.6772 261.0302 478.9396 -0.2290967 0.2338981
Moved 427.7079 259.6458 485.7084 -0.2323014 0.2513075
Moved 427.7386 259 489 -0.2337963 0.2597736
Moved 427.7693 258 492 -0.2361111 0.2674896
Moved 427.8 258 493.2026 -0.2361111 0.2705827
Moved 427.8308 257 495.5 -0.2384259 0.2764916
Stationary 427.8615 257 495.5 -0.2384259 0.2764916
Moved 427.8922 257 496.1068 -0.2384259 0.2780523
Stationary 427.923 257 496.1068 -0.2384259 0.2780523
Moved 427.9537 255.9647 497.0353 -0.2408224 0.2804405
Stationary 427.9844 255.9647 497.0353 -0.2408224 0.2804405
Moved 428.0152 256 498.1229 -0.2407407 0.2832377
Stationary 428.0459 256 498.1229 -0.2407407 0.2832377
Stationary 428.0767 256 498.1229 -0.2407407 0.2832377
Moved 428.1074 256 499.0357 -0.2407407 0.2855856
Stationary 428.1381 256 499.0357 -0.2407407 0.2855856
Stationary 428.1689 256 499.0357 -0.2407407 0.2855856
Moved 428.1996 254.9263 499 -0.243226 0.2854938
Stationary 428.2303 254.9263 499 -0.243226 0.2854938
Stationary 428.2611 254.9263 499 -0.243226 0.2854938
Ended 428.2918 255 499 -0.2430556 0.2854938
Backspace 428.845
Began 429.4904 247 512 -0.2615741 0.31893
Stationary 429.5212 247 512 -0.2615741 0.31893
Moved 429.5519 272.2859 480.5425 -0.2030418 0.2380207
Moved 429.5826 285.7063 458.4895 -0.1719761 0.1813001
Moved 429.6134 307.9176 409.1923 -0.1205611 0.05450684
Moved 429.6441 321.4365 377.4089 -0.08926745 -0.02724063
Moved 429.6749 329.4621 356.6138 -0.07068967 -0.08072574
Moved 429.7055 333.8393 347.4822 -0.06055728 -0.1042125
Moved 429.7363 336.6704 341.3296 -0.05400369 -0.1200371
Moved 429.7671 338.5422 337.4578 -0.04967074 -0.1299955
Moved 429.7977 339 335.7936 -0.04861111 -0.1342757
Moved 429.8285 340 333.5 -0.04629632 -0.140175
Moved 429.8592 341.2497 332.7504 -0.04340356 -0.142103
Stationary 429.89 341.2497 332.7504 -0.04340356 -0.142103
Moved 429.9207 341 331.8132 -0.04398147 -0.1445135
Stationary 429.9515 341 332 -0.04398147 -0.144033
Stationary 429.9822 341 332 -0.04398147 -0.144033
Stationary 430.0129 341 332 -0.04398147 -0.144033
Stationary 430.0436 341 332 -0.04398147 -0.144033
Moved 430.0744 346.6975 344.93 -0.03079285 -0.1107768
Moved 430.1051 395.9024 391.6791 0.08310745 0.009462764
Moved 430.1359 436.7296 428.7837 0.1776148 0.1048962
Moved 430.1666 459.9839 450.4865 0.2314442 0.1607163
Moved 430.1973 486.7733 473.7733 0.2934566 0.2206102
Moved 430.2281 494.1695 481.1695 0.3105775 0.2396334
Moved 430.2588 500.5393 488.5392 0.3253223 0.2585885
Moved 430.2896 503.6744 492.6744 0.3325796 0.2692241
Moved 430.3203 505.5428 494.5428 0.3369046 0.2740299
Moved 430.351 506 495 0.337963 0.2752057
