the union will go on strike
Direct
0.6 0.6
432 388.8
Began 636.8656 318 513 -0.09722222 0.321502
Stationary 636.8964 318 513 -0.09722222 0.321502
Stationary 636.9271 318 513 -0.09722222 0.321502
Moved 636.9578 329.9971 501.0029 -0.06945109 0.2906452
Moved 636.9885 358.5908 462.7476 -0.003262013 0.192252
Moved 637.0192 378.6534 418.4755 0.04317909 0.07838347
Moved 637.05 389.2522 393.6608 0.06771345 0.01455966
Moved 637.0808 393.9134 378.4332 0.07850319 -0.02460613
Moved 637.1115 396 369.4907 0.08333336 -0.0476064
Moved 637.1422 396 364 0.08333336 -0.06172839
Moved 637.1729 385.5 364 0.05902777 -0.06172839
Moved 637.2037 336.276 394.1935 -0.05491659 0.01592985
Moved 637.2344 296.7403 426.3214 -0.1464345 0.09856322
Moved 637.2652 271.3492 451.6508 -0.2052101 0.1637108
Moved 637.2959 261.5 462.5 -0.2280093 0.1916151
Moved 637.3266 257.7949 466.2051 -0.236586 0.2011448
Ended 637.3574 256.5 468.5 -0.2395834 0.2070472
Began 637.9106 423 523 0.1458333 0.3472221
Stationary 637.9413 423 523 0.1458333 0.3472221
Stationary 637.9722 423 523 0.1458333 0.3472221
Moved 638.0029 423 475.8729 0.1458333 0.2260104
Moved 638.0336 431.1311 413.3289 0.1646553 0.06514616
Moved 638.0643 431 361.1317 0.1643519 -0.06910575
Moved 638.0951 431 316.5252 0.1643519 -0.1838344
Moved 638.1258 431 293 0.1643519 -0.2443416
Moved 638.1566 431 278.9026 0.1643519 -0.2806004
Moved 638.1873 431 270.5728 0.1643519 -0.3020249
Moved 638.2181 431 266.9824 0.1643519 -0.3112593
Moved 638.2488 431 264.4636 0.1643519 -0.3177378
Stationary 638.2795 431 264 0.1643519 -0.31893
Moved 638.3102 431 262.5 0.1643519 -0.3227881
Stationary 638.341 431 262.5 0.1643519 -0.3227881
Stationary 638.3716 431 262.5 0.1643519 -0.3227881
Moved 638.4025 431 273.0769 0.1643519 -0.2955842
Moved 638.4332 431 280.2238 0.1643519 -0.2772023
Moved 638.4639 431 297.9669 0.1643519 -0.2315668
Moved 638.4947 434.8714 332.4565 0.1733133 -0.1428588
Moved 638.5255 439.2175 367.0876 0.1833739 -0.05378715
Moved 638.5562 443 396.2804 0.1921296 0.02129727
Moved 638.5869 445.1077 412.6461 0.1970086 0.0633901
Moved 638.6176 447.9767 434.7908 0.2036499 0.1203466
Moved 638.6484 450 446.4175 0.2083333 0.1502508
Moved 638.6791 452.5 456.5 0.2141203 0.1761831
Moved 638.7098 455.2613 466.045 0.2205122 0.2007331
Moved 638.7406 457 473.2632 0.2245371 0.2192984
Moved 638.7713 459.0013 479.0013 0.2291696 0.2340567
Moved 638.8021 459 481.519 0.2291666 0.2405325
Moved 638.8328 460.393 484.393 0.2323913 0.2479243
Moved 638.8636 460 486.2574 0.2314815 0.2527197
Moved 638.8943 461.374 487.374 0.234662 0.2555914
Moved 638.925 463.6991 488.6991 0.2400442 0.2589997
Moved 638.9556 468.1466 489.5733 0.2503394 0.2612481
Moved 638.9865 475.3282 490 0.2669635 0.2623456
Moved 639.0173 482.9499 490 0.2846062 0.2623456
Moved 639.048 491.7138 490 0.3048932 0.2623456
Moved 639.0787 499.4535 490 0.322809 0.2623456
Moved 639.1094 504.1812 490 0.3337528 0.2623456
Moved 639.1401 507.0953 490 0.3404984 0.2623456
Moved 639.1709 509.5 490 0.3460647 0.2623456
Moved 639.2017 510 483.4598 0.3472221 0.245524
Moved 639.2324 483 425.5 0.2847222 0.09645053
Moved 639.2631 448.541 343.3524 0.204956 -0.1148343
Moved 639.2939 435.602 311.005 0.1750046 -0.1980324
Moved 639.3246 427.0438 288.1532 0.1551939 -0.2568077
Moved 639.3553 422.0054 274.5134 0.143531 -0.2918893
Moved 639.386 417.2668 262.5336 0.1325621 -0.3227015
Moved 639.4168 417 257.2863 0.1319444 -0.3361979
Stationary 639.4476 417 257 0.1319444 -0.3369342
Ended 639.4783 417 257 0.1319444 -0.3369342
Began 639.9701 221 489 -0.3217593 0.2597736
Stationary 640.0009 221 489 -0.3217593 0.2597736
Stationary 640.0316 221 489 -0.3217593 0.2597736
Moved 640.0623 248.7025 489 -0.2576332 0.2597736
Moved 640.093 316.0445 477.8377 -0.1017488 0.231064
