want to join us for lunch
Direct
0.6 0.6
432 388.8
Began 751.1649 219 524 -0.3263889 0.3497942
Stationary 751.1956 219 524 -0.3263889 0.3497942
Stationary 751.2264 219 524 -0.3263889 0.3497942
Moved 751.2571 205.5 497 -0.3576389 0.2803498
Moved 751.2878 189.4549 463.1673 -0.3947804 0.1933315
Moved 751.3186 181.7174 443.1522 -0.4126912 0.1418522
Moved 751.3494 176.9937 426.9683 -0.4236258 0.100227
Moved 751.3801 175 418.3906 -0.4282407 0.07816499
Moved 751.4108 175 408.3945 -0.4282407 0.05245483
Moved 751.4415 222.2488 384.4611 -0.3188685 -0.009102056
Moved 751.4722 290.6323 349.6522 -0.1605733 -0.09863119
Moved 751.5031 346.6805 320.6219 -0.03083224 -0.1732974
Moved 751.5338 385.3797 297.2756 0.05874941 -0.2333448
Moved 751.5645 407.004 286.1411 0.1088056 -0.2619827
Moved 751.5952 422.4103 276.3538 0.1444683 -0.2871558
Moved 751.626 436.1189 268.5874 0.1762011 -0.3071312
Moved 751.6567 444.742 264.8387 0.196162 -0.316773
Moved 751.6874 450.9092 261.5454 0.210438 -0.3252434
Moved 751.718 452 260.028 0.2129629 -0.3291461
Moved 751.7489 452 259.5 0.2129629 -0.3305041
Moved 751.7796 434.9574 290.9241 0.1735125 -0.249681
Moved 751.8104 409 333 0.113426 -0.141461
Moved 751.8411 388.8336 369.3329 0.06674439 -0.0480122
Moved 751.8719 373.8403 397.3195 0.03203769 0.02396972
Moved 751.9026 362.332 419.336 0.005398194 0.08059666
Moved 751.9333 354.9942 436.3468 -0.01158744 0.1243487
Moved 751.9641 347.6812 454.2751 -0.02851571 0.1704606
Moved 751.9948 342.7997 466.8013 -0.03981555 0.2026783
Moved 752.0255 339.922 474.1561 -0.04647692 0.2215948
Moved 752.0563 338.4204 479.1592 -0.04995281 0.234463
Moved 752.087 338 482.4446 -0.05092591 0.2429131
Moved 752.1177 337 484.336 -0.05324075 0.2477777
Ended 752.1484 337 484 -0.05324075 0.2469135
Began 752.425 337 512 -0.05324075 0.31893
Stationary 752.4558 337 512 -0.05324075 0.31893
Stationary 752.4865 337 512 -0.05324075 0.31893
Stationary 752.5173 337 512 -0.05324075 0.31893
Stationary 752.548 337 512 -0.05324075 0.31893
Moved 752.5788 369.6948 503.603 0.02244155 0.2973327
Moved 752.6095 405.2459 500 0.1047358 0.2880658
Moved 752.6403 434.1904 497.201 0.171737 0.2808668
Moved 752.671 455.9826 497 0.2221819 0.2803498
Moved 752.7017 472.4762 495 0.2603616 0.2752057
Moved 752.7325 485.4648 494 0.2904279 0.2726337
Moved 752.7632 493.2484 492.2505 0.3084453 0.2681341
Moved 752.7939 499.0565 492 0.3218901 0.2674896
Moved 752.8246 503.8058 492 0.3328838 0.2674896
Ended 752.8553 506 492 0.337963 0.2674896
Began 753.255 459 367 0.2291666 -0.05401234
Stationary 753.2857 459 367 0.2291666 -0.05401234
Stationary 753.3165 459 367 0.2291666 -0.05401234
Stationary 753.3472 459 367 0.2291666 -0.05401234
Stationary 753.3779 459 367 0.2291666 -0.05401234
Moved 753.4086 459 384.3152 0.2291666 -0.009477442
Moved 753.4394 478.5724 403.8586 0.2744732 0.04078865
Moved 753.4701 492.0864 422.1037 0.3057555 0.08771515
Moved 753.5009 504.1464 441.2195 0.3336722 0.1368815
Moved 753.5316 513.1976 454.996 0.3546242 0.1723148
Moved 753.5624 519.5571 464.8356 0.369345 0.1976224
Moved 753.5931 523.8765 472.7529 0.3793436 0.2179858
Moved 753.6238 525 479.147 0.3819444 0.2344316
Moved 753.6545 525 483.5939 0.3819444 0.2458689
Moved 753.6852 525 487.9227 0.3819444 0.2570029
Moved 753.716 513.9822 493.0133 0.3564403 0.2700959
Moved 753.7466 502.4561 498.772 0.3297594 0.2849073
Moved 753.7775 493.4833 501.7584 0.3089892 0.2925883
Moved 753.8082 488 503 0.2962963 0.2957818
Moved 753.8389 484.8589 504 0.2890253 0.2983539
Moved 753.8697 483 504 0.2847222 0.2983539
Moved 753.9004 480.1083 504 0.2780284 0.2983539
Moved 753.9312 470.6754 471.695 0.256193 0.2152649
Moved 753.9619 453.4405 373.9546 0.2162974 -0.0361251
Moved 753.9927 446.4585 334.8341 0.2001355 -0.1367436
Moved 754.0234 442.9434 307.6035 0.1919985 -0.2067813
