just in time for the party
Basic
0.6 0.6
432 388.8
Began 841.323 388 317 0.06481478 -0.1826131
Stationary 841.3538 388 317 0.06481478 -0.1826131
Stationary 841.3845 388 317 0.06481478 -0.1826131
Stationary 841.4152 388 317 0.06481478 -0.1826131
Moved 841.446 399.1071 341.1071 0.09052575 -0.1206093
Moved 841.4767 399.7834 360.4841 0.09209136 -0.07077134
Moved 841.5074 400 384.3622 0.09259263 -0.009356408
Moved 841.5382 400 400.1972 0.09259263 0.03137141
Moved 841.5689 392.0341 414.8279 0.07415314 0.06900171
Moved 841.5997 389.3151 425.7397 0.0678589 0.09706697
Moved 841.6304 384.5331 435.9338 0.05678961 0.1232863
Moved 841.6611 379.4281 443.3579 0.0449724 0.1423814
Moved 841.6919 373.2365 450.7635 0.03063997 0.1614288
Moved 841.7227 365.5754 458.4246 0.012906 0.1811332
Moved 841.7534 358.9473 463.0527 -0.002436737 0.1930366
Moved 841.7841 351.8559 466.572 -0.018852 0.2020885
Moved 841.8149 345.4803 467.8399 -0.03361052 0.2053494
Moved 841.8456 336.4296 469.3926 -0.0545612 0.2093431
Moved 841.8763 326.3236 469 -0.07795467 0.2083333
Moved 841.9071 304.1985 455.6786 -0.1291701 0.1740705
Moved 841.9378 284.132 445.7084 -0.1756204 0.1484268
Moved 841.9685 258.6495 429.433 -0.2346075 0.1065664
Moved 841.9993 240.5881 412.5881 -0.2764163 0.06324097
Moved 842.03 228.8669 400.8669 -0.3035488 0.0330938
Moved 842.0608 223.861 395.861 -0.3151366 0.02021856
Moved 842.0915 219.74 391.87 -0.3246759 0.009953691
Moved 842.1223 218 389.3079 -0.3287037 0.003363959
Moved 842.153 218 387.8778 -0.3287037 -0.0003143593
Stationary 842.1837 218 388 -0.3287037 -3.924585E-08
Moved 842.2145 227.2394 388 -0.3073162 -3.924585E-08
Moved 842.2452 248.6527 401.2335 -0.2577484 0.03403676
Moved 842.2759 271.4251 417.1084 -0.2050345 0.07486716
Moved 842.3067 286.0317 435.6122 -0.1712228 0.1224595
Moved 842.3374 300.6614 455.5259 -0.1373578 0.1736777
Moved 842.3682 316.8986 478.348 -0.09977171 0.2323764
Moved 842.3989 332.2216 497.2216 -0.06430179 0.2809197
Moved 842.4296 343.1578 509.3894 -0.03898655 0.3122155
Moved 842.4603 354.4221 521.4221 -0.01291186 0.3431636
Moved 842.4911 363.1843 529.1843 0.007371009 0.3631282
Moved 842.5219 368.9355 534.871 0.020684 0.3777545
Moved 842.5526 372.1331 538.1331 0.02808581 0.3861446
Moved 842.5833 375.447 541.447 0.03575683 0.394668
Moved 842.6141 377.2865 544.2864 0.04001498 0.4019711
Ended 842.6448 382 548 0.05092591 0.4115225
Began 843.0751 515 503 0.3587963 0.2957818
Stationary 843.1059 515 503 0.3587963 0.2957818
Stationary 843.1367 515 503 0.3587963 0.2957818
Stationary 843.1674 515 503 0.3587963 0.2957818
Moved 843.1981 502.0874 503 0.3289061 0.2957818
Moved 843.2288 492.6744 493.3372 0.3071166 0.2709289
Moved 843.2596 480.5803 483.5803 0.279121 0.2458341
Moved 843.2903 466.849 469.8491 0.2473357 0.210517
Moved 843.321 451.7527 453.7527 0.2123905 0.1691169
Moved 843.3517 435.7542 435.3389 0.1753569 0.1217563
Moved 843.3825 422.2053 419.4464 0.1439937 0.08088045
Moved 843.4133 406.4196 399.1563 0.1074529 0.02869406
Moved 843.444 393.1436 380.0298 0.07672131 -0.02049952
Moved 843.4747 379.8712 360.7746 0.0459982 -0.07002418
Moved 843.5055 372.8386 350.6772 0.02971898 -0.09599489
Moved 843.5362 367.7415 342.7415 0.01792014 -0.1164056
Moved 843.567 365.7186 337.1557 0.0132374 -0.1307725
Moved 843.5977 363.0797 330.2391 0.007128915 -0.148562
Moved 843.6284 360.5283 325.0566 0.001222988 -0.1618913
Moved 843.6592 357.9413 318.8826 -0.004765541 -0.1777712
Moved 843.6899 356.7585 314.517 -0.007503431 -0.1889995
Moved 843.7206 355 307.4256 -0.01157408 -0.2072387
Moved 843.7514 354 301.1815 -0.01388888 -0.2232986
Moved 843.7821 353 292.1589 -0.01620372 -0.2465049
Moved 843.8129 353 286.6755 -0.01620372 -0.2606083
Moved 843.8436 353 278.7273 -0.01620372 -0.2810512
Moved 843.8743 353 272.3983 -0.01620372 -0.2973295
Moved 843.905 353 264.468 -0.01620372 -0.3177264
Moved 843.9358 353 260.8989 -0.01620372 -0.3269063
Moved 843.9666 360.6056 256.3944 0.001401802 -0.3384917
Moved 843.9973 362.1532 253.8468 0.004984339 -0.3450442
Moved 844.028 362 252.2936 0.004629592 -0.3490391
Moved 844.0587 362 250.5 0.004629592 -0.3536523
Moved 844.0895 363.1033 249.8967 0.007183651 -0.3552039
Moved 844.1202 363 249 0.006944438 -0.3575103
Ended 844.1509 363 249 0.006944438 -0.3575103
Began 844.4584 380 334 0.04629632 -0.1388889
Moved 844.4891 380 343.5722 0.04629632 -0.1142691
Moved 844.5198 380 376.1131 0.04629632 -0.03057338
Moved 844.5505 393.0247 419.1484 0.07644614 0.08011406
Moved 844.5813 397.5797 448.2176 0.0869901 0.1548805
Moved 844.6121 399 467.6863 0.09027779 0.2049543
Moved 844.6428 400 487.1123 0.09259263 0.2549184
Moved 844.6735 401 502.6876 0.09490739 0.2949782
Moved 844.7043 401 514.064 0.09490739 0.3242387
Moved 844.735 401 519.9448 0.09490739 0.3393642
Moved 844.7657 401 525 0.09490739 0.3523662
Moved 844.7964 401 529.0638 0.09490739 0.3628183
Moved 844.8272 401 531.3185 0.09490739 0.3686176
Moved 844.858 401 533.5 0.09490739 0.3742283
Moved 844.8887 401 534.0687 0.09490739 0.375691
Moved 844.9194 401 535.3318 0.09490739 0.3789398
Moved 844.9502 401 536.3323 0.09490739 0.3815129
Moved 844.9809 401 537.1375 0.09490739 0.3835841
Stationary 845.0117 401 537 0.09490739 0.3832304
Moved 845.0424 391.1532 537 0.07211397 0.3832304
Moved 845.0731 387.7805 537 0.06430666 0.3832304
Moved 845.1038 385.3348 537 0.05864541 0.3832304
Moved 845.1346 382.7809 537 0.05273362 0.3832304
