insurance is important for bad drivers
Basic
0.6 0.6
432 388.8
Began 327.2787 488 545 0.2962963 0.4038065
Stationary 327.3094 488 545 0.2962963 0.4038065
Stationary 327.3402 488 545 0.2962963 0.4038065
Moved 327.3709 477.8237 530.7532 0.2727401 0.3671636
Moved 327.4016 471.2651 514.5303 0.2575582 0.3254378
Moved 327.4324 466.1061 495.8714 0.245616 0.2774469
Moved 327.4631 461.6763 478.3813 0.2353618 0.2324622
Moved 327.4939 457.3779 460.2595 0.2254118 0.1858526
Moved 327.5246 451.2961 437.4807 0.2113336 0.1272651
Moved 327.5553 448.5 423 0.2048611 0.09002049
Moved 327.586 444.6645 406.3226 0.1959826 0.04712587
Moved 327.6167 442.1747 389.7862 0.1902193 0.004594041
Moved 327.6475 440.2158 374.863 0.1856847 -0.03378872
Moved 327.6782 439 366.0258 0.1828703 -0.05651812
Moved 327.7089 437.5 360.5 0.1793981 -0.07073053
Moved 327.7397 434.8374 350.6749 0.1732349 -0.09600093
Moved 327.7704 431.0454 341.1362 0.164457 -0.1205344
Moved 327.8011 429.1773 335.1773 0.1601326 -0.1358608
Moved 327.8318 426.7572 330.5144 0.1545306 -0.1478539
Moved 327.8626 422.6069 322.4103 0.1449233 -0.1686978
Moved 327.8933 415.8029 314.8029 0.1291733 -0.1882643
Moved 327.924 409.12 309.12 0.1137038 -0.2028807
Moved 327.9547 398.5 308 0.08912037 -0.2057614
Moved 327.9855 380.3957 308 0.04721224 -0.2057614
Moved 328.0162 359.1348 308 -0.002002766 -0.2057614
Moved 328.0469 342.879 313.7694 -0.03963202 -0.1909223
Moved 328.0777 324.8093 324.5526 -0.08146003 -0.1631877
Moved 328.1084 306.5 338.5 -0.1238426 -0.127315
Moved 328.1391 295.4836 348.1373 -0.1493435 -0.1025276
Moved 328.1698 284.7578 357.2422 -0.1741719 -0.07910952
Moved 328.2006 273.8352 368.1648 -0.1994555 -0.05101655
Moved 328.2313 262.6482 377.7639 -0.2253515 -0.02632753
Moved 328.262 251.17 387.3725 -0.2519214 -0.001613946
Moved 328.2928 241.0911 393.9636 -0.275252 0.0153383
Moved 328.3235 232.4334 399.8555 -0.2952931 0.03049258
Moved 328.3542 224.8054 404.7315 -0.3129504 0.04303367
Moved 328.385 220.826 408.174 -0.3221619 0.05188765
Moved 328.4157 217 411 -0.3310185 0.05915629
Moved 328.4464 217 412.5 -0.3310185 0.06301432
Moved 328.4771 217 414.8581 -0.3310185 0.06907938
Moved 328.5078 217 419.8152 -0.3310185 0.08182926
Moved 328.5386 240.8233 428.7814 -0.2758721 0.1048902
Moved 328.5693 258.8218 440.5479 -0.2342087 0.135154
Moved 328.6 273.2082 448.9761 -0.2009069 0.1568315
Moved 328.6308 287.6397 456.0558 -0.1675007 0.1750406
Moved 328.6615 299.6179 461.809 -0.1397733 0.1898378
Moved 328.6922 309.804 466.536 -0.1161945 0.2019958
Moved 328.7229 320.3611 469.8403 -0.09175682 0.2104945
Moved 328.7536 331.4376 474.2188 -0.0661166 0.2217561
Moved 328.7844 345.4307 477.4861 -0.03372525 0.2301598
Moved 328.8152 363.5313 484.0848 0.008174281 0.2471318
Moved 328.8459 378.357 487.7856 0.04249305 0.2566502
Moved 328.8766 392.0408 492.5204 0.07416864 0.2688282
Moved 328.9073 403.5156 496.2578 0.1007307 0.2784408
Moved 328.938 416.5444 500.1815 0.1308897 0.2885325
Moved 328.9688 427.0576 504.0144 0.1552258 0.2983908
Moved 328.9995 437.6645 507.7763 0.1797788 0.3080665
Moved 329.0302 447.2906 509.7635 0.2020614 0.3131778
Moved 329.061 454.9387 512.3129 0.2197654 0.3197346
Moved 329.0917 460.3723 514.1862 0.2323434 0.3245528
Moved 329.1224 466.0595 516.0595 0.2455081 0.329371
Moved 329.1531 469.6808 517 0.2538907 0.33179
Moved 329.1839 471 518 0.2569444 0.3343621
Moved 329.2146 472 520.3196 0.2592593 0.3403281
Moved 329.2453 472 522.1944 0.2592593 0.3451501
Moved 329.2761 456.1355 523 0.2225359 0.3472221
Moved 329.3068 430.031 523 0.1621088 0.3472221
Moved 329.3375 410.9367 523 0.117909 0.3472221
Moved 329.3682 396.0967 523 0.08355727 0.3472221
Moved 329.399 372.8335 516.6483 0.02970715 0.3308853
Moved 329.4297 352.5186 510.6508 -0.01731803 0.3154598
Moved 329.4604 337.7491 506.6996 -0.05150676 0.3052973
Moved 329.4911 325.4458 502.7783 -0.07998651 0.2952116
Moved 329.5219 307.8723 495.9489 -0.1206659 0.2776463
Moved 329.5526 292.5168 486.4135 -0.156211 0.253121
Moved 329.5833 279.1653 475.1652 -0.1871174 0.2241903
Moved 329.614 266.4031 462.0837 -0.2166595 0.1905443
Moved 329.6448 254.0664 448.8796 -0.2452167 0.1565833
Moved 329.6755 242.6941 438.6942 -0.2715413 0.1303862
Moved 329.7062 232.9414 429.2551 -0.2941172 0.1061088
Moved 329.7369 221.2206 416.2206 -0.3212486 0.07258388
Moved 329.7677 213.0371 407.0371 -0.3401918 0.04896371
Moved 329.7983 205.6187 398.4281 -0.3573641 0.02682121
Moved 329.8291 200.4756 393.4755 -0.3692695 0.0140831
Moved 329.8599 196.3623 388.7247 -0.3787909 0.001863786
Moved 329.8906 195 384.4927 -0.3819444 -0.009020935
Moved 329.9213 195 381.6255 -0.3819444 -0.01639519
Moved 329.9521 195 376.1753 -0.3819444 -0.03041334
Moved 329.9828 212.906 365.6564 -0.3404954 -0.0574681
Moved 330.0135 226.2584 358.045 -0.3095871 -0.07704495
Moved 330.0443 238.5515 350.6691 -0.2811307 -0.09601585
Moved 330.075 255.1687 343.9438 -0.2426651 -0.1133134
Moved 330.1057 271.3866 338.2045 -0.2051237 -0.128075
Moved 330.1364 288.8406 332.4637 -0.1647209 -0.1428402
Moved 330.1671 310.1855 324.7258 -0.1153114 -0.1627422
Moved 330.1978 325.1373 319.6209 -0.08070061 -0.1758722
Moved 330.2286 344.4596 309.7702 -0.03597314 -0.2012084
Moved 330.2593 362.1328 301.9336 0.004937152 -0.2213643
Moved 330.2901 379.7256 293.6372 0.04566103 -0.2427027
