the five boxing wizards jump quickly
Basic
0.6 0.6
432 388.8
Began 700.4881 406 451 0.1064815 0.162037
Stationary 700.5188 406 451 0.1064815 0.162037
Stationary 700.5495 406 451 0.1064815 0.162037
Stationary 700.5803 406 451 0.1064815 0.162037
Stationary 700.611 406 451 0.1064815 0.162037
Stationary 700.6417 406 451 0.1064815 0.162037
Stationary 700.6724 406 451 0.1064815 0.162037
Stationary 700.7031 406 451 0.1064815 0.162037
Stationary 700.7339 406 451 0.1064815 0.162037
Stationary 700.7646 406 451 0.1064815 0.162037
Stationary 700.7953 406 451 0.1064815 0.162037
Stationary 700.826 406 451 0.1064815 0.162037
Stationary 700.8568 406 451 0.1064815 0.162037
Stationary 700.8875 406 451 0.1064815 0.162037
Stationary 700.9182 406 451 0.1064815 0.162037
Stationary 700.9488 406 451 0.1064815 0.162037
Moved 700.9796 395.5678 451 0.08233289 0.162037
Moved 701.0103 393.6972 451 0.07800281 0.162037
Moved 701.041 394 443.1196 0.07870366 0.1417684
Moved 701.0718 394 440.5 0.07870366 0.1350308
Moved 701.1025 394 438.3751 0.07870366 0.1295656
Moved 701.1332 394 435.8788 0.07870366 0.1231451
Moved 701.1639 394 432.9042 0.07870366 0.1154944
Moved 701.1946 394 429.1573 0.07870366 0.1058572
Moved 701.2253 401.7916 424.4169 0.09673972 0.09366479
Moved 701.256 403.3011 419.3977 0.1002341 0.08075533
Moved 701.2868 404 414.663 0.1018518 0.06857754
Moved 701.3175 405 408.9046 0.1041667 0.0537669
Moved 701.3482 405 405.3031 0.1041667 0.04450386
Moved 701.3789 405 402.5279 0.1041667 0.03736594
Moved 701.4096 405 399.6533 0.1041667 0.02997249
Moved 701.4404 405 396.7823 0.1041667 0.02258819
Moved 701.4711 405 395.2589 0.1041667 0.01866984
Moved 701.5018 400.0671 395 0.0927479 0.01800408
Moved 701.5325 384.0085 395 0.05557527 0.01800408
Moved 701.5632 364.8074 411.4617 0.01112819 0.06034384
Moved 701.5939 344.3811 426.6733 -0.03615479 0.09946827
Moved 701.6246 327.0959 444.7214 -0.07616684 0.1458884
Moved 701.6553 314.9234 458.7687 -0.1043439 0.1820183
Moved 701.6861 307.4825 467.69 -0.1215683 0.204964
Moved 701.7168 300.7782 476.3326 -0.1370875 0.2271929
Moved 701.7475 297.0104 482.9791 -0.1458091 0.2442878
Moved 701.7783 294.1384 486.8616 -0.1524574 0.2542735
Moved 701.8089 292.6289 489 -0.1559515 0.2597736
Moved 701.8397 290.7592 492.2408 -0.1602797 0.2681091
Moved 701.8704 289.9406 496.1188 -0.1621746 0.2780834
Moved 701.9011 289.2535 498.7465 -0.1637649 0.2848416
Moved 701.9318 288 501.5417 -0.1666667 0.292031
Moved 701.9625 286.7905 503.2095 -0.1694664 0.2963207
Moved 701.9932 284.7043 505 -0.1742955 0.3009258
Moved 702.024 284 506.8217 -0.1759259 0.3056113
Moved 702.0547 283 508 -0.1782407 0.3086419
Stationary 702.0854 283 508 -0.1782407 0.3086419
Ended 702.1161 283 508 -0.1782407 0.3086419
Began 702.7919 338 288 -0.05092591 -0.2572017
Stationary 702.8226 338 288 -0.05092591 -0.2572017
Stationary 702.8534 338 288 -0.05092591 -0.2572017
Stationary 702.884 338 288 -0.05092591 -0.2572017
Stationary 702.9148 338 288 -0.05092591 -0.2572017
Stationary 702.9455 338 288 -0.05092591 -0.2572017
Stationary 702.9762 338 288 -0.05092591 -0.2572017
Stationary 703.0069 338 288 -0.05092591 -0.2572017
Stationary 703.0377 338 288 -0.05092591 -0.2572017
Stationary 703.0684 338 288 -0.05092591 -0.2572017
Stationary 703.0991 338 288 -0.05092591 -0.2572017
Moved 703.1298 338 299.902 -0.05092591 -0.2265894
Moved 703.1605 338 299.7568 -0.05092591 -0.2269631
Moved 703.1912 338 305.2759 -0.05092591 -0.2127679
Moved 703.222 338 311.2379 -0.05092591 -0.1974336
Moved 703.2525 338 324.2059 -0.05092591 -0.1640795
Moved 703.2834 349.7162 344.3378 -0.0238051 -0.1123001
Moved 703.3141 363.9254 372.6359 0.009086628 -0.03951673
Moved 703.3448 378.0795 394.7726 0.04185061 0.01741908
Moved 703.3755 392.1507 417.8411 0.07442296 0.07675178
Moved 703.4063 401.3131 430.4174 0.09563217 0.1090982
Moved 703.437 409.185 442.6417 0.1138542 0.1405393
Moved 703.4677 418.5 455 0.1354167 0.172325
Moved 703.4984 433.9688 469.9688 0.171224 0.2108249
Moved 703.5291 442.786 480.048 0.1916342 0.2367488
Moved 703.5598 448.5285 484.5284 0.204927 0.2482726
Moved 703.5906 452.6424 488.6425 0.2144501 0.258854
Moved 703.6213 455.5179 491.5179 0.2211063 0.2662496
Moved 703.652 457.3897 493.3897 0.2254392 0.2710639
Moved 703.6827 457.9395 494 0.2267117 0.2726337
Moved 703.7134 458 495 0.2268519 0.2752057
Moved 703.7441 459 495.6901 0.2291666 0.2769806
Stationary 703.7748 459 496 0.2291666 0.2777777
Stationary 703.8056 459 496 0.2291666 0.2777777
Stationary 703.8363 459 496 0.2291666 0.2777777
Moved 703.867 459 497.3967 0.2291666 0.2813699
Stationary 703.8977 459 497.3967 0.2291666 0.2813699
Stationary 703.9284 459 497.3967 0.2291666 0.2813699
Stationary 703.9592 459 497 0.2291666 0.2803498
Moved 703.9899 450.4775 497 0.2094387 0.2803498
Moved 704.0206 442.7603 488.3203 0.1915748 0.2580252
Moved 704.0513 422.9047 468.4625 0.1456127 0.2069509
Moved 704.082 391.1864 430.5508 0.07219066 0.1094412
Moved 704.1127 372.571 403.2692 0.02909948 0.03927242
Moved 704.1435 352.8047 370.6095 -0.01665567 -0.04472866
Moved 704.1742 338.1465 343.8636 -0.05058691 -0.1135195
Moved 704.2049 326.6493 321.8483 -0.07720073 -0.1701433
Moved 704.2357 316.0273 305.041 -0.1017885 -0.2133719
Moved 704.2663 307.3927 287.6545 -0.1217762 -0.2580902
Moved 704.2971 302.5016 276.0031 -0.1330983 -0.2880579
Moved 704.3278 298.5971 268.3958 -0.1421363 -0.3076242
Moved 704.3585 293.8577 255.5731 -0.1531072 -0.3406042
