healthy food is good for you
Basic
0.6 0.6
432 388.8
Began 370.0708 425 434 0.150463 0.1183127
Stationary 370.1015 425 434 0.150463 0.1183127
Stationary 370.1323 425 434 0.150463 0.1183127
Stationary 370.1629 425 434 0.150463 0.1183127
Stationary 370.1937 425 434 0.150463 0.1183127
Stationary 370.2244 425 434 0.150463 0.1183127
Stationary 370.2552 425 434 0.150463 0.1183127
Moved 370.2859 414.6337 434 0.126467 0.1183127
Moved 370.3166 412.0941 434 0.120588 0.1183127
Moved 370.3474 408.2227 434 0.1116266 0.1183127
Moved 370.3781 402.6915 434 0.0988228 0.1183127
Moved 370.4088 397.7611 434 0.08741001 0.1183127
Moved 370.4395 389.8685 434 0.06913999 0.1183127
Moved 370.4702 382.2362 434 0.05147269 0.1183127
Moved 370.5009 374.4133 434 0.03336409 0.1183127
Moved 370.5316 366.9498 434 0.01608739 0.1183127
Moved 370.5624 360.347 434 0.0008031726 0.1183127
Moved 370.5931 354.803 434 -0.01203015 0.1183127
Moved 370.6238 344.3826 444.6174 -0.03615131 0.1456208
Moved 370.6545 330.5009 462.4987 -0.06828486 0.1916118
Moved 370.6853 316.086 482.6796 -0.1016527 0.2435173
Moved 370.716 298.5205 510.2193 -0.1423137 0.31435
Moved 370.7467 281.8434 530.8192 -0.1809179 0.3673333
Moved 370.7774 272.6003 543.0995 -0.2023142 0.3989185
Moved 370.8081 267.4279 550.1442 -0.2142872 0.4170374
Moved 370.8389 263.5402 555.9197 -0.2232866 0.4318921
Moved 370.8696 261.0078 557.9922 -0.2291487 0.4372227
Moved 370.9003 259.13 560.87 -0.2334953 0.4446244
Moved 370.9311 257.6295 562.3705 -0.2369688 0.4484838
Moved 370.9617 256.8189 564.1812 -0.2388452 0.4531407
Moved 370.9925 255.9579 565.0421 -0.2408383 0.4553551
Stationary 371.0232 255.9579 565.0421 -0.2408383 0.4553551
Moved 371.0511 254.8926 566.1074 -0.2433043 0.4580951
Moved 371.0846 250.1325 566 -0.2543228 0.4578188
Moved 371.1154 223.849 535.2188 -0.3151644 0.3786491
Moved 371.1461 187.9903 459.0671 -0.3981706 0.1827858
Moved 371.1768 170.6353 385.8707 -0.4383442 -0.005476524
Moved 371.2076 167.4179 344.1793 -0.4457919 -0.1127077
Moved 371.2382 167 326.1259 -0.4467593 -0.1591414
Moved 371.269 167 318.3129 -0.4467593 -0.1792364
Moved 371.2997 167 313.66 -0.4467593 -0.1912038
Moved 371.3305 167 312.2145 -0.4467593 -0.1949214
Moved 371.3611 167 311 -0.4467593 -0.1980453
Moved 371.3919 167 309.7316 -0.4467593 -0.2013076
Stationary 371.4226 167 310 -0.4467593 -0.2006174
Moved 371.4533 167 308.8306 -0.4467593 -0.2036252
Moved 371.4841 174 309 -0.4305556 -0.2031893
Moved 371.5148 176.2485 309 -0.4253507 -0.2031893
Moved 371.5455 180.4309 309 -0.4156692 -0.2031893
Moved 371.5762 187.2614 321.2614 -0.3998578 -0.1716528
Moved 371.6069 197.8877 331.8877 -0.37526 -0.1443218
Moved 371.6377 217.1821 348.6594 -0.330597 -0.1011848
Moved 371.6684 256.2227 375.4139 -0.2402252 -0.03237171
Moved 371.6991 337.9158 405.7544 -0.05112082 0.04566455
Moved 371.7299 428.8107 414 0.1592841 0.06687239
Moved 371.7606 494.7401 404.983 0.3118983 0.0436806
Moved 371.7913 519.8657 398.4478 0.3700595 0.02687171
Moved 371.822 535.1035 395.5793 0.4053323 0.019494
Moved 371.8527 540.0087 395 0.4166868 0.01800408
Moved 371.8835 543.5 394 0.4247685 0.01543206
Moved 371.9142 544.1506 394 0.4262744 0.01543206
Moved 371.9449 530.9319 394 0.3956758 0.01543206
Moved 371.9755 489.6752 405.5499 0.3001739 0.04513842
Moved 372.0064 445.4461 418.1955 0.1977919 0.07766327
Moved 372.037 398.498 435.4713 0.08911569 0.1220969
Moved 372.0678 351.3864 457.0062 -0.01993894 0.1774849
Moved 372.0985 290.3825 491.5044 -0.1611515 0.266215
Moved 372.1292 273.2474 505.7526 -0.2008162 0.3028616
Moved 372.1599 263.9489 514.0767 -0.2223405 0.3242711
Moved 372.1906 260.4255 517.5745 -0.2304965 0.3332676
Moved 372.2214 257.5506 520.4494 -0.2371514 0.340662
Moved 372.2521 257 522.3257 -0.2384259 0.345488
Moved 372.2828 255.6261 523.374 -0.2416063 0.348184
Moved 372.3135 254.5 525.5 -0.244213 0.3536522
Moved 372.3443 253.9646 527 -0.2454522 0.3575102
Moved 372.375 254 528 -0.2453704 0.3600822
Stationary 372.4057 254 528 -0.2453704 0.3600822
Moved 372.4365 254 529.2443 -0.2453704 0.3632825
Moved 372.4671 254 530.1204 -0.2453704 0.3655358
Stationary 372.4979 254 530 -0.2453704 0.3652262
Moved 372.5286 270.884 530 -0.2062871 0.3652262
Moved 372.5594 285.7025 517.4982 -0.171985 0.3330715
Moved 372.5901 304.7799 502.1926 -0.1278242 0.2937051
Moved 372.6208 329.2663 466.9036 -0.07114276 0.2029413
Moved 372.6515 356.5677 416.5781 -0.007945001 0.07350321
Moved 372.6823 375.885 378.4656 0.0367709 -0.02452254
Moved 372.713 391.6362 353.0457 0.07323185 -0.08990299
Moved 372.7437 401.9835 340.3554 0.09718398 -0.1225427
Moved 372.7744 409.0694 333.9306 0.1135867 -0.1390674
Moved 372.8051 412.4085 332 0.1213159 -0.144033
Moved 372.8359 414 345.2758 0.125 -0.1098874
Moved 372.8665 408.3533 392.2933 0.111929 0.01104241
Moved 372.8973 399.8927 439.0734 0.09234418 0.1313615
Moved 372.928 398.4514 451.9369 0.08900801 0.1644467
Moved 372.9587 396.8739 474.2609 0.08535624 0.2218645
Ended 372.9895 397 489 0.0856481 0.2597736
Began 373.4503 304 375 -0.1296296 -0.03343629
Stationary 373.481 304 375 -0.1296296 -0.03343629
Stationary 373.5117 304 375 -0.1296296 -0.03343629
Stationary 373.5424 304 375 -0.1296296 -0.03343629
Stationary 373.5732 304 375 -0.1296296 -0.03343629
Stationary 373.6039 304 375 -0.1296296 -0.03343629
Stationary 373.6346 304 375 -0.1296296 -0.03343629
