reading week is just about here
Basic
0.6 0.6
432 388.8
Began 627.1464 315 479 -0.1041667 0.2340534
Stationary 627.1771 315 479 -0.1041667 0.2340534
Stationary 627.2079 315 479 -0.1041667 0.2340534
Stationary 627.2386 315 479 -0.1041667 0.2340534
Stationary 627.2693 315 479 -0.1041667 0.2340534
Moved 627.3 305.7642 479 -0.1255459 0.2340534
Moved 627.3308 300.1335 479 -0.1385798 0.2340534
Moved 627.3615 296 479 -0.1481481 0.2340534
Moved 627.3922 294.5 479 -0.1516204 0.2340534
Stationary 627.4229 294.5 479 -0.1516204 0.2340534
Moved 627.4537 295 487 -0.150463 0.2546296
Moved 627.4844 295 488.0507 -0.150463 0.2573321
Moved 627.5152 295 489.1965 -0.150463 0.2602791
Moved 627.5459 295 491.3054 -0.150463 0.265703
Moved 627.5766 305.5 492 -0.1261574 0.2674896
Moved 627.6073 304.8523 493 -0.1276567 0.2700616
Moved 627.6381 307.6056 494.6056 -0.1212833 0.2741913
Moved 627.6688 310.3624 495 -0.1149018 0.2752057
Stationary 627.6995 310 495 -0.1157407 0.2752057
Moved 627.7302 311.1412 495 -0.1130991 0.2752057
Moved 627.761 311 496.3611 -0.113426 0.2787064
Moved 627.7917 311 499.1033 -0.113426 0.2857595
Moved 627.8224 311 504.2704 -0.113426 0.2990494
Moved 627.8532 311 508.5303 -0.113426 0.310006
Moved 627.8839 311 511.5 -0.113426 0.317644
Moved 627.9146 311 513.7693 -0.113426 0.3234807
Moved 627.9453 311 515.1345 -0.113426 0.3269918
Moved 627.976 311 516.2499 -0.113426 0.3298609
Moved 628.0068 301.4863 518.3591 -0.1354484 0.3352856
Moved 628.0375 302.5095 519 -0.1330798 0.3369341
Moved 628.0682 300.0875 520 -0.1386864 0.3395061
Moved 628.099 297.3243 520.6757 -0.1450827 0.3412441
Moved 628.1297 292.1048 521 -0.1571649 0.3420781
Moved 628.1605 282.4124 521 -0.179601 0.3420781
Moved 628.1912 272.379 521 -0.2028265 0.3420781
Moved 628.2219 261.7971 521 -0.2273216 0.3420781
Moved 628.2527 253.7079 512.9775 -0.2460466 0.3214442
Moved 628.2834 247.6489 510.6489 -0.2600719 0.3154549
Moved 628.3141 240.9982 505.3321 -0.2754672 0.30178
Moved 628.3448 233.7351 495.6468 -0.2922799 0.2768692
Moved 628.3755 224.4332 483.5776 -0.313812 0.245827
Moved 628.4063 218.6107 472.0269 -0.3272899 0.2161184
Moved 628.437 207.9399 455.8798 -0.351991 0.1745878
Moved 628.4678 199.4284 441.8569 -0.3716934 0.1385207
Moved 628.4985 191.9284 429.3209 -0.3890547 0.106278
Moved 628.5292 186.0569 418.0947 -0.4026462 0.07740401
Moved 628.5599 180.5123 407.7685 -0.4154807 0.05084477
Moved 628.5907 176.5045 399.5134 -0.4247582 0.02961249
Moved 628.6214 174.7493 394.4987 -0.4288209 0.01671461
Moved 628.6521 173.3284 390.6569 -0.4321101 0.00683341
Moved 628.6828 171.5618 385.1236 -0.4361995 -0.007398236
Moved 628.7136 169.8056 380.6112 -0.4402648 -0.01900426
Moved 628.7443 170 377.526 -0.4398148 -0.0269393
Moved 628.775 170 375.9708 -0.4398148 -0.03093923
Moved 628.8057 181.5275 375 -0.4131307 -0.03343629
Moved 628.8365 194.6741 375 -0.3826989 -0.03343629
Moved 628.8672 204.1209 375 -0.3608311 -0.03343629
Moved 628.8979 215.55 375 -0.3343749 -0.03343629
Moved 628.9286 226.5945 375 -0.308809 -0.03343629
Moved 628.9594 237.637 374 -0.2832476 -0.03600823
Moved 628.9901 247.2134 374 -0.26108 -0.03600823
Moved 629.0209 258.3444 373 -0.235314 -0.03858032
Moved 629.0516 267.7929 373 -0.2134424 -0.03858032
Moved 629.0823 274.7063 373 -0.1974391 -0.03858032
Moved 629.113 279.6014 373 -0.1861077 -0.03858032
Moved 629.1438 283.541 376.7867 -0.1769885 -0.02884084
Moved 629.1745 287.2896 381 -0.1683111 -0.01800419
Moved 629.2053 295.137 386.3527 -0.1501458 -0.004236865
Moved 629.236 319.7763 402.821 -0.09311035 0.03811993
Moved 629.2667 344.8434 421.3826 -0.03508464 0.08586043
Moved 629.2974 370.8718 440.9146 0.02516627 0.136097
Moved 629.3282 390.2921 457.5605 0.0701206 0.1789107
Moved 629.3589 408.0453 471.8362 0.1112159 0.2156279
Moved 629.3896 422.8416 482.8732 0.1454666 0.2440154
Moved 629.4203 433.2013 492.2013 0.1694475 0.2680074
Moved 629.451 440.5111 499.5111 0.1863684 0.2868084
Moved 629.4818 444.8554 502.9277 0.1964246 0.295596
Moved 629.5125 448.6909 506.6909 0.205303 0.3052749
Moved 629.5433 451.4491 508 0.2116878 0.3086419
Moved 629.574 453.8497 510.8497 0.2172447 0.3159713
Moved 629.6047 456.6177 512.6177 0.2236521 0.3205187
Moved 629.6354 459.3758 515.3758 0.2300366 0.3276125
Moved 629.6661 463.7243 516 0.2401026 0.329218
Moved 629.6969 467.162 518.581 0.2480601 0.3358564
Moved 629.7277 471.6738 520.3369 0.2585042 0.3403726
Moved 629.7584 476.1812 522 0.2689379 0.3446501
Moved 629.7891 478.3837 523 0.2740364 0.3472221
Moved 629.8197 481.2786 524 0.2807374 0.3497942
Moved 629.8505 483.0316 525 0.2847953 0.3523662
Stationary 629.8812 483 525 0.2847222 0.3523662
Stationary 629.912 483 525 0.2847222 0.3523662
Moved 629.9427 483 517.8589 0.2847222 0.3339993
Moved 629.9734 471.4494 509.6741 0.2579847 0.3129478
Moved 630.0042 463.5 497 0.2395834 0.2803498
Moved 630.0349 456.0322 484.0804 0.2222967 0.2471204
Moved 630.0657 448.7783 465.0753 0.2055052 0.1982388
Moved 630.0963 442 444 0.1898148 0.1440329
Moved 630.1271 436.1336 425.5343 0.1762351 0.09653872
Moved 630.1578 428.6436 398.8964 0.1588973 0.0280257
Moved 630.1885 423.1362 373.1129 0.1461486 -0.03828998
Moved 630.2192 417.6138 349.2623 0.1333654 -0.09963416
Moved 630.2501 413.3575 326.5755 0.1235128 -0.1579849
Moved 630.2808 409.5961 306.1728 0.1148058 -0.210461
