want to join us for lunch
Basic
0.6 0.6
432 388.8
Began 1331.42 319 477 -0.09490739 0.2289094
Stationary 1331.45 319 477 -0.09490739 0.2289094
Stationary 1331.481 319 477 -0.09490739 0.2289094
Stationary 1331.512 319 477 -0.09490739 0.2289094
Moved 1331.542 319 465.2727 -0.09490739 0.1987466
Moved 1331.573 319 452.1084 -0.09490739 0.1648877
Moved 1331.604 311.6143 436.6694 -0.1120039 0.1251785
Moved 1331.635 308.8287 424.0718 -0.118452 0.09277732
Moved 1331.665 305.5465 409.7327 -0.1260497 0.05589693
Moved 1331.696 301.3512 397.7025 -0.1357611 0.02495479
Moved 1331.727 297.799 388.3969 -0.1439839 0.001020628
Moved 1331.757 293.2886 381.5773 -0.1544245 -0.01651944
Moved 1331.788 285.6577 372.6577 -0.1720887 -0.03946076
Moved 1331.819 273.726 363.1808 -0.1997084 -0.0638355
Moved 1331.85 260.002 357.001 -0.2314769 -0.07973007
Moved 1331.88 238.8778 349.3762 -0.2803755 -0.09934123
Moved 1331.911 219.5795 344.2632 -0.3250474 -0.1124918
Moved 1331.942 205.5509 343 -0.3575211 -0.1157408
Moved 1331.973 197.6039 342 -0.3759168 -0.1183128
Moved 1332.003 190.9985 342 -0.3912072 -0.1183128
Moved 1332.034 185.2444 341.1222 -0.4045269 -0.1205706
Moved 1332.065 181.5 341 -0.4131944 -0.1208849
Moved 1332.095 181 341 -0.4143519 -0.1208849
Stationary 1332.126 181 341 -0.4143519 -0.1208849
Moved 1332.157 198.6349 356.254 -0.3735304 -0.08165139
Moved 1332.188 241.3417 362 -0.274672 -0.06687243
Moved 1332.218 282.6137 362 -0.179135 -0.06687243
Moved 1332.249 316.3738 344.6505 -0.1009866 -0.1114957
Moved 1332.28 341.7172 332.1414 -0.04232138 -0.1436693
Moved 1332.31 362.7285 319.4197 0.006316105 -0.1763898
Moved 1332.341 380.5226 306.0645 0.04750609 -0.2107396
Moved 1332.372 395.2838 295.6297 0.08167554 -0.237578
Moved 1332.403 405.0216 287.9838 0.1042166 -0.2572433
Moved 1332.433 413.7514 281.2486 0.1244245 -0.2745664
Moved 1332.464 418.747 277.2529 0.1359885 -0.2848434
Moved 1332.495 421.6241 274.3759 0.1426483 -0.2922431
Moved 1332.526 424.1477 272.8523 0.1484902 -0.2961619
Moved 1332.556 426.008 270.992 0.1527963 -0.3009465
Moved 1332.587 426 269.5458 0.1527777 -0.3046663
Moved 1332.618 427 268.6752 0.1550926 -0.3069053
Moved 1332.648 427 268 0.1550926 -0.308642
Moved 1332.679 389.357 306.0496 0.06795605 -0.2107778
Moved 1332.71 361.4175 352.0922 0.003281236 -0.09235554
Moved 1332.741 340.694 396.4574 -0.04468982 0.02175253
Moved 1332.771 326.0459 435.8852 -0.07859737 0.1231615
Moved 1332.802 315.5774 462.5565 -0.1028301 0.1917605
Moved 1332.833 308.2981 490.3397 -0.1196803 0.2632192
Moved 1332.864 305.2654 505.6729 -0.1267005 0.3026566
Moved 1332.894 303 517.8367 -0.1319445 0.3339421
Moved 1332.925 303 528.9255 -0.1319445 0.3624628
Moved 1332.956 303 541.1039 -0.1319445 0.3937858
Moved 1332.986 303 549.7046 -0.1319445 0.4159068
Moved 1333.017 303 555.7715 -0.1319445 0.4315109
Moved 1333.048 303 561.2927 -0.1319445 0.4457116
Moved 1333.078 303 564.1647 -0.1319445 0.4530983
Moved 1333.109 303 566.5 -0.1319445 0.4591049
Moved 1333.14 303 567.2358 -0.1319445 0.4609973
Stationary 1333.171 303 567 -0.1319445 0.4603909
Ended 1333.201 303 567 -0.1319445 0.4603909
Began 1334.031 304 420 -0.1296296 0.08230445
Stationary 1334.062 304 420 -0.1296296 0.08230445
Stationary 1334.092 304 420 -0.1296296 0.08230445
Moved 1334.123 312.071 420 -0.1109468 0.08230445
Moved 1334.154 327.8835 420 -0.07434388 0.08230445
Moved 1334.185 348.169 420 -0.02738655 0.08230445
Moved 1334.215 368.1366 420 0.01883467 0.08230445
Moved 1334.246 386.5942 420 0.06156067 0.08230445
Moved 1334.277 405.7726 420 0.1059551 0.08230445
Moved 1334.307 422.3532 420 0.144336 0.08230445
Moved 1334.338 437.7268 420 0.1799233 0.08230445
Moved 1334.369 451.1423 420 0.2109776 0.08230445
Moved 1334.4 470.4823 433.2411 0.2557459 0.1163609
Moved 1334.43 489.6624 446.2186 0.3001445 0.1497393
Moved 1334.461 504.5824 460.5824 0.3346815 0.186683
Moved 1334.492 513.4734 480.5959 0.3552627 0.2381582
Moved 1334.522 518.4152 498.5378 0.3667018 0.284305
Moved 1334.553 522.1379 512.8447 0.3753191 0.3211026
Moved 1334.584 525.1039 525.5193 0.3821849 0.3537018
Moved 1334.615 527.0085 536.0257 0.3865938 0.3807244
Moved 1334.645 528.8824 546.5296 0.3909315 0.4077407
Moved 1334.676 529 551.5139 0.3912036 0.4205602
Moved 1334.707 529 555.2922 0.3912036 0.4302783
Moved 1334.738 529 557.0853 0.3912036 0.4348902
Moved 1334.768 529 558.3734 0.3912036 0.4382031
Moved 1334.799 529 559.2499 0.3912036 0.4404574
Stationary 1334.83 529 559 0.3912036 0.4398148
Ended 1334.86 529 559 0.3912036 0.4398148
Began 1335.721 345 295 -0.03472224 -0.2391976
Stationary 1335.751 345 295 -0.03472224 -0.2391976
Moved 1335.782 345 305.1113 -0.03472224 -0.2131911
Moved 1335.813 356.9892 325.3044 -0.006969521 -0.1612541
Moved 1335.844 366.3322 351.5524 0.01465778 -0.09374406
Moved 1335.874 379.2214 381.0535 0.04449397 -0.01786644
Moved 1335.905 392.9167 404.4667 0.07619599 0.04235248
Moved 1335.936 406.1384 427.5871 0.1068019 0.1018186
Moved 1335.966 422.9855 449.9855 0.1457998 0.1594278
Moved 1335.997 444.4241 475.1361 0.195426 0.2241154
Moved 1336.028 451.5392 485.1548 0.2118963 0.2498838
Moved 1336.059 459.608 496.4773 0.230574 0.2790053
Moved 1336.089 468.9675 506.9675 0.2522396 0.3059864
Moved 1336.12 478.4626 517.4625 0.2742189 0.3329797
Moved 1336.151 486.3424 525.3424 0.2924592 0.3532468
