electric cars need big fuel cells
Basic
0.6 0.6
432 388.8
Began 1409.673 260 536 -0.2314815 0.3806583
Stationary 1409.704 260 536 -0.2314815 0.3806583
Stationary 1409.734 260 536 -0.2314815 0.3806583
Stationary 1409.765 260 536 -0.2314815 0.3806583
Stationary 1409.796 260 536 -0.2314815 0.3806583
Stationary 1409.826 260 536 -0.2314815 0.3806583
Moved 1409.857 266.8324 526.2394 -0.2156657 0.355554
Moved 1409.888 272.2229 518.1656 -0.2031877 0.3347879
Moved 1409.919 277.3493 509.9522 -0.1913211 0.313663
Moved 1409.949 282.2264 503.3206 -0.1800314 0.2966064
Moved 1409.98 287.0845 498.9155 -0.1687858 0.2852764
Moved 1410.011 292.2747 493.7253 -0.1567715 0.2719273
Moved 1410.042 298.0245 488.4877 -0.1434619 0.2584561
Moved 1410.072 302.3869 483.2261 -0.1333636 0.2449231
Moved 1410.103 308.5136 479.4865 -0.1191815 0.2353046
Moved 1410.134 317.3306 474.4463 -0.09877175 0.2223412
Moved 1410.164 329.6 468.7 -0.07037033 0.2075617
Moved 1410.195 341.0779 463.9611 -0.04380111 0.195373
Moved 1410.226 353.3315 458.8674 -0.01543646 0.1822721
Moved 1410.257 369.7671 452.0776 0.02260903 0.1648087
Moved 1410.287 383.3338 446.3331 0.05401343 0.1500336
Moved 1410.318 398.1889 440.9055 0.08840034 0.1360739
Moved 1410.349 413.7249 436.5072 0.1243631 0.1247612
Moved 1410.38 431.754 431.7487 0.1660973 0.1125222
Moved 1410.41 449.8953 427.0349 0.208091 0.1003984
Moved 1410.441 464.1233 422.7507 0.2410262 0.08937918
Moved 1410.472 482.1579 417.2807 0.2827729 0.07531036
Moved 1410.502 498.3943 411.5352 0.3203572 0.06053292
Moved 1410.533 514.6042 404.7986 0.3578801 0.04320619
Moved 1410.564 527.5826 399.3543 0.3879228 0.02920343
Moved 1410.595 537.5837 393.9442 0.4110734 0.01528854
Moved 1410.625 544.7975 390.6013 0.427772 0.006690477
Moved 1410.656 549.5435 386.7283 0.438758 -0.003270906
Moved 1410.687 550 385.2049 0.4398148 -0.007189134
Moved 1410.718 545.4009 385 0.4291689 -0.007716127
Moved 1410.748 515.7017 385 0.3604206 -0.007716127
Moved 1410.779 487.2382 385 0.2945329 -0.007716127
Moved 1410.81 453.3991 385 0.2162016 -0.007716127
Moved 1410.84 428.4709 380.3268 0.1584975 -0.01973556
Moved 1410.871 405.2647 372.8492 0.1047794 -0.03896808
Moved 1410.902 389.7361 366.4944 0.06883352 -0.05531263
Moved 1410.933 373.381 358.7524 0.03097445 -0.07522544
Moved 1410.963 361.008 352.004 0.002333323 -0.09258238
Moved 1410.994 353.1039 346.736 -0.01596317 -0.1061319
Moved 1411.025 343.8992 341.2661 -0.03727043 -0.1202004
Moved 1411.056 333.0527 334.5264 -0.06237805 -0.1375351
Moved 1411.086 325.7804 327.7804 -0.07921199 -0.1548859
Moved 1411.117 318.0094 321.6729 -0.09720048 -0.1705944
Moved 1411.148 310.9311 314.3966 -0.1135855 -0.1893092
Moved 1411.178 304.2008 306.2008 -0.1291648 -0.2103889
Moved 1411.209 298.4567 297.1851 -0.1424614 -0.2335776
Moved 1411.24 293.425 288.6376 -0.1541087 -0.2555619
Moved 1411.271 289.6675 279.3351 -0.1628066 -0.2794879
Moved 1411.301 284.9174 266.2934 -0.1738024 -0.3130314
Moved 1411.332 281.919 254.5951 -0.180743 -0.3431196
Moved 1411.363 278.0211 246.0632 -0.189766 -0.3650638
Moved 1411.393 277 237.3179 -0.1921296 -0.3875569
Moved 1411.424 275.2829 230.5657 -0.1961045 -0.4049237
Moved 1411.455 275 224.4871 -0.1967592 -0.420558
Moved 1411.486 272.8667 217.7334 -0.2016976 -0.4379286
Moved 1411.516 272 210.9779 -0.2037037 -0.4553038
Moved 1411.547 270 206.3561 -0.2083333 -0.4671912
Moved 1411.578 268.6195 203.6195 -0.211529 -0.4742297
Moved 1411.609 269 203 -0.2106481 -0.4758231
Moved 1411.639 268 203 -0.212963 -0.4758231
Stationary 1411.67 268 203 -0.212963 -0.4758231
Stationary 1411.701 268 203 -0.212963 -0.4758231
Moved 1411.731 267 203 -0.2152778 -0.4758231
Moved 1411.762 267 210.6454 -0.2152778 -0.4561591
Moved 1411.793 267 214.6006 -0.2152778 -0.4459861
Moved 1411.824 267 219.3459 -0.2152778 -0.4337811
Moved 1411.854 267 225.0889 -0.2152778 -0.4190101
Moved 1411.885 267 231.1814 -0.2152778 -0.40334
Moved 1411.916 267 238.9421 -0.2152778 -0.3833793
Moved 1411.947 275.8539 246.5618 -0.1947825 -0.3637815
Moved 1411.977 278.7286 253.4572 -0.1881282 -0.3460465
Moved 1412.008 281.2691 260.8074 -0.1822474 -0.3271416
Moved 1412.039 284.143 269.4291 -0.1755948 -0.3049663
Moved 1412.069 287.0153 282.0613 -0.168946 -0.2724762
Moved 1412.1 289.6497 292.5986 -0.162848 -0.2453739
Moved 1412.131 291.3869 304.5476 -0.1588266 -0.2146409
Moved 1412.162 295.5259 320.5778 -0.1492455 -0.1734112
Moved 1412.192 299.1348 335.6741 -0.1408916 -0.1345831
Moved 1412.223 302.362 350.086 -0.1334213 -0.09751558
Moved 1412.254 306.0995 371.8482 -0.1247697 -0.04154268
Moved 1412.285 310.4247 392.5483 -0.1147576 0.01169825
Moved 1412.315 313.2992 406.4958 -0.1081038 0.04757159
Moved 1412.346 316.8078 425.8469 -0.09998188 0.09734286
Moved 1412.377 319.688 444.4401 -0.09331475 0.1451648
Moved 1412.407 321 458.7679 -0.09027779 0.1820162
Moved 1412.438 321 470.4476 -0.09027779 0.2120565
Moved 1412.469 321 482.9678 -0.09027779 0.2442586
Moved 1412.5 322 492.5884 -0.08796295 0.269003
Moved 1412.53 323 502.2054 -0.08564815 0.2937382
Moved 1412.561 324.2673 508.8018 -0.08271465 0.3107042
Moved 1412.592 325 515.2932 -0.08101851 0.3274
Moved 1412.622 326 520.0356 -0.07870371 0.3395978
Moved 1412.653 327 523.2841 -0.07638887 0.3479529
Moved 1412.684 328 528.7703 -0.07407407 0.3620635
