that is a very odd question
Basic
0.6 0.6
432 388.8
Began 683.3681 278 529 -0.1898148 0.3626543
Stationary 683.3989 278 529 -0.1898148 0.3626543
Stationary 683.4296 278 529 -0.1898148 0.3626543
Stationary 683.4603 278 529 -0.1898148 0.3626543
Stationary 683.491 278 529 -0.1898148 0.3626543
Stationary 683.5218 278 529 -0.1898148 0.3626543
Stationary 683.5525 278 529 -0.1898148 0.3626543
Stationary 683.5833 278 529 -0.1898148 0.3626543
Stationary 683.614 278 529 -0.1898148 0.3626543
Stationary 683.6447 278 529 -0.1898148 0.3626543
Moved 683.6755 286.1074 515.7852 -0.1710477 0.3286656
Moved 683.7062 289.9799 509.0604 -0.1620836 0.3113692
Moved 683.737 292.8474 505.1526 -0.1554458 0.3013183
Moved 683.7677 297.528 499.472 -0.1446112 0.2867078
Moved 683.7985 307.9217 491.3087 -0.1205516 0.2657116
Moved 683.8292 318.3327 482.6673 -0.09645209 0.2434858
Moved 683.8599 332.9019 473.0588 -0.06272703 0.2187727
Moved 683.8907 344.1879 463.8121 -0.03660202 0.1949898
Moved 683.9214 358.0696 453.3443 -0.004468411 0.1680666
Moved 683.9522 369.1468 441.8533 0.02117306 0.1385114
Moved 683.9829 378.461 430.6738 0.04273375 0.1097575
Moved 684.0137 386.3821 416.2358 0.06106963 0.07262301
Moved 684.0443 391.573 402.7081 0.07308552 0.03782951
Moved 684.0751 395.4412 392.6765 0.08203973 0.01202795
Moved 684.1059 397.935 385.1951 0.08781245 -0.00721433
Moved 684.1366 399.8048 380.3904 0.09214073 -0.01957206
Moved 684.1674 400.6742 375.6516 0.09415329 -0.03176049
Moved 684.1981 401 372.5 0.09490739 -0.03986633
Moved 684.2288 401 370.961 0.09490739 -0.04382467
Moved 684.2596 392.415 370 0.0750348 -0.04629637
Moved 684.2903 378.8815 370 0.04370709 -0.04629637
Moved 684.321 366.764 370 0.01565734 -0.04629637
Moved 684.3517 341.2625 382.6516 -0.04337376 -0.01375638
Moved 684.3826 313.1734 391.248 -0.1083948 0.008353794
Moved 684.4133 280.5986 398.9003 -0.1837996 0.02803559
Moved 684.444 253 401 -0.2476852 0.03343609
Moved 684.4747 232.2937 405.3866 -0.2956164 0.04471849
Moved 684.5055 214.7404 406.252 -0.3362491 0.04694424
Moved 684.5363 201.7861 406 -0.3662358 0.04629618
Moved 684.567 190.0503 406 -0.3934021 0.04629618
Moved 684.5977 182.9634 406 -0.4098069 0.04629618
Moved 684.6285 179.6173 406 -0.4175524 0.04629618
Moved 684.6592 178 406.8815 -0.4212963 0.04856341
Stationary 684.69 178 407 -0.4212963 0.04886827
Moved 684.7207 178 410.6254 -0.4212963 0.05819285
Moved 684.7515 178 415.9865 -0.4212963 0.07198172
Moved 684.7822 198.2281 429.1956 -0.3744719 0.1059556
Moved 684.8129 219.3093 446.408 -0.325673 0.1502262
Moved 684.8436 242.9461 460.8589 -0.2709582 0.1873944
Moved 684.8744 265.7118 470.6419 -0.2182597 0.2125562
Moved 684.9052 284.9424 479.3141 -0.1737445 0.2348614
Moved 684.9359 300.104 487.052 -0.138648 0.2547633
Moved 684.9666 311.6054 490.8027 -0.1120246 0.2644101
Moved 684.9974 320.4211 494.4737 -0.09161785 0.273852
Moved 685.0281 329.0125 497.3375 -0.07173041 0.2812177
Moved 685.0588 336.632 500.2107 -0.0540926 0.2886077
Moved 685.0896 341.8091 502.8091 -0.0421086 0.2952907
Moved 685.1204 345 504 -0.03472224 0.2983539
Moved 685.1511 347.4911 504 -0.02895589 0.2983539
Ended 685.1818 349 505 -0.02546296 0.3009258
Began 686.0425 487 488 0.2939814 0.2572016
Stationary 686.0733 487 488 0.2939814 0.2572016
Stationary 686.104 487 488 0.2939814 0.2572016
Stationary 686.1348 487 488 0.2939814 0.2572016
Stationary 686.1655 487 488 0.2939814 0.2572016
Moved 686.1963 476.3814 488 0.2694014 0.2572016
Moved 686.227 473.5106 488 0.262756 0.2572016
Moved 686.2578 468.025 488 0.250058 0.2572016
Moved 686.2885 460.4287 488 0.2324739 0.2572016
Moved 686.3192 452.8244 488 0.2148714 0.2572016
Moved 686.3499 445.3398 488 0.1975457 0.2572016
Moved 686.3807 436.5125 479.8624 0.1771121 0.2362715
Moved 686.4114 425.8747 477.9499 0.1524877 0.2313525
Moved 686.4421 408.5891 473.2945 0.1124747 0.2193787
Moved 686.473 390.8923 466.6681 0.07150988 0.2023356
Moved 686.5037 367.6033 455.8016 0.01760016 0.1743868
Moved 686.5344 337.0904 439.9584 -0.05303155 0.1336377
Moved 686.5651 313.1196 427.1776 -0.1085194 0.1007652
Moved 686.5959 290.6976 414.3488 -0.1604221 0.06776954
Moved 686.6266 271.0587 402.3192 -0.2058827 0.03682925
Moved 686.6573 257.5558 394.1335 -0.2371394 0.01577538
Moved 686.6881 248.67 388.5025 -0.2577083 0.001292405
Moved 686.7189 237.8953 383.2984 -0.2826498 -0.01209259
Moved 686.7496 228.8528 379.4264 -0.3035815 -0.02205154
Moved 686.7804 220.6614 375.5538 -0.3225431 -0.0320119
Moved 686.8111 214.0879 372.088 -0.3377595 -0.04092612
Moved 686.8418 207.341 370.1705 -0.3533774 -0.04585784
Moved 686.8726 202.6087 367.3043 -0.3643318 -0.0532297
Moved 686.9032 199.7966 367 -0.3708414 -0.05401234
Moved 686.9341 198 366 -0.375 -0.05658444
Ended 686.9648 198 366 -0.375 -0.05658444
Began 687.6718 123 401 -0.548611 0.03343609
Stationary 687.7026 123 401 -0.548611 0.03343609
Stationary 687.7333 123 401 -0.548611 0.03343609
Stationary 687.7641 123 401 -0.548611 0.03343609
Moved 687.7949 138.9346 408 -0.5117254 0.05144025
Moved 687.8256 146.5332 411.1777 -0.4941362 0.05961351
Moved 687.8563 154.1473 414.0491 -0.4765108 0.06699876
Moved 687.887 160.6593 415.5531 -0.4614367 0.07086691
Moved 687.9178 166.838 417.419 -0.4471341 0.07566613
Moved 687.9485 172.5831 418 -0.4338354 0.07716041
Moved 687.9793 177.321 419 -0.422868 0.07973251
Moved 688.01 180.4016 419 -0.415737 0.07973251
