watch out for low flying objects
Basic
0.6 0.6
432 388.8
Began 855.7319 288 511 -0.1666667 0.3163579
Stationary 855.7627 288 511 -0.1666667 0.3163579
Stationary 855.7934 288 511 -0.1666667 0.3163579
Stationary 855.8242 288 511 -0.1666667 0.3163579
Stationary 855.8549 288 511 -0.1666667 0.3163579
Moved 855.8856 276.752 497.752 -0.1927038 0.2822838
Moved 855.9164 266.1609 490.0804 -0.2172202 0.2625525
Moved 855.9471 256.6927 481.5195 -0.2391372 0.2405337
Moved 855.9778 246.4175 472.8132 -0.2629224 0.2181409
Moved 856.0086 234.9536 463.2151 -0.2894593 0.1934545
Moved 856.0394 226.5961 453.5961 -0.3088054 0.1687141
Moved 856.0701 222.2495 448.4991 -0.3188668 0.1556046
Moved 856.1008 217.4624 442.9249 -0.329948 0.1412676
Moved 856.1316 213.5897 437.1794 -0.3389127 0.1264903
Moved 856.1623 209.7199 428.1597 -0.3478706 0.1032913
Moved 856.1931 206.2168 419.8674 -0.3559795 0.08196332
Moved 856.2238 202.6938 409.3876 -0.3641348 0.05500919
Moved 856.2545 197.4344 397.3907 -0.3763092 0.02415292
Moved 856.2853 190.8091 385.4121 -0.3916456 -0.006656136
Moved 856.316 186.1203 374.2405 -0.4024994 -0.03538964
Moved 856.3467 182.1875 366.375 -0.411603 -0.05561993
Moved 856.3774 179 359.6498 -0.4189815 -0.0729173
Moved 856.4082 178 356.8618 -0.4212963 -0.080088
Moved 856.439 177 354.9351 -0.4236111 -0.08504357
Stationary 856.4697 177 355 -0.4236111 -0.08487654
Moved 856.5004 198.7988 362.999 -0.3731508 -0.06430316
Moved 856.5311 238.6866 389.1244 -0.280818 0.00289187
Moved 856.562 273.5466 410.6206 -0.2001235 0.05818053
Moved 856.5927 304.2162 435.0135 -0.1291291 0.1209194
Moved 856.6234 324.7572 450.0376 -0.08158047 0.1595617
Moved 856.6542 342.5179 464.5178 -0.04046793 0.196805
Moved 856.6849 356.8746 476.4997 -0.007234713 0.2276227
Moved 856.7156 367.979 485.7343 0.01846989 0.251374
Moved 856.7464 375.2411 492.2411 0.03528038 0.2681097
Moved 856.7771 382.6158 498.6158 0.05235125 0.2845056
Moved 856.8079 386 502.4853 0.06018519 0.2944579
Moved 856.8386 387 504 0.06250004 0.2983539
Moved 856.8693 387 505.5 0.06250004 0.3022119
Stationary 856.9001 387 505.5 0.06250004 0.3022119
Moved 856.9308 382.6102 505 0.05233844 0.3009258
Moved 856.9615 371.4683 489.3619 0.02654692 0.2607045
Moved 856.9922 342.8508 457.8359 -0.03969724 0.179619
Moved 857.023 321.0185 426.4712 -0.09023497 0.09894841
Moved 857.0538 297.9049 391.8574 -0.1437386 0.009921156
Moved 857.0845 276.034 356.0568 -0.1943657 -0.08215868
Moved 857.1153 261.0386 322.885 -0.2290772 -0.1674768
Moved 857.146 247.9862 282.4517 -0.2592912 -0.271472
Moved 857.1767 246.2951 274.0656 -0.2632059 -0.2930413
Moved 857.2075 243 253.7307 -0.2708333 -0.3453429
Moved 857.2382 242 241.9701 -0.2731481 -0.3755914
Moved 857.269 242 230.3737 -0.2731481 -0.4054176
Moved 857.2997 246.985 224.5757 -0.2616088 -0.42033
Moved 857.3304 258.3087 221.4229 -0.2353965 -0.4284392
Moved 857.3611 269.3659 221 -0.2098011 -0.4295268
Moved 857.3919 289.2403 235.5205 -0.1637955 -0.3921798
Moved 857.4227 315.8954 255.8954 -0.1020939 -0.3397753
Moved 857.4534 339.1174 282.3106 -0.04833927 -0.2718349
Moved 857.4841 358.6168 308.2196 -0.003201862 -0.2051965
Moved 857.5149 371.4421 324.6189 0.02648632 -0.1630172
Moved 857.5457 383.9574 339.9574 0.05545695 -0.1235664
Moved 857.5764 392.5597 350.5596 0.07536958 -0.09629732
Moved 857.6071 398.4516 358.4517 0.08900841 -0.07599889
Moved 857.6379 401.2912 362.2912 0.09558151 -0.06612354
Moved 857.6686 405.1603 368.3207 0.1045378 -0.05061553
Moved 857.6993 408.0292 372.0585 0.1111788 -0.04100187
Moved 857.73 410.6734 374.6734 0.1172997 -0.03427631
Ended 857.7608 412.0154 376.0154 0.1204059 -0.03082464
Began 858.3141 512 451 0.3518519 0.162037
Stationary 858.3448 512 451 0.3518519 0.162037
Stationary 858.3757 512 451 0.3518519 0.162037
Stationary 858.4064 512 451 0.3518519 0.162037
Stationary 858.4371 512 451 0.3518519 0.162037
Stationary 858.4678 512 451 0.3518519 0.162037
Moved 858.4985 503.5526 461.861 0.3322976 0.1899715
Moved 858.5293 495.7587 466.1608 0.3142564 0.2010308
Moved 858.5601 488.5353 471.8485 0.2975354 0.2156597
Moved 858.5908 478.0078 477.9961 0.2731662 0.2314714
Moved 858.6215 464.2185 487.0688 0.2412466 0.2548067
Moved 858.6522 450.5016 492.7492 0.2094943 0.2694166
Moved 858.683 436.9613 498.5193 0.1781511 0.2842575
Moved 858.7137 426.5095 504.2452 0.1539572 0.2989846
Moved 858.7445 415.5162 508.9892 0.1285098 0.3111861
Moved 858.7752 404.7796 512.1102 0.1036564 0.3192134
Moved 858.806 395.3061 513.9235 0.08172711 0.3238771
Moved 858.8367 386.6259 515.7914 0.06163399 0.3286815
Moved 858.8674 378.5 517.5 0.04282405 0.3330761
Moved 858.8982 371.4097 519.1968 0.02641141 0.3374402
Moved 858.929 364.8002 520.0666 0.0111117 0.3396774
Moved 858.9597 358.2112 520.9296 -0.004140784 0.3418972
Moved 858.9904 353.3586 521 -0.01537368 0.3420781
Moved 859.0211 346.3907 522 -0.03150299 0.3446501
Moved 859.0519 339.6381 523 -0.04713396 0.3472221
Moved 859.0826 334.9506 524 -0.05798479 0.3497942
Moved 859.1134 330.8116 524 -0.06756569 0.3497942
Moved 859.1441 327.533 524 -0.0751552 0.3497942
Moved 859.1748 325.8311 524 -0.07909462 0.3497942
Moved 859.2056 323.1078 525 -0.08539865 0.3523662
Ended 859.2363 322 525 -0.08796295 0.3523662
Began 859.7282 233 317 -0.2939815 -0.1826131
Stationary 859.759 233 317 -0.2939815 -0.1826131
Stationary 859.7897 233 317 -0.2939815 -0.1826131
