the union will go on strike
Basic
0.6 0.6
432 388.8
Began 1296.912 311 577 -0.113426 0.4861111
Stationary 1296.943 311 577 -0.113426 0.4861111
Moved 1296.974 311 570.9813 -0.113426 0.4706307
Moved 1297.005 311 561.3206 -0.113426 0.4457833
Moved 1297.035 320.4545 553.6365 -0.09154052 0.4260196
Moved 1297.066 323.008 543.968 -0.08562957 0.4011521
Moved 1297.097 325 532.1107 -0.08101851 0.3706549
Moved 1297.128 326 516.4556 -0.07870371 0.3303899
Moved 1297.158 327 506.4313 -0.07638887 0.3046073
Moved 1297.189 329.9326 493.4045 -0.06960049 0.271102
Moved 1297.22 335.4416 476.6363 -0.05684818 0.2279739
Moved 1297.251 343.1199 457.7603 -0.03907437 0.1794244
Moved 1297.281 353.4399 440.6962 -0.01518548 0.1355354
Moved 1297.312 367.2166 424.0968 0.0167051 0.09284148
Moved 1297.343 379.9613 410.0386 0.04620681 0.05668373
Moved 1297.374 394.7391 389.3479 0.08041451 0.003466822
Moved 1297.404 398.4896 379.6945 0.08909623 -0.02136191
Moved 1297.435 401 371.5844 0.09490739 -0.0422214
Moved 1297.466 401 367.5061 0.09490739 -0.05271063
Moved 1297.496 401 366 0.09490739 -0.05658444
Moved 1297.527 379.3482 366 0.04478753 -0.05658444
Moved 1297.558 350.8715 391.9028 -0.02113074 0.01003791
Moved 1297.589 324.1949 412.3128 -0.08288229 0.06253289
Moved 1297.619 301.3684 437.3355 -0.1357212 0.1268917
Moved 1297.65 286.4196 455.5204 -0.1703249 0.1736635
Moved 1297.681 274.0554 469.4308 -0.1989459 0.2094412
Moved 1297.712 264.8998 486.2003 -0.2201393 0.2525728
Moved 1297.742 259.8206 501.1278 -0.2318967 0.2909665
Ended 1297.773 258 509 -0.2361111 0.3112139
Began 1298.388 394 543 0.07870366 0.3986624
Stationary 1298.419 394 543 0.07870366 0.3986624
Moved 1298.449 394 536.4803 0.07870366 0.3818938
Moved 1298.48 394 522.3928 0.07870366 0.3456604
Moved 1298.511 394 508.8534 0.07870366 0.3108368
Moved 1298.541 394 495.6744 0.07870366 0.2769403
Moved 1298.572 394 476.6949 0.07870366 0.2281248
Moved 1298.603 394 460.843 0.07870366 0.1873534
Moved 1298.634 404.5 448 0.1030092 0.1543209
Moved 1298.664 401.9314 428.4802 0.09706338 0.1041155
Moved 1298.695 403.4736 410.6845 0.1006334 0.05834489
Moved 1298.726 404.937 393.4406 0.1040209 0.01399334
Moved 1298.757 405 373.5663 0.1041667 -0.03712383
Moved 1298.787 407.7478 352.2695 0.1105274 -0.09189951
Moved 1298.818 410.2963 332.9259 0.1164266 -0.1416515
Moved 1298.849 413.8467 305.5333 0.1246451 -0.2121056
Moved 1298.88 417.3878 283.2853 0.1328422 -0.2693279
Moved 1298.91 418.6303 271.7393 0.1357184 -0.2990245
Moved 1298.941 419 268.8167 0.1365741 -0.3065414
Moved 1298.972 420 276.3416 0.1388889 -0.2871872
Moved 1299.003 421.2879 310.0309 0.1418702 -0.2005378
Moved 1299.033 421.5597 361.8734 0.1424994 -0.06719816
Moved 1299.064 423.0945 405.4172 0.146052 0.04479742
Moved 1299.095 425.5892 441.07 0.1518267 0.1364969
Moved 1299.125 428.1231 471.4772 0.1576923 0.2147046
Moved 1299.156 428 493.4864 0.1574074 0.2713127
Moved 1299.187 429 508.6097 0.1597223 0.3102101
Moved 1299.218 430.4687 517.406 0.1631219 0.3328343
Moved 1299.248 430 523.0423 0.162037 0.3473309
Moved 1299.279 431 526.2551 0.1643519 0.3555942
Moved 1299.31 435.6134 527.8067 0.1750311 0.359585
Moved 1299.341 443.0797 529.3599 0.1923142 0.36358
Moved 1299.371 455.3596 529 0.2207399 0.3626543
Moved 1299.402 471.4405 529 0.257964 0.3626543
Moved 1299.433 489.8503 529 0.3005794 0.3626543
Moved 1299.464 501.7049 529 0.3280206 0.3626543
Moved 1299.494 508.4633 529 0.3436651 0.3626543
Moved 1299.525 511.9745 529 0.3517929 0.3626543
Moved 1299.556 513 529 0.3541666 0.3626543
Moved 1299.586 513 522 0.3541666 0.3446501
Moved 1299.617 507.8474 512.1356 0.3422394 0.3192786
Moved 1299.648 490.712 492.7911 0.302574 0.2695242
Moved 1299.679 464.8934 458.0364 0.2428088 0.1801347
Moved 1299.709 438.9384 417.9014 0.1827278 0.07690684
Moved 1299.74 414.4672 372.4876 0.1260814 -0.0398982
Moved 1299.771 396.5762 335.3495 0.0846672 -0.135418
Moved 1299.802 384.5721 301.3593 0.05687992 -0.2228413
Moved 1299.832 377.1956 271.8802 0.03980458 -0.2986621
Moved 1299.863 375 245.6394 0.03472219 -0.3661538
Moved 1299.894 375 233.3136 0.03472219 -0.397856
Ended 1299.925 375 225.5419 0.03472219 -0.417845
Began 1300.447 213 535 -0.3402778 0.3780863
Stationary 1300.478 213 535 -0.3402778 0.3780863
Stationary 1300.509 213 535 -0.3402778 0.3780863
Moved 1300.539 227.228 535 -0.3073426 0.3780863
Moved 1300.57 240.6738 525.087 -0.276218 0.3525901
Moved 1300.601 260.2637 521.1473 -0.230871 0.3424569
Moved 1300.631 280.169 513.8116 -0.184794 0.3235896
Moved 1300.662 298.5473 506.194 -0.1422516 0.303997
Moved 1300.693 312.7164 500.5702 -0.1094529 0.2895323
Moved 1300.724 327.6807 495.5277 -0.07481321 0.276563
Moved 1300.754 341.4292 490.4283 -0.04298801 0.2634473
Moved 1300.785 355.9547 486.3484 -0.009364237 0.2529538
Moved 1300.816 367.4 482.92 0.01712958 0.2441357
Moved 1300.847 380.6016 478.6992 0.04768898 0.2332796
Moved 1300.877 391.7867 475.8033 0.07358035 0.2258316
Moved 1300.908 403.7228 474.2554 0.1012103 0.2218503
Moved 1300.939 411.063 472.9895 0.1182014 0.2185943
Moved 1300.969 436.3103 473 0.1766441 0.2186213
Moved 1301 454.5023 485.2512 0.2187554 0.2501315
Moved 1301.031 465.5688 491.2844 0.2443723 0.2656491
Moved 1301.062 470.903 493.903 0.25672 0.2723842
Moved 1301.092 474.4254 495 0.2648737 0.2752057
Moved 1301.123 476.983 496 0.2707939 0.2777777
