the bathroom is good for reading
Basic
0.6 0.6
432 388.8
Began 662.2369 383 509 0.05324075 0.3112139
Stationary 662.2676 383 509 0.05324075 0.3112139
Stationary 662.2983 383 509 0.05324075 0.3112139
Stationary 662.3291 383 509 0.05324075 0.3112139
Stationary 662.3598 383 509 0.05324075 0.3112139
Stationary 662.3904 383 509 0.05324075 0.3112139
Moved 662.4212 383 494.9508 0.05324075 0.2750791
Moved 662.452 388.5537 488.9174 0.06609648 0.259561
Moved 662.4827 393.4641 483.0718 0.07746319 0.2445261
Moved 662.5134 397.2843 476.4315 0.08630613 0.2274471
Moved 662.5441 399.0803 470.759 0.09046376 0.2128575
Moved 662.5748 401 462.5136 0.09490739 0.1916502
Moved 662.6055 402 453.2079 0.09722222 0.1677157
Moved 662.6362 403 444.7348 0.09953707 0.1459228
Moved 662.667 403 436.6877 0.09953707 0.1252256
Moved 662.6977 403 429.0507 0.09953707 0.1055829
Moved 662.7284 403 418.5692 0.09953707 0.07862429
Moved 662.7592 403 409.5378 0.09953707 0.05539549
Moved 662.7899 403 402.4425 0.09953707 0.03714628
Moved 662.8206 404.1133 394.6601 0.1021141 0.01712987
Moved 662.8513 404.9896 387.0311 0.1041426 -0.002492033
Moved 662.882 405.8619 379.4143 0.1061617 -0.02208262
Moved 662.9127 407.4304 370.7087 0.1097927 -0.04447348
Moved 662.9434 407 364.3957 0.1087963 -0.06071083
Moved 662.9741 408 359.8246 0.1111111 -0.07246755
Moved 663.0049 408 358 0.1111111 -0.07716057
Moved 663.0356 408 356.8538 0.1111111 -0.08010872
Moved 663.0663 408 356 0.1111111 -0.0823046
Stationary 663.097 408 356 0.1111111 -0.0823046
Moved 663.1277 400.5208 356 0.09379824 -0.0823046
Moved 663.1585 389.9055 372.7926 0.06922583 -0.03911383
Moved 663.1892 378.6992 386.876 0.04328529 -0.002891007
Moved 663.2199 369.6512 401.248 0.02234081 0.03407396
Moved 663.2507 359.0398 415.9503 -0.002222757 0.0718886
Moved 663.2814 347.5477 431.3153 -0.02882471 0.1114076
Moved 663.3121 338.3686 442.1577 -0.05007262 0.1392943
Moved 663.3428 328.713 454.3827 -0.07242371 0.1707373
Moved 663.3735 319.0311 464.9689 -0.09483551 0.1979653
Moved 663.4042 312.2622 472.7379 -0.1105042 0.2179471
Moved 663.4349 306.572 478.428 -0.123676 0.2325823
Moved 663.4657 302 484 -0.1342593 0.2469135
Moved 663.4964 292.8058 495.1942 -0.1555421 0.2757052
Moved 663.5271 286.07 503.395 -0.1711342 0.2967977
Moved 663.5578 281.9929 505.6691 -0.180572 0.3026467
Moved 663.5885 275 512 -0.1967592 0.31893
Moved 663.6192 265.2723 518.4852 -0.2192771 0.33561
Moved 663.65 259 522 -0.2337963 0.3446501
Moved 663.6807 253.952 525.524 -0.2454814 0.3537139
Moved 663.7114 250 528 -0.2546296 0.3600822
Moved 663.7421 245 530 -0.2662037 0.3652262
Moved 663.7729 242 532 -0.2731481 0.3703703
Moved 663.8036 240.4202 533 -0.2768052 0.3729423
Moved 663.8343 238.5269 534.4731 -0.2811878 0.3767312
Ended 663.8651 239 536 -0.2800926 0.3806583
Began 665.186 401 191 0.09490739 -0.5066873
Stationary 665.2167 401 191 0.09490739 -0.5066873
Stationary 665.2474 401 191 0.09490739 -0.5066873
Stationary 665.2782 401 191 0.09490739 -0.5066873
Stationary 665.3088 401 191 0.09490739 -0.5066873
Moved 665.3397 385.5293 203.1569 0.05909562 -0.4754196
Moved 665.3703 374.9474 210.0394 0.03460039 -0.4577175
Moved 665.401 363.3409 216.7727 0.007733604 -0.4403995
Moved 665.4318 349.4464 224.2769 -0.02442966 -0.4210987
Moved 665.4625 335.7958 233.9032 -0.05602832 -0.3963395
Moved 665.4932 318.8072 244.6816 -0.09535372 -0.3686172
Moved 665.5239 306.9541 253.2844 -0.1227914 -0.3464907
Moved 665.5546 294.2948 262.1642 -0.1520954 -0.3236518
Moved 665.5853 280.3272 274.6728 -0.1844277 -0.2914795
Moved 665.6161 270.121 284.879 -0.2080532 -0.2652291
Moved 665.6468 260.6475 294.1907 -0.2299827 -0.2412791
Moved 665.6776 249.8889 304.8148 -0.2548869 -0.2139536
Moved 665.7082 239.6797 314.7402 -0.2785193 -0.1884254
Moved 665.739 224.7612 329.6865 -0.3130527 -0.1499834
Moved 665.7697 216.0825 337.89 -0.3331423 -0.1288839
Moved 665.8004 207.491 348.3453 -0.3530301 -0.1019925
Moved 665.8311 197.8953 359.8062 -0.3752423 -0.07251496
Moved 665.8618 193.5741 364.426 -0.3852452 -0.06063288
Moved 665.8926 189.11 371.335 -0.3955788 -0.0428626
Moved 665.9233 178.1873 383.719 -0.4208626 -0.0110109
Moved 665.954 174.2282 390.5436 -0.4300273 0.006542088
Moved 665.9847 171.6856 393.3144 -0.4359129 0.01366866
Moved 666.0154 168.8166 397.1833 -0.4425542 0.02361965
Moved 666.0462 168 400.0205 -0.4444444 0.03091694
Moved 666.0769 168 402.6538 -0.4444444 0.0376898
Moved 666.1075 168 409 -0.4444444 0.05401234
Moved 666.1384 184 428 -0.4074074 0.1028806
Moved 666.1691 206 454 -0.3564815 0.169753
Moved 666.1997 224.5604 471.9089 -0.3135175 0.2158151
Moved 666.2305 241.4512 488.9609 -0.2744187 0.2596731
Moved 666.2612 255 501 -0.2430556 0.2906378
Moved 666.2919 272.1513 513.921 -0.2033535 0.3238708
Moved 666.3226 283.578 521.1468 -0.1769028 0.3424556
Moved 666.3534 298.0846 529.2338 -0.1433226 0.3632556
Moved 666.384 311.2259 535.8903 -0.1129031 0.3803762
Moved 666.4149 321.1192 541.0795 -0.09000187 0.3937229
Moved 666.4455 329.7639 545.9213 -0.06999096 0.4061761
Moved 666.4763 336.5869 549.7935 -0.05419701 0.4161354
Moved 666.507 340.3239 551.6619 -0.04554664 0.420941
Moved 666.5377 342.0846 552 -0.04147083 0.4218106
Moved 666.5684 344.0349 553 -0.03695637 0.4243826
Moved 666.5991 345.3745 553 -0.03385539 0.4243826
Stationary 666.6298 345 553 -0.03472224 0.4243826
Moved 666.6606 346 553 -0.03240739 0.4243826
