taking the train is usually faster
Basic
0.6 0.6
432 388.8
Began 825.3474 345 541 -0.03472224 0.3935184
Stationary 825.3781 345 541 -0.03472224 0.3935184
Moved 825.4088 339.1271 541 -0.04831687 0.3935184
Moved 825.4395 329.6292 529.3444 -0.07030288 0.36354
Moved 825.4702 325.0358 528.0358 -0.08093571 0.3601742
Moved 825.5009 315.4605 520.4606 -0.1031006 0.3406907
Moved 825.5317 300.0344 508.4531 -0.1388093 0.3098074
Moved 825.5624 283.4884 495.9203 -0.1771102 0.2775727
Moved 825.5931 267.052 483.21 -0.2151574 0.2448815
Moved 825.6239 249.8412 468.8412 -0.2549973 0.2079247
Moved 825.6545 232.8664 455.7581 -0.2942907 0.174275
Moved 825.6852 218.864 442.864 -0.3267036 0.1411111
Moved 825.716 207.0923 432.7898 -0.3539529 0.1152
Moved 825.7468 195.3206 421.3206 -0.3812024 0.08570097
Moved 825.7775 185.7271 410.9695 -0.4034095 0.0590778
Moved 825.8082 176.3806 402.3807 -0.4250448 0.03698729
Moved 825.8389 167.7667 393.7667 -0.4449844 0.01483203
Moved 825.8696 162.4406 387.4406 -0.4573136 -0.00143891
Moved 825.9004 158.3458 383.1729 -0.4667921 -0.01241543
Moved 825.9311 156 379.3043 -0.4722222 -0.02236566
Moved 825.9619 154 377.4328 -0.4768519 -0.02717917
Moved 825.9926 152.5 375.5 -0.4803241 -0.03215028
Moved 826.0233 151.782 374.782 -0.4819862 -0.03399696
Moved 826.054 152 374 -0.4814814 -0.03600823
Moved 826.0847 152 373 -0.4814814 -0.03858032
Moved 826.1155 152 372 -0.4814814 -0.04115226
Moved 826.1462 164.253 371 -0.4531181 -0.04372435
Moved 826.1769 173.0023 371 -0.4328649 -0.04372435
Moved 826.2076 185.3308 371 -0.4043269 -0.04372435
Moved 826.2383 199.9994 371 -0.3703717 -0.04372435
Moved 826.269 215.644 371 -0.3341574 -0.04372435
Moved 826.2998 231.9738 371 -0.2963569 -0.04372435
Moved 826.3305 256.6332 371 -0.239275 -0.04372435
Moved 826.3613 282.5 371 -0.1793981 -0.04372435
Moved 826.392 308.8374 371 -0.1184319 -0.04372435
Moved 826.4227 344.0305 371 -0.03696655 -0.04372435
Moved 826.4534 373.0331 371 0.03016929 -0.04372435
Moved 826.4841 396.5942 371 0.08470882 -0.04372435
Moved 826.5149 420.7963 368.4671 0.1407322 -0.05023901
Moved 826.5456 448.0649 365.5935 0.2038538 -0.05763003
Moved 826.5764 463.4984 365 0.2395797 -0.05915646
Moved 826.6071 475.3792 364 0.2670816 -0.06172839
Moved 826.6378 484.9981 364 0.2893476 -0.06172839
Moved 826.6685 491.3584 364 0.3040703 -0.06172839
Moved 826.6992 500.2184 364 0.3245796 -0.06172839
Moved 826.73 507.915 364 0.3423959 -0.06172839
Moved 826.7607 513.6686 364 0.3557143 -0.06172839
Moved 826.7914 517.7484 364 0.3651583 -0.06172839
Moved 826.8221 520 372.2405 0.3703704 -0.04053383
Moved 826.8527 523.1007 376.2014 0.3775479 -0.03034631
Moved 826.8836 524 387.828 0.3796296 -0.0004424577
Moved 826.9143 512.1849 405.8613 0.3522799 0.04593955
Moved 826.945 495.6262 438.0695 0.3139495 0.1287794
Moved 826.9758 480.7439 464.0936 0.2794997 0.1957138
Moved 827.0065 471.7432 483.0182 0.2586647 0.2443885
Moved 827.0372 464.1229 502.3799 0.2410252 0.294187
Moved 827.0679 458.0202 518.9393 0.2268987 0.336778
Moved 827.0986 454.6369 538.9049 0.2190668 0.3881298
Moved 827.1293 452.121 552.395 0.2132431 0.4228266
Moved 827.1601 449.2526 565.9897 0.2066032 0.4577923
Moved 827.1909 447 576.225 0.2013889 0.4841178
Moved 827.2215 444.8616 583.4152 0.1964389 0.5026109
Moved 827.2523 444 588.0842 0.1944444 0.5146198
Moved 827.283 442.5 590.5 0.1909722 0.5208333
Moved 827.3137 443 591 0.1921296 0.5221192
Moved 827.3445 441.6807 591 0.1890757 0.5221192
Moved 827.3752 429.0749 567.9647 0.1598955 0.4628721
Moved 827.4058 413.7183 530.324 0.124348 0.3660595
Moved 827.4366 399.2838 489.1353 0.09093473 0.2601215
Moved 827.4673 389.7059 449.3922 0.0687636 0.1579016
Moved 827.4981 388 408.223 0.06481478 0.05201374
Moved 827.5288 386 380.4568 0.06018519 -0.01940119
Moved 827.5595 386 358.7716 0.06018519 -0.07517599
Moved 827.5903 385.4184 339.3472 0.05883893 -0.125136
Moved 827.621 384 318.8298 0.0555556 -0.1779068
Moved 827.6517 380.663 301.315 0.04783104 -0.2229552
Moved 827.6824 381 285.0038 0.04861106 -0.2649078
Moved 827.7132 380 266.0755 0.04629632 -0.3135918
Moved 827.7438 380 250.0862 0.04629632 -0.3547167
Moved 827.7746 387.8463 237.5165 0.06445894 -0.3870461
Moved 827.8054 395.0634 228.9576 0.08116543 -0.4090596
Moved 827.8361 399.7785 224.1107 0.09207984 -0.421526
Moved 827.8668 402 221.2449 0.09722222 -0.4288969
Moved 827.8975 404.2874 220 0.102517 -0.4320988
Moved 827.9282 405.5 219 0.1053241 -0.4346708
Moved 827.9589 405 219 0.1041667 -0.4346708
Moved 827.9897 405 235.5566 0.1041667 -0.3920869
Moved 828.0204 395.3248 264.9683 0.08177032 -0.3164397
Moved 828.0511 391.7522 296.4777 0.07350057 -0.2353968
Moved 828.0818 385.8778 324.0994 0.05990237 -0.1643535
Moved 828.1126 381.6673 347.33 0.05015572 -0.1046041
Moved 828.1433 374.9351 376.7922 0.03457189 -0.02882663
Moved 828.1741 367.8271 402.9095 0.01811842 0.03834756
Moved 828.2048 362.4588 417.0825 0.005691648 0.07480045
Moved 828.2355 356.6578 429.6844 -0.007736633 0.107213
Moved 828.2662 348.3883 445.2646 -0.02687891 0.1472856
Moved 828.2969 340.4464 457.5536 -0.04526287 0.1788929
Moved 828.3277 334.8768 465.1848 -0.0581555 0.1985204
Moved 828.3584 330.0514 470.9486 -0.06932542 0.2133451
Moved 828.3891 327.1806 473.8194 -0.07597073 0.2207288
Moved 828.4199 325 476.6882 -0.08101851 0.2281073
