the five boxing wizards jump quickly
Basic
0.6 0.6
432 388.8
Began 288.3617 383 443 0.05324075 0.1414608
Stationary 288.3924 383 443 0.05324075 0.1414608
Stationary 288.4231 383 443 0.05324075 0.1414608
Stationary 288.4538 383 443 0.05324075 0.1414608
Stationary 288.4846 383 443 0.05324075 0.1414608
Stationary 288.5153 383 443 0.05324075 0.1414608
Stationary 288.546 383 443 0.05324075 0.1414608
Stationary 288.5767 383 443 0.05324075 0.1414608
Stationary 288.6074 383 443 0.05324075 0.1414608
Stationary 288.6381 383 443 0.05324075 0.1414608
Stationary 288.6688 383 443 0.05324075 0.1414608
Stationary 288.6995 383 443 0.05324075 0.1414608
Stationary 288.7302 383 443 0.05324075 0.1414608
Moved 288.761 372.7211 443 0.02944688 0.1414608
Moved 288.7917 371.567 443 0.0267754 0.1414608
Moved 288.8224 371.0618 443 0.02560605 0.1414608
Moved 288.8531 370.5 443 0.02430558 0.1414608
Moved 288.8838 369.7501 443 0.0225697 0.1414608
Moved 288.9145 368.7503 443 0.02025545 0.1414608
Moved 288.9452 368 443 0.01851857 0.1414608
Moved 288.976 366.5 443 0.0150463 0.1414608
Moved 289.0066 365.625 443 0.01302073 0.1414608
Moved 289.0373 363.8386 443 0.008885661 0.1414608
Moved 289.0681 362.9167 443 0.006751617 0.1414608
Stationary 289.0988 362.9167 443 0.006751617 0.1414608
Moved 289.1295 361.8608 443 0.004307429 0.1414608
Moved 289.1602 360.8677 443 0.002008677 0.1414608
Stationary 289.1909 360.8677 443 0.002008677 0.1414608
Moved 289.2216 359.8504 443 -0.0003463527 0.1414608
Moved 289.2523 360 452.6252 0 0.166217
Moved 289.2831 359 454.1686 -0.002314796 0.1701867
Moved 289.3137 358 455.6038 -0.004629641 0.1738779
Moved 289.3445 356.5242 458.4758 -0.008045833 0.1812648
Moved 289.3752 356.0189 461.9623 -0.009215624 0.1902322
Moved 289.4059 355 468.7063 -0.01157408 0.2075778
Moved 289.4366 354 477.1891 -0.01388888 0.2293959
Moved 289.4673 352.7926 485.8297 -0.01668384 0.2516194
Moved 289.498 352 496.4545 -0.01851852 0.2789468
Moved 289.5287 351 505.1027 -0.02083332 0.30119
Moved 289.5594 349.1001 513.6998 -0.02523134 0.323302
Moved 289.5901 348 519.8458 -0.0277778 0.3391095
Moved 289.6208 345.7893 527.8428 -0.03289511 0.359678
Moved 289.6516 343.9451 536.1647 -0.03716404 0.3810819
Moved 289.6823 341.2993 545.8027 -0.04328862 0.405871
Moved 289.713 339 558 -0.04861111 0.4372427
Moved 289.7437 335 568.5844 -0.05787035 0.4644659
Moved 289.7744 333.7722 571.4556 -0.06071254 0.4718508
Moved 289.8051 333 574 -0.06249999 0.478395
Moved 289.8358 332 576.2159 -0.06481484 0.4840944
Moved 289.8665 330.9943 577 -0.06714284 0.4861111
Moved 289.8972 331 578.4174 -0.06712963 0.4897567
Stationary 289.9279 331 578 -0.06712963 0.488683
Moved 289.9586 340.7111 544.1555 -0.04465018 0.4016345
Moved 289.9894 351.1195 510.6415 -0.0205567 0.3154358
Moved 290.0201 357.7366 484.0535 -0.005239298 0.247051
Moved 290.0508 364.4171 458.54 0.01022488 0.1814301
Moved 290.0815 369.1458 439.4899 0.02117068 0.1324329
Moved 290.1122 373.9478 421.3132 0.03228654 0.08568218
Moved 290.1429 376.9379 409.1242 0.03920814 0.05433176
Moved 290.1736 380.3498 397.6008 0.04710605 0.02469345
Moved 290.2044 385.4316 386.1368 0.05886942 -0.004792115
Moved 290.235 387.8356 376.6578 0.06443421 -0.02917239
Moved 290.2657 392.6686 362.6571 0.07562169 -0.06518242
Moved 290.2965 398.5518 349.2411 0.08924018 -0.09968847
Moved 290.3272 402.8519 338.7221 0.09919425 -0.1267436
Moved 290.3579 406.9666 331.1002 0.108719 -0.1463473
Moved 290.3886 411.6542 322.3458 0.1195699 -0.1688637
Moved 290.4194 414.6981 317.6038 0.1266161 -0.1810603
Moved 290.45 416 315.5 0.1296297 -0.1864713
Moved 290.4807 417.4808 316 0.1330573 -0.1851853
Moved 290.5115 417 327.5626 0.1319444 -0.1554462
Moved 290.5421 402.666 350.8345 0.0987639 -0.09559019
Moved 290.5728 388.3016 371.2645 0.06551296 -0.04304391
Moved 290.6036 376.01 386.2375 0.03706018 -0.004533289
Moved 290.6342 364.5042 399.6198 0.01042624 0.02988631
Moved 290.665 353.9982 409.0018 -0.01389305 0.05401705
Moved 290.6957 345 418 -0.03472224 0.07716041
Moved 290.7264 335.8036 427.1964 -0.05601009 0.1008136
Moved 290.7571 327.1828 435.8172 -0.07596567 0.1229865
Moved 290.7878 321.2471 439.8765 -0.08970574 0.1334271
Moved 290.8185 313.8538 445.4308 -0.1068199 0.1477129
Moved 290.8492 305.8166 451.1833 -0.1254245 0.1625086
Moved 290.8799 297.6042 456.9305 -0.1444347 0.1772904
Moved 290.9107 291.9877 461.0123 -0.1574359 0.1877889
Moved 290.9414 283.3942 467.7372 -0.1773282 0.2050853
Moved 290.9721 275.5112 474.2332 -0.1955759 0.221793
Moved 291.0028 268 480 -0.212963 0.2366254
Moved 291.0335 258.5129 492.6088 -0.2349238 0.2690555
Moved 291.0642 256 496.5 -0.2407407 0.2790637
Moved 291.0949 246.5218 510.2172 -0.2626809 0.3143446
Moved 291.1256 241.5788 516.6318 -0.2741231 0.3308429
Moved 291.1564 232.6146 528.5139 -0.2948736 0.3614039
Moved 291.1871 226.9646 538.0532 -0.3079524 0.3859391
Moved 291.2177 222.2439 545.6341 -0.3188798 0.4054374
Moved 291.2485 218.196 550.804 -0.3282499 0.4187343
Moved 291.2792 215 557 -0.3356481 0.4346707
Moved 291.3099 211 563 -0.3449074 0.4501028
Moved 291.3406 207.4731 568.5269 -0.3530715 0.4643179
Moved 291.3714 204.4426 576.6721 -0.3600864 0.4852677
Moved 291.402 202 581 -0.3657407 0.496399
Moved 291.4328 200 586 -0.3703704 0.5092591
Moved 291.4635 199 589 -0.3726852 0.5169753
Moved 291.4942 199 591 -0.3726852 0.5221192
Ended 291.5249 199 592.2168 -0.3726852 0.5252489
