reading week is just about here
Basic
0.6 0.6
432 388.8
Began 1329.215 290 542 -0.162037 0.3960905
Stationary 1329.246 290 542 -0.162037 0.3960905
Stationary 1329.276 290 542 -0.162037 0.3960905
Stationary 1329.307 290 542 -0.162037 0.3960905
Stationary 1329.338 290 542 -0.162037 0.3960905
Stationary 1329.369 290 542 -0.162037 0.3960905
Stationary 1329.399 290 542 -0.162037 0.3960905
Stationary 1329.43 290 542 -0.162037 0.3960905
Stationary 1329.461 290 542 -0.162037 0.3960905
Stationary 1329.491 290 542 -0.162037 0.3960905
Stationary 1329.522 290 542 -0.162037 0.3960905
Stationary 1329.553 290 542 -0.162037 0.3960905
Stationary 1329.583 290 542 -0.162037 0.3960905
Stationary 1329.614 290 542 -0.162037 0.3960905
Stationary 1329.645 290 542 -0.162037 0.3960905
Moved 1329.676 290 536.0946 -0.162037 0.3809016
Moved 1329.706 290 531 -0.162037 0.3677982
Moved 1329.737 290 528.9017 -0.162037 0.3624013
Moved 1329.768 290 525.4848 -0.162037 0.3536131
Moved 1329.799 290 521.772 -0.162037 0.3440636
Moved 1329.829 298.9542 517.0916 -0.1413096 0.3320255
Moved 1329.86 300.679 513.321 -0.1373172 0.3223277
Moved 1329.891 302 509.9299 -0.1342593 0.3136057
Moved 1329.922 303 506.205 -0.1319445 0.304025
Moved 1329.952 304 503.4843 -0.1296296 0.2970273
Moved 1329.983 304 501.5 -0.1296296 0.2919238
Moved 1330.014 304 499.5 -0.1296296 0.2867798
Moved 1330.044 304 498.9819 -0.1296296 0.2854473
Moved 1330.075 304 497.6458 -0.1296296 0.2820106
Moved 1330.106 304 496.8394 -0.1296296 0.2799367
Moved 1330.136 291.2575 497 -0.1591261 0.2803498
Moved 1330.167 289 497 -0.1643519 0.2803498
Moved 1330.198 280.2574 497 -0.1845893 0.2803498
Moved 1330.229 275.0641 497 -0.1966108 0.2803498
Moved 1330.259 270.3193 497 -0.2075942 0.2803498
Moved 1330.29 267.5928 504 -0.2139055 0.2983539
Moved 1330.321 264.7562 504 -0.2204718 0.2983539
Moved 1330.352 263.3425 504 -0.2237443 0.2983539
Moved 1330.382 261.8104 504 -0.2272908 0.2983539
Moved 1330.413 260.6458 504 -0.2299867 0.2983539
Moved 1330.444 259 504 -0.2337963 0.2983539
Moved 1330.474 256.7851 494.2805 -0.2389235 0.2733552
Moved 1330.505 253.1137 485.2842 -0.2474221 0.2502165
Moved 1330.536 248.6693 472.3386 -0.25771 0.2169201
Moved 1330.567 241.8418 456.6835 -0.2735144 0.1766551
Moved 1330.597 236.336 444.672 -0.2862592 0.1457613
Moved 1330.628 230.3445 430.6889 -0.3001285 0.1097965
Moved 1330.659 222.1553 417.5922 -0.3190849 0.07611145
Moved 1330.69 215.7321 408.2201 -0.3339536 0.05200637
Moved 1330.72 208.8041 399.8041 -0.3499906 0.0303602
Moved 1330.751 201.6309 391.6309 -0.3665951 0.00933859
Moved 1330.782 192.6073 383.6073 -0.387483 -0.01129817
Moved 1330.812 190.6862 382.8431 -0.3919301 -0.01326369
Moved 1330.843 187.0642 380 -0.4003143 -0.02057613
Moved 1330.874 184.336 377.336 -0.4066295 -0.02742799
Moved 1330.905 181.6134 375.6134 -0.4129319 -0.03185861
Moved 1330.935 180.6923 376 -0.4150641 -0.03086435
Moved 1330.966 179.9216 374.9216 -0.4168482 -0.03363802
Moved 1330.997 178.9401 375 -0.4191202 -0.03343629
Stationary 1331.027 179 375 -0.4189815 -0.03343629
Stationary 1331.058 179 375 -0.4189815 -0.03343629
Moved 1331.089 186.5227 375 -0.4015677 -0.03343629
Moved 1331.12 194.399 382.7997 -0.3833355 -0.01337538
Moved 1331.15 203 387 -0.3634259 -0.002572055
Moved 1331.181 214.7994 390.9198 -0.3361124 0.007509734
Moved 1331.212 229.1132 396.371 -0.3029788 0.02153035
Moved 1331.242 240.6265 400.4066 -0.2763276 0.0319099
Moved 1331.273 251.4255 402.8564 -0.2513299 0.03821079
Moved 1331.304 262.1442 405.536 -0.2265181 0.04510283
Moved 1331.335 276.56 409.52 -0.1931481 0.05534984
Moved 1331.365 293.9045 416.9523 -0.1529988 0.07446571
Moved 1331.396 310.8208 423.7803 -0.1138406 0.09202752
Moved 1331.427 333.5829 433.2186 -0.06115079 0.1163028
Moved 1331.458 357.8084 444.0038 -0.005073051 0.1440427
Moved 1331.488 379.1815 453.5681 0.04440169 0.168642
Moved 1331.519 397.4778 462.7099 0.08675416 0.192155
Moved 1331.55 415.3265 471.6633 0.1280705 0.2151833
Moved 1331.58 432.6792 481.531 0.168239 0.2405631
Moved 1331.611 447.5524 492.3314 0.2026675 0.2683421
Moved 1331.642 459.9979 503.9979 0.2314766 0.2983485
Moved 1331.673 470.9 512.675 0.2567128 0.320666
Moved 1331.703 478.8548 519.9032 0.2751269 0.3392571
Moved 1331.734 486.5 527.5 0.2928241 0.3587962
Moved 1331.765 494.3124 535.3124 0.3109083 0.3788898
Moved 1331.795 499.6612 543.4918 0.3232898 0.3999274
Moved 1331.826 502.5522 550.1044 0.329982 0.416935
Moved 1331.857 504.9681 552.9681 0.3355743 0.4243005
Moved 1331.888 506 555.6859 0.337963 0.4312907
Moved 1331.918 506 558.4148 0.337963 0.4383096
Moved 1331.949 507 559 0.3402778 0.4398148
Stationary 1331.98 507 559 0.3402778 0.4398148
Moved 1332.01 498.4175 559 0.3204108 0.4398148
Moved 1332.041 485.4182 542.3585 0.2903198 0.3970125
Moved 1332.072 460.4766 509.6876 0.2325848 0.3129824
Moved 1332.103 446.7834 489.4534 0.2008875 0.2609398
Moved 1332.133 438.965 476.7369 0.1827893 0.2282328
Moved 1332.164 428.8765 458.8147 0.1594363 0.1821365
Moved 1332.195 419.9943 439.9885 0.1388756 0.1337152
Moved 1332.226 415.08 424.5199 0.1274999 0.09392969
Moved 1332.256 409.2597 406.4088 0.1140271 0.04734769
Moved 1332.287 405.9138 392.5688 0.1062818 0.01175092
Moved 1332.318 405 379.2213 0.1041667 -0.022579
Moved 1332.349 404 363.7692 0.1018518 -0.06232218
Moved 1332.379 403 348.1219 0.09953707 -0.1025672
