I listen to the tape everyday
Basic
0.6 0.6
432 388.8
Began 1471.642 466 607 0.2453704 0.5632715
Stationary 1471.673 466 607 0.2453704 0.5632715
Stationary 1471.704 466 607 0.2453704 0.5632715
Stationary 1471.734 466 607 0.2453704 0.5632715
Stationary 1471.765 466 607 0.2453704 0.5632715
Stationary 1471.796 466 607 0.2453704 0.5632715
Stationary 1471.827 466 607 0.2453704 0.5632715
Moved 1471.857 456.2775 598.2775 0.2228646 0.5408371
Moved 1471.888 453.8957 595.8956 0.217351 0.5347108
Moved 1471.919 451.3444 594.1722 0.2114453 0.5302781
Moved 1471.949 448.9013 592 0.20579 0.5246913
Moved 1471.98 445.7237 588.7237 0.1984346 0.5162645
Moved 1472.011 441.5705 585.2853 0.1888207 0.5074208
Moved 1472.042 437.1356 580.5677 0.1785545 0.4952873
Moved 1472.072 432.6836 572.5254 0.168249 0.4746023
Moved 1472.103 429.3345 565.6689 0.1604964 0.4569674
Moved 1472.134 426.7107 558.1322 0.154423 0.4375827
Moved 1472.164 425 550.9807 0.150463 0.4191888
Moved 1472.195 423.2699 543.8097 0.1464581 0.400745
Moved 1472.226 423 536.7628 0.1458333 0.3826202
Moved 1472.257 423 526.6724 0.1458333 0.3566675
Moved 1472.287 423 517.3148 0.1458333 0.3325996
Moved 1472.318 432.5723 509.1415 0.1679915 0.3115779
Moved 1472.348 436.7026 501.8922 0.1775523 0.2929324
Moved 1472.379 441.8512 494.7232 0.1894704 0.2744938
Moved 1472.41 447.3049 489.6951 0.2020946 0.2615615
Moved 1472.441 452.754 485.246 0.2147082 0.2501184
Moved 1472.472 458.5346 484 0.2280894 0.2469135
Moved 1472.502 462.9855 482 0.2383924 0.2417695
Moved 1472.533 468.4345 482 0.2510059 0.2417695
Moved 1472.564 473.8799 482 0.2636109 0.2417695
Moved 1472.595 479.6164 482 0.2768898 0.2417695
Ended 1472.625 480 482 0.2777778 0.2417695
Began 1473.486 504 369 0.3333333 -0.04886839
Stationary 1473.516 504 369 0.3333333 -0.04886839
Stationary 1473.547 504 369 0.3333333 -0.04886839
Stationary 1473.578 504 369 0.3333333 -0.04886839
Stationary 1473.608 504 369 0.3333333 -0.04886839
Stationary 1473.639 504 369 0.3333333 -0.04886839
Stationary 1473.67 504 369 0.3333333 -0.04886839
Stationary 1473.701 504 369 0.3333333 -0.04886839
Stationary 1473.731 504 369 0.3333333 -0.04886839
Stationary 1473.762 504 369 0.3333333 -0.04886839
Moved 1473.793 504 378 0.3333333 -0.02572024
Moved 1473.823 504 379 0.3333333 -0.02314815
Moved 1473.854 504 380 0.3333333 -0.02057613
Moved 1473.885 504 381 0.3333333 -0.01800419
Moved 1473.916 511 382.2812 0.349537 -0.01470888
Moved 1473.946 512 382 0.3518519 -0.01543218
Moved 1473.977 514.3976 382 0.357402 -0.01543218
Moved 1474.008 520.2368 382 0.3709185 -0.01543218
Moved 1474.039 525.9562 382 0.384158 -0.01543218
Moved 1474.069 530.5576 382 0.3948093 -0.01543218
Moved 1474.1 534.0059 382 0.4027913 -0.01543218
Moved 1474.131 535.7319 382 0.4067869 -0.01543218
Moved 1474.161 537.091 382 0.4099328 -0.01543218
Moved 1474.192 538.214 382 0.4125324 -0.01543218
Stationary 1474.223 538 382 0.4120371 -0.01543218
Stationary 1474.254 538 382 0.4120371 -0.01543218
Moved 1474.284 522.9425 389.0575 0.3771818 0.002719816
Moved 1474.315 510.359 400.641 0.3480532 0.03251276
Moved 1474.346 498.4733 411.5267 0.3205401 0.06051091
Moved 1474.376 488.4442 422.4078 0.2973244 0.08849724
Moved 1474.407 477.6685 436.8641 0.2723808 0.1256792
Moved 1474.438 469.0213 449.9733 0.2523642 0.1593964
Moved 1474.469 461.8663 460.8449 0.2358016 0.1873583
Moved 1474.499 454.7057 472.1572 0.2192261 0.2164536
Moved 1474.53 448.5526 484.0789 0.204983 0.2471164
Moved 1474.561 442.9182 493.6226 0.1919404 0.2716631
Moved 1474.592 438.4816 501.7776 0.1816704 0.2926379
Moved 1474.622 437 507.528 0.1782407 0.3074278
Moved 1474.653 434.5671 512.8658 0.1726091 0.3211568
Moved 1474.684 432.8584 519.2831 0.1686537 0.3376623
Moved 1474.714 432 521.8632 0.1666667 0.3442982
Moved 1474.745 432 525.2045 0.1666667 0.352892
Moved 1474.776 432 528.9803 0.1666667 0.3626035
Moved 1474.807 432 531.707 0.1666667 0.3696167
Moved 1474.837 432 534.428 0.1666667 0.3766151
Moved 1474.868 430.6987 535.3013 0.1636544 0.3788614
Moved 1474.899 429.8262 536.1738 0.1616347 0.3811054
Moved 1474.93 424.5082 536 0.1493246 0.3806583
Moved 1474.96 414.1436 526.359 0.1253325 0.3558616
Moved 1474.991 399.3436 514.7231 0.09107312 0.3259338
Moved 1475.022 384.3619 499.4683 0.05639334 0.2866982
Moved 1475.052 372.8552 487.8552 0.02975742 0.256829
Moved 1475.083 360.5 474 0.001157423 0.2211934
Moved 1475.114 348.299 464.2392 -0.02708574 0.1960884
Moved 1475.145 338.0047 453.0046 -0.05091514 0.1671929
Moved 1475.175 328.816 444.816 -0.07218525 0.1461316
Moved 1475.206 320.4079 436.408 -0.0916483 0.124506
Moved 1475.237 309.8017 428.3513 -0.1161997 0.1037842
Moved 1475.268 301.191 420.191 -0.1361319 0.0827958
Moved 1475.298 293.0094 414.0063 -0.1550708 0.06688848
Moved 1475.329 286.0688 408.3792 -0.1711371 0.05241558
Moved 1475.36 277.6074 402.7382 -0.1907237 0.0379069
Moved 1475.39 271.3053 398.3053 -0.2053118 0.02650528
Moved 1475.421 263.2686 393.8457 -0.2239153 0.01503517
Moved 1475.452 257.1051 391.0526 -0.2381826 0.007851172
Moved 1475.483 248.9856 388.3286 -0.2569777 0.0008450025
Moved 1475.513 241.8127 385.6042 -0.2735817 -0.006161992
Moved 1475.544 235.7686 383.8843 -0.2875727 -0.01058555
Moved 1475.575 230.3983 383 -0.3000039 -0.01286016
Moved 1475.605 224.4807 383 -0.3137022 -0.01286016
Moved 1475.636 219.0432 383 -0.326289 -0.01286016
Moved 1475.667 214 383 -0.3379629 -0.01286016
