I want to hold your hand
Basic
0.6 0.6
432 388.8
Began 1725.333 468 433 0.25 0.1157406
Stationary 1725.364 468 433 0.25 0.1157406
Stationary 1725.395 468 433 0.25 0.1157406
Moved 1725.426 456.5154 433 0.2234154 0.1157406
Moved 1725.456 445.5954 433 0.1981376 0.1157406
Moved 1725.487 434.3474 433 0.1721004 0.1157406
Moved 1725.518 420.3358 433 0.1396662 0.1157406
Moved 1725.549 408.1711 438.6338 0.1115071 0.1302309
Moved 1725.579 395.6401 441 0.08250029 0.1363167
Moved 1725.61 387.4249 443 0.06348351 0.1414608
Moved 1725.641 382.1671 444.9164 0.05131264 0.14639
Moved 1725.671 378.7821 446 0.04347702 0.1491768
Moved 1725.702 376.983 449.017 0.03931244 0.1569367
Moved 1725.733 377 452.4813 0.03935188 0.1658469
Moved 1725.764 377 457.934 0.03935188 0.1798712
Moved 1725.794 386.7349 463.7349 0.06188641 0.1947914
Moved 1725.825 391.1739 468.5869 0.07216176 0.2072708
Moved 1725.856 396.6163 473.6163 0.08475989 0.2202063
Moved 1725.886 400.0282 476.0282 0.09265789 0.22641
Moved 1725.917 401 477.4201 0.09490739 0.2299899
Moved 1725.948 403.1256 478 0.09982774 0.2314814
Stationary 1725.979 403 478 0.09953707 0.2314814
Moved 1726.009 404.3533 479.3533 0.1026697 0.234962
Moved 1726.04 405.1909 479 0.1046086 0.2340534
Moved 1726.071 406.7126 480 0.108131 0.2366254
Moved 1726.101 409.433 480 0.1144282 0.2366254
Moved 1726.132 412.7552 481.8776 0.1221186 0.2414548
Moved 1726.163 421.2364 485.1182 0.1417509 0.2497895
Moved 1726.194 433.424 489.5696 0.1699629 0.2612386
Moved 1726.224 443.0402 493.0134 0.1922227 0.2700961
Moved 1726.255 449.8682 495.2894 0.2080283 0.27595
Moved 1726.286 457.3425 496 0.2253298 0.2777777
Moved 1726.317 462.6685 497 0.2376587 0.2803498
Moved 1726.347 468.1064 498.5532 0.2502462 0.2843445
Moved 1726.378 472.9206 499.9603 0.2613903 0.2879637
Moved 1726.409 482.7483 502.3741 0.2841395 0.2941721
Moved 1726.439 495.0641 506.8256 0.3126483 0.3056214
Moved 1726.47 506.5459 510.1365 0.3392265 0.314137
Ended 1726.501 511.6445 512.2578 0.3510289 0.319593
Began 1727.269 278 505 -0.1898148 0.3009258
Stationary 1727.299 278 505 -0.1898148 0.3009258
Stationary 1727.33 278 505 -0.1898148 0.3009258
Stationary 1727.361 278 505 -0.1898148 0.3009258
Stationary 1727.392 278 505 -0.1898148 0.3009258
Stationary 1727.422 278 505 -0.1898148 0.3009258
Stationary 1727.453 278 505 -0.1898148 0.3009258
Stationary 1727.484 278 505 -0.1898148 0.3009258
Stationary 1727.515 278 505 -0.1898148 0.3009258
Stationary 1727.545 278 505 -0.1898148 0.3009258
Stationary 1727.576 278 505 -0.1898148 0.3009258
Moved 1727.607 271.9172 505 -0.2038953 0.3009258
Moved 1727.637 266.5901 505 -0.2162265 0.3009258
Moved 1727.668 261.7347 505 -0.2274659 0.3009258
Moved 1727.699 255.2795 505 -0.2424087 0.3009258
Moved 1727.73 250.5 505 -0.2534722 0.3009258
Moved 1727.76 239.6401 505 -0.2786109 0.3009258
Moved 1727.791 233 505 -0.2939815 0.3009258
Moved 1727.822 226 515 -0.3101852 0.326646
Moved 1727.852 219.5785 520.7108 -0.3250497 0.3413342
Moved 1727.883 215.5675 524.4326 -0.3343346 0.3509067
Moved 1727.914 214 526.1594 -0.3379629 0.3553483
Moved 1727.945 212 528 -0.3425926 0.3600822
Moved 1727.975 210.689 529.311 -0.3456272 0.3634541
Moved 1728.006 210 530 -0.3472222 0.3652262
Moved 1728.037 209 531 -0.349537 0.3677982
Moved 1728.067 207.8623 532 -0.3521707 0.3703703
Moved 1728.098 207 534 -0.3541667 0.3755144
Moved 1728.129 204 538.6238 -0.3611111 0.3874067
Moved 1728.16 203 540 -0.3634259 0.3909464
Moved 1728.19 202 541.7358 -0.3657407 0.3954108
Moved 1728.221 202 543 -0.3657407 0.3986624
Stationary 1728.252 202 543 -0.3657407 0.3986624
Moved 1728.282 209.3038 534.6528 -0.3488339 0.3771934
Moved 1728.313 218.8537 519.2195 -0.3267277 0.3374986
Moved 1728.344 225.5428 502.7335 -0.3112435 0.2950965
Moved 1728.375 228.9048 486.5714 -0.3034612 0.2535273
Moved 1728.405 229 473.5 -0.3032407 0.2199073
Moved 1728.436 229 460.9026 -0.3032407 0.1875067
Moved 1728.467 217.7603 447.0137 -0.3292586 0.151784
Moved 1728.497 207.1162 435.1162 -0.3538977 0.1211836
Moved 1728.528 197.2589 423.3235 -0.3767156 0.0908527
Moved 1728.559 188.7327 413.7327 -0.396452 0.06618488
Moved 1728.59 181.2886 403.5773 -0.4136837 0.04006492
Moved 1728.62 174.046 397.046 -0.4304491 0.02326643
Moved 1728.651 170.7035 393.7035 -0.4381863 0.01466943
Moved 1728.682 167.8904 391 -0.4446982 0.007715971
Moved 1728.712 167 388.5 -0.4467593 0.00128589
Moved 1728.743 167 387.4389 -0.4467593 -0.001443227
Moved 1728.774 180.5928 384.1163 -0.4152943 -0.009988973
Moved 1728.805 205.3307 378.0007 -0.3580307 -0.02571836
Moved 1728.835 228.7428 371.2164 -0.3038362 -0.04316793
Moved 1728.866 252.9366 357.4146 -0.2478319 -0.07866612
Moved 1728.897 276.7399 343.3287 -0.1927318 -0.1148955
Moved 1728.927 296.7765 330.9849 -0.1463508 -0.1466439
Moved 1728.958 320.7787 318.1107 -0.09079009 -0.1797566
Moved 1728.989 342 307 -0.04166668 -0.2083334
Moved 1729.02 364.6991 292.5631 0.01087745 -0.2454653
Moved 1729.05 383.0823 281.5506 0.05343129 -0.2737897
Moved 1729.081 393.6328 274.9114 0.0778538 -0.2908657
Moved 1729.112 402.9041 270.0576 0.09931496 -0.3033499
Moved 1729.142 416.799 260.9008 0.1314791 -0.3269013
Moved 1729.173 426.2751 255.1499 0.1534147 -0.3416926
Moved 1729.204 432.446 251.8513 0.1676991 -0.3501767
Moved 1729.235 439.6954 245.7285 0.1844801 -0.3659246
