the back yard of our house
Basic
0.6 0.6
432 388.8
Began 1998.038 322 424 -0.08796295 0.09259254
Stationary 1998.068 322 424 -0.08796295 0.09259254
Stationary 1998.099 322 424 -0.08796295 0.09259254
Stationary 1998.13 322 424 -0.08796295 0.09259254
Stationary 1998.161 322 424 -0.08796295 0.09259254
Stationary 1998.191 322 424 -0.08796295 0.09259254
Stationary 1998.222 322 424 -0.08796295 0.09259254
Stationary 1998.253 322 424 -0.08796295 0.09259254
Stationary 1998.283 322 424 -0.08796295 0.09259254
Stationary 1998.314 322 424 -0.08796295 0.09259254
Stationary 1998.345 322 424 -0.08796295 0.09259254
Stationary 1998.376 322 424 -0.08796295 0.09259254
Moved 1998.406 322 413.9758 -0.08796295 0.06681018
Stationary 1998.437 322 413.9758 -0.08796295 0.06681018
Stationary 1998.468 322 413.9758 -0.08796295 0.06681018
Moved 1998.499 322 415 -0.08796295 0.06944436
Stationary 1998.529 322 415 -0.08796295 0.06944436
Moved 1998.56 322 427.0594 -0.08796295 0.1004613
Moved 1998.591 322 435.241 -0.08796295 0.1215046
Moved 1998.621 327.591 443.3961 -0.07502089 0.1424796
Moved 1998.652 330.5161 452.0643 -0.06824981 0.1647744
Moved 1998.683 332.2336 460.9344 -0.06427403 0.1875885
Moved 1998.714 333.9618 467.8854 -0.06027356 0.2054666
Moved 1998.744 334 474.181 -0.06018519 0.2216588
Moved 1998.775 335 479.2405 -0.05787035 0.2346721
Moved 1998.806 336 486.5298 -0.05555556 0.2534201
Moved 1998.837 336 492 -0.05555556 0.2674896
Moved 1998.867 337 496.9747 -0.05324075 0.2802847
Moved 1998.898 337 501.7028 -0.05324075 0.2924454
Moved 1998.929 337 505.7869 -0.05324075 0.3029498
Moved 1998.959 337 506.851 -0.05324075 0.3056867
Moved 1998.99 337 509.5 -0.05324075 0.3124999
Moved 1999.021 337 511.2526 -0.05324075 0.3170075
Moved 1999.052 337 512.5 -0.05324075 0.3202159
Moved 1999.082 337 516.2088 -0.05324075 0.329755
Moved 1999.113 337 520 -0.05324075 0.3395061
Moved 1999.144 337 521.4944 -0.05324075 0.3433497
Moved 1999.174 337 523 -0.05324075 0.3472221
Stationary 1999.205 337 523 -0.05324075 0.3472221
Stationary 1999.236 337 523 -0.05324075 0.3472221
Moved 1999.267 337 509.1611 -0.05324075 0.3116282
Moved 1999.297 340.1834 491.358 -0.04587173 0.2658385
Moved 1999.328 346.5276 471.3619 -0.03118604 0.2144081
Moved 1999.359 351.2469 454.5187 -0.02026185 0.1710872
Moved 1999.39 356.9515 440.1455 -0.007056743 0.134119
Moved 1999.42 361 427.5 0.002314846 0.1015946
Moved 1999.451 368.9562 404.1314 0.02073199 0.04149017
Moved 1999.482 373.3862 394.2275 0.03098667 0.01601725
Moved 1999.512 375.5554 389.3338 0.03600786 0.003430519
Moved 1999.543 378.8923 381.1615 0.04373223 -0.01758881
Moved 1999.574 383.3127 372.0309 0.05396466 -0.04107291
Moved 1999.605 387.3824 362.4702 0.06338527 -0.0656631
Moved 1999.635 392.216 355.676 0.07457405 -0.08313794
Moved 1999.666 394 352.4822 0.07870366 -0.09135234
Moved 1999.697 395 351 0.08101851 -0.09516476
Moved 1999.728 396.5 349.5 0.08449078 -0.09902263
Moved 1999.758 396 350 0.08333336 -0.09773669
Moved 1999.789 386.7999 360.2224 0.06203681 -0.07144457
Moved 1999.82 375.8013 373.9984 0.03657718 -0.03601255
Moved 1999.85 362.3871 387.6129 0.005525847 -0.0009958243
Moved 1999.881 349.7581 401.2419 -0.02370819 0.03405849
Moved 1999.912 341.9427 409.743 -0.04179925 0.05592342
Moved 1999.943 331.7726 421.6366 -0.06534129 0.08651376
Moved 1999.973 322.5896 430.4104 -0.0865981 0.1090801
Moved 2000.004 314.0494 439.9506 -0.1063672 0.1336178
Moved 2000.035 303.933 452.067 -0.1297847 0.1647814
Moved 2000.065 295.0471 462.9371 -0.1503538 0.1927395
Moved 2000.096 284.8734 473.8355 -0.1739043 0.2207703
Moved 2000.127 277.812 482.188 -0.1902501 0.2422531
Moved 2000.158 269.5869 492.2175 -0.2092897 0.2680491
Moved 2000.188 261.4091 500.5909 -0.2282198 0.2895857
Moved 2000.219 253.2404 507.5063 -0.2471286 0.3073722
Moved 2000.25 249.3389 512.6611 -0.2561599 0.3206302
Moved 2000.281 244.2175 517.7825 -0.268015 0.3338026
Moved 2000.311 240.7724 521.2276 -0.2759899 0.3426635
Moved 2000.342 238.1612 524.8387 -0.2820342 0.3519515
Moved 2000.373 235.7669 529.4662 -0.2875766 0.3638534
Moved 2000.403 233.0426 533.9147 -0.2938828 0.375295
Moved 2000.434 231 538.3641 -0.2986111 0.3867388
Ended 2000.465 231 545.2488 -0.2986111 0.4044464
Began 2001.171 415 145 0.1273148 -0.625
Stationary 2001.202 415 145 0.1273148 -0.625
Stationary 2001.233 415 145 0.1273148 -0.625
Stationary 2001.264 415 145 0.1273148 -0.625
Stationary 2001.294 415 145 0.1273148 -0.625
Stationary 2001.325 415 145 0.1273148 -0.625
Stationary 2001.356 415 145 0.1273148 -0.625
Moved 2001.386 405.7682 155.2318 0.1059448 -0.5986837
Moved 2001.417 404.3925 157.6075 0.1027605 -0.5925732
Moved 2001.448 402.6728 160.3271 0.0987797 -0.5855783
Moved 2001.479 400.9447 164.1106 0.09477933 -0.5758472
Moved 2001.509 398.819 168.7715 0.08985876 -0.5638594
Moved 2001.54 394.8145 175.371 0.08058925 -0.5468854
Moved 2001.571 390.1754 183.7369 0.06985039 -0.525368
Moved 2001.601 385.7344 191.8983 0.05957048 -0.5043768
Moved 2001.632 381.9757 200.0486 0.05086958 -0.4834142
Moved 2001.663 377.2507 209.2479 0.03993214 -0.4597533
Moved 2001.694 373.527 216.9459 0.0313126 -0.439954
Moved 2001.724 370.7996 226.6013 0.02499898 -0.41512
Moved 2001.755 368.3646 234.9061 0.01936257 -0.39376
Moved 2001.786 367 244.4198 0.01620372 -0.3692907
Moved 2001.817 365 252.2185 0.01157403 -0.3492322
Moved 2001.847 363.1929 258.6143 0.007390877 -0.3327822
