the five boxing wizards jump quickly
Basic
0.6 0.6
432 388.8
Began 273.2095 400 442 0.09259263 0.1388888
Stationary 273.2402 400 442 0.09259263 0.1388888
Stationary 273.2709 400 442 0.09259263 0.1388888
Stationary 273.3016 400 442 0.09259263 0.1388888
Stationary 273.3323 400 442 0.09259263 0.1388888
Stationary 273.3631 400 442 0.09259263 0.1388888
Stationary 273.3938 400 442 0.09259263 0.1388888
Stationary 273.4245 400 442 0.09259263 0.1388888
Moved 273.4553 389.5435 442 0.06838759 0.1388888
Moved 273.486 387.5 442 0.06365737 0.1388888
Moved 273.5167 384.794 442 0.05739361 0.1388888
Moved 273.5474 382.2588 442 0.05152504 0.1388888
Moved 273.578 377.7603 437.0413 0.04111191 0.126135
Moved 273.6089 373.0136 429.0137 0.03012419 0.1054878
Moved 273.6396 367.2591 419.5182 0.01680344 0.08106526
Moved 273.6703 362.2521 410.5042 0.005213221 0.0578812
Moved 273.701 357.4842 398.7263 -0.005823622 0.02758811
Moved 273.7318 354.3655 390.0965 -0.01304289 0.005392184
Moved 273.7625 351.871 380.484 -0.01881714 -0.01933133
Moved 273.7932 351 366.6953 -0.02083332 -0.05479624
Moved 273.824 351 352.2601 -0.02083332 -0.09192376
Moved 273.8546 351 342.5814 -0.02083332 -0.1168175
Moved 273.8854 361.6099 335.0213 0.003726582 -0.1362622
Moved 273.9161 365.3805 326.4293 0.01245489 -0.158361
Moved 273.9468 373.235 317.7651 0.03063649 -0.1806455
Moved 273.9775 380.8897 311.5552 0.04835586 -0.1966173
Moved 274.0083 389.5424 304.9717 0.0683851 -0.2135501
Moved 274.0389 395.7967 300.6017 0.08286268 -0.2247899
Moved 274.0697 399.5339 298.733 0.09151369 -0.2295962
Moved 274.1004 400.7975 297 0.0944386 -0.2340535
Moved 274.1311 402 296 0.09722222 -0.2366256
Stationary 274.1619 402 296 0.09722222 -0.2366256
Moved 274.1926 385.5202 314.8931 0.05907466 -0.1880322
Moved 274.2233 361.5262 345.3422 0.003532867 -0.1097166
Moved 274.2541 337.3957 377.8068 -0.05232473 -0.02621717
Moved 274.2848 321.6088 403.4259 -0.08886854 0.03967563
Moved 274.3155 309.1578 424.5159 -0.1176903 0.09391945
Moved 274.3462 294.5563 448.7764 -0.15149 0.1563179
Moved 274.377 281.141 467.8026 -0.1825439 0.2052535
Moved 274.4077 269.6185 486.9175 -0.2092164 0.2544175
Moved 274.4384 261.4994 499.8757 -0.2280106 0.2877461
Moved 274.4691 255.5297 512.9406 -0.2418294 0.3213491
Moved 274.4998 250.7882 521.2118 -0.2528051 0.3426228
Moved 274.5306 248.2494 526.5012 -0.258682 0.3562274
Moved 274.5613 247 530.5486 -0.2615741 0.3666373
Moved 274.592 246 534.8495 -0.2638889 0.3776992
Ended 274.6227 245 539 -0.2662037 0.3883744
Began 276.0667 397 347 0.0856481 -0.1054527
Stationary 276.0974 397 347 0.0856481 -0.1054527
Stationary 276.1282 397 347 0.0856481 -0.1054527
Stationary 276.1589 397 347 0.0856481 -0.1054527
Stationary 276.1896 397 347 0.0856481 -0.1054527
Stationary 276.2203 397 347 0.0856481 -0.1054527
Stationary 276.251 397 347 0.0856481 -0.1054527
Stationary 276.2817 397 347 0.0856481 -0.1054527
Moved 276.3124 422.0511 392.3378 0.1436368 0.01115669
Moved 276.3432 457.6841 442.5261 0.2261204 0.1402418
Moved 276.3738 482.8077 478.956 0.284277 0.2339403
Moved 276.4047 507.717 517.5754 0.3419374 0.3332701
Moved 276.4353 525.469 544.2035 0.3830301 0.4017578
Moved 276.4661 535.3281 559.4374 0.405852 0.4409396
Moved 276.4968 540.4498 568.1747 0.4177079 0.4634123
Moved 276.5275 543.5 574 0.4247685 0.478395
Moved 276.5583 545 577.3829 0.4282407 0.4870959
Moved 276.589 546 580.2433 0.4305556 0.4944528
Moved 276.6197 546 582.8141 0.4305556 0.501065
Moved 276.6505 546 584.6887 0.4305556 0.5058866
Moved 276.6811 546 586.2836 0.4305556 0.5099887
Moved 276.7119 546 587.1452 0.4305556 0.5122046
Stationary 276.7426 546 587.1452 0.4305556 0.5122046
Moved 276.7733 531.5947 587 0.3972099 0.5118312
Moved 276.804 496.7755 549.5845 0.3166099 0.415598
Moved 276.8347 462.9182 503.0507 0.2382365 0.2959123
Moved 276.8655 437.0857 454.2857 0.1784391 0.1704878
Moved 276.8962 421.0676 413.1894 0.1413603 0.06478745
Moved 276.9269 411.413 381.6519 0.1190116 -0.01632745
Moved 276.9577 402.3682 351.6965 0.09807448 -0.09337319
Moved 276.9883 397.4519 326.5334 0.08669417 -0.1580931
Moved 277.0191 391.7103 301.8411 0.07340342 -0.2216021
Moved 277.0498 389.2461 285.4764 0.06769925 -0.2636923
Moved 277.0806 385.4607 267.764 0.05893668 -0.309249
Moved 277.1113 382.5872 252.9362 0.05228519 -0.3473864
Moved 277.142 378.696 240.7842 0.04327784 -0.3786415
Moved 277.1727 376.1318 231.5272 0.03734211 -0.4024506
Moved 277.2034 375 224.5188 0.03472219 -0.4204763
Moved 277.2342 373.3862 219.3862 0.03098647 -0.4336774
Moved 277.2649 373 215.5192 0.0300926 -0.4436235
Moved 277.2956 372 212.9814 0.02777775 -0.4501507
Moved 277.3264 371 211.0988 0.025463 -0.454993
Moved 277.3571 364.9264 211 0.01140376 -0.455247
Moved 277.3878 350.61 227.78 -0.02173622 -0.4120884
Moved 277.4185 329.9684 259.7684 -0.06951749 -0.3298138
Moved 277.4492 312.8818 298.3073 -0.1090698 -0.2306912
Moved 277.48 298.3774 337.7736 -0.1426449 -0.1291833
Moved 277.5107 289.2129 377.1483 -0.163859 -0.02791071
Moved 277.5414 278.7441 408.7678 -0.1880924 0.05341502
Moved 277.5721 268.4065 436.3848 -0.2120219 0.1244464
Moved 277.6029 262.6502 457.2662 -0.2253468 0.1781536
Moved 277.6335 255.2451 475.5099 -0.2424883 0.2250767
Moved 277.6643 250.547 489.8121 -0.2533634 0.2618623
Moved 277.695 244.5 507.5 -0.2673611 0.3073559
Moved 277.7257 244.1211 511.7578 -0.2682382 0.3183071
