a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 748.6551 150 404 -0.4861112 0.04115226
Stationary 748.6858 150 404 -0.4861112 0.04115226
Stationary 748.7165 150 404 -0.4861112 0.04115226
Stationary 748.7473 150 404 -0.4861112 0.04115226
Ended 748.778 150 404 -0.4861112 0.04115226
Began 750.4683 382 260 0.05092591 -0.3292181
Stationary 750.4991 382 260 0.05092591 -0.3292181
Stationary 750.5298 382 260 0.05092591 -0.3292181
Stationary 750.5605 382 260 0.05092591 -0.3292181
Stationary 750.5912 382 260 0.05092591 -0.3292181
Moved 750.622 372.9865 274.164 0.03006141 -0.292788
Moved 750.6528 367.6527 289.2156 0.0177145 -0.2540752
Moved 750.6835 358.7068 307.1153 -0.002993544 -0.2080369
Moved 750.7142 349.8831 331.9091 -0.02341872 -0.1442667
Moved 750.7449 339.2798 358.1607 -0.04796351 -0.07674723
Moved 750.7756 335.1121 369.3677 -0.05761092 -0.04792256
Moved 750.8064 328.2585 385.2247 -0.07347579 -0.007138232
Moved 750.8372 322.4861 399.0277 -0.0868376 0.02836341
Moved 750.8679 315.7542 412.1146 -0.1024209 0.06202297
Moved 750.8986 310.0074 426.9778 -0.1157237 0.1002516
Moved 750.9293 301.8983 441.2034 -0.1344947 0.13684
Moved 750.96 294.1648 455.6703 -0.1523963 0.1740492
Moved 750.9908 284.66 468.9 -0.1743981 0.2080761
Moved 751.0215 276.3843 481.0262 -0.1935549 0.2392648
Moved 751.0523 266.5033 497.9933 -0.2164275 0.2829047
Moved 751.083 257.9215 512.1309 -0.2362929 0.3192665
Moved 751.1138 252.2049 522.6926 -0.2495257 0.3464316
Moved 751.1445 249.5522 530.3434 -0.2556662 0.3661096
Moved 751.1752 246.6742 536.6516 -0.2623282 0.3823341
Moved 751.2059 246 541.1944 -0.2638889 0.3940184
Moved 751.2367 246 543.7955 -0.2638889 0.4007086
Moved 751.2674 245 546.5988 -0.2662037 0.4079187
Moved 751.2982 245 549.4709 -0.2662037 0.4153058
Moved 751.3289 245 553.3498 -0.2662037 0.4252823
Moved 751.3596 245 555.9191 -0.2662037 0.4318906
Moved 751.3903 245 557.3495 -0.2662037 0.4355695
Moved 751.4211 245 559.6613 -0.2662037 0.4415155
Moved 751.4518 245 561.0912 -0.2662037 0.4451933
Moved 751.4825 253.509 563 -0.246507 0.4501028
Moved 751.5133 256.9405 564.9405 -0.2385638 0.4550938
Moved 751.544 261.6122 566 -0.2277495 0.4578188
Moved 751.5748 265.4578 567 -0.2188477 0.4603909
Moved 751.6055 269.1899 567 -0.2102086 0.4603909
Moved 751.6362 274.123 567 -0.1987892 0.4603909
Moved 751.667 279.8696 567 -0.1854871 0.4603909
Moved 751.6976 286.9339 567 -0.1691345 0.4603909
Moved 751.7284 297.4312 567 -0.1448352 0.4603909
Moved 751.7592 307.9178 555.5411 -0.1205606 0.4309183
Moved 751.7899 317.2989 551.3505 -0.09884511 0.4201401
Moved 751.8206 327.9015 546.7324 -0.0743021 0.4082621
Moved 751.8513 336.5 542 -0.05439813 0.3960905
Moved 751.8821 344.1496 539.6168 -0.03669073 0.3899609
Moved 751.9128 350.8643 537 -0.02114733 0.3832304
Moved 751.9435 357.6397 534.1801 -0.00546356 0.3759776
Moved 751.9743 363.3842 532 0.007833739 0.3703703
Moved 752.005 370.5 528 0.02430558 0.3600822
Moved 752.0358 381.4118 523.7941 0.04956424 0.3492647
Moved 752.0665 389.8994 519.0336 0.06921142 0.3370205
Moved 752.0972 395.6985 514.3015 0.08263528 0.3248495
Moved 752.1279 400.5193 510.4807 0.09379477 0.3150223
Moved 752.1587 404.2299 507.7701 0.1023841 0.3080505
Moved 752.1894 407.1001 507 0.1090281 0.3060699
Moved 752.2202 409 505.0281 0.113426 0.3009981
Ended 752.2509 409 505 0.113426 0.3009258
Began 754.3101 224 473 -0.3148148 0.2186213
Stationary 754.3408 224 473 -0.3148148 0.2186213
Stationary 754.3715 224 473 -0.3148148 0.2186213
Stationary 754.4022 224 473 -0.3148148 0.2186213
Stationary 754.4329 224 473 -0.3148148 0.2186213
Stationary 754.4637 224 473 -0.3148148 0.2186213
Stationary 754.4944 224 473 -0.3148148 0.2186213
Stationary 754.5252 224 473 -0.3148148 0.2186213
Stationary 754.5558 224 473 -0.3148148 0.2186213
Stationary 754.5866 224 473 -0.3148148 0.2186213
Stationary 754.6174 224 473 -0.3148148 0.2186213
Stationary 754.6481 224 473 -0.3148148 0.2186213
Stationary 754.6788 224 473 -0.3148148 0.2186213
Moved 754.7095 224 483.1127 -0.3148148 0.2446314
Moved 754.7403 224 486.9835 -0.3148148 0.2545872
Moved 754.7711 231.6389 492.6389 -0.2971323 0.2691328
Moved 754.8018 234.3866 499.1598 -0.2907718 0.2859047
Moved 754.8325 236.256 503.256 -0.2864444 0.2964403
Moved 754.8632 237 508.124 -0.2847222 0.3089608
Moved 754.894 237 509.5 -0.2847222 0.3124999
Moved 754.9246 237 510.0349 -0.2847222 0.3138756
Stationary 754.9554 237 510 -0.2847222 0.3137859
Moved 754.9861 225.3861 510 -0.3116063 0.3137859
Moved 755.0169 220.4727 504.1029 -0.3229799 0.2986185
Moved 755.0476 211.8538 497.5692 -0.3429309 0.2818137
Moved 755.0784 203.2283 491.8188 -0.3628975 0.2670237
Moved 755.1091 196.859 487.859 -0.3776413 0.2568389
Moved 755.1398 191.0446 484.0223 -0.3911005 0.2469709
Moved 755.1705 187.3086 481.1543 -0.3997485 0.2395943
Moved 755.2013 185.2881 479.2881 -0.4044257 0.2347944
Moved 755.232 182.7515 477.7515 -0.4102974 0.2308424
Moved 755.2628 181.6245 476.6245 -0.4129064 0.2279435
Moved 755.2934 180.7229 475.7229 -0.4149933 0.2256246
Moved 755.3242 180 476 -0.4166667 0.2263374
Moved 755.355 179 474.8071 -0.4189815 0.2232691
Moved 755.3857 177.6266 475 -0.4221607 0.2237653
Moved 755.4164 176.8704 475 -0.4239111 0.2237653
Stationary 755.4471 176.8704 475 -0.4239111 0.2237653
Moved 755.4778 176 474 -0.4259259 0.2211934
