just in time for the party
Basic
0.6 0.6
432 388.8
Began 725.9095 438 403 0.1805556 0.03858017
Stationary 725.9402 438 403 0.1805556 0.03858017
Moved 725.9709 425.3201 433.1997 0.151204 0.1162543
Moved 726.0016 415.8048 464.7198 0.1291778 0.1973244
Moved 726.0323 402.8285 503.4288 0.09914001 0.2968846
Moved 726.063 394.1965 532.6783 0.07915854 0.372115
Moved 726.0938 387.9978 554.0051 0.06480982 0.4269677
Moved 726.1245 382.1706 565.3823 0.05132079 0.4562301
Moved 726.1552 373.7057 574.2943 0.03172616 0.4791518
Moved 726.186 363.7189 579.6406 0.008608599 0.4929026
Moved 726.2167 354.8499 582.43 -0.01192148 0.5000771
Moved 726.2474 341.3071 583 -0.04327054 0.5015431
Moved 726.2781 327.6213 583 -0.0749506 0.5015431
Moved 726.3088 304.0827 567.691 -0.1294382 0.462168
Moved 726.3395 272.827 548.0616 -0.2017894 0.411681
Moved 726.3702 248.5 519 -0.2581019 0.3369341
Moved 726.4009 228.3425 489.3954 -0.3047627 0.2607905
Moved 726.4317 219.0741 463.2965 -0.3262173 0.1936638
Moved 726.4624 214 447.5 -0.3379629 0.1530349
Moved 726.4932 211.8722 430.3611 -0.3428884 0.1089535
Moved 726.5238 212 412.0391 -0.3425926 0.0618289
Moved 726.5546 212 393.9649 -0.3425926 0.01534179
Moved 726.5852 212 374.1126 -0.3425926 -0.03571859
Moved 726.616 224.1245 363.8755 -0.3145266 -0.06204864
Moved 726.6467 233.7201 360.57 -0.2923146 -0.07055047
Moved 726.6774 264.2795 370.3026 -0.2215751 -0.04551805
Moved 726.7081 303.614 398.9434 -0.1305232 0.02814658
Moved 726.7388 344.3368 433.0801 -0.03625751 0.1159466
Moved 726.7695 391.6446 465.7512 0.07325133 0.1999774
Moved 726.8002 434.8394 494.3254 0.1732395 0.2734705
Moved 726.8309 467.3362 515.7794 0.2484633 0.3286507
Moved 726.8617 486.1389 528.3111 0.2919882 0.3608823
Moved 726.8924 493 534 0.3078704 0.3755144
Moved 726.923 496.2573 535.2573 0.3154104 0.3787482
Ended 726.9539 497 536 0.3171296 0.3806583
Began 727.2303 474 574 0.2638889 0.478395
Stationary 727.261 474 574 0.2638889 0.478395
Moved 727.2917 451.2773 520.926 0.2112899 0.3418878
Moved 727.3224 416.8655 424.813 0.1316332 0.09468357
Moved 727.3531 403.8546 341.2639 0.1015152 -0.120206
Moved 727.3839 405 297.1273 0.1041667 -0.2337262
Moved 727.4146 405 276.1088 0.1041667 -0.2877861
Moved 727.4453 405 264.3837 0.1041667 -0.3179433
Moved 727.476 412 259.1073 0.1203704 -0.3315142
Moved 727.5067 412.6711 255.3289 0.121924 -0.3412323
Moved 727.5374 413 252.608 0.1226852 -0.3482304
Moved 727.5681 414 250.8783 0.125 -0.3526793
Moved 727.5988 414 248.5032 0.125 -0.3587881
Moved 727.6296 414 245.7771 0.125 -0.3657997
Moved 727.6603 414 243.0588 0.125 -0.3727911
Ended 727.691 414 242 0.125 -0.3755144
Began 728.0903 307 599 -0.1226852 0.5426954
Stationary 728.121 307 599 -0.1226852 0.5426954
Stationary 728.1517 307 599 -0.1226852 0.5426954
Stationary 728.1824 307 599 -0.1226852 0.5426954
Stationary 728.2131 307 599 -0.1226852 0.5426954
Moved 728.2439 295.3502 599 -0.1496524 0.5426954
Moved 728.2746 290.7995 599 -0.1601864 0.5426954
Moved 728.3053 288 599 -0.1666667 0.5426954
Moved 728.336 286.9264 599 -0.1691518 0.5426954
Moved 728.3667 287 589.9395 -0.1689815 0.5193916
Moved 728.3973 287 585.4267 -0.1689815 0.5077847
Moved 728.4282 303.8872 576.4086 -0.1298908 0.4845899
Moved 728.4589 329.3854 564.3073 -0.07086719 0.4534653
Moved 728.4895 360.7156 554.0711 0.001656612 0.4271376
Moved 728.5203 387.2642 547.2746 0.06311159 0.4096568
Moved 728.551 406.6393 542.5246 0.1079614 0.3974397
Moved 728.5817 428.6192 535.6428 0.1588407 0.3797397
Moved 728.6124 455.9913 521.9138 0.222202 0.3444285
Moved 728.6431 486.1732 505.4594 0.2920675 0.3021074
Moved 728.6738 507.9002 493.7111 0.3423615 0.2718905
Moved 728.7045 530.2844 480.842 0.3941767 0.238791
Moved 728.7353 546.7828 468.2172 0.4323677 0.2063198
Moved 728.766 556.4443 457.0743 0.4547321 0.1776601
Moved 728.7967 556 426.5092 0.4537037 0.09904613
Moved 728.8275 509.6764 347.5247 0.3464732 -0.1041033
Moved 728.8582 478.3993 292.4487 0.2740724 -0.2457595
Moved 728.8889 468.547 260.641 0.2512662 -0.3275695
Moved 728.9196 464.51 233.5898 0.2419212 -0.3971455
Moved 728.9503 461.7901 221.1605 0.2356253 -0.4291139
Moved 728.981 459.0686 208.2745 0.2293255 -0.4622568
Moved 729.0117 455.7415 204.7416 0.221624 -0.4713437
Moved 729.0424 416.9902 241.0819 0.1319217 -0.3778757
Moved 729.0731 379.0434 301.1176 0.0440819 -0.2234631
Moved 729.1038 360 341 0 -0.1208849
Moved 729.1346 340.6569 379.4672 -0.0447757 -0.02194644
Moved 729.1653 330.1413 400.7175 -0.06911744 0.0327095
Moved 729.196 320.6253 419.7494 -0.09114514 0.08165983
Moved 729.2267 312.7863 439.4988 -0.1092911 0.1324557
Moved 729.2574 303.03 457.9401 -0.1318751 0.1798869
Moved 729.2881 289.7715 476.8427 -0.1625659 0.2285047
Moved 729.3188 283.5 488.5 -0.1770833 0.2584876
Moved 729.3495 269 510 -0.2106481 0.3137859
Moved 729.3803 265.1061 515.8939 -0.2196618 0.3289452
Moved 729.411 261.208 519.7919 -0.2286851 0.338971
Moved 729.4417 258.5 521 -0.2349537 0.3420781
Ended 729.4724 258.5 521 -0.2349537 0.3420781
Began 729.8102 382 320 0.05092591 -0.1748972
Stationary 729.841 382 320 0.05092591 -0.1748972
Stationary 729.8717 382 320 0.05092591 -0.1748972
Moved 729.9024 395.1201 339.8003 0.08129656 -0.1239705
Moved 729.9331 409.0336 378.9286 0.1135037 -0.02333182
Moved 729.9639 426.5732 421.1464 0.1541046 0.0852531
