the union will go on strike
Basic
0.6 0.6
432 388.8
Began 1243.645 307 582 -0.1226852 0.4989711
Stationary 1243.676 307 582 -0.1226852 0.4989711
Stationary 1243.707 307 582 -0.1226852 0.4989711
Moved 1243.737 291.0827 567.0826 -0.1595308 0.4606034
Moved 1243.768 280.4908 558.868 -0.1840492 0.4394753
Moved 1243.799 274.4917 554.4917 -0.1979359 0.4282193
Moved 1243.829 268.7387 549.7387 -0.211253 0.4159945
Moved 1243.86 265.2987 546.2987 -0.2192159 0.4071468
Moved 1243.891 262.4236 543.4236 -0.2258713 0.3997519
Moved 1243.922 259.626 540.626 -0.2323471 0.3925566
Moved 1243.952 260 539.8383 -0.2314815 0.3905306
Moved 1243.983 258.6858 538.6859 -0.2345236 0.3875664
Moved 1244.014 259 538 -0.2337963 0.3858024
Moved 1244.044 259 536.8264 -0.2337963 0.3827837
Moved 1244.075 270.1629 534.9185 -0.2079562 0.3778767
Moved 1244.106 278.9686 535 -0.1875727 0.3780863
Moved 1244.137 288.5849 535 -0.1653126 0.3780863
Moved 1244.167 298.6487 535 -0.1420168 0.3780863
Moved 1244.198 300.2892 535 -0.1382196 0.3780863
Moved 1244.229 306.3265 535 -0.1242441 0.3780863
Moved 1244.259 311.071 532.9645 -0.1132615 0.3728509
Moved 1244.29 315.3418 530.6582 -0.1033754 0.3669191
Moved 1244.321 325.28 521.72 -0.08037031 0.3439299
Moved 1244.352 334.9086 509.4857 -0.05808199 0.3124631
Moved 1244.382 351.0728 484.0332 -0.02066483 0.2469989
Moved 1244.413 369.4799 445.7881 0.02194425 0.148632
Moved 1244.444 387.1636 410.3054 0.06287882 0.05736983
Moved 1244.474 398.4951 389.0098 0.08910905 0.002597134
Moved 1244.505 407.1091 372.7818 0.1090489 -0.03914154
Moved 1244.536 407.9065 364.3738 0.1108947 -0.06076687
Moved 1244.567 401.7888 356.6708 0.09673347 -0.08057912
Moved 1244.597 375.5203 352 0.0359266 -0.09259266
Moved 1244.628 345.5685 352 -0.03340631 -0.09259266
Moved 1244.659 311.7599 367.0961 -0.1116669 -0.05376533
Moved 1244.689 288.6243 375.6433 -0.1652216 -0.03178168
Moved 1244.72 264.5075 391.5771 -0.2210475 0.009200249
Moved 1244.751 256.0443 399.9557 -0.2406383 0.03075034
Moved 1244.782 238.6152 417.187 -0.2809832 0.07506927
Moved 1244.812 222.6204 437.4555 -0.3180084 0.1272004
Moved 1244.843 212.1817 454.2275 -0.342172 0.1703381
Moved 1244.874 204.0608 467.8784 -0.3609704 0.2054485
Moved 1244.904 198.3342 479.3317 -0.3742265 0.2349064
Moved 1244.935 195.7985 487.4031 -0.3800961 0.2556663
Moved 1244.966 195 492.7749 -0.3819444 0.2694826
Moved 1244.997 194 497.65 -0.3842593 0.2820216
Moved 1245.027 194 503.0394 -0.3842593 0.295883
Moved 1245.058 194 506.3922 -0.3842593 0.3045066
Moved 1245.089 194 509.8641 -0.3842593 0.3134364
Moved 1245.119 199.5783 513.5938 -0.3713464 0.3230293
Moved 1245.15 214.3504 521.3401 -0.3371518 0.342953
Moved 1245.181 225.5013 527.2507 -0.3113395 0.3581549
Moved 1245.212 236.1525 534.1017 -0.2866839 0.3757758
Moved 1245.242 243.8608 536.9304 -0.2688407 0.3830514
Moved 1245.273 247.7992 538.7992 -0.2597241 0.3878579
Moved 1245.304 249.5 539 -0.255787 0.3883744
Moved 1245.334 250.3745 540.3745 -0.2537628 0.3919097
Moved 1245.365 251.187 540 -0.251882 0.3909464
Stationary 1245.396 251.187 540 -0.251882 0.3909464
Stationary 1245.427 251 540 -0.2523148 0.3909464
Ended 1245.457 251 540 -0.2523148 0.3909464
Began 1245.949 448 521 0.2037037 0.3420781
Stationary 1245.979 448 521 0.2037037 0.3420781
Moved 1246.01 448 542.0096 0.2037037 0.3961153
Moved 1246.041 439.4565 560.5435 0.1839272 0.4437845
Moved 1246.072 437.2161 572.1356 0.1787409 0.4735998
Moved 1246.102 434 580.9789 0.1712963 0.4963448
Moved 1246.133 430.469 587.0621 0.1631226 0.5119908
Moved 1246.164 428.6029 590.3971 0.1588031 0.5205686
Moved 1246.194 427 591.9406 0.1550926 0.5245385
Moved 1246.225 425.1878 593 0.1508976 0.5272633
Moved 1246.256 424 593 0.1481481 0.5272633
Moved 1246.286 420.7141 593 0.1405419 0.5272633
Moved 1246.317 412.8588 546.6583 0.1223582 0.4080715
Moved 1246.348 412 478.3094 0.1203704 0.2322772
Moved 1246.379 412 414.5002 0.1203704 0.06815895
Moved 1246.409 425.5282 355.8311 0.1516856 -0.08273905
Moved 1246.44 433.4792 322.8434 0.1700909 -0.1675839
Moved 1246.471 441 292.5 0.1875 -0.2456276
Moved 1246.502 443.0705 282.7885 0.1922928 -0.2706057
Moved 1246.532 443 279.9807 0.1921296 -0.2778275
Moved 1246.563 443 278 0.1921296 -0.2829219
Stationary 1246.594 443 278 0.1921296 -0.2829219
Stationary 1246.624 443 278 0.1921296 -0.2829219
Moved 1246.655 433.1942 305.119 0.1694309 -0.2131715
Moved 1246.686 425.8453 344.3926 0.1524196 -0.1121589
Moved 1246.716 424 427.7848 0.1481481 0.1023271
Moved 1246.747 439.9236 502.7097 0.1850083 0.2950353
Moved 1246.778 454.5984 546.6613 0.2189777 0.4080794
Moved 1246.809 462.4554 570.0939 0.2371652 0.4683483
Moved 1246.839 465.172 582.5161 0.2434538 0.5002985
Moved 1246.87 465 588 0.2430555 0.5144032
Stationary 1246.901 465 588 0.2430555 0.5144032
Moved 1246.932 470.5689 570.1496 0.2559465 0.4684917
Moved 1246.962 487.5782 548.0242 0.2953197 0.4115848
Moved 1246.993 505.3955 523.0463 0.3365637 0.3473411
Moved 1247.024 517.4421 508.4105 0.3644494 0.3096976
Moved 1247.054 521.749 497.2549 0.374419 0.2810054
Moved 1247.085 505.574 450.6176 0.3369768 0.1610533
Moved 1247.116 466.8443 374.4818 0.2473248 -0.03476932
Moved 1247.146 450.3745 339.7489 0.2092001 -0.1241027
Moved 1247.177 437.7228 308.4457 0.1799139 -0.2046151
