why do you ask silly questions
Basic
0.6 0.6
432 388.8
Began 372.978 258 518 -0.2361111 0.3343621
Stationary 373.0088 258 518 -0.2361111 0.3343621
Stationary 373.0395 258 518 -0.2361111 0.3343621
Stationary 373.0703 258 518 -0.2361111 0.3343621
Stationary 373.101 258 518 -0.2361111 0.3343621
Stationary 373.1317 258 518 -0.2361111 0.3343621
Stationary 373.1624 258 518 -0.2361111 0.3343621
Stationary 373.1931 258 518 -0.2361111 0.3343621
Moved 373.2239 258 512.8481 -0.2361111 0.3211114
Moved 373.2546 250 506.5612 -0.2546296 0.3049413
Moved 373.2854 249 503.6957 -0.2569445 0.2975713
Moved 373.3161 247 501.1342 -0.2615741 0.2909828
Moved 373.3468 246 498.3118 -0.2638889 0.2837238
Moved 373.3776 243.442 495.442 -0.2698103 0.2763425
Moved 373.4083 239.1341 492.5671 -0.2797822 0.2689481
Moved 373.439 231.0884 490.0221 -0.2984065 0.2624024
Moved 373.4698 223.4426 488.1475 -0.3161052 0.257581
Moved 373.5005 218.5471 488 -0.3274372 0.2572016
Moved 373.5313 217 488 -0.3310185 0.2572016
Moved 373.562 214.9418 488 -0.3357829 0.2572016
Stationary 373.5927 215 488 -0.3356481 0.2572016
Moved 373.6235 215 486.5 -0.3356481 0.2533436
Moved 373.6542 215 486 -0.3356481 0.2520575
Moved 373.685 229.2256 480.1203 -0.3027185 0.2369349
Moved 373.7157 249.4249 464.9313 -0.2559608 0.1978684
Moved 373.7464 269.371 451.735 -0.2097893 0.1639274
Moved 373.7771 297.0945 433.941 -0.1456147 0.1181608
Moved 373.8079 306.7628 426.6186 -0.1232341 0.09932753
Moved 373.8386 323.6622 414.6702 -0.08411521 0.06859618
Moved 373.8693 336.3925 405.486 -0.05464707 0.0449743
Moved 373.9 350.814 396.593 -0.02126396 0.02210134
Moved 373.9307 366.4368 389.2816 0.01489997 0.003296259
Moved 373.9615 380.7964 384.5509 0.04813979 -0.008871212
Moved 373.9923 389.9772 381.0076 0.06939162 -0.01798457
Moved 374.0229 399.5851 377.1383 0.09163231 -0.02793661
Moved 374.0537 404.453 375.2735 0.1029006 -0.03273277
Moved 374.0845 407.5 373.5 0.1099537 -0.03729432
Moved 374.1152 411.1145 371.8855 0.1183207 -0.04144684
Moved 374.1459 413.9866 371 0.1249691 -0.04372435
Moved 374.1767 415.8495 370.1505 0.1292814 -0.04590933
Moved 374.2074 417 370 0.1319444 -0.04629637
Moved 374.2382 418 381.6878 0.1342593 -0.01623507
Moved 374.2689 418 398.9657 0.1342593 0.02820384
Moved 374.2996 409.7363 421.3297 0.1151302 0.08572437
Moved 374.3303 399.1358 449.8741 0.09059211 0.1591413
Moved 374.3611 386.7954 476.4091 0.06202648 0.2273896
Moved 374.3918 379.0867 496.131 0.04418214 0.2781148
Moved 374.4225 375.1354 510.4583 0.03503571 0.3149646
Moved 374.4533 373 520.048 0.0300926 0.3396296
Moved 374.484 372 527.6608 0.02777775 0.3592097
Moved 374.5147 372 532.4295 0.02777775 0.371475
Moved 374.5455 372 534.977 0.02777775 0.3780271
Moved 374.5762 372 536.4116 0.02777775 0.381717
Moved 374.607 372 538.2823 0.02777775 0.3865286
Ended 374.6377 382.5085 542.3352 0.0521029 0.3969526
Began 375.068 245 331 -0.2662037 -0.146605
Stationary 375.0987 245 331 -0.2662037 -0.146605
Stationary 375.1295 245 331 -0.2662037 -0.146605
Stationary 375.1602 245 331 -0.2662037 -0.146605
Stationary 375.1909 245 331 -0.2662037 -0.146605
Stationary 375.2217 245 331 -0.2662037 -0.146605
Stationary 375.2524 245 331 -0.2662037 -0.146605
Stationary 375.2831 245 331 -0.2662037 -0.146605
Stationary 375.3138 245 331 -0.2662037 -0.146605
Stationary 375.3446 245 331 -0.2662037 -0.146605
Stationary 375.3753 245 331 -0.2662037 -0.146605
Stationary 375.4061 245 331 -0.2662037 -0.146605
Moved 375.4368 258.7272 346.8787 -0.2344278 -0.1057648
Moved 375.4676 272.2314 365.124 -0.203168 -0.05883754
Moved 375.4983 288.9146 386.8719 -0.1645495 -0.002901446
Moved 375.5291 306.3453 408.2144 -0.1242006 0.05199173
Moved 375.5597 320.9579 425.6974 -0.09037519 0.09695826
Moved 375.5905 335.0343 441.0343 -0.05779097 0.1364051
Moved 375.6212 347.7416 453.7416 -0.02837588 0.1690883
Moved 375.6519 359.0122 464.0163 -0.002286534 0.1955151
Moved 375.6828 370.4933 472.62 0.02429019 0.217644
Moved 375.7134 381 480.5 0.04861106 0.2379114
Moved 375.7442 395.2198 485.3049 0.08152743 0.2502698
Moved 375.7749 409.9247 490.3699 0.1155664 0.2632969
Moved 375.8057 427.4114 491.0588 0.1560449 0.2650688
Moved 375.8364 443.3292 491.5921 0.1928915 0.2664405
Moved 375.8671 463.3251 492 0.2391784 0.2674896
Moved 375.8978 481.0846 492 0.2802885 0.2674896
Moved 375.9286 490.8767 494.2192 0.3029553 0.2731974
Moved 375.9593 500.3059 497.153 0.3247822 0.2807431
Moved 375.9901 504.021 499.021 0.3333819 0.2855477
Moved 376.0208 505.4614 499 0.3367163 0.2854938
Moved 376.0516 508.0052 500 0.3426047 0.2880658
Moved 376.0823 509.8884 501 0.346964 0.2906378
Moved 376.113 512.7789 501 0.3536548 0.2906378
Ended 376.1437 514.2176 501 0.3569851 0.2906378
Began 376.5433 322 516 -0.08796295 0.329218
Stationary 376.574 322 516 -0.08796295 0.329218
Stationary 376.6048 322 516 -0.08796295 0.329218
Stationary 376.6355 322 516 -0.08796295 0.329218
Stationary 376.6663 322 516 -0.08796295 0.329218
Stationary 376.697 322 516 -0.08796295 0.329218
Stationary 376.7277 322 516 -0.08796295 0.329218
Stationary 376.7585 322 516 -0.08796295 0.329218
Moved 376.7892 335.7288 516 -0.05618329 0.329218
Moved 376.8199 340.4798 516 -0.04518559 0.329218
Moved 376.8506 345.6164 516 -0.0332954 0.329218
Moved 376.8814 350.2241 516 -0.0226295 0.329218
Moved 376.9121 356.0454 516 -0.009154131 0.329218
Moved 376.9429 363.7148 516 0.008599062 0.329218
Moved 376.9736 373.7481 516 0.03182431 0.329218
