travel at the speed of light
Basic
0.6 0.6
432 388.8
Began 280.1525 348 498 -0.0277778 0.2829217
Stationary 280.1833 348 498 -0.0277778 0.2829217
Moved 280.2134 327.9861 490.9805 -0.0741062 0.2648675
Moved 280.2448 298.9194 485.3839 -0.1413903 0.2504729
Moved 280.2755 276.9449 482.4207 -0.1922573 0.2428516
Moved 280.3063 259.6601 480.6657 -0.2322683 0.2383377
Moved 280.337 252.7926 481 -0.2481653 0.2391974
Moved 280.3678 250.5 481 -0.2534722 0.2391974
Moved 280.3985 249.6647 477.3293 -0.2554059 0.2297563
Moved 280.4292 250 469.0501 -0.2546296 0.2084621
Moved 280.4601 250 449.6519 -0.2546296 0.1585696
Moved 280.4908 243.3006 419.3024 -0.2701376 0.08051032
Moved 280.5215 233.6866 389.7463 -0.2923922 0.004491492
Moved 280.5523 227.1738 369.1083 -0.3074681 -0.04858974
Moved 280.583 222.861 357.444 -0.3174514 -0.07859053
Moved 280.6138 223 352.872 -0.3171296 -0.09034985
Moved 280.6445 223 347.355 -0.3171296 -0.1045397
Moved 280.6753 230.4576 339.7385 -0.2998668 -0.1241293
Moved 280.7061 237.8789 331.4949 -0.2826878 -0.1453322
Moved 280.7368 248.3205 318.4154 -0.2585175 -0.1789728
Moved 280.7676 266.1629 294.7394 -0.2172155 -0.2398679
Moved 280.7984 281.8833 273.7867 -0.1808257 -0.2937584
Moved 280.8291 292.6931 258.0297 -0.155803 -0.3342858
Moved 280.8599 298.8575 247.285 -0.1415336 -0.3619213
Moved 280.8906 302 241.3256 -0.1342593 -0.3772491
Stationary 280.9214 302 241 -0.1342593 -0.3780865
Stationary 280.9521 302 241 -0.1342593 -0.3780865
Moved 280.9828 269.0821 319.1006 -0.210458 -0.1772103
Moved 281.0136 260.1741 356.9554 -0.2310785 -0.07984734
Moved 281.0444 255.8368 392.9588 -0.2411186 0.012754
Moved 281.0751 255 435.7325 -0.2430556 0.1227687
Moved 281.1059 271.4885 476.8378 -0.2048877 0.2284921
Moved 281.1367 280.3464 496.6928 -0.1843833 0.2795596
Moved 281.1674 285.954 505.6053 -0.1714027 0.3024828
Moved 281.1982 315.7106 514.8832 -0.1025218 0.3263457
Moved 281.2289 354.9279 515 -0.01174107 0.326646
Moved 281.2596 393.4577 496.908 0.07744829 0.280113
Moved 281.2904 423.2994 484.1639 0.1465264 0.247335
Moved 281.3211 450.319 469.8582 0.2090718 0.2105406
Moved 281.3519 470.7974 458.6013 0.2564755 0.1815875
Moved 281.3827 487.3835 449.8721 0.2948693 0.1591361
Moved 281.4135 498.9643 445.0089 0.3216766 0.1466278
Moved 281.4442 506.268 441.244 0.3385834 0.1369444
Moved 281.4749 513 439.5 0.3541666 0.1324588
Moved 281.5057 520.5561 436.7219 0.3716576 0.1253135
Ended 281.5365 523.8317 435.7228 0.3792399 0.1227437
Began 281.844 147 345 -0.4930556 -0.1105968
Stationary 281.8747 147 345 -0.4930556 -0.1105968
Moved 281.9055 157.399 353.7992 -0.4689838 -0.08796511
Moved 281.9363 199 393.5 -0.3726852 0.01414597
Moved 281.967 256.8153 441.8461 -0.2388534 0.1384931
Moved 281.9978 291.0436 467.7827 -0.1596213 0.2052024
Moved 282.0286 326 492.5 -0.07870371 0.2687756
Moved 282.0593 345.4542 503.6968 -0.03367076 0.297574
Moved 282.0901 367.0649 515.0324 0.01635393 0.3267294
Moved 282.1208 384.6639 523.332 0.05709231 0.348076
Moved 282.1516 396.8359 528.418 0.08526842 0.3611572
Moved 282.1823 403.3203 532.6602 0.1002785 0.3720682
Moved 282.213 407.4252 534 0.1097806 0.3755144
Ended 282.2438 413.5 534 0.1238426 0.3755144
Began 282.5822 309 493 -0.1180555 0.2700616
Stationary 282.6129 309 493 -0.1180555 0.2700616
Moved 282.6436 320.112 484.9185 -0.09233326 0.2492759
Moved 282.6744 337.5939 473.0044 -0.05186603 0.2186326
Moved 282.7052 353.535 459.6843 -0.01496529 0.184373
Moved 282.7359 369.9334 445.0666 0.02299398 0.1467762
Moved 282.7665 382.2316 425.0491 0.05146205 0.0952909
Moved 282.7974 389.584 404.0803 0.06848136 0.04135869
Moved 282.8282 391 393.998 0.07175922 0.015427
Moved 282.8589 392 388.8288 0.07407407 0.002131639
Moved 282.8896 392 384.0655 0.07407407 -0.01011974
Moved 282.9204 392 381.0677 0.07407407 -0.0178301
Moved 282.9511 375.2981 381 0.03541221 -0.01800419
Moved 282.9818 349.703 405.4376 -0.0238357 0.04484977
Moved 283.0127 324.5691 428.6353 -0.082016 0.1045147
Moved 283.0434 303.9129 446.8696 -0.1298312 0.1514136
Moved 283.0742 284.4862 462.7956 -0.1748005 0.1923755
Moved 283.105 271.5191 474.4808 -0.2048168 0.22243
Moved 283.1358 265.252 482.6219 -0.219324 0.2433691
Moved 283.1665 263 488.6309 -0.2245371 0.2588243
Ended 283.1972 263 492 -0.2245371 0.2674896
Began 283.3817 177 361 -0.4236111 -0.06944452
Stationary 283.4125 177 361 -0.4236111 -0.06944452
Moved 283.4433 208.5283 374.655 -0.3506289 -0.03432372
Moved 283.474 264.3884 402.1942 -0.2213231 0.03650771
Moved 283.5047 321.0126 430.1112 -0.09024858 0.1083106
Moved 283.5355 388.8095 463.4047 0.06668866 0.1939421
Moved 283.5663 436.1567 484.7814 0.1762888 0.2489234
Moved 283.597 456.5703 495.2852 0.2235423 0.2759391
Moved 283.6278 471 503 0.2569444 0.2957818
Moved 283.6585 477.6005 507.3002 0.2722233 0.3068421
Moved 283.6893 478 509.035 0.2731481 0.311304
Moved 283.7201 478 510.4438 0.2731481 0.3149274
Moved 283.7508 459.5928 512 0.2305389 0.31893
Moved 283.7816 416.5906 513 0.1309968 0.321502
Moved 283.8123 373.3181 515.7926 0.03082881 0.3286847
Moved 283.8431 340.595 517.2004 -0.04491891 0.3323056
Moved 283.8738 308.4489 517 -0.1193314 0.33179
Moved 283.9046 285.9312 517 -0.1714556 0.33179
Moved 283.9354 267.7318 517 -0.2135838 0.33179
Moved 283.9661 257.5025 517 -0.2372628 0.33179
Moved 283.9969 250.6864 517 -0.2530406 0.33179
