in sharp contrast to your words
Basic
0.6 0.6
432 388.8
Began 557.3875 440 557 0.1851852 0.4346707
Stationary 557.4183 440 557 0.1851852 0.4346707
Moved 557.449 440 544.7521 0.1851852 0.4031688
Moved 557.4797 431.7523 527.2665 0.1660934 0.3581955
Moved 557.5104 427.2579 501.0948 0.1556896 0.2908816
Moved 557.5411 422.7497 464.4982 0.1452539 0.1967546
Moved 557.5718 418.5088 429.5793 0.1354371 0.1069427
Moved 557.6025 415.9673 407.7713 0.129554 0.05085207
Moved 557.6333 416 387.6666 0.1296297 -0.0008574827
Moved 557.664 416 369.056 0.1296297 -0.04872444
Moved 557.6948 416 353.3505 0.1296297 -0.08911902
Moved 557.7255 416 341.2673 0.1296297 -0.1201973
Moved 557.7562 416 324.7487 0.1296297 -0.1626833
Moved 557.7869 416 308.4067 0.1296297 -0.2047154
Moved 557.8176 416 296.5599 0.1296297 -0.2351856
Moved 557.8484 416 286.9154 0.1296297 -0.2599913
Moved 557.8792 416 279.2538 0.1296297 -0.2796971
Moved 557.9099 416 273.758 0.1296297 -0.2938323
Moved 557.9406 416 269.3411 0.1296297 -0.3051926
Moved 557.9713 416 266.4716 0.1296297 -0.3125731
Ended 558.002 416 263.6094 0.1296297 -0.3199347
Began 558.6472 217 429 -0.3310185 0.1054526
Stationary 558.678 217 429 -0.3310185 0.1054526
Stationary 558.7087 217 429 -0.3310185 0.1054526
Stationary 558.7394 217 429 -0.3310185 0.1054526
Moved 558.7701 228.314 429 -0.3048288 0.1054526
Moved 558.8008 269.8269 429 -0.2087339 0.1054526
Moved 558.8315 325.1768 434.6825 -0.08060928 0.1200681
Moved 558.8622 353.7449 439 -0.01447941 0.1311728
Moved 558.893 371.6015 440 0.02685527 0.1337448
Moved 558.9237 384.4094 441 0.05650322 0.1363167
Moved 558.9544 391.9196 441 0.07388791 0.1363167
Moved 558.9851 397.2495 441 0.08622558 0.1363167
Moved 559.0159 401.3661 441 0.09575476 0.1363167
Moved 559.0466 404 441 0.1018518 0.1363167
Moved 559.0774 406.5 441 0.1076389 0.1363167
Stationary 559.108 406.5 441 0.1076389 0.1363167
Moved 559.1388 406 441 0.1064815 0.1363167
Moved 559.1695 376.7176 428.1458 0.03869811 0.1032557
Moved 559.2003 321.1294 418.5323 -0.08997817 0.07852962
Moved 559.231 270.1954 407.3659 -0.2078809 0.04980939
Moved 559.2617 235.6797 398.9199 -0.2877784 0.0280861
Moved 559.2925 213.4447 392.2917 -0.3392483 0.01103841
Moved 559.3232 196.6768 387.9539 -0.3780628 -0.0001186795
Moved 559.3539 183.2589 384.0648 -0.4091229 -0.01012155
Moved 559.3846 174.3656 381.1828 -0.4297093 -0.01753403
Moved 559.4153 168.3113 379 -0.4437237 -0.02314815
Moved 559.446 165.7728 379 -0.4496 -0.02314815
Moved 559.4768 163.9477 379 -0.4538248 -0.02314815
Stationary 559.5075 163.9477 379 -0.4538248 -0.02314815
Moved 559.5383 187 407.5 -0.4004629 0.05015428
Moved 559.569 214.2558 435.2558 -0.3373709 0.1215426
Moved 559.5997 239.8405 458.6104 -0.2781471 0.1816111
Moved 559.6304 260.7641 474.5731 -0.2297127 0.2226672
Moved 559.6611 275.9762 489.6389 -0.1944995 0.2614169
Moved 559.6918 288.6173 502.0782 -0.1652376 0.293411
Moved 559.7225 297.2543 511.2543 -0.1452447 0.317012
Moved 559.7533 302.5722 517.5723 -0.1329346 0.3332618
Moved 559.7841 308.6481 522.6481 -0.11887 0.3463171
Moved 559.8148 313.6924 527.6923 -0.1071936 0.3592909
Moved 559.8455 317.5589 531 -0.0982433 0.3677982
Moved 559.8762 320.0444 533.0444 -0.09248988 0.3730564
Moved 559.9069 325.8039 536.8693 -0.0791577 0.3828941
Moved 559.9376 346.3371 539.8152 -0.03162717 0.3904712
Moved 559.9684 391.9799 540 0.07402767 0.3909464
Moved 559.999 439.5003 540 0.1840285 0.3909464
Moved 560.0298 467.9165 540 0.2498069 0.3909464
Moved 560.0605 492.849 531.0215 0.3075207 0.3678537
Moved 560.0912 509.5 529.5 0.3460647 0.3639403
Moved 560.122 521.4409 528 0.3737057 0.3600822
Moved 560.1527 531.9182 525.7704 0.3979588 0.3543478
Moved 560.1835 538.207 525 0.4125163 0.3523662
Moved 560.2142 543.3467 524 0.4244138 0.3497942
Moved 560.2449 550.1119 523 0.4400738 0.3472221
Moved 560.2756 553.4167 521.5833 0.447724 0.3435782
Moved 560.3063 556.3003 522 0.4543988 0.3446501
Moved 560.3371 558.5 522 0.4594907 0.3446501
Ended 560.3677 558.5 522 0.4594907 0.3446501
Began 560.8594 309 287 -0.1180555 -0.2597736
Stationary 560.8901 309 287 -0.1180555 -0.2597736
Stationary 560.9208 309 287 -0.1180555 -0.2597736
Moved 560.9516 326.2572 306.1511 -0.07810842 -0.2105169
Moved 560.9822 342.0942 327.2546 -0.04144857 -0.1562383
Moved 561.013 358.5354 346.5354 -0.003390263 -0.1066476
Moved 561.0437 370.5416 362.5416 0.02440184 -0.06547944
Moved 561.0744 383.8199 378.8199 0.05513867 -0.02361125
Moved 561.1051 399.2305 395.2305 0.09081145 0.01859696
Moved 561.1359 411.6708 407.6708 0.1196084 0.0505936
Moved 561.1666 421.8954 418.1938 0.1432763 0.07765903
Moved 561.1973 430.2369 427.2369 0.1625854 0.1009178
Moved 561.2281 440.0974 440.7964 0.1854106 0.1357933
Moved 561.2587 448.701 450.701 0.2053265 0.1612681
Moved 561.2895 457.3176 459.3176 0.2252722 0.1834299
Moved 561.3202 464.0119 465.0079 0.2407682 0.1980656
Moved 561.351 469.7484 470.7484 0.2540472 0.2128301
Moved 561.3817 478.2214 478.4809 0.2736606 0.2327183
Moved 561.4124 485.6463 484.4308 0.2908478 0.2480217
Moved 561.4431 490.2926 490.2926 0.3016031 0.2630982
Moved 561.4739 494.0232 494.0232 0.3102389 0.2726933
Moved 561.5046 496.8997 496.8997 0.3168975 0.2800918
Moved 561.5353 498.1692 497 0.3198361 0.2803498
Stationary 561.566 498.1692 497 0.3198361 0.2803498
Moved 561.5967 499.5 497 0.3229167 0.2803498
