id,usage,algorithm,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13
1,Indirect,SHARK2,0.504587,0.646789,0.738532,0.784404,0.816514,0.834862,0.853211,0.87156,0.885321,0.894495,0.912844,0.912844,0.922018
1,Indirect,SHARK2(Unigram),0.715596,0.798165,0.834862,0.866972,0.894495,0.917431,0.926606,0.93578,0.940367,0.963303,0.96789,0.96789,0.96789
1,Indirect,SHARK2(Bigram),0.766055,0.862385,0.894495,0.926606,0.944954,0.944954,0.954128,0.954128,0.958716,0.96789,0.96789,0.972477,0.972477
1,Indirect,DTW,0.550459,0.688073,0.752294,0.802752,0.857798,0.862385,0.876147,0.889908,0.90367,0.912844,0.922018,0.940367,0.940367
1,Indirect,DTW(Unigram),0.733945,0.844037,0.889908,0.93578,0.93578,0.944954,0.963303,0.96789,0.96789,0.96789,0.972477,0.972477,0.972477
1,Indirect,DTW(Bigram),0.793578,0.894495,0.917431,0.922018,0.940367,0.944954,0.949541,0.954128,0.958716,0.963303,0.972477,0.977064,0.977064
1,Direct,SHARK2,0.674208,0.800905,0.850679,0.877828,0.895928,0.923077,0.941176,0.945701,0.954751,0.968326,0.977376,0.9819,0.9819
1,Direct,SHARK2(Unigram),0.791855,0.909502,0.932127,0.945701,0.954751,0.963801,0.968326,0.977376,0.977376,0.977376,0.9819,0.9819,0.9819
1,Direct,SHARK2(Bigram),0.832579,0.927602,0.950226,0.977376,0.977376,0.977376,0.9819,0.986425,0.986425,0.99095,0.99095,0.99095,0.99095
1,Direct,DTW,0.742081,0.837104,0.873303,0.895928,0.936652,0.941176,0.959276,0.977376,0.977376,0.977376,0.9819,0.9819,0.986425
1,Direct,DTW(Unigram),0.809955,0.927602,0.954751,0.972851,0.972851,0.9819,0.986425,0.986425,0.99095,0.99095,0.99095,0.99095,0.99095
1,Direct,DTW(Bigram),0.864253,0.945701,0.968326,0.972851,0.9819,0.986425,0.986425,0.99095,0.99095,0.99095,0.995475,0.995475,0.995475
2,Indirect,SHARK2,0.565217,0.721739,0.808696,0.856522,0.878261,0.891304,0.913043,0.921739,0.926087,0.930435,0.930435,0.93913,0.943478
2,Indirect,SHARK2(Unigram),0.743478,0.86087,0.908696,0.934783,0.943478,0.943478,0.947826,0.947826,0.947826,0.952174,0.952174,0.956522,0.956522
2,Indirect,SHARK2(Bigram),0.847826,0.917391,0.917391,0.947826,0.96087,0.965217,0.965217,0.969565,0.973913,0.973913,0.973913,0.973913,0.978261
2,Indirect,DTW,0.613043,0.778261,0.83913,0.878261,0.895652,0.904348,0.930435,0.930435,0.930435,0.934783,0.934783,0.93913,0.943478
2,Indirect,DTW(Unigram),0.786957,0.904348,0.934783,0.947826,0.956522,0.956522,0.965217,0.965217,0.969565,0.969565,0.969565,0.969565,0.969565
2,Indirect,DTW(Bigram),0.847826,0.93913,0.947826,0.952174,0.956522,0.96087,0.969565,0.978261,0.982609,0.982609,0.982609,0.982609,0.982609
2,Direct,SHARK2,0.797357,0.885463,0.933921,0.947137,0.960352,0.964758,0.973568,0.973568,0.977974,0.986784,0.991189,0.991189,0.991189
2,Direct,SHARK2(Unigram),0.859031,0.933921,0.964758,0.982379,0.991189,0.991189,0.995595,0.995595,1,1,1,1,1
2,Direct,SHARK2(Bigram),0.876652,0.955947,0.982379,0.986784,0.991189,0.991189,0.995595,1,1,1,1,1,1
2,Direct,DTW,0.828194,0.9163,0.955947,0.969163,0.973568,0.982379,0.982379,0.986784,0.991189,0.991189,0.991189,0.991189,0.995595
2,Direct,DTW(Unigram),0.872247,0.947137,0.964758,0.991189,0.995595,1,1,1,1,1,1,1,1
2,Direct,DTW(Bigram),0.920705,0.964758,0.982379,0.986784,0.991189,0.995595,1,1,1,1,1,1,1
3,Indirect,SHARK2,0.555556,0.697778,0.768889,0.808889,0.831111,0.84,0.853333,0.866667,0.884444,0.888889,0.897778,0.911111,0.924444
3,Indirect,SHARK2(Unigram),0.733333,0.822222,0.875556,0.893333,0.915556,0.924444,0.933333,0.933333,0.951111,0.951111,0.955556,0.96,0.964444
3,Indirect,SHARK2(Bigram),0.777778,0.88,0.902222,0.928889,0.937778,0.96,0.973333,0.982222,0.982222,0.982222,0.982222,0.982222,0.982222
3,Indirect,DTW,0.604444,0.724444,0.773333,0.822222,0.853333,0.866667,0.884444,0.888889,0.906667,0.906667,0.92,0.928889,0.933333
3,Indirect,DTW(Unigram),0.742222,0.871111,0.906667,0.915556,0.933333,0.951111,0.96,0.968889,0.968889,0.968889,0.973333,0.973333,0.973333
3,Indirect,DTW(Bigram),0.835556,0.92,0.942222,0.96,0.977778,0.982222,0.982222,0.986667,0.991111,0.991111,0.991111,0.991111,0.991111
3,Direct,SHARK2,0.832599,0.898678,0.942731,0.960352,0.973568,0.986784,0.986784,0.991189,0.991189,1,1,1,1
3,Direct,SHARK2(Unigram),0.911894,0.951542,0.964758,0.982379,0.995595,1,1,1,1,1,1,1,1
3,Direct,SHARK2(Bigram),0.929515,0.964758,0.986784,0.986784,0.991189,1,1,1,1,1,1,1,1
3,Direct,DTW,0.837004,0.92511,0.947137,0.973568,0.986784,0.995595,1,1,1,1,1,1,1
3,Direct,DTW(Unigram),0.863436,0.951542,0.973568,0.991189,0.995595,1,1,1,1,1,1,1,1
3,Direct,DTW(Bigram),0.911894,0.960352,0.982379,0.995595,0.995595,1,1,1,1,1,1,1,1
