this is a very good idea
this is very good idea
Basic
0.6 0.6
432 388.8
Began 1983.348 284 534 -0.1759259 0.3755144
Stationary 1983.369 284 534 -0.1759259 0.3755144
Stationary 1983.382 284 534 -0.1759259 0.3755144
Stationary 1983.398 284 534 -0.1759259 0.3755144
Stationary 1983.413 284 534 -0.1759259 0.3755144
Stationary 1983.429 284 534 -0.1759259 0.3755144
Stationary 1983.444 284 534 -0.1759259 0.3755144
Stationary 1983.46 284 534 -0.1759259 0.3755144
Stationary 1983.476 284 534 -0.1759259 0.3755144
Stationary 1983.492 284 534 -0.1759259 0.3755144
Stationary 1983.506 284 534 -0.1759259 0.3755144
Moved 1983.521 299.4262 512.5042 -0.1402172 0.3202267
Moved 1983.537 306.2034 502.394 -0.1245292 0.2942232
Moved 1983.552 311.9518 492.3343 -0.1112226 0.2683494
Moved 1983.568 318.5 482 -0.0960648 0.2417695
Moved 1983.583 323.199 471.6021 -0.08518755 0.2150258
Moved 1983.599 327.7119 462.5763 -0.0747411 0.1918114
Moved 1983.614 331.0385 454.9229 -0.06704042 0.1721267
Moved 1983.63 335.3547 448.527 -0.05704924 0.1556765
Moved 1983.647 338.6454 441.2578 -0.04943207 0.1369797
Moved 1983.661 343.9601 434.0499 -0.03712942 0.118441
Moved 1983.677 348.2863 423.9987 -0.02711515 0.09258921
Moved 1983.694 353.5865 417.3444 -0.01484608 0.0754741
Moved 1983.707 358.8929 407.2143 -0.002562851 0.0494194
Moved 1983.724 363.2097 398.5807 0.007429719 0.02721366
Moved 1983.739 369.3277 389.8404 0.02159188 0.004733482
Moved 1983.753 375.0773 380.1147 0.0349011 -0.02028108
Moved 1983.768 380.8678 370.9813 0.04830519 -0.04377231
Moved 1983.783 385.4746 362.0508 0.05896896 -0.06674166
Moved 1983.799 388.6795 356.8676 0.06638766 -0.08007324
Moved 1983.815 392.2094 352.7906 0.07455885 -0.09055926
Moved 1983.83 395.3506 348.4741 0.08183002 -0.1016613
Moved 1983.845 398.228 345.772 0.08849064 -0.1086111
Moved 1983.86 401.1056 342.8945 0.09515177 -0.1160122
Moved 1983.876 404.4829 341.0114 0.1029696 -0.1208554
Moved 1983.891 407.8613 340 0.1107901 -0.1234569
Moved 1983.907 410.0579 340 0.1158747 -0.1234569
Moved 1983.922 413.4318 340 0.1236846 -0.1234569
Moved 1983.938 416.832 350.992 0.1315556 -0.09518517
Moved 1983.953 422.3732 368.1195 0.1443823 -0.05113295
Moved 1983.969 425.3889 383.5556 0.1513631 -0.01143114
Moved 1983.984 428.4562 397.0531 0.1584635 0.02328464
Moved 1984.006 435.6138 424.0688 0.1750319 0.09276955
Stationary 1984.017 435.6138 424.0688 0.1750319 0.09276955
Moved 1984.03 439.5561 441.4096 0.1841576 0.1373703
Moved 1984.045 443.2486 450.3701 0.1927052 0.1604168
Moved 1984.061 447.1744 460.4069 0.2017926 0.1862317
Moved 1984.078 451.4532 471.8753 0.2116973 0.2157286
Moved 1984.091 455.8601 482.5804 0.2218983 0.2432622
Moved 1984.108 460.0836 492.5285 0.2316751 0.2688489
Moved 1984.123 460.6075 495.2151 0.2328879 0.2757588
Moved 1984.138 461.9214 497.8429 0.2359293 0.2825177
Moved 1984.154 463.3566 502.0698 0.2392513 0.2933893
Moved 1984.169 463.802 503.6039 0.2402823 0.2973351
Moved 1984.184 464 505.2408 0.2407408 0.3015452
Moved 1984.201 464 506.6795 0.2407408 0.3052455
Stationary 1984.216 464 507 0.2407408 0.3060699
Moved 1984.23 453.5 508.5 0.2164352 0.3099279
Moved 1984.246 437.1096 502.8439 0.1784946 0.2953802
Moved 1984.262 411.2997 492.2999 0.1187492 0.2682609
Moved 1984.276 384.457 477.6742 0.05661339 0.2306434
Moved 1984.292 357.6386 460.4258 -0.005466093 0.1862803
Moved 1984.311 337.2993 447.3353 -0.05254795 0.1526112
