we run the risk of failure
we run the risk of failure
Basic
0.6 0.6
432 388.8
Began 960.7142 188 414 -0.3981482 0.06687239
Stationary 960.7341 188 414 -0.3981482 0.06687239
Stationary 960.748 188 414 -0.3981482 0.06687239
Stationary 960.7635 188 414 -0.3981482 0.06687239
Stationary 960.781 188 414 -0.3981482 0.06687239
Stationary 960.7939 188 414 -0.3981482 0.06687239
Stationary 960.8091 188 414 -0.3981482 0.06687239
Moved 960.825 197.0299 414 -0.3772456 0.06687239
Moved 960.842 200.1895 414 -0.3699318 0.06687239
Moved 960.8561 204.4082 414 -0.3601662 0.06687239
Moved 960.8726 208.7351 421.9117 -0.3501503 0.08722136
Moved 960.8882 212.8798 423.2933 -0.3405561 0.0907748
Moved 960.9036 218.0566 426.371 -0.3285727 0.09869088
Moved 960.9185 221.1503 428.0751 -0.3214113 0.1030739
Moved 960.9343 226.8553 430.9276 -0.3082054 0.1104105
Moved 960.9501 228 431.5 -0.3055556 0.1118827
Moved 960.9646 233.5938 434.7969 -0.2926068 0.1203624
Moved 960.9808 237.8705 438.8705 -0.2827072 0.1308396
Moved 960.9952 242.0513 441.3676 -0.2730294 0.1372622
Moved 961.0106 246.2254 444.1503 -0.263367 0.1444194
Moved 961.0301 248.9276 445.4638 -0.257112 0.1477977
Moved 961.0427 252.7013 447.8506 -0.2483766 0.1539368
Moved 961.0577 255.484 450.4839 -0.2419352 0.1607096
Moved 961.0728 257.5302 451.2651 -0.2371987 0.1627187
Moved 961.0884 262.9164 454.4582 -0.2247307 0.1709315
Moved 961.1027 268.4655 457.2327 -0.2118855 0.1780677
Moved 961.1177 274 460 -0.199074 0.1851851
Moved 961.134 279.5862 463.6896 -0.1861431 0.1946749
Moved 961.149 286.4267 467.856 -0.1703086 0.2053909
Moved 961.1646 292.7181 471.359 -0.1557452 0.2144007
Moved 961.1821 296.4201 474.4201 -0.1471756 0.2222738
Moved 961.1953 302.6954 477.2781 -0.1326496 0.2296247
Moved 961.2099 307.0541 480.527 -0.1225599 0.237981
Moved 961.2258 309.8365 482.8365 -0.1161191 0.243921
