do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Began 1308.304 450 235 0.2083333 -0.3935186
Stationary 1308.319 450 235 0.2083333 -0.3935186
Stationary 1308.333 450 235 0.2083333 -0.3935186
Stationary 1308.349 450 235 0.2083333 -0.3935186
Stationary 1308.364 450 235 0.2083333 -0.3935186
Stationary 1308.384 450 235 0.2083333 -0.3935186
Stationary 1308.395 450 235 0.2083333 -0.3935186
Stationary 1308.409 450 235 0.2083333 -0.3935186
Stationary 1308.426 450 235 0.2083333 -0.3935186
Stationary 1308.442 450 235 0.2083333 -0.3935186
Moved 1308.459 434.5658 235 0.1726061 -0.3935186
Moved 1308.473 424.7494 235 0.1498827 -0.3935186
Moved 1308.489 406.6107 225.712 0.1078951 -0.4174073
Moved 1308.505 391.9717 223.7971 0.0740085 -0.4223326
Moved 1308.519 379.2006 221.7113 0.04444589 -0.4276973
Moved 1308.535 369.445 219.3612 0.02186348 -0.4337418
Moved 1308.55 359.6005 217.8 -0.0009247661 -0.437757
Moved 1308.565 349.5166 215.3595 -0.02426714 -0.4440342
Moved 1308.581 342.6665 213.9166 -0.04012376 -0.4477454
Moved 1308.596 337.4258 212.4753 -0.05225499 -0.4514524
Moved 1308.611 333.1097 212 -0.06224597 -0.4526749
Moved 1308.627 330.1876 210.5938 -0.06901015 -0.4562919
Moved 1308.642 327.7477 211 -0.07465819 -0.455247
Moved 1308.657 326.0677 211 -0.07854711 -0.455247
Moved 1308.673 325.5 211 -0.07986113 -0.455247
Moved 1308.689 324.6266 211 -0.08188292 -0.455247
Stationary 1308.705 325 211 -0.08101851 -0.455247
Moved 1308.718 325 216.5813 -0.08101851 -0.4408918
Moved 1308.734 335.2938 225.8625 -0.05719021 -0.4170203
Moved 1308.751 344.5 235.5 -0.03587961 -0.3922326
Moved 1308.766 357.3344 246.4623 -0.006170273 -0.3640374
Moved 1308.78 373.6978 258.2347 0.03170779 -0.3337584
Moved 1308.797 392.158 270.3685 0.07443975 -0.3025503
Moved 1308.812 410.4503 282.2771 0.116783 -0.271921
Moved 1308.827 427.6812 290.8406 0.1566695 -0.2498955
Moved 1308.843 444.2157 299.5722 0.1949438 -0.2274377
Moved 1308.858 459.963 308.1616 0.2313957 -0.2053456
Moved 1308.874 473.5228 312.7395 0.2627842 -0.1935713
Moved 1308.889 490.9371 322.4202 0.3030952 -0.1686722
Moved 1308.905 505.3861 333.7089 0.3365418 -0.1396377
Moved 1308.92 517.495 344.71 0.3645717 -0.1113426
Moved 1308.935 526.3746 353.3746 0.3851265 -0.08905708
Moved 1308.952 531.9986 357.9986 0.3981449 -0.07716418
Moved 1308.967 536.2888 361.1925 0.4080758 -0.06894932
Moved 1308.982 538.2512 363.2512 0.4126185 -0.06365427
Moved 1308.997 541.6108 365.6108 0.4203953 -0.05758552
Moved 1309.012 544.1036 368.1036 0.4261658 -0.05117385
Moved 1309.028 545.4948 368 0.4293861 -0.05144041
Moved 1309.043 546.9429 369.9429 0.4327382 -0.04644331
Ended 1309.059 548.3862 370 0.4360792 -0.04629637
Candidates 1309.178 12 so gao do du ai di gap sp ap ago hsp sit
Began 1309.55 446 199 0.199074 -0.4861111
Stationary 1309.568 446 199 0.199074 -0.4861111
Stationary 1309.581 446 199 0.199074 -0.4861111
Stationary 1309.597 446 199 0.199074 -0.4861111
Stationary 1309.613 446 199 0.199074 -0.4861111
Moved 1309.628 446 214.538 0.199074 -0.4461473
Moved 1309.644 446 218.6672 0.199074 -0.4355267
Moved 1309.66 446 228.2004 0.199074 -0.4110071
Moved 1309.675 446 230.577 0.199074 -0.4048945
Moved 1309.69 446 235.3971 0.199074 -0.3924972
Moved 1309.706 446 239.4215 0.199074 -0.3821464
Moved 1309.72 446 240.5776 0.199074 -0.3791728
Moved 1309.737 446 242.0205 0.199074 -0.3754617
Moved 1309.753 446 244.9268 0.199074 -0.3679868
Stationary 1309.766 446 244.9268 0.199074 -0.3679868
Moved 1309.781 446 246.0288 0.199074 -0.3651522
Stationary 1309.797 446 246.0288 0.199074 -0.3651522
Moved 1309.812 446 247.3745 0.199074 -0.3616912
Stationary 1309.828 446 247.3745 0.199074 -0.3616912
Moved 1309.843 438.1995 247 0.1810173 -0.3626543
Moved 1309.86 438 248.2397 0.1805556 -0.3594657
Moved 1309.875 436.5 248 0.1770833 -0.3600824
Stationary 1309.89 436.5 248 0.1770833 -0.3600824
Moved 1309.906 435.9323 248 0.1757691 -0.3600824
Moved 1309.921 436 249 0.1759259 -0.3575103
Stationary 1309.936 436 249 0.1759259 -0.3575103
Stationary 1309.951 436 249 0.1759259 -0.3575103
Stationary 1309.966 436 249 0.1759259 -0.3575103
Moved 1309.981 449.2834 249 0.2066746 -0.3575103
Moved 1310.001 458.4305 249 0.2278483 -0.3575103
Moved 1310.014 469.4408 249 0.2533351 -0.3575103
Moved 1310.029 479.4706 249 0.2765522 -0.3575103
Moved 1310.045 490.512 243.488 0.302111 -0.3716871
Moved 1310.061 499.3745 240.7709 0.3226262 -0.3786758
Moved 1310.075 508.3453 241 0.343392 -0.3780865
Moved 1310.09 516.6338 241 0.3625782 -0.3780865
Moved 1310.108 523.5 241 0.3784722 -0.3780865
Moved 1310.122 528.303 241 0.3895902 -0.3780865
Moved 1310.145 537.6464 238.4512 0.4112184 -0.3846422
Stationary 1310.156 537.6464 238.4512 0.4112184 -0.3846422
Moved 1310.168 540.9838 238 0.4189438 -0.3858025
Moved 1310.183 543.8533 236.5734 0.4255863 -0.3894719
Moved 1310.199 545.7446 237 0.4299645 -0.3883744
Moved 1310.213 547.3148 235.6852 0.4335991 -0.3917562
Moved 1310.229 549.5956 236 0.4388786 -0.3909465
Moved 1310.245 550.8409 234.1591 0.4417614 -0.3956815
Moved 1310.262 552.2834 232.7167 0.4451005 -0.3993913
Ended 1310.276 553 232 0.4467593 -0.4012346
Accept 1310.317 2 do
