come and see our new car
come and see our new car
FixStart
0.6 0.6
432 388.8
Began 1608.131 454 266 0.2175926 -0.3137861
Stationary 1608.151 454 266 0.2175926 -0.3137861
Stationary 1608.165 454 266 0.2175926 -0.3137861
Stationary 1608.181 454 266 0.2175926 -0.3137861
Stationary 1608.196 454 266 0.2175926 -0.3137861
Stationary 1608.212 454 266 0.2175926 -0.3137861
Stationary 1608.226 454 266 0.2175926 -0.3137861
Stationary 1608.241 454 266 0.2175926 -0.3137861
Stationary 1608.26 454 266 0.2175926 -0.3137861
Stationary 1608.271 454 266 0.2175926 -0.3137861
Stationary 1608.288 454 266 0.2175926 -0.3137861
Moved 1608.303 443.4599 266 0.1931943 -0.3137861
Moved 1608.32 440.0848 266 0.1853815 -0.3137861
Moved 1608.334 434.6254 257.4006 0.172744 -0.3359038
Moved 1608.353 423.2009 248.2673 0.1462984 -0.3593948
Moved 1608.365 408.3077 235.2798 0.1118234 -0.392799
Moved 1608.38 392.3032 219.3032 0.07477591 -0.4338909
Moved 1608.397 376.3589 201.4948 0.03786783 -0.4796946
Moved 1608.412 364.5797 188.2771 0.01060108 -0.5136907
Moved 1608.426 356.2727 178.5272 -0.008628021 -0.5387674
Moved 1608.442 350.5249 172.5249 -0.02193302 -0.5542055
Moved 1608.458 346.0898 166.7864 -0.03219957 -0.5689651
Moved 1608.474 342.5132 162.5133 -0.04047861 -0.5799555
Moved 1608.488 339.6275 159.6274 -0.04715855 -0.5873779
Moved 1608.504 338.372 156.3719 -0.05006478 -0.5957512
Moved 1608.519 338 154.9281 -0.05092591 -0.5994648
Stationary 1608.534 338 154.9281 -0.05092591 -0.5994648
Moved 1608.549 338 153.6261 -0.05092591 -0.6028135
Stationary 1608.566 338 154 -0.05092591 -0.6018518
Stationary 1608.581 338 154 -0.05092591 -0.6018518
Moved 1608.596 365.8925 172.0629 0.01363993 -0.5553939
Moved 1608.612 382.1071 188.1071 0.05117377 -0.514128
Moved 1608.626 401.5857 209.1832 0.09626309 -0.4599196
Moved 1608.642 426.4579 236.9532 0.1538376 -0.3884948
Moved 1608.658 441.5 257.5 0.1886574 -0.3356482
Moved 1608.673 459.377 284.7629 0.2300394 -0.2655274
Moved 1608.689 474.1253 308.4005 0.2641789 -0.2047313
Moved 1608.704 486.5836 327.8577 0.2930177 -0.154687
Moved 1608.72 495.6622 341.9933 0.3140328 -0.1183299
Moved 1608.736 504.1619 352.7833 0.3337081 -0.09057802
Moved 1608.751 509.911 359.9111 0.3470163 -0.07224519
Moved 1608.765 517.082 371.3312 0.3636158 -0.04287233
Moved 1608.781 518.5272 374.0363 0.3669612 -0.03591506
Moved 1608.797 523.8076 383.6152 0.3791843 -0.01127777
Moved 1608.812 526.7896 388.1843 0.3860869 0.0004739722
Moved 1608.828 528.8376 390.6753 0.3908279 0.006880818
Moved 1608.843 530.2805 393.5611 0.3941679 0.01430319
Moved 1608.858 531 394 0.3958333 0.01543206
Moved 1608.874 532.1634 395.1634 0.3985264 0.01842428
Stationary 1608.889 532 395 0.3981481 0.01800408
Stationary 1608.905 532 395 0.3981481 0.01800408
Stationary 1608.92 532 395 0.3981481 0.01800408
Moved 1608.936 532 374.3483 0.3981481 -0.03511256
Moved 1608.952 532 357.0338 0.3981481 -0.07964569
Moved 1608.966 526.2084 326.8373 0.3847416 -0.1573116
Moved 1608.979 513.2897 278.3761 0.3548372 -0.2819545
Moved 1608.998 498.2454 235.8979 0.3200126 -0.391209
Moved 1609.013 476.5 173.5 0.2696759 -0.5516976
Moved 1609.037 469.1842 136.6974 0.2527413 -0.6463544
Moved 1609.049 469 122.5095 0.2523148 -0.6828458
Stationary 1609.062 469 122.5095 0.2523148 -0.6828458
Moved 1609.073 469 112.3284 0.2523148 -0.7090319
Moved 1609.088 469 96.2207 0.2523148 -0.750461
Moved 1609.105 469 90.84351 0.2523148 -0.7642913
Moved 1609.12 469 81.51697 0.2523148 -0.7882794
Moved 1609.136 473.5834 78.7262 0.2629244 -0.7954574
Moved 1609.15 476 74.79834 0.2685185 -0.8055597
Moved 1609.166 477.5 75 0.2719907 -0.8050412
Stationary 1609.181 477.5 75 0.2719907 -0.8050412
Stationary 1609.198 477.5 75 0.2719907 -0.8050412
Moved 1609.211 477 75 0.2708333 -0.8050412
Moved 1609.227 477 94.27917 0.2708333 -0.7554548
Moved 1609.243 477 112.8947 0.2708333 -0.7075755
Moved 1609.259 463.3111 139.4445 0.239146 -0.6392889
Moved 1609.274 456.3309 169.0104 0.2229881 -0.5632449
Moved 1609.288 449.8793 182.8019 0.2080539 -0.527773
Moved 1609.305 440.4561 199.6466 0.1862411 -0.4844481
Moved 1609.32 434.5 209 0.1724537 -0.4603909
Moved 1609.335 423.2009 226.0656 0.1462983 -0.416498
Moved 1609.351 411.419 240.9763 0.1190255 -0.3781473
Moved 1609.367 396.5665 257.7202 0.08464475 -0.335082
Moved 1609.382 385.3745 269.6255 0.05873739 -0.3044612
Moved 1609.399 377 282.5 0.03935188 -0.2713478
Moved 1609.413 369.1946 292.7275 0.02128373 -0.2450423
Moved 1609.428 361.983 301.4204 0.004590253 -0.2226842
Moved 1609.443 356.8834 307.5399 -0.007214348 -0.2069448
Moved 1609.462 350.0435 316.9565 -0.02304743 -0.1827252
Moved 1609.474 345.2721 324.7279 -0.03409232 -0.1627369
Moved 1609.49 340.3757 332.2486 -0.04542663 -0.1433935
Moved 1609.505 337.3571 336.9644 -0.05241424 -0.1312644
Moved 1609.521 335.2367 341.29 -0.05732254 -0.1201389
Moved 1609.536 333.7903 344.4194 -0.06067063 -0.11209
Moved 1609.551 334 346.4203 -0.06018519 -0.1069435
Moved 1609.567 333 349.4407 -0.06249999 -0.09917514
Moved 1609.582 333 352.3286 -0.06249999 -0.09174754
Moved 1609.598 333 354.2277 -0.06249999 -0.08686301
Ended 1609.613 333 357.1105 -0.06249999 -0.07944837
Candidates 1609.813 12 cuba cover vibe china dive since zone signs choice zones fund funds
Began 1610.856 373 307 0.0300926 -0.2083334
Stationary 1610.876 373 307 0.0300926 -0.2083334
Stationary 1610.89 373 307 0.0300926 -0.2083334
Stationary 1610.907 373 307 0.0300926 -0.2083334
Stationary 1610.922 373 307 0.0300926 -0.2083334
Stationary 1610.938 373 307 0.0300926 -0.2083334
Stationary 1610.953 373 307 0.0300926 -0.2083334
Ended 1610.968 373 307 0.0300926 -0.2083334
NextCandidatePanel 1611.028
Began 1611.521 396 253 0.08333336 -0.3472223
Stationary 1611.538 396 253 0.08333336 -0.3472223
Stationary 1611.554 396 253 0.08333336 -0.3472223
Stationary 1611.568 396 253 0.08333336 -0.3472223
Stationary 1611.584 396 253 0.08333336 -0.3472223
Stationary 1611.601 396 253 0.08333336 -0.3472223
Stationary 1611.618 396 253 0.08333336 -0.3472223
Stationary 1611.635 396 253 0.08333336 -0.3472223
Stationary 1611.647 396 253 0.08333336 -0.3472223
Stationary 1611.662 396 253 0.08333336 -0.3472223
Stationary 1611.677 396 253 0.08333336 -0.3472223
Stationary 1611.691 396 253 0.08333336 -0.3472223
Stationary 1611.708 396 253 0.08333336 -0.3472223
Stationary 1611.723 396 253 0.08333336 -0.3472223
Stationary 1611.738 396 253 0.08333336 -0.3472223
Stationary 1611.755 396 253 0.08333336 -0.3472223
Stationary 1611.769 396 253 0.08333336 -0.3472223
Stationary 1611.789 396 253 0.08333336 -0.3472223
Stationary 1611.8 396 253 0.08333336 -0.3472223
Ended 1611.817 396 253 0.08333336 -0.3472223
NextCandidatePanel 1611.875
Began 1612.474 388 225 0.06481478 -0.4192387
Stationary 1612.493 388 225 0.06481478 -0.4192387
Stationary 1612.51 388 225 0.06481478 -0.4192387
Stationary 1612.525 388 225 0.06481478 -0.4192387
Ended 1612.54 388 225 0.06481478 -0.4192387
NextCandidatePanel 1612.599
Began 1613.214 379 227 0.04398147 -0.4140947
Stationary 1613.232 379 227 0.04398147 -0.4140947
Stationary 1613.248 379 227 0.04398147 -0.4140947
Stationary 1613.264 379 227 0.04398147 -0.4140947
Stationary 1613.28 379 227 0.04398147 -0.4140947
Stationary 1613.295 379 227 0.04398147 -0.4140947
Ended 1613.309 379 227 0.04398147 -0.4140947
NextCandidatePanel 1613.37
Began 1613.817 378 232 0.04166663 -0.4012346
Stationary 1613.833 378 232 0.04166663 -0.4012346
Stationary 1613.851 378 232 0.04166663 -0.4012346
Stationary 1613.863 378 232 0.04166663 -0.4012346
Stationary 1613.88 378 232 0.04166663 -0.4012346
Ended 1613.895 378 232 0.04166663 -0.4012346
NextCandidatePanel 1613.94
Began 1613.97 376 232 0.03703703 -0.4012346
Stationary 1613.988 376 232 0.03703703 -0.4012346
Stationary 1614.003 376 232 0.03703703 -0.4012346
Stationary 1614.019 376 232 0.03703703 -0.4012346
Ended 1614.034 376 232 0.03703703 -0.4012346
Cancel 1614.095
Began 1614.452 406 271 0.1064815 -0.300926
Stationary 1614.463 406 271 0.1064815 -0.300926
Stationary 1614.473 406 271 0.1064815 -0.300926
Stationary 1614.483 406 271 0.1064815 -0.300926
Stationary 1614.495 406 271 0.1064815 -0.300926
Stationary 1614.51 406 271 0.1064815 -0.300926
Stationary 1614.526 406 271 0.1064815 -0.300926
Stationary 1614.542 406 271 0.1064815 -0.300926
Stationary 1614.558 406 271 0.1064815 -0.300926
Stationary 1614.573 406 271 0.1064815 -0.300926
Stationary 1614.589 406 271 0.1064815 -0.300926
Moved 1614.604 394.353 263.5883 0.07952084 -0.3199891
Moved 1614.619 386.6253 254.0629 0.06163259 -0.3444885
Moved 1614.635 378.9976 244.9971 0.04397591 -0.3678059
Moved 1614.65 368.8965 234.8965 0.0205936 -0.3937848
Moved 1614.666 357.0238 216.3651 -0.006889353 -0.4414477
