experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 591.6743 456 345 0.2222222 -0.1105968
Stationary 591.6941 456 345 0.2222222 -0.1105968
Stationary 591.7089 456 345 0.2222222 -0.1105968
Stationary 591.7231 456 345 0.2222222 -0.1105968
Moved 591.7391 442.5289 345 0.1910391 -0.1105968
Moved 591.756 433.0041 356.3311 0.168991 -0.08145305
Moved 591.7695 417.7962 365.7661 0.1337875 -0.05718607
Moved 591.7859 402.5 377 0.09837966 -0.02829226
Moved 591.801 380.7174 397.5971 0.047957 0.02468392
Moved 591.8154 359.3079 417.5793 -0.001602024 0.07607828
Moved 591.8314 338.6879 438.8746 -0.04933362 0.1308502
Moved 591.8473 325.9362 453.0729 -0.07885143 0.1673685
Moved 591.8652 315.9796 464.4519 -0.1018991 0.1966355
Moved 591.8795 309.4894 471.3882 -0.1169227 0.2144758
Moved 591.8929 302.3974 477.2821 -0.1333394 0.229635
Moved 591.9095 300.0436 478.6376 -0.1387879 0.2331213
Moved 591.9234 297.2726 481.7275 -0.1452024 0.2410686
Moved 591.9402 295.6938 482 -0.148857 0.2417695
Moved 591.956 294.2538 483 -0.1521902 0.2443414
Moved 591.9714 294 484.1857 -0.1527778 0.2473911
Moved 591.9858 293 484 -0.1550926 0.2469135
Moved 592.0022 291.9309 484 -0.1575674 0.2469135
Stationary 592.0187 291.9309 484 -0.1575674 0.2469135
Stationary 592.0326 291.9309 484 -0.1575674 0.2469135
Moved 592.0469 289.9649 469.5092 -0.1621182 0.2096428
Moved 592.0637 288.5224 456.7012 -0.1654575 0.1767007
Moved 592.0783 287.0831 419.4957 -0.1687891 0.08100729
Moved 592.0929 287 396.416 -0.1689815 0.02164609
Moved 592.1083 287 367.256 -0.1689815 -0.0533538
Moved 592.1257 287 350.0837 -0.1689815 -0.09752147
Moved 592.1407 296.423 323.4232 -0.1471689 -0.1660925
Moved 592.1564 297.5839 306.1206 -0.1444817 -0.2105952
Moved 592.1718 299.2208 292.013 -0.1406926 -0.2468801
Moved 592.1864 302.6653 272.347 -0.1327192 -0.2974615
Moved 592.2029 305.1682 259.2433 -0.1269256 -0.3311643
Moved 592.2175 307.5247 250.3765 -0.1214705 -0.3539701
Moved 592.2327 308.7149 245.1403 -0.1187154 -0.3674376
Moved 592.2498 309 239.8289 -0.1180555 -0.3810986
Moved 592.2655 310.4991 235.5029 -0.1145855 -0.392225
Moved 592.2805 311 234.0624 -0.113426 -0.3959301
Moved 592.2943 312.3766 231.2469 -0.1102394 -0.4031715
Moved 592.3102 312.8124 231 -0.1092305 -0.4038066
Moved 592.3251 314.2336 229.7664 -0.1059406 -0.4069796
Moved 592.3411 321.5 230 -0.08912037 -0.4063786
Moved 592.3556 373.4098 263.6311 0.03104111 -0.3198789
