want to join us for lunch
want to join us for lunch
Basic
0.6 0.6
432 388.8
Began 451.9008 281 468 -0.1828704 0.2057612
Stationary 451.9205 281 468 -0.1828704 0.2057612
Stationary 451.936 281 468 -0.1828704 0.2057612
Stationary 451.9509 281 468 -0.1828704 0.2057612
Stationary 451.9662 281 468 -0.1828704 0.2057612
Moved 451.9806 263.2906 456.9316 -0.2238645 0.1772931
Moved 451.9958 238.6354 433.393 -0.2809366 0.1167515
Moved 452.0119 223.4547 415.7903 -0.3160772 0.07147714
Moved 452.0273 207.8607 392.1484 -0.3521743 0.01066957
Moved 452.0431 194.3075 367.0381 -0.3835475 -0.05391423
Moved 452.0584 184.2014 349.631 -0.4069411 -0.09868566
Moved 452.0742 177.7308 337.9155 -0.4219194 -0.1288181
Moved 452.0901 173.2221 328.4442 -0.4323563 -0.1531787
Moved 452.1057 171.5683 320.8415 -0.4361845 -0.1727329
Moved 452.1221 171 317.9712 -0.4375 -0.1801153
Moved 452.1353 171 312.9144 -0.4375 -0.1931214
Moved 452.1516 185.5325 304.2805 -0.40386 -0.215328
Moved 452.1659 213.1434 293.6498 -0.3399458 -0.2426703
Moved 452.1824 247.4355 283.5397 -0.2605661 -0.2686737
Moved 452.1988 281.8291 276.5082 -0.1809512 -0.2867589
Moved 452.2122 311.6561 270.0688 -0.1119071 -0.3033211
Moved 452.2278 329.5 265 -0.07060184 -0.3163581
Moved 452.2461 345.2841 256.5842 -0.03406455 -0.3380035
Moved 452.2581 361.4821 250.0974 0.003430645 -0.3546878
Moved 452.2741 375.3566 242.9912 0.03554771 -0.3729651
Moved 452.2908 386.9004 238.6624 0.06226937 -0.3840989
Moved 452.3059 393.2171 235.4457 0.07689149 -0.3923723
Moved 452.3204 399.006 235 0.0902916 -0.3935186
Moved 452.3366 403.3248 233.5583 0.1002889 -0.3972265
Moved 452.3515 404.7408 234 0.1035666 -0.3960905
Moved 452.3672 407.8972 234 0.1108731 -0.3960905
Moved 452.3826 409.409 234 0.1143726 -0.3960905
Moved 452.3976 412 282.5732 0.1203704 -0.2711594
Moved 452.4131 412 329.1037 0.1203704 -0.1514823
Moved 452.4286 399.2175 364.1301 0.09078114 -0.0613937
Moved 452.4453 392.4806 391.0776 0.07518658 0.007915497
Moved 452.4587 387.1472 407.7288 0.06284088 0.05074273
Moved 452.4751 377.2666 439.9335 0.03996909 0.1335737
Moved 452.4901 371.5336 458.3992 0.02669811 0.1810679
Moved 452.5062 362.1628 490.0792 0.005006392 0.2625492
Moved 452.5211 351.9274 522.2268 -0.0186865 0.3452335
Ended 452.5379 341.9511 579.4221 -0.04177978 0.4923406
Candidates 452.6737 12 want rant any danny range rabbit abu table danger same randy fame
Began 452.9627 382 346 0.05092591 -0.1080248
Stationary 452.982 382 346 0.05092591 -0.1080248
Stationary 452.9986 382 346 0.05092591 -0.1080248
Stationary 453.0145 382 346 0.05092591 -0.1080248
Stationary 453.029 382 346 0.05092591 -0.1080248
Moved 453.0441 382 360.8972 0.05092591 -0.06970888
Moved 453.0594 387.1219 384.9023 0.06278217 -0.007967302
Moved 453.0755 391.6087 403.0436 0.07316838 0.03869245
Moved 453.0904 399.5975 435.39 0.09166092 0.1218876
Moved 453.1066 403.4004 455.2031 0.1004638 0.1728473
Moved 453.1219 407.4119 475.9221 0.1097497 0.2261371
Moved 453.1389 409.5179 486.6251 0.1146247 0.2536654
Moved 453.1526 410 492.7872 0.1157407 0.2695142
Moved 453.1688 411.368 497.1039 0.1189074 0.2806169
Moved 453.1841 411 499.2355 0.1180555 0.2860995
Moved 453.1989 411 501.8973 0.1180555 0.2929458
Moved 453.2147 411 503.3762 0.1180555 0.2967493
Moved 453.2301 411 503.8329 0.1180555 0.297924
Moved 453.2456 411 505.2632 0.1180555 0.3016029
Ended 453.259 411 505 0.1180555 0.3009258
Accept 453.3031 0 want
Began 453.5506 351 522 -0.02083332 0.3446501
Stationary 453.5682 351 522 -0.02083332 0.3446501
Stationary 453.5826 351 522 -0.02083332 0.3446501
Stationary 453.599 351 522 -0.02083332 0.3446501
Stationary 453.6148 351 522 -0.02083332 0.3446501
Moved 453.6298 364.1747 522 0.009663601 0.3446501
Moved 453.646 391.0191 522 0.07180353 0.3446501
Moved 453.6608 419.5 535.5 0.1377314 0.3793723
Moved 453.6768 447.1268 535.5463 0.2016823 0.3794915
Moved 453.6922 469.5591 537.304 0.2536091 0.3840121
Moved 453.7061 482.7578 539.4105 0.2841614 0.3894303
Moved 453.7228 496.5885 541.0588 0.3161771 0.3936698
Moved 453.7402 510.9758 543.9952 0.3494809 0.4012221
Moved 453.7535 519.5659 544 0.3693655 0.4012345
Moved 453.7687 526.9025 544 0.3863485 0.4012345
Moved 453.7844 530.363 544 0.3943588 0.4012345
Moved 453.7997 532.7913 544 0.3999799 0.4012345
Moved 453.8148 535.6753 544 0.4066558 0.4012345
Moved 453.8306 536.7902 545 0.4092365 0.4038065
Moved 453.8458 538.2174 545 0.4125403 0.4038065
Moved 453.8618 540.3458 545 0.4174671 0.4038065
Ended 453.8773 543.2227 545 0.4241265 0.4038065
Candidates 453.9187 12 to too top tip tp ttp yup yo you rip rp up
Began 454.299 440 347 0.1851852 -0.1054527
Stationary 454.3089 440 347 0.1851852 -0.1054527
Stationary 454.3221 440 347 0.1851852 -0.1054527
Stationary 454.3374 440 347 0.1851852 -0.1054527
Stationary 454.3526 440 347 0.1851852 -0.1054527
Stationary 454.3685 440 347 0.1851852 -0.1054527
Moved 454.3867 440 365.5189 0.1851852 -0.05782186
Moved 454.4095 440 403.5 0.1851852 0.03986618
Stationary 454.4204 440 403.5 0.1851852 0.03986618
Moved 454.432 448.4614 434.6833 0.2047717 0.1200703
Moved 454.4484 453.1381 456.6906 0.2155976 0.1766732
Moved 454.4637 455.8066 466.6465 0.2217747 0.20228
Moved 454.4778 458.5067 475.5201 0.2280247 0.2251031
Moved 454.4923 458.6158 479.2317 0.2282774 0.2346493
Moved 454.5082 459 483.0785 0.2291666 0.2445434
Moved 454.5243 460.4691 484.4691 0.2325674 0.2481201
Moved 454.5383 460 486.6124 0.2314815 0.2536325
Moved 454.5536 460 488.0579 0.2314815 0.2573506
Moved 454.5702 460 489.4836 0.2314815 0.2610173
Ended 454.5859 460 490 0.2314815 0.2623456
Accept 454.6267 0 to
Began 454.8932 447 392 0.2013889 0.01028803
Stationary 454.908 447 392 0.2013889 0.01028803
Stationary 454.9242 447 392 0.2013889 0.01028803
Stationary 454.943 447 392 0.2013889 0.01028803
Stationary 454.9547 447 392 0.2013889 0.01028803
Stationary 454.9706 447 392 0.2013889 0.01028803
Stationary 454.9854 447 392 0.2013889 0.01028803
Stationary 455.0014 447 392 0.2013889 0.01028803
Stationary 455.0161 447 392 0.2013889 0.01028803
Stationary 455.031 447 392 0.2013889 0.01028803
Moved 455.0474 467.7506 409.3344 0.2494227 0.05487238
Moved 455.0646 480.5 421.5 0.2789353 0.08616251
Moved 455.0789 498.6963 448.595 0.3210562 0.1558514
Moved 455.0945 507.5026 461.7538 0.3414411 0.189696
Moved 455.1095 518.1188 479.6783 0.3660159 0.2357979
Moved 455.1253 524.6421 491.3438 0.381116 0.2658019
Moved 455.1403 529.0817 498.8028 0.3913927 0.2849865
Moved 455.1559 533.853 507.2795 0.4024374 0.3067887
Moved 455.1716 537.2696 513.5392 0.4103463 0.3228888
Moved 455.1872 538 517.733 0.4120371 0.3336754
Moved 455.2024 539.0204 521.041 0.4143992 0.3421834
Moved 455.217 539 523.8936 0.4143518 0.3495206
Moved 455.233 539 526.3572 0.4143518 0.3558569
Moved 455.2477 539 529.0238 0.4143518 0.3627155
Moved 455.2649 539 531.9097 0.4143518 0.370138
