a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Began 158.1812 459 345 0.2291666 -0.1105968
Stationary 158.2014 459 345 0.2291666 -0.1105968
Stationary 158.2185 459 345 0.2291666 -0.1105968
Stationary 158.2316 459 345 0.2291666 -0.1105968
Moved 158.2465 448.938 345 0.2058749 -0.1105968
Moved 158.2622 437.1582 345 0.1786069 -0.1105968
Moved 158.2771 422.8205 345 0.1454177 -0.1105968
Moved 158.2931 405.5 345 0.1053241 -0.1105968
Moved 158.3102 391.6708 345 0.07331202 -0.1105968
Moved 158.3235 372.2091 345 0.02826184 -0.1105968
Moved 158.3383 354.4617 345 -0.01282007 -0.1105968
Moved 158.3536 336.966 345 -0.05331948 -0.1105968
Moved 158.3701 322.2 352.56 -0.08749992 -0.09115234
Moved 158.3853 302.672 354.904 -0.1327038 -0.08512355
Moved 158.3997 292.6819 356.8131 -0.155829 -0.08021319
Moved 158.4176 286.5896 357 -0.1699316 -0.07973259
Moved 158.4326 279.983 358.2034 -0.1852246 -0.07663734
Moved 158.4466 275.2797 359.5734 -0.1961118 -0.07311362
Moved 158.4618 272.125 360 -0.2034144 -0.07201654
Moved 158.4777 268.1057 361.2981 -0.2127182 -0.06867774
Moved 158.493 266.6722 361 -0.2160365 -0.06944452
Moved 158.5144 263.6035 362 -0.2231402 -0.06687243
Stationary 158.5249 263.6035 362 -0.2231402 -0.06687243
Stationary 158.5381 263.6035 362 -0.2231402 -0.06687243
Moved 158.5534 262.6901 362 -0.2252544 -0.06687243
Stationary 158.5696 262.6901 362 -0.2252544 -0.06687243
Stationary 158.5852 263 362 -0.2245371 -0.06687243
Ended 158.602 263 362 -0.2245371 -0.06687243
Candidates 158.7361 12 a as gas ass faa aa has da fda s ga had
Began 159.0143 420 279 0.1388889 -0.2803498
Stationary 159.0334 420 279 0.1388889 -0.2803498
Stationary 159.0471 420 279 0.1388889 -0.2803498
Stationary 159.062 420 279 0.1388889 -0.2803498
Stationary 159.0775 420 279 0.1388889 -0.2803498
Moved 159.0931 420 304.6121 0.1388889 -0.2144752
Moved 159.1095 420 335.1651 0.1388889 -0.1358922
Moved 159.1253 420 359 0.1388889 -0.07458848
Moved 159.1403 420 378.5593 0.1388889 -0.02428157
Moved 159.156 420 391.7031 0.1388889 0.00952442
Moved 159.1701 420 399.2302 0.1388889 0.02888405
Moved 159.1873 420 405.5895 0.1388889 0.04524046
Moved 159.2014 420 407.285 0.1388889 0.04960138
Moved 159.2166 420 409.5814 0.1388889 0.05550761
Moved 159.2321 420 410.9156 0.1388889 0.05893939
Moved 159.248 420 411.9523 0.1388889 0.06160571
Moved 159.2631 420 413.3036 0.1388889 0.06508121
Stationary 159.2782 420 413.3036 0.1388889 0.06508121
Stationary 159.2925 420 413 0.1388889 0.06430033
Ended 159.3111 420 413 0.1388889 0.06430033
Accept 159.368 0 a
Began 159.5978 380 282 0.04629632 -0.2726338
Stationary 159.6199 380 282 0.04629632 -0.2726338
Stationary 159.6352 380 282 0.04629632 -0.2726338
Stationary 159.6497 380 282 0.04629632 -0.2726338
Stationary 159.6637 380 282 0.04629632 -0.2726338
Stationary 159.6795 380 282 0.04629632 -0.2726338
Stationary 159.6938 380 282 0.04629632 -0.2726338
Moved 159.7096 380 294.1838 0.04629632 -0.2412967
Moved 159.7255 386.8011 293.8502 0.06203959 -0.2421549
Moved 159.7401 389.2164 295.2164 0.06763051 -0.2386408
Moved 159.7557 392.1613 299.7419 0.07444748 -0.2270012
Moved 159.7711 394.8959 302.8959 0.0807776 -0.2188891
Moved 159.7874 400.2414 308.2414 0.09315134 -0.2051405
Moved 159.8022 404.0258 314.3763 0.1019115 -0.1893614
Moved 159.8184 409.1385 321.1732 0.1137466 -0.1718797
Moved 159.8337 419.4839 331.4839 0.1376943 -0.1453602
Moved 159.8492 431.8392 345.2658 0.1662945 -0.1099131
Moved 159.8645 445.6299 360.9835 0.1982172 -0.06948698
Moved 159.8788 458.3102 373.1646 0.2275698 -0.03815702
Moved 159.8942 475 387 0.2662037 -0.002572055
Moved 159.9102 490.282 398.1183 0.3015788 0.02602451
