a good response to the question
a good response to the question
Basic
0.6 0.6
432 388.8
Began 4908.287 153 301 -0.4791667 -0.2237656
Stationary 4908.306 153 301 -0.4791667 -0.2237656
Stationary 4908.321 153 301 -0.4791667 -0.2237656
Stationary 4908.336 153 301 -0.4791667 -0.2237656
Stationary 4908.351 153 301 -0.4791667 -0.2237656
Ended 4908.366 153 301 -0.4791667 -0.2237656
Candidates 4908.424 4 z a x s
Began 4908.925 396 441 0.08333336 0.1363167
Stationary 4908.938 396 441 0.08333336 0.1363167
Stationary 4908.952 396 441 0.08333336 0.1363167
Stationary 4908.967 396 441 0.08333336 0.1363167
Moved 4908.983 370.9329 441 0.02530754 0.1363167
Moved 4908.999 346.1135 441 -0.03214473 0.1363167
Moved 4909.014 302.2257 441 -0.1337369 0.1363167
Ended 4909.028 285 441 -0.1736111 0.1363167
Accept 4909.09 1 a
Began 4910.4 351 419 -0.02083332 0.07973251
Stationary 4910.416 351 419 -0.02083332 0.07973251
Stationary 4910.431 351 419 -0.02083332 0.07973251
Stationary 4910.446 351 419 -0.02083332 0.07973251
Stationary 4910.461 351 419 -0.02083332 0.07973251
Stationary 4910.476 351 419 -0.02083332 0.07973251
Stationary 4910.493 351 419 -0.02083332 0.07973251
Stationary 4910.509 351 419 -0.02083332 0.07973251
Stationary 4910.53 351 419 -0.02083332 0.07973251
Stationary 4910.541 351 419 -0.02083332 0.07973251
Stationary 4910.553 351 419 -0.02083332 0.07973251
Stationary 4910.568 351 419 -0.02083332 0.07973251
Stationary 4910.585 351 419 -0.02083332 0.07973251
Stationary 4910.601 351 419 -0.02083332 0.07973251
Moved 4910.614 364.7617 419 0.01102259 0.07973251
Moved 4910.631 370.3214 419 0.02389213 0.07973251
Moved 4910.647 377.337 427.8719 0.04013201 0.1025511
Moved 4910.662 387.6424 429.1159 0.06398697 0.1057507
Moved 4910.677 396.764 432.2546 0.08510182 0.1138236
Moved 4910.692 406.4333 436.7166 0.1074845 0.1252999
Moved 4910.708 417.0759 441.0284 0.1321203 0.1363899
Moved 4910.723 425.7058 445.3529 0.1520967 0.1475125
Moved 4910.738 433.7171 450.6955 0.1706414 0.1612538
Moved 4910.753 444.0418 457.0261 0.1945413 0.1775363
Moved 4910.77 454.0413 462.7379 0.2176882 0.1922271
Moved 4910.786 464.1217 468.4981 0.2410225 0.2070424
Moved 4910.8 472.9146 472.9573 0.2613763 0.2185114
