a picture is worth many words
a picture is worth many words
Basic
0.6 0.6
432 388.8
Began 4927.341 200 383 -0.3703704 -0.01286016
Stationary 4927.361 200 383 -0.3703704 -0.01286016
Stationary 4927.375 200 383 -0.3703704 -0.01286016
Ended 4927.391 200 383 -0.3703704 -0.01286016
Candidates 4927.433 4 a s d f
Began 4927.942 369 411 0.02083332 0.05915629
Stationary 4927.96 369 411 0.02083332 0.05915629
Stationary 4927.976 369 411 0.02083332 0.05915629
Stationary 4927.991 369 411 0.02083332 0.05915629
Moved 4928.007 382.6815 439.363 0.05250345 0.1321064
Moved 4928.023 391.3405 459.4612 0.0725475 0.1837992
Ended 4928.038 400 487 0.09259263 0.2546296
Accept 4928.081 0 a
Began 4928.466 549 477 0.4375 0.2289094
Stationary 4928.484 549 477 0.4375 0.2289094
Stationary 4928.499 549 477 0.4375 0.2289094
Stationary 4928.514 549 477 0.4375 0.2289094
Stationary 4928.53 549 477 0.4375 0.2289094
Stationary 4928.545 549 477 0.4375 0.2289094
Stationary 4928.56 549 477 0.4375 0.2289094
Stationary 4928.576 549 477 0.4375 0.2289094
Moved 4928.593 537.5835 477 0.4110729 0.2289094
Moved 4928.608 532.8867 477 0.4002006 0.2289094
Moved 4928.623 527.0817 477 0.3867632 0.2289094
Moved 4928.639 517.5716 477 0.3647491 0.2289094
Moved 4928.654 510.1432 477 0.3475536 0.2289094
Moved 4928.669 502.9781 482.6307 0.3309678 0.2433916
Moved 4928.686 495.7911 485.2418 0.3143312 0.2501073
Moved 4928.7 490.5521 486.2896 0.3022039 0.2528024
Moved 4928.715 483.7902 487.8024 0.2865514 0.2566934
Moved 4928.732 477.8135 489.2966 0.2727164 0.2605366
Moved 4928.748 472.7941 490 0.2610974 0.2623456
Moved 4928.761 467.3066 490 0.2483949 0.2623456
Moved 4928.777 461.1541 491 0.2341531 0.2649176
Moved 4928.793 454.7316 492.0537 0.2192861 0.2676278
Moved 4928.808 450.5077 492 0.2095086 0.2674896
Moved 4928.823 443.5554 492 0.1934152 0.2674896
Moved 4928.84 436.7693 492 0.1777068 0.2674896
Moved 4928.854 431.0813 492 0.1645401 0.2674896
Moved 4928.869 425.2278 492 0.1509903 0.2674896
Moved 4928.886 419.5546 492 0.1378579 0.2674896
Moved 4928.899 415.5884 492 0.128677 0.2674896
Moved 4928.915 411.3297 492 0.1188189 0.2674896
Moved 4928.931 405.6971 492 0.1057804 0.2674896
Moved 4928.945 400.982 492 0.09486575 0.2674896
Moved 4928.962 396.4227 483.653 0.08431176 0.2460209
Moved 4928.978 391.7266 483.3633 0.07344127 0.2452758
Moved 4928.995 386.6999 481.925 0.06180535 0.2415765
Moved 4929.008 382.4585 479.9724 0.05198727 0.2365543
Moved 4929.024 377.3973 476.1179 0.04027148 0.2266405
Moved 4929.039 371.7281 470.7281 0.02714852 0.2127781
Moved 4929.055 363.9159 461.9159 0.009064575 0.1901128
Moved 4929.07 356.2016 454.2015 -0.008792679 0.1702714
Moved 4929.085 349.074 444.3036 -0.02529174 0.1448137
Moved 4929.101 340.1799 434.517 -0.04587993 0.1196424
Moved 4929.117 331.3869 421.5804 -0.06623397 0.08636934
Moved 4929.131 322.5 407.5 -0.08680557 0.05015428
Moved 4929.146 311.8272 394.4363 -0.111511 0.01655414
Moved 4929.162 302.58 379.6332 -0.1329168 -0.02151944
Moved 4929.177 292.2531 363.8969 -0.1568214 -0.06199369
Moved 4929.194 284.3864 350.8954 -0.1750316 -0.0954336
Moved 4929.209 277.7689 342.0955 -0.1903499 -0.1180672
Moved 4929.224 272.0245 332.0428 -0.203647 -0.1439228
Moved 4929.24 266.2588 321.9528 -0.2169936 -0.1698745
Moved 4929.254 263.2785 315.557 -0.2238923 -0.1863246
Moved 4929.271 260.9848 308.939 -0.2292019 -0.2033462
Moved 4929.288 258.0948 300.2844 -0.2358917 -0.2256062
Moved 4929.301 257.0996 298.2989 -0.2381954 -0.2307128
Moved 4929.317 255.6576 295.3152 -0.2415333 -0.2383869
Moved 4929.332 255.2184 293.2184 -0.2425499 -0.2437797
Moved 4929.347 255 291.7776 -0.2430556 -0.2474858
Moved 4929.363 255 290.7557 -0.2430556 -0.250114
Stationary 4929.377 255 290.7557 -0.2430556 -0.250114
Moved 4929.393 255 290 -0.2430556 -0.2520577
Stationary 4929.409 255 290 -0.2430556 -0.2520577
Moved 4929.424 263.6769 290 -0.2229702 -0.2520577
Moved 4929.442 267.0475 298.5713 -0.2151678 -0.2300122
Moved 4929.455 270.8833 303.8444 -0.2062888 -0.2164497
Moved 4929.471 274.0614 308.0818 -0.198932 -0.2055509
Moved 4929.487 279.8612 319.7225 -0.1855064 -0.1756109
Moved 4929.501 283.8315 332.4103 -0.1763159 -0.1429775
Moved 4929.517 286.7085 346.5424 -0.1696563 -0.1066296
Moved 4929.533 289.7881 361.881 -0.1625275 -0.06717854
Moved 4929.546 291.226 382.39 -0.1591991 -0.01442921
Moved 4929.562 291 395.3811 -0.1597222 0.01898424
Moved 4929.578 291 404.8508 -0.1597222 0.04334041
Moved 4929.594 291 420.6274 -0.1597222 0.08391824
Moved 4929.608 292 433.7244 -0.1574074 0.1176039
Moved 4929.624 292 444.7747 -0.1574074 0.1460253
Moved 4929.642 292 454.5 -0.1574074 0.171039
Moved 4929.655 292 463.877 -0.1574074 0.1951567
Moved 4929.67 292 473.9957 -0.1574074 0.2211824
Moved 4929.686 292 481.2051 -0.1574074 0.2397249
Moved 4929.701 292 487.7629 -0.1574074 0.2565917
Moved 4929.717 292 497.8411 -0.1574074 0.2825131
Moved 4929.732 292 502.3754 -0.1574074 0.2941754
Moved 4929.747 292 506.856 -0.1574074 0.3056994
Moved 4929.763 292 510.4477 -0.1574074 0.3149374
Moved 4929.79 292 517 -0.1574074 0.33179
Moved 4929.802 292 519.6196 -0.1574074 0.3385276
Stationary 4929.813 292 519.6196 -0.1574074 0.3385276
Moved 4929.824 292 521.2421 -0.1574074 0.3427007
Moved 4929.84 293 523.689 -0.1550926 0.3489944
Moved 4929.856 294.1334 526.2667 -0.1524691 0.3556241
Moved 4929.87 295.5744 527.5744 -0.1491334 0.3589875
Moved 4929.887 298.0266 529.0133 -0.1434568 0.3626884
Moved 4929.902 302.373 531.9153 -0.1333959 0.3701526
Moved 4929.917 311.2008 533.1558 -0.112961 0.3733429
Moved 4929.932 327.1417 535.0118 -0.076061 0.3781166
Moved 4929.948 344.5435 535 -0.03577898 0.3780863
Moved 4929.963 362.7473 535 0.006359518 0.3780863
Moved 4929.979 380.172 535 0.04669448 0.3780863
Moved 4929.994 391.3174 535 0.07249405 0.3780863
Moved 4930.009 401.5846 526.4154 0.0962606 0.3560066
