a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 2127.276 166 348 -0.4490741 -0.1028807
Stationary 2127.287 166 348 -0.4490741 -0.1028807
Stationary 2127.3 166 348 -0.4490741 -0.1028807
Stationary 2127.315 166 348 -0.4490741 -0.1028807
Stationary 2127.33 166 348 -0.4490741 -0.1028807
Stationary 2127.344 166 348 -0.4490741 -0.1028807
Stationary 2127.366 166 348 -0.4490741 -0.1028807
Moved 2127.377 155.9975 348 -0.4722281 -0.1028807
Moved 2127.392 155.5 348 -0.4733796 -0.1028807
Moved 2127.407 153.0478 348 -0.4790561 -0.1028807
Moved 2127.422 150.2262 348 -0.4855875 -0.1028807
Moved 2127.438 149.1826 348 -0.4880032 -0.1028807
Moved 2127.454 147.7459 348 -0.491329 -0.1028807
Moved 2127.47 146.5 348 -0.4942129 -0.1028807
Moved 2127.485 145.9328 348 -0.4955259 -0.1028807
Moved 2127.5 144.5 348 -0.4988426 -0.1028807
Moved 2127.517 143.5 358.5 -0.5011575 -0.07587456
Moved 2127.53 142.9356 356.0643 -0.5024638 -0.08213906
Stationary 2127.545 142.9356 356.0643 -0.5024638 -0.08213906
Moved 2127.562 141.9881 358.0119 -0.5046572 -0.07712996
Moved 2127.578 142 359.4506 -0.5046296 -0.07342954
Moved 2127.592 141 359.8894 -0.5069445 -0.07230091
Moved 2127.609 141 361.332 -0.5069445 -0.06859069
Moved 2127.623 141 362.3049 -0.5069445 -0.06608821
Moved 2127.64 140.1476 363.8524 -0.5089175 -0.06210821
Moved 2127.655 140 366.5896 -0.5092592 -0.05506798
Moved 2127.669 140 368.4639 -0.5092592 -0.05024718
Moved 2127.685 140 371.3563 -0.5092592 -0.04280789
Moved 2127.701 140 373.8529 -0.5092592 -0.03638656
Moved 2127.717 140 378.1723 -0.5092592 -0.02527708
Moved 2127.732 140 381.4476 -0.5092592 -0.01685303
Moved 2127.748 150.9075 386.9075 -0.4840104 -0.002809925
Moved 2127.763 156.2982 390.149 -0.471532 0.005527308
Moved 2127.779 162 394.5 -0.4583334 0.01671807
Moved 2127.793 168.8529 397.9265 -0.4424702 0.02553092
Moved 2127.81 173.1594 400.7729 -0.4325014 0.03285215
Moved 2127.824 177.4973 401.8324 -0.42246 0.03557707
Moved 2127.84 179.9068 402 -0.4168824 0.03600815
Moved 2127.856 182.7531 403.3766 -0.4102937 0.03954875
Moved 2127.871 185.6353 403 -0.4036221 0.03858017
Moved 2127.886 187.2569 404.2568 -0.3998684 0.04181277
Moved 2127.902 188.6956 404 -0.3965378 0.04115226
Moved 2127.917 190.1376 405.1376 -0.3931999 0.04407824
Moved 2127.931 191.576 405 -0.3898703 0.04372424
Moved 2127.945 192.5 405 -0.3877315 0.04372424
Moved 2127.967 193.0376 405 -0.3864871 0.04372424
Moved 2127.98 194.5289 405 -0.3830349 0.04372424
Moved 2127.994 195.5 405 -0.3807871 0.04372424
Moved 2128.009 196.2025 405 -0.3791609 0.04372424
Stationary 2128.024 196.2025 405 -0.3791609 0.04372424
Moved 2128.039 197.374 405 -0.3764492 0.04372424
Stationary 2128.055 197.374 405 -0.3764492 0.04372424
Moved 2128.071 198.8409 405 -0.3730534 0.04372424
Moved 2128.086 200.2798 405 -0.3697228 0.04372424
Ended 2128.1 201 405 -0.3680556 0.04372424
Candidates 2128.268 12 a as ass sa sad s dad ad add saw da was
Began 2128.853 365 256 0.01157403 -0.3395062
Stationary 2128.873 365 256 0.01157403 -0.3395062
Stationary 2128.887 365 256 0.01157403 -0.3395062
Moved 2128.903 365 284.8798 0.01157403 -0.2652269
Moved 2128.918 365 304.2277 0.01157403 -0.2154637
Moved 2128.934 365 330.073 0.01157403 -0.1489892
Moved 2128.948 365 358.4091 0.01157403 -0.07610846
Moved 2128.965 365 376.7867 0.01157403 -0.02884076
Moved 2128.98 365 393.6216 0.01157403 0.01445888
Moved 2128.994 365 406.9535 0.01157403 0.04874869
Moved 2129.013 365 415.4689 0.01157403 0.0706505
Moved 2129.027 365 422.5 0.01157403 0.08873452
Moved 2129.042 365 430.8571 0.01157403 0.1102292
Moved 2129.057 365 436.6515 0.01157403 0.1251324
Moved 2129.073 365 439.9563 0.01157403 0.1336323
Moved 2129.087 365 443.9615 0.01157403 0.143934
Moved 2129.104 365 448.2735 0.01157403 0.1550244
Moved 2129.118 371.1051 453.4886 0.02570629 0.1684378
Moved 2129.134 374.6211 460.5527 0.03384501 0.1866066
Ended 2129.149 377 466 0.03935188 0.2006171
Accept 2129.176 0 a
Began 2129.918 368 207 0.01851857 -0.465535
Stationary 2129.936 368 207 0.01851857 -0.465535
Stationary 2129.95 368 207 0.01851857 -0.465535
Stationary 2129.965 368 207 0.01851857 -0.465535
Stationary 2129.98 368 207 0.01851857 -0.465535
Stationary 2129.996 368 207 0.01851857 -0.465535
Stationary 2130.012 368 207 0.01851857 -0.465535
Stationary 2130.027 368 207 0.01851857 -0.465535
Stationary 2130.042 368 207 0.01851857 -0.465535
Stationary 2130.058 368 207 0.01851857 -0.465535
Stationary 2130.074 368 207 0.01851857 -0.465535
Stationary 2130.089 368 207 0.01851857 -0.465535
Stationary 2130.112 368 207 0.01851857 -0.465535
Stationary 2130.122 368 207 0.01851857 -0.465535
Moved 2130.134 357.3136 207 -0.006218602 -0.465535
Stationary 2130.151 357.3136 207 -0.006218602 -0.465535
Moved 2130.165 356.6633 207 -0.007723769 -0.465535
Moved 2130.182 355.5 207 -0.01041666 -0.465535
Moved 2130.198 354.8915 214.7594 -0.01182521 -0.4455777
