just in time for the party
just in time for the party
FixStart
0.6 0.6
432 388.8
Began 3708.087 379 355 0.04398147 -0.08487654
Stationary 3708.104 379 355 0.04398147 -0.08487654
Stationary 3708.12 379 355 0.04398147 -0.08487654
Stationary 3708.137 379 355 0.04398147 -0.08487654
Stationary 3708.152 379 355 0.04398147 -0.08487654
Moved 3708.166 384.1372 355 0.05587319 -0.08487654
Moved 3708.182 394.0583 355 0.07883877 -0.08487654
Moved 3708.198 404.112 355 0.102111 -0.08487654
Moved 3708.212 419.67 355 0.1381251 -0.08487654
Moved 3708.228 436.9187 355 0.1780526 -0.08487654
Moved 3708.244 451.2796 355 0.2112954 -0.08487654
Moved 3708.26 464.8169 361.0798 0.2426317 -0.06923918
Moved 3708.274 477.7977 362 0.27268 -0.06687243
Moved 3708.291 487.2622 363 0.2945884 -0.06430049
Moved 3708.305 496.1238 363 0.3151014 -0.06430049
Moved 3708.32 500.9602 364.192 0.3262968 -0.0612346
Moved 3708.338 507.8062 364 0.342144 -0.06172839
Moved 3708.351 512.421 364 0.3528264 -0.06172839
Moved 3708.366 515.5856 365 0.3601518 -0.05915646
Moved 3708.383 518.041 365 0.3658357 -0.05915646
Moved 3708.398 519.4596 365 0.3691194 -0.05915646
Moved 3708.411 520.8965 366 0.3724457 -0.05658444
Stationary 3708.428 521 366 0.3726852 -0.05658444
Stationary 3708.445 521 366.4589 0.3726852 -0.05540423
Moved 3708.459 521 367.5 0.3726852 -0.05272634
Moved 3708.474 521 369.3253 0.3726852 -0.04803182
Moved 3708.491 521 375.0593 0.3726852 -0.0332837
Moved 3708.505 508.9897 385.6082 0.3448836 -0.006151748
Moved 3708.52 506.7133 391.5735 0.3396141 0.009190987
Moved 3708.537 502.821 398.5633 0.3306041 0.02716896
Moved 3708.552 498.5019 404.6642 0.3206063 0.04286048
Moved 3708.566 491.5699 416.2527 0.30456 0.07266645
Moved 3708.583 486.8719 425.2563 0.2936849 0.09582366
Moved 3708.599 482.5371 436.9011 0.2836508 0.1257742
Moved 3708.613 478.1884 447.5604 0.2735843 0.1531901
Moved 3708.63 473.9158 456.1685 0.2636939 0.1753303
Moved 3708.645 470.5 466 0.2557871 0.2006171
Moved 3708.66 466.1759 476.4722 0.2457777 0.227552
Moved 3708.675 463.2395 485.2815 0.2389804 0.2502095
Moved 3708.691 459.3512 494.9465 0.2299795 0.275068
Moved 3708.707 456.4724 502.319 0.2233157 0.2940303
Moved 3708.721 455.2964 507.8145 0.2205935 0.3081647
Moved 3708.737 453.8583 511.2833 0.2172647 0.3170867
Moved 3708.752 452.5 517 0.2141203 0.33179
Moved 3708.767 451.3138 519.6862 0.2113745 0.338699
Moved 3708.784 449.8748 522.2503 0.2080436 0.3452939
Moved 3708.797 449 525.5657 0.2060185 0.3538211
Moved 3708.813 447.9942 527.0058 0.2036902 0.3575251
Moved 3708.829 448 528.4448 0.2037037 0.3612263
Moved 3708.844 447.1137 529.8862 0.2016521 0.3649337
Moved 3708.86 446.5 530.5 0.2002315 0.3665122
Moved 3708.88 447 531.1635 0.2013889 0.3682187
Moved 3708.893 446 531 0.199074 0.3677982
Moved 3708.907 444.7252 531 0.1961231 0.3677982
Moved 3708.922 441.8614 531 0.189494 0.3677982
Moved 3708.938 434.0646 521.7529 0.1714459 0.3440145
Moved 3708.952 424.8546 512.2625 0.1501265 0.319605
Moved 3708.968 411.665 496.598 0.1195949 0.2793158
Moved 3708.984 400.9107 484.8018 0.09470066 0.2489756
Moved 3708.999 383.7585 463.5938 0.05499661 0.1944283
Moved 3709.014 371.7733 447.6883 0.02725293 0.1535192
Moved 3709.03 359.7316 433.2646 -0.0006213785 0.1164214
Moved 3709.045 349.6736 421.7698 -0.0239038 0.08685637
Moved 3709.06 340.9011 410.2015 -0.04421036 0.05710252
Moved 3709.074 333.0691 402.2829 -0.06234005 0.03673581
Moved 3709.092 325.6599 393.7541 -0.07949109 0.01479957
Moved 3709.107 317.087 383.7682 -0.0993356 -0.01088429
Moved 3709.122 309.2271 375.4725 -0.1175298 -0.03222093
Moved 3709.139 302.0423 366.8507 -0.1341614 -0.0543964
Moved 3709.153 294.8309 359.197 -0.1508545 -0.07408189
Moved 3709.17 288.6966 352.6965 -0.1650543 -0.09080117
Moved 3709.185 282.4416 345.9532 -0.1795334 -0.1081449
Moved 3709.205 273.7372 337.7372 -0.1996824 -0.1292768
Stationary 3709.216 273.7372 337.7372 -0.1996824 -0.1292768
Moved 3709.23 269.5 335 -0.2094908 -0.1363169
Moved 3709.245 266.0952 332.0635 -0.2173721 -0.1438697
Moved 3709.26 264.5929 329.1857 -0.2208499 -0.1512713
Moved 3709.276 261.302 328.151 -0.2284676 -0.1539326
Moved 3709.291 258.4242 325.4242 -0.2351292 -0.1609461
Moved 3709.307 257.5 324.5 -0.2372685 -0.163323
Moved 3709.323 255.1666 323.1666 -0.2426699 -0.1667526
Moved 3709.339 252.45 323 -0.2489582 -0.1671811
Moved 3709.353 252.2885 322 -0.2493322 -0.1697531
Moved 3709.368 250.8446 320.8446 -0.2526745 -0.1727248
Moved 3709.385 249.4062 321 -0.2560042 -0.1723252
Moved 3709.399 247.9672 321 -0.2593352 -0.1723252
Stationary 3709.414 247.9672 321 -0.2593352 -0.1723252
Moved 3709.43 246.4556 321 -0.2628343 -0.1723252
Moved 3709.447 245.5 321 -0.2650463 -0.1723252
Stationary 3709.461 245.5 321 -0.2650463 -0.1723252
Moved 3709.476 245 321 -0.2662037 -0.1723252
Stationary 3709.493 245 321 -0.2662037 -0.1723252
Moved 3709.507 245 328.4633 -0.2662037 -0.1531295
Moved 3709.523 245 338.0515 -0.2662037 -0.1284683
Moved 3709.538 253.5182 346.7351 -0.2464856 -0.106134
Moved 3709.554 265.884 368.0905 -0.2178612 -0.05120775
Moved 3709.568 277.4216 383.9548 -0.1911536 -0.01040447
Moved 3709.586 286.6736 398.2858 -0.1697371 0.02645524
Moved 3709.6 297.3939 411.4924 -0.1449215 0.06042272
Moved 3709.615 310.4487 424.9413 -0.1147021 0.09501363
Moved 3709.631 320.4922 436.4196 -0.09145334 0.1245359
Moved 3709.646 329.1108 446.1247 -0.07150267 0.1494976
Moved 3709.66 339.1734 456.1735 -0.04820963 0.1753433
Moved 3709.677 346.4429 463.4429 -0.03138219 0.1940403
Moved 3709.693 352.3073 469.3073 -0.01780714 0.2091237
Moved 3709.708 357.2974 474.2974 -0.006255955 0.2219582
Moved 3709.723 364.041 479.8328 0.009354054 0.2361953
Moved 3709.74 368.5859 484.5859 0.01987477 0.2484204
Moved 3709.754 373.3347 489.3347 0.03086736 0.2606345
Moved 3709.77 376.4447 492.4447 0.03806641 0.2686334
Moved 3709.786 380.3226 496.3226 0.04704316 0.2786075
Moved 3709.801 383.2004 499.2004 0.05370468 0.2860093
Moved 3709.816 384.5407 500.5407 0.0568072 0.2894565
Moved 3709.831 385.981 501.981 0.06014109 0.2931609
Moved 3709.847 386.5 502.5 0.06134262 0.2944958
Moved 3709.861 387.3734 503.3734 0.0633644 0.2967422
Stationary 3709.878 387.3734 503.3734 0.0633644 0.2967422
Ended 3709.893 389.4073 504.4073 0.06807238 0.2994014
Candidates 3710.059 12 just list lost host ghost house judy post past first pay literary
Began 3710.462 445 285 0.1967593 -0.2649178
Stationary 3710.479 445 285 0.1967593 -0.2649178
Stationary 3710.494 445 285 0.1967593 -0.2649178
Stationary 3710.509 445 285 0.1967593 -0.2649178
Moved 3710.524 445 293.5159 0.1967593 -0.2430148
Moved 3710.541 445 323.0507 0.1967593 -0.1670508
Moved 3710.556 445 346.7337 0.1967593 -0.1061377
Moved 3710.572 445 375.3732 0.1967593 -0.03247634
Moved 3710.586 437.8036 388.3367 0.1801009 0.0008658813
Moved 3710.603 436.5227 411.6361 0.177136 0.06079246
