we run the risk of failure
we run the risk of failure
Basic
0.6 0.6
432 388.8
Began 630.7303 232 508 -0.2962963 0.3086419
Stationary 630.7529 232 508 -0.2962963 0.3086419
Stationary 630.7676 232 508 -0.2962963 0.3086419
Stationary 630.7837 232 508 -0.2962963 0.3086419
Stationary 630.798 232 508 -0.2962963 0.3086419
Stationary 630.8123 232 508 -0.2962963 0.3086419
Stationary 630.8276 232 508 -0.2962963 0.3086419
Stationary 630.8453 232 508 -0.2962963 0.3086419
Stationary 630.8591 232 508 -0.2962963 0.3086419
Stationary 630.8743 232 508 -0.2962963 0.3086419
Stationary 630.8892 232 508 -0.2962963 0.3086419
Stationary 630.9055 232 508 -0.2962963 0.3086419
Stationary 630.9193 232 508 -0.2962963 0.3086419
Stationary 630.9344 232 508 -0.2962963 0.3086419
Stationary 630.951 232 508 -0.2962963 0.3086419
Stationary 630.9661 232 508 -0.2962963 0.3086419
Stationary 630.9818 232 508 -0.2962963 0.3086419
Stationary 630.9976 232 508 -0.2962963 0.3086419
Moved 631.0128 223 516 -0.3171296 0.329218
Stationary 631.0323 223 516 -0.3171296 0.329218
Moved 631.0441 223 517.3857 -0.3171296 0.332782
Moved 631.0596 222 517 -0.3194444 0.33179
Stationary 631.075 222 517 -0.3194444 0.33179
Stationary 631.09 222 517 -0.3194444 0.33179
Moved 631.1055 221 517.5742 -0.3217593 0.333267
Moved 631.1216 220.0407 518 -0.3239799 0.3343621
Moved 631.138 218.657 518 -0.3271828 0.3343621
Moved 631.1525 217.2774 518.7226 -0.3303763 0.3362207
Moved 631.1681 215.8924 519 -0.3335824 0.3369341
Moved 631.1835 214.509 519 -0.3367847 0.3369341
Moved 631.1987 213.4171 520 -0.3393123 0.3395061
Moved 631.2138 212.0351 520 -0.3425114 0.3395061
Moved 631.2296 211.5 520 -0.34375 0.3395061
Moved 631.246 210.2735 521 -0.3465892 0.3420781
Moved 631.2594 208.8899 521 -0.3497919 0.3420781
Stationary 631.2765 209 521 -0.349537 0.3420781
Stationary 631.2926 209 521 -0.349537 0.3420781
