this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Began 983.6539 375 398 0.03472219 0.02572008
Stationary 983.6718 375 398 0.03472219 0.02572008
Stationary 983.6863 375 398 0.03472219 0.02572008
Stationary 983.7031 375 398 0.03472219 0.02572008
Stationary 983.7181 375 398 0.03472219 0.02572008
Stationary 983.7314 375 398 0.03472219 0.02572008
Stationary 983.7493 375 398 0.03472219 0.02572008
Stationary 983.7668 375 398 0.03472219 0.02572008
Stationary 983.7797 375 398 0.03472219 0.02572008
Moved 983.795 362.477 413.046 0.005733868 0.06441854
Moved 983.811 358.7656 419.7241 -0.002857496 0.08159473
Moved 983.8268 355.641 429.2565 -0.01009032 0.1061123
Moved 983.8419 353.373 440.1349 -0.01534025 0.1340917
Moved 983.8581 351.9342 447.329 -0.01867081 0.1525951
Moved 983.8727 350.5 453 -0.02199074 0.167181
Moved 983.8895 350 459.0309 -0.02314816 0.1826927
Moved 983.9033 350 466.1717 -0.02314816 0.2010588
Moved 983.9186 350 476.314 -0.02314816 0.227145
Moved 983.9337 350 483.548 -0.02314816 0.2457509
Moved 983.9489 350 494.7843 -0.02314816 0.274651
Moved 983.9645 349 500.977 -0.02546296 0.2905786
Moved 983.9801 349 505.7024 -0.02546296 0.3027324
Moved 983.9951 349 509.883 -0.02546296 0.313485
Moved 984.011 349 516.9233 -0.02546296 0.3315928
Moved 984.0266 349 523.8619 -0.02546296 0.349439
Moved 984.0426 349 529.8255 -0.02546296 0.3647775
Moved 984.0577 349 535.1844 -0.02546296 0.3785606
Moved 984.0723 349 539.442 -0.02546296 0.3895111
Moved 984.087 349 543.8362 -0.02546296 0.4008133
Moved 984.1038 349 546.048 -0.02546296 0.4065021
Moved 984.1197 349 547.4622 -0.02546296 0.4101394
Moved 984.1335 349 549.9034 -0.02546296 0.416418
Moved 984.1515 349 550.5 -0.02546296 0.4179526
Stationary 984.1663 349 550.5 -0.02546296 0.4179526
Stationary 984.1804 349 550.5 -0.02546296 0.4179526
Moved 984.1959 353.5635 550 -0.01489937 0.4166666
Moved 984.2109 357.627 550 -0.005492966 0.4166666
