please provide your date of birth
please provide your date of birth
Basic
0.6 0.6
432 388.8
Began 287.0246 578 530 0.5046296 0.3652262
Stationary 287.0391 578 530 0.5046296 0.3652262
Stationary 287.0534 578 530 0.5046296 0.3652262
Stationary 287.0698 578 530 0.5046296 0.3652262
Stationary 287.0857 578 530 0.5046296 0.3652262
Stationary 287.0995 578 530 0.5046296 0.3652262
Stationary 287.1151 578 530 0.5046296 0.3652262
Stationary 287.1302 578 530 0.5046296 0.3652262
Stationary 287.149 578 530 0.5046296 0.3652262
Stationary 287.1628 578 530 0.5046296 0.3652262
Stationary 287.1757 578 530 0.5046296 0.3652262
Stationary 287.1911 578 530 0.5046296 0.3652262
Stationary 287.2071 578 530 0.5046296 0.3652262
Stationary 287.2224 578 530 0.5046296 0.3652262
Moved 287.2376 566.4349 530 0.4778587 0.3652262
Moved 287.2544 564.5351 530 0.4734609 0.3652262
Moved 287.2718 561.6514 530 0.4667855 0.3652262
Moved 287.2856 556.5753 523.332 0.4550355 0.3480761
Moved 287.3005 550.7916 513.7394 0.4416472 0.3234038
Moved 287.3159 544.2928 506.175 0.4266039 0.303948
Moved 287.331 533.7763 492.173 0.4022599 0.2679345
Moved 287.3466 524.7939 479.6909 0.3814674 0.2358303
Moved 287.3626 519.0895 469.6567 0.3682628 0.2100222
Moved 287.3774 511.412 459.5768 0.3504907 0.1840966
Moved 287.3934 506.9186 452.1976 0.3400893 0.1651173
Moved 287.4084 499.9743 439.5589 0.3240146 0.1326103
Moved 287.4236 494.465 430.744 0.3112616 0.1099382
Moved 287.4394 486.1341 416.8901 0.291977 0.07430567
Moved 287.4546 479.2476 405.2456 0.2760361 0.0443559
Moved 287.4715 473.3313 394.8297 0.2623409 0.01756605
Moved 287.4851 468.183 385.7605 0.2504238 -0.005760075
Moved 287.5018 463.8703 377.7838 0.2404405 -0.02627651
Moved 287.518 459.5413 369.0825 0.2304195 -0.04865607
Moved 287.5321 457.3007 365.902 0.225233 -0.05683639
Moved 287.5471 454.9193 360.8386 0.2197206 -0.06985974
Moved 287.5626 452.0333 356.5499 0.21304 -0.08089019
Moved 287.5775 452.0742 355.0742 0.2131347 -0.08468588
Moved 287.5933 450.6426 353.6426 0.2098208 -0.08836793
Stationary 287.609 450.6426 353.6426 0.2098208 -0.08836793
Moved 287.6243 450 353 0.2083333 -0.09002065
Moved 287.6389 448.5 353 0.2048611 -0.09002065
Moved 287.6558 447.223 352 0.2019051 -0.09259266
Moved 287.6716 444.559 352 0.1957384 -0.09259266
Moved 287.6857 440.3878 352 0.186083 -0.09259266
Moved 287.7009 433.5403 352 0.1702321 -0.09259266
Moved 287.718 425 362.5 0.150463 -0.06558649
Moved 287.7322 409.2802 367.8879 0.1140745 -0.05172855
Moved 287.7486 390.5022 376.5374 0.07060696 -0.02948203
Moved 287.7633 373.0711 385.7455 0.0302572 -0.005798536
Moved 287.7793 346.0394 397.9838 -0.03231615 0.02567837
Moved 287.7943 322.9514 405.2027 -0.08576075 0.04424558
Moved 287.8096 303.5533 412.522 -0.1306636 0.06307103
Moved 287.8254 284.7959 419.6169 -0.1740836 0.08131918
Moved 287.8403 269.3595 425.0562 -0.2098161 0.09530918
Moved 287.8556 254.9375 430.825 -0.2432001 0.1101465
Moved 287.8711 245.9001 436.1666 -0.2641201 0.1238852
Moved 287.8856 232.7318 444.0104 -0.2946023 0.1440596
Moved 287.9014 222.6565 450.9597 -0.3179249 0.1619332
Moved 287.9193 215.8405 455.5276 -0.3337027 0.1736822
Moved 287.9337 209.7129 459.1436 -0.3478869 0.1829823
Moved 287.9473 204.4557 463.5443 -0.3600562 0.1943011
Moved 287.9634 200.1271 466.9153 -0.3700762 0.2029714
Moved 287.9784 196.93 469.0466 -0.3774768 0.2084532
Moved 287.9933 191.1179 474.8821 -0.3909308 0.2234622
Moved 288.011 187.2549 478.7451 -0.3998728 0.2333977
Moved 288.0256 184.2847 483.0729 -0.4067484 0.2445291
Moved 288.0402 182.2029 485.5941 -0.4115673 0.2510135
Moved 288.063 178.3195 489.6805 -0.4205566 0.2615238
Stationary 288.0726 178.3195 489.6805 -0.4205566 0.2615238
Moved 288.0857 178 490.8456 -0.4212963 0.2645204
Moved 288.1015 176.7624 491 -0.4241611 0.2649176
Stationary 288.1162 176.7624 491 -0.4241611 0.2649176
Moved 288.1334 175.626 491 -0.4267916 0.2649176
Stationary 288.1484 175.626 491 -0.4267916 0.2649176
Moved 288.163 174.7508 491 -0.4288175 0.2649176
Moved 288.1788 172.5426 479.9416 -0.4339293 0.2364752
Moved 288.1941 170 473 -0.4398148 0.2186213
Moved 288.2097 165.0672 455.291 -0.4512334 0.1730735
Moved 288.2249 162.1426 440.7128 -0.4580034 0.1355781
Moved 288.2407 157.2896 421.303 -0.4692372 0.08565573
Moved 288.256 154.4046 408.3207 -0.4759153 0.0522652
Moved 288.2721 152.5105 397.7869 -0.4802997 0.0251719
Moved 288.2865 150.821 387.7468 -0.4842108 -0.0006512457
Moved 288.3022 149.5 380 -0.4872685 -0.02057613
Moved 288.3197 147.2424 371.4542 -0.4924945 -0.04255601
Moved 288.3331 145.7995 363.9975 -0.4958345 -0.06173491
Moved 288.3482 146 359.0729 -0.4953704 -0.07440088
Moved 288.363 144.9199 355.8398 -0.4978706 -0.08271652
Moved 288.3788 145 353 -0.4976852 -0.09002065
Moved 288.3943 145 351.0337 -0.4976852 -0.09507795
Moved 288.4109 145 348.1978 -0.4976852 -0.1023719
Moved 288.4272 145 347.4895 -0.4976852 -0.1041937
Moved 288.4418 145 346.0508 -0.4976852 -0.1078942
Moved 288.4553 145 344.6121 -0.4976852 -0.1115946
Moved 288.4711 145 344.1733 -0.4976852 -0.1127231
Moved 288.4857 145 342.7346 -0.4976852 -0.1164235
Stationary 288.5015 145 342.7346 -0.4976852 -0.1164235
Moved 288.5168 154.2686 343 -0.47623 -0.1157408
