the price of gas is high
the price of gas is high
Basic
0.6 0.6
432 388.8
Began 929.7152 317 520 -0.09953702 0.3395061
Stationary 929.7373 317 520 -0.09953702 0.3395061
Stationary 929.7501 317 520 -0.09953702 0.3395061
Stationary 929.7649 317 520 -0.09953702 0.3395061
Stationary 929.7799 317 520 -0.09953702 0.3395061
Stationary 929.7952 317 520 -0.09953702 0.3395061
Stationary 929.8103 317 520 -0.09953702 0.3395061
Stationary 929.8253 317 520 -0.09953702 0.3395061
Stationary 929.8416 317 520 -0.09953702 0.3395061
Moved 929.8569 317 509.7418 -0.09953702 0.3131217
Moved 929.8738 317 505.7933 -0.09953702 0.3029663
Moved 929.8889 317 504.5 -0.09953702 0.2996398
Moved 929.9036 317 501.1069 -0.09953702 0.2909128
Moved 929.9196 317 496.8327 -0.09953702 0.2799194
Moved 929.9357 317 495 -0.09953702 0.2752057
Moved 929.9495 317 491.2993 -0.09953702 0.2656873
Moved 929.9652 317 485.6268 -0.09953702 0.2510977
Moved 929.9825 317 480.8842 -0.09953702 0.2388996
Moved 929.9963 317 475.1459 -0.09953702 0.2241407
Moved 930.0107 317 468.7258 -0.09953702 0.207628
Moved 930.0276 326.8508 461.5273 -0.07673431 0.1891134
Moved 930.0421 330.5 454.5 -0.06828706 0.171039
Moved 930.0579 334.9532 448.7447 -0.05797873 0.1562363
Moved 930.0762 340.3928 441.5091 -0.04538715 0.1376262
Moved 930.0889 347.5 433 -0.02893518 0.1157406
Moved 930.1041 354.8466 423.2147 -0.01192912 0.09057276
Moved 930.1216 362.6592 413.5112 0.006155471 0.06561527
Moved 930.1358 369.2397 404.9124 0.02138813 0.04349873
Moved 930.1511 376.4454 396.2656 0.038068 0.02125909
Moved 930.1653 380.1396 391.1008 0.04661938 0.00797519
Moved 930.183 385.2955 384.7045 0.05855441 -0.008476163
Moved 930.1969 389.7772 378.9638 0.06892859 -0.02324132
Moved 930.2119 394.1041 375.5972 0.07894477 -0.03190021
Moved 930.2271 397.2802 371.5798 0.0862966 -0.04223317
Moved 930.2433 399.5817 369.8367 0.09162426 -0.04671646
Moved 930.2584 401.0175 367.9825 0.09494792 -0.05148546
Moved 930.2745 402.1161 368 0.09749094 -0.05144041
Stationary 930.2902 402 368 0.09722222 -0.05144041
Stationary 930.3046 402 368 0.09722222 -0.05144041
Stationary 930.3185 402 368 0.09722222 -0.05144041
Moved 930.3443 387.234 388.7389 0.06304164 0.001900441
Stationary 930.3538 387.234 388.7389 0.06304164 0.001900441
Moved 930.373 376.3934 409.5279 0.03794769 0.05537006
Stationary 930.3855 376.3934 409.5279 0.03794769 0.05537006
Moved 930.3965 367.9972 422.0042 0.01851201 0.08745931
Moved 930.4125 358.5965 434.9474 -0.0032489 0.1207494
Moved 930.4287 350.9435 445.4791 -0.0209641 0.147837
Moved 930.4435 341.0653 456.5905 -0.04383037 0.1764158
Moved 930.4598 331.3386 467.7559 -0.06634594 0.2051335
Moved 930.4732 322.3105 476.6895 -0.08724426 0.2281108
Moved 930.4897 315.6978 483.3022 -0.1025515 0.2451188
Moved 930.5056 307.6895 491.3105 -0.1210891 0.2657162
Moved 930.5215 299.1071 499.8929 -0.1409557 0.2877902
Moved 930.537 292.2838 506.7162 -0.1567504 0.3053399
Moved 930.5508 286.5435 512.4565 -0.1700382 0.320104
Moved 930.5658 280.7615 517.4289 -0.1834225 0.3328932
Moved 930.5833 275.0067 521.745 -0.1967439 0.3439942
Moved 930.597 271.5 524 -0.2048611 0.3497942
Moved 930.6122 267.5952 525.8016 -0.2139001 0.3544279
Moved 930.629 264.506 528.494 -0.2210508 0.3613527
Moved 930.6437 262.6315 528.6843 -0.22539 0.3618422
