we run the risk of failure
we run the risk of failure
FixStart
0.6 0.6
432 388.8
Began 579.4175 336 266 -0.05555556 -0.3137861
Stationary 579.431 336 266 -0.05555556 -0.3137861
Stationary 579.4449 336 266 -0.05555556 -0.3137861
Stationary 579.463 336 266 -0.05555556 -0.3137861
Stationary 579.4761 336 266 -0.05555556 -0.3137861
Moved 579.4925 321.7798 266 -0.08847256 -0.3137861
Moved 579.5094 307.2874 283.0344 -0.1220199 -0.2699732
Moved 579.5228 294.415 292.6888 -0.1518171 -0.2451421
Moved 579.5388 284.0578 298.9653 -0.1757921 -0.2289986
Moved 579.5555 263.4753 311.3148 -0.2234368 -0.1972356
Moved 579.5706 251.8343 317.7117 -0.2503836 -0.1807828
Moved 579.5859 238.941 325.706 -0.2802291 -0.1602213
Moved 579.6011 223.5695 333.9621 -0.3158113 -0.1389864
Moved 579.6159 213.252 341.2488 -0.3396943 -0.1202449
Moved 579.6313 203.2176 348.2731 -0.3629223 -0.1021782
Moved 579.6471 196 353 -0.3796296 -0.09002065
Moved 579.6625 189.3934 357.8853 -0.3949226 -0.0774557
Moved 579.6779 184.667 363.444 -0.4058633 -0.06315851
Moved 579.6934 182.0208 367.4688 -0.4119889 -0.05280671
Moved 579.7087 180.1357 371.7286 -0.4163525 -0.04185037
Moved 579.7242 178.7597 376.9612 -0.4195377 -0.0283921
Moved 579.7402 177.381 381.8569 -0.4227292 -0.01580015
Moved 579.7548 176.005 385.985 -0.4259143 -0.00518269
Moved 579.7704 176 387.0375 -0.4259259 -0.002475707
Moved 579.7848 175.5717 389.8566 -0.4269173 0.004775043
Moved 579.8007 175 391.8065 -0.4282407 0.009790389
Moved 579.8171 175 394.3661 -0.4282407 0.0163738
Moved 579.8312 175 395.5618 -0.4282407 0.01944887
Moved 579.847 175 396.5 -0.4282407 0.02186214
Moved 579.8618 175 397.1585 -0.4282407 0.02355579
Moved 579.8777 175 398.5 -0.4282407 0.02700609
Moved 579.8925 175 399.7245 -0.4282407 0.03015561
Moved 579.9097 184.9119 401.1013 -0.4052966 0.03369673
Moved 579.9242 189.893 402.4733 -0.3937661 0.0372254
Moved 579.9396 195.5669 403 -0.3806321 0.03858017
Moved 579.9551 200.915 404.2288 -0.3682523 0.04174052
Moved 579.9689 206.4215 404 -0.3555058 0.04115226
Moved 579.9845 209.9576 404 -0.3473205 0.04115226
Moved 580.0007 213.127 404 -0.3399839 0.04115226
Moved 580.0163 215.862 404 -0.3336527 0.04115226
Moved 580.0316 218.6085 404 -0.3272951 0.04115226
Moved 580.0471 220.1933 404 -0.3236266 0.04115226
Moved 580.0624 222.1346 404 -0.319133 0.04115226
Moved 580.0775 225.8375 404 -0.3105614 0.04115226
Ended 580.0928 227.5 404 -0.306713 0.04115226
Candidates 580.2 12 we were q few w www wee fewer wet wt e de
Began 580.5511 319 227 -0.09490739 -0.4140947
Stationary 580.5723 319 227 -0.09490739 -0.4140947
Stationary 580.5854 319 227 -0.09490739 -0.4140947
Moved 580.6019 319 254.4741 -0.09490739 -0.3434308
Moved 580.6168 319 273.9298 -0.09490739 -0.2933904
Moved 580.6323 319 309.3992 -0.09490739 -0.2021625
Moved 580.648 319 342.8326 -0.09490739 -0.1161714
Ended 580.6639 319 370 -0.09490739 -0.04629637
Accept 580.691 0 we
Began 580.8159 291 229 -0.1597222 -0.4089506
Stationary 580.8329 291 229 -0.1597222 -0.4089506
Stationary 580.8496 291 229 -0.1597222 -0.4089506
Stationary 580.866 291 229 -0.1597222 -0.4089506
Stationary 580.8809 291 229 -0.1597222 -0.4089506
Moved 580.9053 280.5354 248.4342 -0.1839457 -0.3589656
Moved 580.9169 275.772 259.5847 -0.1949722 -0.3302864
Stationary 580.9274 275.772 259.5847 -0.1949722 -0.3302864
Moved 580.9397 272.0879 267.7949 -0.2035002 -0.3091695
Moved 580.9557 263.9477 282.7626 -0.2223433 -0.2706724
Moved 580.9717 257.3637 292.0908 -0.237584 -0.24668
Moved 580.9873 251.5961 299.5049 -0.250935 -0.2276108
Moved 581.0027 246.0909 307.8636 -0.2636785 -0.2061121
Moved 581.0181 238.7331 317.6804 -0.2807103 -0.1808633
Moved 581.0333 233.096 326.356 -0.2937593 -0.1585494
Moved 581.0505 229.5 334 -0.3020833 -0.1388889
Moved 581.065 229.3419 337.6324 -0.3024493 -0.1295464
Moved 581.0801 229 344.1802 -0.3032407 -0.1127053
Moved 581.0953 229 351.1569 -0.3032407 -0.09476123
Moved 581.1115 237.0208 357.0104 -0.284674 -0.07970582
Moved 581.1262 247.2208 363.872 -0.2610629 -0.06205767
Moved 581.1406 268.9644 371.2411 -0.2107304 -0.04310427
Moved 581.1595 297.8649 373.9506 -0.1438312 -0.03613531
Moved 581.1729 317.7761 374 -0.0977406 -0.03600823
Moved 581.1877 338.4576 374 -0.04986678 -0.03600823
Moved 581.2026 349.6386 374 -0.02398461 -0.03600823
Moved 581.2182 359.8493 374 -0.0003488859 -0.03600823
Moved 581.2339 368.5437 365.4738 0.01977712 -0.05793795
Moved 581.2493 375.4199 359.5801 0.03569425 -0.07309658
Moved 581.2652 382.1817 352.8183 0.05134652 -0.09048799
Moved 581.2821 386.025 342.9249 0.06024311 -0.115934
Moved 581.2969 388.7773 322.1705 0.06661405 -0.1693146
Moved 581.3116 388 311.6108 0.06481478 -0.1964742
Moved 581.3282 378.7253 265.0165 0.04334559 -0.3163157
Moved 581.3425 370.7197 237.0657 0.02481411 -0.3882057
Moved 581.358 366.5578 223.1927 0.01518021 -0.423887
Moved 581.374 356.6703 193.6786 -0.007707576 -0.4997979
Moved 581.3889 353.94 184.8051 -0.0140277 -0.5226208
Moved 581.4042 348.8014 171.4835 -0.02592275 -0.5568839
Moved 581.4186 340.6197 144.7323 -0.04486183 -0.6256886
Moved 581.4343 336.5 131 -0.05439813 -0.6610083
Moved 581.451 335.6913 125.6107 -0.05627026 -0.6748694
Moved 581.4663 332.5109 114.7772 -0.06363218 -0.7027335
Moved 581.4808 331.3681 109.1044 -0.06627748 -0.7173242
Moved 581.4971 329.9807 103.9229 -0.06948908 -0.7306511
Moved 581.5123 330 101.8073 -0.06944443 -0.7360925
Moved 581.527 328.5 99 -0.07291664 -0.7433128
Moved 581.5421 329 98.80457 -0.07175927 -0.7438155
Moved 581.5664 329 96.72058 -0.07175927 -0.7491755
Moved 581.5776 329 95.3219 -0.07175927 -0.7527729
Stationary 581.5897 329 95 -0.07175927 -0.7536007
Ended 581.6033 329 95 -0.07175927 -0.7536007
Candidates 581.662 12 run ruin rob erin tin rum ron from grim trim tim reign
Began 581.9881 313 152 -0.1087963 -0.6069959
Stationary 582.0073 313 152 -0.1087963 -0.6069959
Stationary 582.0215 313 152 -0.1087963 -0.6069959
Stationary 582.0352 313 152 -0.1087963 -0.6069959
Moved 582.0513 303.9059 179.2822 -0.1298474 -0.5368256
Moved 582.0673 302.6539 210.8461 -0.1327457 -0.4556429
Moved 582.0818 302 244.1923 -0.1342593 -0.3698759
Moved 582.0969 302 270.1292 -0.1342593 -0.3031658
Moved 582.1129 302 286.6716 -0.1342593 -0.2606185
Moved 582.1277 302 301.106 -0.1342593 -0.2234928
Moved 582.1429 310.7499 328.7497 -0.1140049 -0.1523928
Moved 582.161 310.5 346 -0.1145833 -0.1080248
Ended 582.1754 310.5 346 -0.1145833 -0.1080248
Accept 582.2316 0 run
Began 582.2923 291 201 -0.1597222 -0.4809672
Stationary 582.3135 291 201 -0.1597222 -0.4809672
Stationary 582.3274 291 201 -0.1597222 -0.4809672
Moved 582.3437 291 207.5115 -0.1597222 -0.4642195
Moved 582.3597 280.5863 224.5378 -0.183828 -0.4204274
Moved 582.3745 273.9349 242.3693 -0.1992248 -0.3745646
Moved 582.3904 270.4128 258.2314 -0.2073777 -0.3337671
Moved 582.407 266.5 284.5 -0.2164352 -0.2662037
Moved 582.421 264.7868 323.1159 -0.2204008 -0.1668829
Moved 582.4373 264 338.2973 -0.2222222 -0.1278362
Moved 582.4522 264 344.4894 -0.2222222 -0.1119101
Moved 582.4679 264 358.4938 -0.2222222 -0.07589058
Moved 582.4828 264 360.2151 -0.2222222 -0.07146332
Moved 582.5045 264 366.2637 -0.2222222 -0.05590627
Moved 582.5185 264 369 -0.2222222 -0.04886839
Moved 582.5319 268.1656 369 -0.2125795 -0.04886839
Moved 582.5443 273.0347 369 -0.2013085 -0.04886839
Moved 582.5592 289.7464 358.2536 -0.1626241 -0.07650831
Moved 582.5753 295.3405 355.7872 -0.1496747 -0.08285201
Moved 582.5905 307.7341 341.1436 -0.120986 -0.1205156
Moved 582.6055 316.0609 317.8172 -0.1017108 -0.1805114
Moved 582.6222 318.8587 309.424 -0.09523457 -0.202099
Moved 582.6365 322.5 295.5 -0.08680557 -0.2379116
Moved 582.6546 322 271.7736 -0.08796295 -0.2989362
Moved 582.6678 322 266.9141 -0.08796295 -0.311435
Moved 582.683 322 254.6469 -0.08796295 -0.3429866
Moved 582.6978 322 249.2122 -0.08796295 -0.3569647
Moved 582.7134 322 247.5952 -0.08796295 -0.3611235
Moved 582.7296 306.0052 241.6021 -0.1249879 -0.3765379
Moved 582.7453 296.5 239 -0.1469907 -0.3832304
Moved 582.7603 284.9235 240 -0.1737882 -0.3806585
Moved 582.7756 270.5374 240 -0.2070892 -0.3806585
Moved 582.7913 253.8378 255.7321 -0.2457459 -0.3401954
Moved 582.8065 250.0732 254.3475 -0.2544602 -0.3437564
Moved 582.8233 230.5357 262.5491 -0.299686 -0.3226618
Moved 582.8369 220.0519 269.256 -0.3239539 -0.3054114
Moved 582.8522 215.2358 272.0081 -0.3351022 -0.298333
Moved 582.8678 203.9875 283.0125 -0.36114 -0.2700296
Moved 582.8832 197.0491 292.7313 -0.3772011 -0.2450329
Moved 582.8989 193.6251 296.4499 -0.3851271 -0.2354684
Moved 582.9142 188.7159 308.8524 -0.396491 -0.2035691
Moved 582.9291 186 317 -0.4027778 -0.1826131
Moved 582.9447 184.595 320.0125 -0.40603 -0.1748652
Moved 582.9668 182.7205 328.1179 -0.4103691 -0.1540179
Moved 582.9783 180 336 -0.4166667 -0.1337449
Ended 582.99 180 336 -0.4166667 -0.1337449
Candidates 583.1102 12 the there trigger tiger rude ride further either threw tide true rise
Began 583.4645 274 214 -0.199074 -0.4475308
Stationary 583.4836 274 214 -0.199074 -0.4475308
Moved 583.4984 274 224.1742 -0.199074 -0.4213627
Moved 583.517 274 238 -0.199074 -0.3858025
Moved 583.5305 274 247.3574 -0.199074 -0.3617351
Moved 583.5468 274 283.4719 -0.199074 -0.2688481
Moved 583.5604 274 309.5094 -0.199074 -0.2018792
Moved 583.5759 274 322.7255 -0.199074 -0.1678871
Moved 583.592 274 344.6345 -0.199074 -0.1115369
Moved 583.6079 260.5 371.5 -0.2303241 -0.04243827
Ended 583.6231 260.5 371.5 -0.2303241 -0.04243827
Accept 583.6806 0 the
Began 583.7725 242 221 -0.2731481 -0.4295268
Stationary 583.7936 242 221 -0.2731481 -0.4295268
Stationary 583.8079 242 221 -0.2731481 -0.4295268
Stationary 583.8225 242 221 -0.2731481 -0.4295268
Moved 583.8384 242 232.4232 -0.2731481 -0.4001461
Moved 583.8536 242 244.7629 -0.2731481 -0.3684081
Moved 583.8694 242 254.2228 -0.2731481 -0.3440772
Moved 583.8845 242 281.0858 -0.2731481 -0.2749851
Moved 583.8998 233.7951 304.074 -0.2921411 -0.2158591
Moved 583.9211 230.8392 321.1254 -0.2989832 -0.1720027
Moved 583.9326 229.4632 330.7574 -0.3021685 -0.1472289
Moved 583.9462 230 344.0878 -0.3009259 -0.1129429
Moved 583.9605 230 347.1561 -0.3009259 -0.1050511
Moved 583.9767 230 357.5317 -0.3009259 -0.0783651
Moved 583.9926 230 365.894 -0.3009259 -0.05685688
Moved 584.0079 240.0932 368.7675 -0.2775621 -0.04946634
Moved 584.0227 247.0324 375.7783 -0.2614991 -0.03143444
Moved 584.0394 285.8701 385.3044 -0.171597 -0.006933055
Moved 584.0546 304.5617 385.0234 -0.1283294 -0.007655925
Moved 584.0704 335.2196 386 -0.05736202 -0.005144111
Moved 584.0851 349 386 -0.02546296 -0.005144111
Moved 584.1018 354.6305 386 -0.01242936 -0.005144111
Moved 584.1177 365 374 0.01157403 -0.03600823
Moved 584.1309 372.253 367.4338 0.02836337 -0.05289674
Moved 584.1462 374.0206 362.9588 0.03245513 -0.06440645
Moved 584.1629 375 352.5151 0.03472219 -0.09126765
Moved 584.1776 375 344.1716 0.03472219 -0.1127273
Moved 584.1938 363.4369 331.968 0.00795573 -0.1441154
Moved 584.2084 320.7161 293.5967 -0.09093498 -0.2428068
Moved 584.2232 294.5 278.5 -0.1516204 -0.2816359
Moved 584.2394 272.3099 266.155 -0.2029864 -0.3133874
Moved 584.2536 257.2142 258.6071 -0.2379302 -0.3328008
Moved 584.2754 224.95 249.1094 -0.3126157 -0.357229
Moved 584.2877 215.0389 246.7437 -0.3355581 -0.3633136
Moved 584.3007 187.2591 242.8661 -0.3998631 -0.3732869
Moved 584.3165 171 240 -0.4375 -0.3806585
Moved 584.3317 163.7607 239.7964 -0.4542578 -0.3811822
Moved 584.3464 152.5 237 -0.4803241 -0.3883744
Moved 584.361 143.2921 238 -0.5016387 -0.3858025
Moved 584.3779 141.9058 238 -0.5048478 -0.3858025
Moved 584.3929 137.8989 238 -0.5141228 -0.3858025
Moved 584.4106 135.0382 238 -0.520745 -0.3858025
Moved 584.4233 136 238 -0.5185185 -0.3858025
Stationary 584.4394 136 238 -0.5185185 -0.3858025
Stationary 584.4529 136 238 -0.5185185 -0.3858025
Moved 584.4692 143.3036 248.6559 -0.501612 -0.3583953
Moved 584.4854 155.3496 252.0874 -0.4737277 -0.3495695
Moved 584.5033 173.5061 256.2706 -0.4316989 -0.3388102
Moved 584.516 181.2878 258.322 -0.4136857 -0.3335341
Stationary 584.5306 181.2878 258.322 -0.4136857 -0.3335341
