learn to walk before you run
learn to walk before you run
Basic
0.6 0.6
432 388.8
Began 873.5777 523 381 0.3773148 -0.01800419
Stationary 873.5976 523 381 0.3773148 -0.01800419
Stationary 873.6098 523 381 0.3773148 -0.01800419
Stationary 873.6248 523 381 0.3773148 -0.01800419
Stationary 873.6397 523 381 0.3773148 -0.01800419
Stationary 873.6558 523 381 0.3773148 -0.01800419
Stationary 873.6713 523 381 0.3773148 -0.01800419
Stationary 873.6869 523 381 0.3773148 -0.01800419
Moved 873.7016 507.9885 394.7307 0.342566 0.01731143
Moved 873.7188 498.9099 410.1651 0.3215508 0.05700896
Moved 873.7379 485.8933 431.8445 0.2914197 0.1127687
Moved 873.75 475.8197 455.1558 0.2681011 0.1727256
Moved 873.7655 462.917 485.1937 0.2382337 0.2499837
Moved 873.7807 449.1902 510.8385 0.2064589 0.3159426
Moved 873.796 433.6871 531.9437 0.170572 0.3702254
Moved 873.811 421.0293 545.2183 0.1412715 0.404368
Moved 873.8266 402.284 561.4012 0.09787957 0.4459908
Moved 873.8418 386.6516 570.2809 0.06169359 0.4688295
Moved 873.8573 371.2209 574.9448 0.02597431 0.4808249
Moved 873.8723 357.1838 578.1814 -0.006519059 0.4891495
Moved 873.8881 344.5 579.5 -0.03587961 0.4925411
Moved 873.9031 331.246 579 -0.06656016 0.4912551
Moved 873.9189 322.7351 579 -0.08626123 0.4912551
Moved 873.9349 311.1075 579 -0.113177 0.4912551
Moved 873.9517 302.3202 579 -0.133518 0.4912551
Moved 873.9654 292.4659 579 -0.1563288 0.4912551
Moved 873.9811 284.3248 579 -0.1751741 0.4912551
Moved 873.996 276.7068 579 -0.1928082 0.4912551
Moved 874.0106 269.5282 579 -0.2094255 0.4912551
Moved 874.0269 264.5714 573 -0.2208994 0.4758229
Moved 874.0416 257.7742 569.5097 -0.2366337 0.4668459
Moved 874.0568 252.2977 568.519 -0.249311 0.4642979
Moved 874.0721 245.0833 566.8167 -0.266011 0.4599192
Moved 874.0887 240.1128 566.3709 -0.2775167 0.4587729
Moved 874.1045 235.7658 566 -0.2875792 0.4578188
