a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Began 1985.188 406 400 0.1064815 0.03086416
Stationary 1985.207 406 400 0.1064815 0.03086416
Stationary 1985.221 406 400 0.1064815 0.03086416
Moved 1985.236 400.0723 400 0.09275982 0.03086416
Moved 1985.253 391.7727 400 0.07354795 0.03086416
Moved 1985.267 381.9666 400 0.05084872 0.03086416
Moved 1985.284 366.9974 400 0.01619776 0.03086416
Moved 1985.298 353.0041 400 -0.01619423 0.03086416
Moved 1985.313 340.7522 408.3112 -0.04455511 0.05224074
Moved 1985.329 324.143 409.2467 -0.08300225 0.05464687
Moved 1985.345 310.937 412.014 -0.1135719 0.06176446
Moved 1985.361 299.9326 413.3834 -0.1390448 0.06528646
Moved 1985.376 289.6752 414.7607 -0.162789 0.06882879
Moved 1985.393 279.9157 415 -0.1853804 0.06944436
Moved 1985.407 273.5 415 -0.2002315 0.06944436
Moved 1985.422 265.4609 416 -0.2188404 0.07201634
Moved 1985.438 259.9941 417.0015 -0.2314952 0.07459217
Moved 1985.453 253.0532 417 -0.2475621 0.0745884
Moved 1985.469 249.6894 418 -0.2553487 0.07716041
Moved 1985.484 245.5392 419.1536 -0.2649556 0.0801276
Moved 1985.5 243 419 -0.2708333 0.07973251
Moved 1985.514 240.1619 419 -0.2774031 0.07973251
Moved 1985.53 237.3941 420.303 -0.28381 0.08308367
Stationary 1985.547 236.7252 420 -0.2853584 0.08230445
Ended 1985.56 237 420 -0.2847222 0.08230445
Candidates 1985.759 12 a as s has faa gas aa da ass fda had ga
Began 1986.219 348 369 -0.0277778 -0.04886839
Stationary 1986.231 348 369 -0.0277778 -0.04886839
Stationary 1986.242 348 369 -0.0277778 -0.04886839
Stationary 1986.253 348 369 -0.0277778 -0.04886839
Stationary 1986.268 348 369 -0.0277778 -0.04886839
Moved 1986.285 348 391.9928 -0.0277778 0.01026946
Moved 1986.301 348 411.3666 -0.0277778 0.06009918
Moved 1986.316 348 431.7712 -0.0277778 0.1125803
Moved 1986.332 348 448.8867 -0.0277778 0.1566014
Moved 1986.347 348 459.4978 -0.0277778 0.1838934
Moved 1986.363 348 473.1566 -0.0277778 0.2190239
Moved 1986.379 348 483.707 -0.0277778 0.24616
Moved 1986.393 348 493.3951 -0.0277778 0.2710778
Moved 1986.409 348 497.9158 -0.0277778 0.2827051
Moved 1986.424 340.2093 503.4518 -0.04581178 0.2969439
Moved 1986.441 338 507.5 -0.05092591 0.3073559
Moved 1986.454 337.3245 508.6755 -0.05248954 0.3103792
Ended 1986.47 337 510 -0.05324075 0.3137859
Accept 1986.513 0 a
Began 1986.851 253 367 -0.2476852 -0.05401234
Stationary 1986.872 253 367 -0.2476852 -0.05401234
Stationary 1986.889 253 367 -0.2476852 -0.05401234
Stationary 1986.901 253 367 -0.2476852 -0.05401234
Stationary 1986.917 253 367 -0.2476852 -0.05401234
Moved 1986.932 273.0361 378.8217 -0.2013054 -0.02360693
Moved 1986.95 289.0779 389.3853 -0.1641714 0.003562974
Moved 1986.963 305 398.5 -0.1273148 0.02700609
Moved 1986.98 324.645 410.0281 -0.08184025 0.05665673
Moved 1986.994 350.6409 424.8025 -0.02166465 0.09465649
Moved 1987.01 375.791 437.3955 0.03655334 0.127046
Moved 1987.026 395.3823 448.0706 0.08190353 0.1545024
Moved 1987.042 419.5022 461.3901 0.1377365 0.1887604
Moved 1987.055 440.9227 470.1989 0.1873211 0.2114168
Moved 1987.072 459.9223 479.4612 0.2313017 0.2352396
Moved 1987.085 472.0561 486.0306 0.2593891 0.2521362
Moved 1987.101 484.5841 492.9911 0.288389 0.2700389
Moved 1987.117 495.4756 499.1289 0.313601 0.2858253
Moved 1987.133 502.8181 502.3272 0.3305974 0.2940513
Moved 1987.148 508 505 0.3425926 0.3009258
Moved 1987.164 510.8642 506.8641 0.3492226 0.3057204
Moved 1987.179 512.3161 507 0.3525836 0.3060699
Moved 1987.196 513.5 508.5 0.3553241 0.3099279
Stationary 1987.21 513.5 508.5 0.3553241 0.3099279
Moved 1987.224 514 509.1449 0.3564815 0.3115866
Stationary 1987.241 514 509.1449 0.3564815 0.3115866
