he is just like everyone else
he is just like everyone else
FixStart
0.6 0.6
432 388.8
Began 387.5506 404 412 0.1018518 0.06172835
Stationary 387.5687 404 412 0.1018518 0.06172835
Stationary 387.5819 404 412 0.1018518 0.06172835
Stationary 387.5963 404 412 0.1018518 0.06172835
Moved 387.6119 422.6129 412 0.1449372 0.06172835
Moved 387.6284 439.0056 412 0.1828835 0.06172835
Moved 387.6444 452.8687 420.7722 0.2149739 0.08429059
Moved 387.6591 465.5 423 0.244213 0.09002049
Moved 387.6744 470.149 423.6298 0.2549746 0.09164044
Moved 387.69 476.2867 425.0717 0.2691823 0.09534878
Moved 387.7065 480.5 425 0.2789353 0.09516452
Moved 387.7209 481.9465 425 0.2822836 0.09516452
Moved 387.7365 483.3851 426.3851 0.2856136 0.09872699
Moved 387.7523 484.5 426 0.2881944 0.09773654
Moved 387.7674 484 427.1318 0.287037 0.1006476
Moved 387.7827 484 428.2982 0.287037 0.1036476
Moved 387.7979 466.2156 440.4661 0.2458694 0.1349436
Moved 387.8131 438.5607 455.9916 0.1818534 0.1748755
Moved 387.8304 415.9022 465.6064 0.1294032 0.1996048
Moved 387.8443 394.747 475.0514 0.08043279 0.2238975
Moved 387.8599 378.6729 481.3792 0.04322419 0.2401727
Moved 387.8753 363.688 487.1387 0.008536974 0.2549862
Moved 387.8911 351.8441 492.5254 -0.01887937 0.268841
Moved 387.9045 340.9366 497.322 -0.0441282 0.2811778
Moved 387.9216 332.898 501.0408 -0.06273608 0.2907426
Stationary 387.9375 332.898 501.0408 -0.06273608 0.2907426
Moved 387.9511 322.3057 506.4777 -0.08725538 0.3047266
Moved 387.9681 315.0006 510.5996 -0.1041652 0.3153281
Began 387.9828 703 44 0.7939814 -0.8847736
Stationary 387.9995 703 44 0.7939814 -0.8847736
Moved 388.0136 703 54 0.7939814 -0.8590534
Stationary 388.0313 703 54 0.7939814 -0.8590534
Ended 388.045 703 54 0.7939814 -0.8590534
Stationary 388.0597 291 524 -0.1597222 0.3497942
Moved 388.076 288.0654 525.9346 -0.1665153 0.3547699
Moved 388.0923 288 527.3469 -0.1666667 0.3584024
Moved 388.1064 287 528.7014 -0.1689815 0.3618863
Moved 388.1215 287 530.0433 -0.1689815 0.3653375
Ended 388.1392 287 531.4819 -0.1689815 0.3690378
Candidates 388.1792 12 g h f hh fgd d dh j t ht fy y
Cancel 388.2891
Delete 388.2891 DoubleClick
Began 390.2759 310 327 -0.1157407 -0.1568931
Stationary 390.2945 310 327 -0.1157407 -0.1568931
Stationary 390.3096 310 327 -0.1157407 -0.1568931
Stationary 390.3239 310 327 -0.1157407 -0.1568931
Stationary 390.3392 310 327 -0.1157407 -0.1568931
Stationary 390.355 310 327 -0.1157407 -0.1568931
Moved 390.3708 321.8565 327 -0.08829504 -0.1568931
Moved 390.389 336 327 -0.05555556 -0.1568931
Moved 390.4019 348.9977 334.5999 -0.02546832 -0.1373462
Moved 390.4171 365.3944 336.0394 0.01248697 -0.1336434
Moved 390.4323 378.2904 338.9534 0.04233896 -0.1261487
Moved 390.4476 385.5013 339.9169 0.05903085 -0.1236706
Moved 390.4632 391.4324 340 0.07276008 -0.1234569
Moved 390.479 395.3919 341 0.08192569 -0.1208849
Moved 390.4948 398.4692 341 0.08904914 -0.1208849
Moved 390.5106 399.2841 341 0.09093543 -0.1208849
Moved 390.5251 401.8078 342 0.09677728 -0.1183128
Stationary 390.5411 402 342 0.09722222 -0.1183128
Moved 390.5555 403.6876 342 0.1011287 -0.1183128
Moved 390.5711 404.5 342 0.1030092 -0.1183128
Moved 390.5856 404 342 0.1018518 -0.1183128
Stationary 390.602 404 342 0.1018518 -0.1183128
Moved 390.6242 404 344.0936 0.1018518 -0.112928
Stationary 390.6349 404 344.0936 0.1018518 -0.112928
Moved 390.6477 395.1191 347.9603 0.08129428 -0.1029829
Moved 390.664 385.0881 356.4958 0.0580744 -0.08102919
