travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Began 547.8088 446 236 0.199074 -0.3909465
Stationary 547.8262 446 236 0.199074 -0.3909465
Stationary 547.8427 446 236 0.199074 -0.3909465
Stationary 547.8589 446 236 0.199074 -0.3909465
Moved 547.8746 446 246.8778 0.199074 -0.3629687
Moved 547.8877 440.5598 264.6716 0.1864809 -0.3172028
Moved 547.9041 432.8388 287.6448 0.1686083 -0.2581154
Moved 547.9197 427.0836 321.0196 0.155286 -0.1722748
Moved 547.935 424.8275 330.7936 0.1500637 -0.1471357
Moved 547.9515 422.9768 346.2086 0.1457796 -0.1074882
Moved 547.9666 420.0924 361.9919 0.1391027 -0.06689338
Moved 547.9833 420 374.1556 0.1388889 -0.03560816
Moved 547.9975 420 387.1074 0.1388889 -0.002295804
Moved 548.0131 419 396.5673 0.1365741 0.02203509
Moved 548.0283 419 404.1182 0.1365741 0.0414561
Moved 548.0435 419 406.6511 0.1365741 0.04797091
Moved 548.0585 418.2645 411.471 0.1348715 0.06036778
Moved 548.0741 418 415.5328 0.1342593 0.07081487
Moved 548.0897 418 417.2318 0.1342593 0.07518446
Moved 548.1039 418 420.1153 0.1342593 0.08260094
Stationary 548.1196 418 420.1153 0.1342593 0.08260094
Moved 548.1377 418 421.9378 0.1342593 0.08728847
Moved 548.1521 418 423.0391 0.1342593 0.09012116
Moved 548.166 418 424 0.1342593 0.09259254
Moved 548.1826 418 424.9317 0.1342593 0.0949889
Stationary 548.1956 418 425 0.1342593 0.09516452
Moved 548.2113 417.1891 425 0.1323823 0.09516452
Stationary 548.227 417 425 0.1319444 0.09516452
Stationary 548.245 417 425 0.1319444 0.09516452
Stationary 548.2571 417 425 0.1319444 0.09516452
Moved 548.2727 415.7771 425 0.1291137 0.09516452
Moved 548.288 413.3423 425 0.1234777 0.09516452
Moved 548.3047 410.8689 425 0.1177522 0.09516452
Moved 548.3191 408 425 0.1111111 0.09516452
Moved 548.3367 403.2372 417.4744 0.1000861 0.07580867
Moved 548.3507 398.8676 412.8676 0.08997122 0.06395987
Moved 548.3658 394 409.5 0.07870366 0.05529835
Moved 548.3829 390.1494 404.1494 0.06979028 0.04153636
Moved 548.3959 385.8258 401.2172 0.05978207 0.03399484
Moved 548.4114 382.5084 397.5084 0.0521028 0.02445558
Moved 548.4274 379.4643 393.1965 0.04505634 0.01336549
Moved 548.4437 376.5857 390.5857 0.03839284 0.006650446
Moved 548.4683 372.5 385 0.02893518 -0.007716127
Moved 548.4803 370.3134 381.6267 0.02387355 -0.01639229
Stationary 548.4905 370.3134 381.6267 0.02387355 -0.01639229
