if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Began 1233.451 360 284 0 -0.2674897
Stationary 1233.468 360 284 0 -0.2674897
Moved 1233.484 370.0906 300.145 0.02335797 -0.2259644
Moved 1233.498 393.177 331.8683 0.0767985 -0.1443715
Moved 1233.513 418.9886 358.8827 0.1365477 -0.07489035
Moved 1233.529 442.3482 386.351 0.1906208 -0.00424126
Moved 1233.544 457.9509 401.7232 0.2267382 0.03529627
Moved 1233.56 474.5417 416.1181 0.2651428 0.0723201
Moved 1233.576 482.8717 424.8717 0.2844252 0.09483458
Moved 1233.591 499.0924 438.6375 0.3219733 0.1302403
Moved 1233.606 510.3412 448.1735 0.3480119 0.1547672
Moved 1233.622 515.2134 452.2134 0.3592904 0.165158
Moved 1233.637 518.0841 455.0841 0.3659355 0.1725414
Moved 1233.653 519.4853 456.4853 0.369179 0.1761452
Moved 1233.668 520 457.9254 0.3703704 0.1798492
Moved 1233.683 520 458.5 0.3703704 0.181327
Moved 1233.699 520 458 0.3703704 0.180041
Moved 1233.714 485.4922 439.4727 0.2904913 0.1323884
Moved 1233.729 444.6195 415.5011 0.1958784 0.0707332
Moved 1233.744 402.0484 386.1873 0.09733418 -0.004662329
Moved 1233.76 369.4346 360.2646 0.02183934 -0.07133578
Moved 1233.775 343.699 336.9866 -0.03773386 -0.1312073
Moved 1233.791 328.379 321.5772 -0.07319684 -0.1708406
Moved 1233.807 311.856 304.856 -0.1114445 -0.2138479
Moved 1233.822 301.9188 294.3025 -0.1344473 -0.2409916
Moved 1233.839 294.7109 287.7687 -0.1511321 -0.2577964
Moved 1233.853 289.0076 280.5095 -0.1643343 -0.2764675
Moved 1233.869 286.1234 277.1851 -0.1710107 -0.2850179
Moved 1233.887 283.2452 274.2452 -0.1776731 -0.2925793
Moved 1233.9 281 272 -0.1828704 -0.2983539
Moved 1233.913 279.046 270.046 -0.1873935 -0.3033797
Moved 1233.929 278.5 269.5 -0.1886574 -0.304784
Ended 1233.944 278 269 -0.1898148 -0.30607
Candidates 1234.082 12 is of good if his god id odd off goods odds opioid
Began 1234.886 443 446 0.1921296 0.1491768
Stationary 1234.902 443 446 0.1921296 0.1491768
Moved 1234.917 443 421.3593 0.1921296 0.08580046
Moved 1234.932 443 371.3499 0.1921296 -0.04282453
Moved 1234.955 433 252.9814 0.1689814 -0.3472699
Stationary 1234.966 433 252.9814 0.1689814 -0.3472699
Ended 1234.978 433 219.4552 0.1689814 -0.4335001
Accept 1235.021 3 if
Began 1235.824 412 241 0.1203704 -0.3780865
Stationary 1235.842 412 241 0.1203704 -0.3780865
Stationary 1235.856 412 241 0.1203704 -0.3780865
Stationary 1235.872 412 241 0.1203704 -0.3780865
Stationary 1235.887 412 241 0.1203704 -0.3780865
Moved 1235.902 412 269.7036 0.1203704 -0.3042603
Moved 1235.92 401.5692 295.3953 0.09622484 -0.2381809
Moved 1235.936 397.2533 332.7201 0.08623451 -0.1421808
Moved 1235.948 395.5349 349.4183 0.08225669 -0.09923267
Moved 1235.964 392.2363 395.5649 0.07462104 0.01945692
Moved 1235.98 390.8015 428.5645 0.07129987 0.1043324
Moved 1235.995 389.3549 446.7405 0.06795128 0.1510815
Moved 1236.01 389 460.6843 0.06712963 0.1869451
Moved 1236.026 389 469.6364 0.06712963 0.2099699
Moved 1236.042 389 476.8495 0.06712963 0.2285224
Moved 1236.058 389 480.1561 0.06712963 0.2370268
Moved 1236.074 389 482.9553 0.06712963 0.2442266
Moved 1236.09 397.2372 486.7457 0.08619716 0.2539755
Moved 1236.103 408.7993 489.6998 0.1129613 0.2615736
Moved 1236.119 443.1764 491.7903 0.1925379 0.2669502
Moved 1236.135 481.6472 492 0.2815908 0.2674896
Moved 1236.148 505.121 482.9758 0.3359283 0.2442792
Moved 1236.164 517.3775 481.1803 0.3642998 0.2396612
Moved 1236.179 530.9424 478.6115 0.3956999 0.2330543
Moved 1236.194 540.431 476.367 0.4176642 0.2272813
Moved 1236.212 548.3587 474.9283 0.4360155 0.2235809
Moved 1236.226 554 473.5 0.4490741 0.2199073
Moved 1236.242 554.9494 473 0.4512717 0.2186213
Moved 1236.258 556.3879 473 0.4546018 0.2186213
Moved 1236.272 557 473 0.4560185 0.2186213
Moved 1236.289 557 472.0364 0.4560185 0.216143
Moved 1236.304 557 469.1954 0.4560185 0.2088359
Moved 1236.319 534.0619 462.9517 0.4029211 0.1927768
Moved 1236.334 512.8037 454.3215 0.3537124 0.1705798
Moved 1236.35 482.6314 442.971 0.2838689 0.1413863
Moved 1236.365 453.7226 430.5252 0.2169505 0.1093754
Moved 1236.381 433 423 0.1689814 0.09002049
Moved 1236.397 418.0959 417.4628 0.1344813 0.07577884
Moved 1236.411 399.1521 410.2892 0.09062985 0.05732818
Moved 1236.427 388.9398 405.2599 0.06699016 0.04439267
Moved 1236.443 378.897 401.9706 0.04374295 0.03593256
Moved 1236.457 373.6177 399.5392 0.03152252 0.02967913
Moved 1236.472 370.2093 399 0.02363265 0.02829214
Moved 1236.489 364.6339 397.6584 0.01072665 0.02484168
Ended 1236.503 364.6339 397.6584 0.01072665 0.02484168
Candidates 1236.687 12 tour terror root toy type tie your route true report roy error
Began 1237.778 414 374 0.125 -0.03600823
Stationary 1237.796 414 374 0.125 -0.03600823
Stationary 1237.806 414 374 0.125 -0.03600823
Stationary 1237.817 414 374 0.125 -0.03600823
Ended 1237.83 414 374 0.125 -0.03600823
NextCandidatePanel 1237.89
Began 1238.862 420 370 0.1388889 -0.04629637
Stationary 1238.88 420 370 0.1388889 -0.04629637
Stationary 1238.895 420 370 0.1388889 -0.04629637
Ended 1238.909 420 370 0.1388889 -0.04629637
NextCandidatePanel 1238.951
Began 1238.985 405 379 0.1041667 -0.02314815
Stationary 1239.001 405 379 0.1041667 -0.02314815
Stationary 1239.016 405 379 0.1041667 -0.02314815
Stationary 1239.033 405 379 0.1041667 -0.02314815
Stationary 1239.049 405 379 0.1041667 -0.02314815
Ended 1239.062 405 379 0.1041667 -0.02314815
Cancel 1239.123
Began 1240.047 365 310 0.01157403 -0.2006174
Stationary 1240.066 365 310 0.01157403 -0.2006174
