I can still feel your presence
I can still feel your presence
FixStart
List

0.6 0.6
432 388.8
Began 853.7062 405 347 0.1041667 -0.1054527
Stationary 853.7369 405 347 0.1041667 -0.1054527
Stationary 853.7676 405 347 0.1041667 -0.1054527
Moved 853.7983 418.7087 364.2815 0.1358997 -0.06100446
Moved 853.829 439.0545 386.2303 0.1829966 -0.004551813
Moved 853.8597 457.6836 407.4955 0.2261194 0.0501427
Moved 853.8905 477.5 432 0.2719907 0.1131687
Moved 853.9213 498.01 455.2612 0.3194676 0.1729969
Moved 853.952 510.8478 468.8478 0.3491848 0.2079419
Moved 853.9827 521.1722 481.4653 0.3730838 0.2403941
Moved 854.0134 527.0277 488.0277 0.3866382 0.2572729
Moved 854.0442 531 493 0.3958333 0.2700616
Moved 854.0749 533.1143 496.1143 0.4007275 0.2780716
Moved 854.1056 534.8382 499.8382 0.404718 0.2876495
Moved 854.1364 536 501 0.4074074 0.2906378
Ended 854.1671 536 501 0.4074074 0.2906378
Candidates 854.2286 13 I go o ii iii ip gi hi you up iu p u
Began 855.2427 455 392 0.2199073 0.01028803
Stationary 855.2734 455 392 0.2199073 0.01028803
Moved 855.3041 439.1349 369.2971 0.1831827 -0.04810435
Moved 855.3348 418.6309 345.1571 0.1357197 -0.1101927
Moved 855.3655 399.2906 324.339 0.09095033 -0.1637372
Moved 855.3963 387.2702 311.2702 0.06312549 -0.1973503
Moved 855.427 381.1884 304.1884 0.04904707 -0.215565
Moved 855.4578 377.2205 300.2205 0.0398622 -0.2257703
Moved 855.4885 373.5 296.5 0.03125002 -0.2353395
Moved 855.5192 371.892 297 0.02752781 -0.2340535
Moved 855.5499 369.2745 297 0.0214687 -0.2340535
Moved 855.5806 365.6374 310.626 0.01304954 -0.1990073
Moved 855.6115 361.9131 328.6083 0.004428426 -0.1527564
Moved 855.6422 361 349.2764 0.002314846 -0.09959766
Moved 855.6729 361 366.1359 0.002314846 -0.05623484
Moved 855.7036 361 384.5338 0.002314846 -0.008915166
Moved 855.7344 368.6402 395.5607 0.02000034 0.01944613
