my watch fell in the water
my watch fell in the water
Basic
List

0.6 0.6
432 388.8
Began 1011.632 547 223 0.4328704 -0.4243828
Moved 1011.663 538.5204 233.5995 0.4132418 -0.3971207
Moved 1011.693 502.0761 282.2001 0.3288798 -0.2721191
Moved 1011.724 450.2623 351.6017 0.2089406 -0.09361714
Moved 1011.755 414.761 398.3125 0.1267617 0.02652384
Moved 1011.786 381.4063 441.1125 0.04955153 0.1366061
Moved 1011.816 360.2491 470.8624 0.0005767742 0.2131233
Moved 1011.847 341.3269 501.7885 -0.04322484 0.2926658
Moved 1011.878 330.1195 523.481 -0.06916772 0.3484593
Moved 1011.908 323.0772 540.7685 -0.08546949 0.392923
Ended 1011.939 320.7898 549.8408 -0.09076437 0.4162571
Candidates 1012.031 13 my mt mr nmt ny nt by nyt more but me buy meet
Began 1013.475 255 540 -0.2430556 0.3909464
Stationary 1013.506 255 540 -0.2430556 0.3909464
Stationary 1013.536 255 540 -0.2430556 0.3909464
Moved 1013.567 249.4556 510.8714 -0.2558899 0.3160272
Moved 1013.598 234.5613 475.506 -0.2903674 0.2250668
Moved 1013.629 220.2372 441.514 -0.3235249 0.1376389
Moved 1013.659 208.1685 416.6292 -0.3514618 0.07363456
Moved 1013.69 196.6776 396.2841 -0.3780613 0.02130665
Moved 1013.721 191.191 385.4775 -0.3907615 -0.006487889
Moved 1013.751 184.6902 374.0353 -0.4058096 -0.03591733
Moved 1013.782 179.1754 364.7632 -0.4185754 -0.05976555
Moved 1013.813 176.2614 359.2615 -0.4253207 -0.07391603
Moved 1013.844 174.4245 355.4245 -0.429573 -0.0837848
Moved 1013.874 174 353.8339 -0.4305556 -0.08787579
Moved 1013.905 173 351.5 -0.4328704 -0.0938786
Moved 1013.936 172 349.5739 -0.4351852 -0.09883276
Moved 1013.966 172 348.6419 -0.4351852 -0.1012297
Stationary 1013.997 172 349 -0.4351852 -0.1003086
Moved 1014.028 181.6462 357.8423 -0.412856 -0.07756606
Moved 1014.059 210.9497 389.4036 -0.3450238 0.003609951
Moved 1014.089 245.8872 427.8778 -0.26415 0.1025663
Moved 1014.12 272.6086 457.3428 -0.202295 0.1783508
Moved 1014.151 297.893 480.4037 -0.1437662 0.2376637
Moved 1014.181 317.3287 496.4246 -0.09877612 0.2788699
Moved 1014.212 332.6536 508.9902 -0.06330187 0.3111886
Moved 1014.243 342.2708 517.2708 -0.04103984 0.3324864
Moved 1014.274 345.8043 519.9022 -0.03286049 0.3392544
Moved 1014.304 347.6325 522 -0.02862846 0.3446501
Moved 1014.335 349.1963 523.1962 -0.02500867 0.3477268
Stationary 1014.366 349.1963 523.1962 -0.02500867 0.3477268
Stationary 1014.396 349.1963 523.1962 -0.02500867 0.3477268
Stationary 1014.427 349 523 -0.02546296 0.3472221
Stationary 1014.458 349 523 -0.02546296 0.3472221
Stationary 1014.489 349 523 -0.02546296 0.3472221
Moved 1014.519 339.32 509.6002 -0.04787027 0.3127575
Moved 1014.55 332.6749 499.3499 -0.0632525 0.2863936
Moved 1014.581 315.9904 459.4053 -0.101874 0.1836555
Moved 1014.612 297.5 397 -0.1446759 0.02314815
Moved 1014.642 288.9621 328.2794 -0.1644397 -0.1536026
Moved 1014.673 288 283.9746 -0.1666667 -0.2675551
Moved 1014.704 298 250.5 -0.1435185 -0.3536523
Moved 1014.734 301.9094 232.3624 -0.134469 -0.4003024
Moved 1014.765 305.69 221.6199 -0.1257175 -0.4279324
Moved 1014.796 308.4469 216.1062 -0.1193359 -0.4421138
Moved 1014.827 314.8907 215 -0.1044198 -0.4449589
Moved 1014.857 346.4073 239.4073 -0.03146454 -0.3821828
Moved 1014.888 426.5881 327.1617 0.1541392 -0.1564772
Moved 1014.919 474.5939 398.5503 0.2652637 0.02713552
Moved 1014.949 503.2945 435.1377 0.3317002 0.1212389
Moved 1014.98 524.9976 458.9976 0.3819388 0.1826068
Moved 1015.011 536.3545 468.2659 0.408228 0.2064451
Moved 1015.042 550.5 477 0.4409722 0.2289094
Ended 1015.072 550.5 477 0.4409722 0.2289094
Accept 1015.164 0 my
Candidates 1015.164 13 watch deck attack real rank wall struck fatal walk suck tank stuck ask
Began 1016.24 288 369 -0.1666667 -0.04886839
Stationary 1016.27 288 369 -0.1666667 -0.04886839
Moved 1016.301 270.9724 378.9328 -0.2060825 -0.02332106
Moved 1016.332 254.8573 388.9794 -0.2433859 0.002519035
Moved 1016.362 227.6076 410.3923 -0.3064638 0.05759337
Moved 1016.393 203.9116 435.8605 -0.3613156 0.1230979
Moved 1016.424 188.31 459.242 -0.3974305 0.1832356
Moved 1016.455 179.646 482.4162 -0.4174862 0.2428399
Moved 1016.485 176.6817 501.2283 -0.424348 0.291225
Moved 1016.516 175 513.3041 -0.4282407 0.3222842
Moved 1016.547 175 525.0824 -0.4282407 0.3525781
Moved 1016.577 175 533.6467 -0.4282407 0.3746055
Moved 1016.608 182.7353 543.9008 -0.4103349 0.4009792
Moved 1016.639 186.4431 548.4431 -0.4017521 0.4126622
Moved 1016.67 189.4794 551.4794 -0.3947236 0.4204717
Moved 1016.7 192.8287 552.9144 -0.3869705 0.4241623
Moved 1016.731 204.3276 554 -0.3603529 0.4269547
Moved 1016.762 221.8562 554 -0.3197773 0.4269547
Moved 1016.792 263.5696 529.6296 -0.2232186 0.3642735
Moved 1016.823 312.363 492.3926 -0.1102709 0.2684993
Moved 1016.854 343.0481 460.6132 -0.03924052 0.1867623
Moved 1016.885 368.8531 436.1469 0.02049337 0.1238344
Moved 1016.915 388.9095 415.0905 0.06692021 0.06967701
Moved 1016.946 403.2466 400.7534 0.1001079 0.03280176
Moved 1016.977 416.3012 388.749 0.1303268 0.001926422
Moved 1017.008 431.9216 376.7189 0.1664852 -0.02901517
Moved 1017.038 446.1546 366.2303 0.1994319 -0.05599214
Moved 1017.069 456.0181 355.9865 0.222264 -0.08233945
Moved 1017.1 466.8519 347.9185 0.2473423 -0.1030903
Moved 1017.13 481.1227 338.9387 0.2803766 -0.1261867
Moved 1017.161 489.8207 335.0598 0.3005109 -0.1361633
Moved 1017.192 498.404 333.298 0.3203797 -0.1406946
Moved 1017.223 504.9442 332 0.3355189 -0.144033
Moved 1017.253 510.4403 331 0.3482415 -0.146605
Moved 1017.284 516.0142 330 0.3611438 -0.149177
Moved 1017.315 525.3058 328.5647 0.3826524 -0.1528686
Moved 1017.345 537.7941 329 0.4115603 -0.151749
Moved 1017.376 546.1489 329 0.4309002 -0.151749
Moved 1017.407 554.1517 329 0.4494252 -0.151749
Moved 1017.438 560.2745 329 0.4635985 -0.151749
Ended 1017.468 563 329 0.4699074 -0.151749
Accept 1017.591 0 watch
Candidates 1017.591 13 sell seek farm feel dark del seem arm cell steel warm fell geek
Began 1018.482 391 383 0.07175922 -0.01286016
Moved 1018.513 375.1533 399.8372 0.03507704 0.03044529
Moved 1018.543 336.4728 434.0233 -0.05446101 0.1183725
Moved 1018.574 293.9553 468.0391 -0.1528812 0.2058617
Moved 1018.605 257.5096 498.5244 -0.2372464 0.2842705
Moved 1018.635 230.0398 522.2516 -0.3008339 0.3452974
Moved 1018.666 210.747 537.3236 -0.3454931 0.3840627
Moved 1018.697 196.8778 550.1221 -0.3775976 0.4169807
Moved 1018.728 188.0447 558.9553 -0.3980447 0.4396998
Moved 1018.758 180.7787 567.2213 -0.414864 0.46096
Moved 1018.789 177.8534 573.2932 -0.4216355 0.4765769
Moved 1018.82 176.3381 577.6619 -0.4251432 0.4878133
Moved 1018.85 173.7097 583.8708 -0.4312275 0.5037829
Moved 1018.881 171.9431 590.1706 -0.4353169 0.519986
Moved 1018.912 172 597.6282 -0.4351852 0.5391672
Moved 1018.943 172 602.3818 -0.4351852 0.5513935
Moved 1018.973 172 606.0148 -0.4351852 0.5607377
Moved 1019.004 172 610.5636 -0.4351852 0.5724371
Moved 1019.035 175.8199 614.5457 -0.4263428 0.5826792
Moved 1019.066 184.8755 617.9377 -0.4053807 0.5914036
Moved 1019.096 210.784 624.464 -0.3454074 0.6081892
Moved 1019.127 240.0194 626 -0.2777329 0.6121398
Moved 1019.158 265.2004 626 -0.2194435 0.6121398
Moved 1019.188 282.904 617.5989 -0.178463 0.590532
Moved 1019.219 300.7904 609.6048 -0.1370592 0.5699711
Moved 1019.25 316.1049 602.558 -0.101609 0.5518467
Moved 1019.281 327.9973 594.752 -0.07408022 0.5317695
Expand 1019.281
Moved 1019.311 339.6878 589.1561 -0.04701898 0.5173767
Moved 1019.342 348.5281 583.6479 -0.02655536 0.5032097
Moved 1019.373 353.8878 580.0562 -0.0141487 0.4939715
Moved 1019.403 357.5126 577.7437 -0.005757859 0.4880239
Moved 1019.434 360.0912 574.9088 0.0002111991 0.4807323
Moved 1019.465 361.8488 574 0.004279713 0.478395
Moved 1019.496 363.2188 572.7812 0.007450879 0.4752601
Moved 1019.526 365.0559 572 0.01170347 0.4732509
Stationary 1019.557 365.0559 572 0.01170347 0.4732509
Moved 1019.588 366.2396 570.7604 0.0144436 0.4700626
Moved 1019.618 367.2401 569.7599 0.01675934 0.4674895
Moved 1019.649 368.1156 570 0.01878619 0.4681069
Moved 1019.68 369.0488 568.9512 0.02094626 0.4654095
Moved 1019.711 370.2971 569 0.0238358 0.4655349
Moved 1019.741 370 567.5 0.02314816 0.4616768
Moved 1019.772 371 564.5 0.025463 0.4539608
Moved 1019.803 372 560.4495 0.02777775 0.4435429
Moved 1019.833 373 555.9273 0.0300926 0.4319117
Moved 1019.864 373 551.2781 0.0300926 0.419954
Moved 1019.895 373 546.5296 0.0300926 0.4077407
Moved 1019.926 373 541.034 0.0300926 0.3936059
Moved 1019.956 373 537.2698 0.0300926 0.3839242
Moved 1019.987 374.1207 534.8793 0.03268689 0.3777758
Moved 1020.018 375.8745 533.1255 0.03674646 0.3732652
Moved 1020.049 379.2568 531.3716 0.04457583 0.3687541
Moved 1020.079 386.1884 528.6039 0.0606213 0.3616354
Moved 1020.11 393.4859 526.1714 0.07751365 0.355379
Moved 1020.14 401.162 524 0.09528249 0.3497942
Moved 1020.171 406.6826 521.6587 0.1080616 0.3437723
Moved 1020.202 411.6471 520.1765 0.1195535 0.33996
Moved 1020.233 414.5 520 0.1261574 0.3395061
Moved 1020.263 418.2862 517.7138 0.1349217 0.333626
Moved 1020.294 422.0473 514.9527 0.1436279 0.3265243
Moved 1020.325 423.5172 511.4828 0.1470305 0.3175998
Moved 1020.356 426.287 506.426 0.1534421 0.3045935
Moved 1020.386 426 500.9131 0.1527777 0.2904144
Moved 1020.417 426 494.3902 0.1527777 0.2736372
Moved 1020.448 426 488.3219 0.1527777 0.2580296
Moved 1020.479 417.0138 479.0138 0.1319763 0.2340889
Moved 1020.509 408.1973 469.9578 0.1115678 0.2107967
Moved 1020.54 396 460.5 0.08333336 0.1864711
Moved 1020.571 380.6228 452.3559 0.04773805 0.1655243
Moved 1020.601 356.9537 443.6564 -0.007051677 0.1431491
Moved 1020.632 336.9375 439.5625 -0.0533855 0.1326195
Moved 1020.663 312.9988 436.0833 -0.1087991 0.1236709
Moved 1020.694 292.1468 436 -0.1570676 0.1234567
Moved 1020.724 275.9576 436 -0.1945426 0.1234567
Moved 1020.755 264.3728 436 -0.2213592 0.1234567
Moved 1020.786 254.1385 446.7169 -0.2450497 0.1510206
Moved 1020.816 243.0518 453.6321 -0.2707134 0.1688069
Moved 1020.847 234.8709 459.0645 -0.2896506 0.182779
