in sharp contrast to your words
in sharp contrast to your words
Basic
List

0.6 0.6
432 388.8
Began 1839.881 489 492 0.2986111 0.2674896
Stationary 1839.912 489 492 0.2986111 0.2674896
Moved 1839.943 473.5924 492 0.2629454 0.2674896
Moved 1839.974 452.5056 470.3677 0.2141333 0.2118511
Moved 1840.004 422.1216 443.4968 0.1437999 0.1427387
Moved 1840.035 394.9556 409.564 0.0809157 0.05546283
Moved 1840.066 377.5971 383.0748 0.04073411 -0.01266762
Moved 1840.096 364.5 359.5 0.01041671 -0.07330247
Moved 1840.127 357.8682 341.5388 -0.004934669 -0.1194991
Moved 1840.158 352.1895 319.3267 -0.01807983 -0.1766289
Moved 1840.189 348.4365 300.1825 -0.02676735 -0.2258681
Moved 1840.219 347.0234 288.1168 -0.03003846 -0.2569012
Moved 1840.25 346.2757 276.1027 -0.03176922 -0.2878017
Moved 1840.281 346 266.6011 -0.03240739 -0.3122399
Moved 1840.311 346 258.3442 -0.03240739 -0.3334769
Moved 1840.342 346 251.9971 -0.03240739 -0.3498017
Moved 1840.373 344.5882 244.7646 -0.03567547 -0.3684037
Moved 1840.403 345 241.8252 -0.03472224 -0.3759641
Ended 1840.434 345 239 -0.03472224 -0.3832304
Candidates 1840.496 13 iv ic uv pc in ogc ibm un tv hiv pub inc on
Began 1841.325 421 295 0.1412037 -0.2391976
Stationary 1841.356 421 295 0.1412037 -0.2391976
Moved 1841.386 413.3146 314.7625 0.1234134 -0.1883682
Moved 1841.417 405.8804 347.4782 0.1062048 -0.1042227
Moved 1841.448 396.2314 397.7276 0.08386891 0.02501947
Moved 1841.478 393.8058 443.3297 0.07825423 0.1423088
Moved 1841.509 393 478.3939 0.07638891 0.2324944
Moved 1841.54 393 508 0.07638891 0.3086419
Moved 1841.571 403.2959 543.7756 0.100222 0.4006574
Moved 1841.601 407.7997 565.1987 0.1106474 0.455758
Moved 1841.632 412.2939 582.5287 0.1210508 0.5003309
Moved 1841.663 416.1119 594.2239 0.1298888 0.5304111
Moved 1841.693 418.8383 605.353 0.1361997 0.5590354
Moved 1841.724 422.5951 613.7854 0.1448961 0.5807236
Moved 1841.755 425.3603 620.7206 0.151297 0.5985612
Moved 1841.786 427.8381 625.6762 0.1570326 0.611307
Moved 1841.816 432.2061 632.2062 0.1671438 0.6281022
Moved 1841.847 436.3634 637.7268 0.1767671 0.6423014
Moved 1841.878 443.2541 643.2541 0.1927178 0.6565176
Moved 1841.908 450.7062 646.5687 0.209968 0.665043
Moved 1841.939 457.6534 648.3267 0.2260494 0.6695642
Moved 1841.969 474.6866 648 0.2654784 0.6687242
Moved 1842 491.5 648 0.3043981 0.6687242
Moved 1842.031 506.3941 648 0.3388753 0.6687242
Moved 1842.062 517.1457 638.9636 0.3637632 0.6454823
Moved 1842.093 525.3862 634.4092 0.3828384 0.6337686
Moved 1842.123 530.3588 631.8206 0.3943491 0.6271104
Expand 1842.123
Moved 1842.154 538.0299 626.98 0.4121063 0.6146605
Moved 1842.185 541.772 623.228 0.4207684 0.6050103
Moved 1842.215 544.5396 620.4604 0.4271749 0.5978919
