the five boxing wizards jump quickly
the five boxing wizards jump quickly
Basic
List

0.6 0.6
432 388.8
Began 865.4297 267 593 -0.2152778 0.5272633
Stationary 865.4604 267 593 -0.2152778 0.5272633
Moved 865.4911 299.0252 572.8409 -0.1411453 0.4754139
Moved 865.5219 336.8252 542.517 -0.05364532 0.3974202
Moved 865.5527 377.2423 500.7576 0.03991286 0.2900144
Moved 865.583 399.3572 472.0714 0.09110461 0.2162328
Moved 865.6141 414.2917 449.4167 0.1256751 0.1579647
Moved 865.6448 424.1847 427.0383 0.1485756 0.1004072
Moved 865.6755 428.1684 409.9896 0.1577972 0.05655763
Moved 865.7063 429 398.8284 0.1597223 0.02785086
Moved 865.737 429 392.6683 0.1597223 0.01200699
Moved 865.7678 429 388.5807 0.1597223 0.00149354
Moved 865.7985 404.428 387 0.1028427 -0.002572055
Moved 865.8292 356.5916 430.2478 -0.007889767 0.108662
Moved 865.8599 334.3259 454.0927 -0.0594308 0.1699913
Moved 865.8907 317.0793 475.5048 -0.09935334 0.2250638
Moved 865.9214 303.7608 494.1349 -0.1301834 0.2729806
Moved 865.9521 287.417 508.583 -0.1680162 0.3101414
Moved 865.9828 274.1204 517.3598 -0.1987955 0.3327155
Moved 866.0135 257.7785 525.4072 -0.2366238 0.3534135
Moved 866.0443 243.127 531.1492 -0.2705392 0.3681819
Moved 866.075 232.5627 536.2186 -0.2949938 0.3812207
Moved 866.1058 224.9578 543.0422 -0.3125976 0.398771
Moved 866.1364 225 552.5701 -0.3125 0.4232768
Ended 866.1672 225 559.6647 -0.3125 0.4415243
Candidates 866.3208 13 the there where other either tiger trigger winter roger threw wife write rule
Began 867.1505 269 423 -0.2106481 0.09002049
Stationary 867.1812 269 423 -0.2106481 0.09002049
Stationary 867.2119 269 423 -0.2106481 0.09002049
Stationary 867.2426 269 423 -0.2106481 0.09002049
Stationary 867.2733 269 423 -0.2106481 0.09002049
Moved 867.304 290.4821 441.699 -0.160921 0.1381146
Moved 867.3348 318.5165 464.2133 -0.0960265 0.1960217
Moved 867.3655 346.4833 483.9128 -0.03128856 0.2466893
Moved 867.3962 390.169 514.1127 0.06983569 0.3243637
Moved 867.427 424.082 533.388 0.1483381 0.3739402
Moved 867.4577 450.1143 549.8215 0.2085981 0.4162074
Moved 867.4885 471.8325 563.8883 0.2588714 0.4523875
Moved 867.5192 488.8861 574.7089 0.2983474 0.4802182
Moved 867.5499 495.0454 579.0908 0.3126051 0.4914886
Moved 867.5806 497 580 0.3171296 0.4938271
Stationary 867.6114 497 580 0.3171296 0.4938271
Moved 867.6421 484.7599 568.2097 0.288796 0.4635023
Moved 867.6729 461.3724 547.5533 0.2346584 0.4103736
Moved 867.7036 437.7498 517.4997 0.1799763 0.3330753
Moved 867.7343 407.9437 478.8451 0.1109808 0.233655
Moved 867.765 377.5438 426.0795 0.04061053 0.09794109
Moved 867.7957 354.459 375.8289 -0.01282642 -0.03130422
Moved 867.8264 337.5794 333.545 -0.0518996 -0.1400591
Moved 867.8572 322.3678 285.8926 -0.08711164 -0.262622
Moved 867.8879 319.7117 276.491 -0.09325997 -0.2868031
Moved 867.9186 316.8932 265.6795 -0.09978433 -0.3146104
Moved 867.9493 317 262.9798 -0.09953702 -0.321554
Moved 867.9801 316 263 -0.1018519 -0.3215021
Moved 868.0108 311.716 277.4655 -0.1117686 -0.2842968
Moved 868.0415 296.84 320.1714 -0.1462036 -0.1744564
Moved 868.0723 276.7573 368.8405 -0.1926915 -0.04927851
Moved 868.103 263.8176 398.4103 -0.2226444 0.02677552
Moved 868.1337 251.9576 425.4464 -0.2500981 0.09631266
Moved 868.1644 242.7132 449.4315 -0.2714972 0.1580028
Moved 868.1951 234.0836 475.1384 -0.2914732 0.2241212
Moved 868.2259 228.8197 498.0815 -0.303658 0.2831315
Moved 868.2566 227 515.2426 -0.3078704 0.32727
Moved 868.2873 225.3781 528.4875 -0.3116247 0.361336
Moved 868.3181 225 535 -0.3125 0.3780863
Ended 868.3488 225 535 -0.3125 0.3780863
Accept 868.441 0 the
Candidates 868.441 13 drove driver drive arrive river size rice five derive source spice dive soccer
Began 869.5933 302 378 -0.1342593 -0.02572024
Moved 869.624 302 386.3867 -0.1342593 -0.00414966
Moved 869.6547 316.8618 407.1513 -0.09985685 0.04925743
Moved 869.6854 331.6822 432.2507 -0.06555041 0.1138136
Moved 869.715 343.9236 455.8662 -0.03721401 0.1745529
Moved 869.7468 357.4088 479.8176 -0.005998164 0.2361562
Moved 869.7776 368 498.5 0.01851857 0.2842077
