the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
List

0.6 0.6
432 388.8
Began 57.67669 305 267 -0.1273148 -0.311214
Stationary 57.70738 305 267 -0.1273148 -0.311214
Moved 57.73811 305 295.6882 -0.1273148 -0.2374274
Moved 57.76884 305 334.5582 -0.1273148 -0.1374533
Moved 57.7995 314 381.0359 -0.1064815 -0.01791189
Moved 57.8302 315.9805 402.8636 -0.1018969 0.03822947
Moved 57.86089 316.8525 415.41 -0.0998785 0.07049882
Moved 57.89146 317 423.1994 -0.09953702 0.09053332
Moved 57.92228 319 427.2787 -0.09490739 0.1010254
Moved 57.95298 322.1536 429.1536 -0.08760735 0.1058477
Moved 57.98365 330.0479 429 -0.06933351 0.1054526
Moved 58.01439 348.3279 398.8988 -0.02701874 0.02803186
Moved 58.04504 362.7699 356.363 0.006411771 -0.08137087
Moved 58.07576 365.3063 324.6302 0.01228323 -0.1629882
Moved 58.10643 366 302.7846 0.01388888 -0.2191754
Moved 58.13715 366 288.9503 0.01388888 -0.2547575
Moved 58.16785 366 280.0885 0.01388888 -0.2775501
Moved 58.19855 354.5 276.5 -0.0127315 -0.2867798
Moved 58.22923 331.6127 285.3442 -0.06571134 -0.2640324
Moved 58.2599 302.8051 305.4364 -0.1323955 -0.2123549
Moved 58.29063 278.4333 323.9762 -0.1888118 -0.1646703
Moved 58.3213 260.4394 337.1147 -0.2304644 -0.1308778
Moved 58.35199 239.8869 349.7421 -0.2780396 -0.09840012
Moved 58.38272 222.6979 359.1511 -0.317829 -0.07419994
Moved 58.41338 205.4268 368.7866 -0.3578083 -0.04941736
Moved 58.4441 177.3018 382.3491 -0.4229126 -0.01453415
Ended 58.47482 171 385 -0.4375 -0.007716127
Candidates 58.56688 13 the tiger there huge other further us roger this trigger is gift rights
Began 59.0887 408 422 0.1111111 0.08744851
Stationary 59.1194 408 422 0.1111111 0.08744851
Stationary 59.1501 408 422 0.1111111 0.08744851
Moved 59.18084 392.5088 422 0.07525185 0.08744851
Moved 59.21152 371.7509 413.1072 0.02720108 0.06457611
Moved 59.24222 355.9362 410.2341 -0.009406855 0.05718635
Moved 59.27293 347.7185 410 -0.02842933 0.05658428
Moved 59.30361 344.8403 410 -0.03509184 0.05658428
Stationary 59.3343 345 410 -0.03472224 0.05658428
Moved 59.36501 345 420.9071 -0.03472224 0.08463753
Moved 59.39569 366.9532 445.4808 0.01609524 0.1478414
Moved 59.42636 448.3428 521.7484 0.2044973 0.3440031
Moved 59.4571 476.0096 543.508 0.2685407 0.399969
Moved 59.48777 491.6598 555.5278 0.304768 0.4308841
Moved 59.5185 500.473 562.473 0.3251691 0.4487474
Moved 59.54919 506.5141 566.5141 0.339153 0.4591411
Moved 59.57988 509.3867 569.3868 0.3458027 0.4665297
Moved 59.61057 510 570.133 0.3472221 0.4684489
Stationary 59.64127 510 570 0.3472221 0.4681069
Moved 59.67197 479.5542 521.6399 0.2767459 0.343724
Moved 59.70264 429.3224 441.4836 0.1604685 0.1375606
Moved 59.73337 405.4583 400.3594 0.1052276 0.03178848
Moved 59.76405 371.3046 323.7919 0.02616793 -0.1651444
Moved 59.79475 355.6259 283.8778 -0.01012514 -0.2678041
Moved 59.82546 346.8475 260.2601 -0.03044551 -0.3285491
Moved 59.85612 340.3457 247.9095 -0.04549608 -0.360315
Moved 59.88685 336.8358 241.6715 -0.05362088 -0.3763593
Moved 59.91752 335 240 -0.05787035 -0.3806585
Moved 59.94823 323.4014 265.7957 -0.08471891 -0.3143117
Moved 59.97893 313.1619 310.7311 -0.1084216 -0.1987369
Moved 60.00959 307.3191 342.4046 -0.1219465 -0.1172722
Moved 60.04032 302.5772 367.9025 -0.1329231 -0.05169111
Moved 60.07098 297.412 388.5579 -0.1448796 0.001434946
Moved 60.1017 292.8195 410.1316 -0.1555103 0.05692278
Moved 60.13242 287.0653 430.2714 -0.1688303 0.1087226
Moved 60.16307 282.6548 446.0712 -0.1790399 0.1493601
Moved 60.1938 279.1082 458.3505 -0.1872494 0.1809424
Moved 60.22451 277.2315 472.074 -0.1915937 0.2162396
Moved 60.25518 275.3569 481.9293 -0.1959331 0.2415877
Moved 60.2859 275 487.5 -0.1967592 0.2559156
Ended 60.3166 275 489.0195 -0.1967592 0.2598239
Accept 60.40866 0 the
Candidates 60.40866 13 five size funds rice river fund juice dive driver drive surface drove succeed
Began 60.77703 313 519 -0.1087963 0.3369341
Stationary 60.80771 313 519 -0.1087963 0.3369341
Moved 60.8384 313 506.4439 -0.1087963 0.3046396
Moved 60.86911 328.5656 460.59 -0.0727648 0.1867025
Moved 60.89983 341.483 412.3645 -0.04286334 0.06266582
Moved 60.93051 347.3098 380.1411 -0.02937545 -0.02021334
Moved 60.9612 349 343.6551 -0.02546296 -0.1140558
Moved 60.99189 349 328.2853 -0.02546296 -0.1535872
Moved 61.02259 349 323.5549 -0.02546296 -0.1657538
Moved 61.05329 364.6758 351.0175 0.01082361 -0.09511971
Moved 61.08399 424.4993 455.7715 0.149304 0.1743095
Moved 61.11465 452.0712 504.049 0.2131277 0.2984798
Moved 61.14538 474.8448 547.6897 0.2658446 0.4107244
Moved 61.17609 485.7651 569.0889 0.2911229 0.4657637
Moved 61.20676 488.3116 576.6232 0.2970176 0.4851419
Moved 61.23744 489 582.8622 0.2986111 0.5011886
Moved 61.26817 489 584.2983 0.2986111 0.5048825
Moved 61.29885 477.5559 586 0.2721201 0.5092591
Moved 61.32956 448.1009 571.7006 0.2039373 0.4724809
Moved 61.36027 331.7709 467.7556 -0.06534521 0.2051327
Moved 61.39097 297.3724 424.8715 -0.1449712 0.09483388
Moved 61.42165 261.3047 378.2488 -0.2284614 -0.02508022
Moved 61.45238 237.0343 347.7048 -0.2846427 -0.1036399
Moved 61.48303 224.3691 332.1588 -0.3139603 -0.1436245
Moved 61.51376 216.8434 323.8434 -0.3313809 -0.1650117
Moved 61.54441 214.5 323 -0.3368055 -0.1671811
Moved 61.57515 214 323 -0.3379629 -0.1671811
Moved 61.60585 223.5403 346.9033 -0.3158789 -0.1057016
Moved 61.63652 298.9727 449.8062 -0.1412669 0.1589663
Moved 61.66724 371.597 523.1116 0.02684504 0.3475093
Moved 61.69796 399.9275 547.6956 0.09242466 0.4107397
Moved 61.72859 416.4428 560.9543 0.1306547 0.4448412
Moved 61.75932 427.4551 567.7275 0.1561461 0.4622621
Moved 61.79 430.9012 570.9012 0.1641231 0.4704247
Moved 61.82068 431 572.3414 0.1643519 0.474129
Stationary 61.85143 431 572.3414 0.1643519 0.474129
Stationary 61.88212 431 572 0.1643519 0.4732509
Moved 61.91282 388.5133 475.4914 0.06600311 0.2250293
Moved 61.94347 377.2225 432.1865 0.03986686 0.1136483
Moved 61.97417 375 406.3759 0.03472219 0.04726312
Moved 62.00489 373.6268 391.7608 0.03154347 0.00967273
Moved 62.03559 372.7515 379.0059 0.02951731 -0.02313315
Moved 62.06628 373 372.755 0.0300926 -0.03921045
Moved 62.09695 372 368.256 0.02777775 -0.05078186
Moved 62.12766 371.464 367 0.02653698 -0.05401234
Moved 62.15839 369.1811 371.0945 0.02125253 -0.04348135
Moved 62.18904 361.1514 401.8288 0.002665221 0.03556785
Moved 62.21978 356.4234 421.3063 -0.008279086 0.0856644
Moved 62.25043 349.0192 440.6411 -0.02541845 0.1353936
Moved 62.28115 341.4117 454.1178 -0.04302849 0.170056
Moved 62.31187 333.7568 464.2432 -0.06074821 0.1960988
Moved 62.34255 327.0651 471.9024 -0.07623827 0.2157982
Moved 62.37302 322.157 476.843 -0.08759965 0.2285057
Moved 62.40394 321 482.4197 -0.09027779 0.2428491
Ended 62.43463 321 487.5802 -0.09027779 0.2561218
Accept 62.52675 0 five
Candidates 62.52675 13 moving clicking blocking climbing boxing binding building mixing closing mining bombing cloning blank
Began 62.83369 360 395 0 0.01800408
Stationary 62.86439 360 395 0 0.01800408
Stationary 62.8951 360 395 0 0.01800408
Stationary 62.92581 360 395 0 0.01800408
Stationary 62.95649 360 395 0 0.01800408
Moved 62.98716 349.0166 404.9834 -0.02542461 0.04368158
Moved 63.01786 345.2901 413.4198 -0.03405069 0.06538006
Moved 63.04855 340.2116 436.7301 -0.04580637 0.1253346
Moved 63.0793 339 473.7921 -0.04861111 0.2206586
Moved 63.10999 339 499.3468 -0.04861111 0.2863857
Moved 63.14069 351.9817 522.7088 -0.01856089 0.3464732
Moved 63.17136 370.2526 550.3158 0.02373288 0.4174788
Moved 63.20207 396.3905 577.3904 0.08423716 0.4871152
Moved 63.23273 412.3644 593.0915 0.1212138 0.5274987
Moved 63.26346 419.6453 600.6453 0.1380679 0.5469272
Moved 63.29419 426.1325 608.1324 0.1530844 0.5661842
Moved 63.32484 427.5678 609.5678 0.156407 0.5698759
Moved 63.35554 430.4347 613.8694 0.1630432 0.5809397
Moved 63.38622 434.925 615.9625 0.1734375 0.5863233
Moved 63.41695 441.5182 619.8394 0.1886995 0.5962946
Moved 63.44762 450.142 623.714 0.2086619 0.6062602
Moved 63.47834 458.8883 625 0.2289081 0.6095678
Moved 63.509 474.818 626 0.2657825 0.6121398
Moved 63.53975 490.2199 626 0.3014349 0.6121398
Moved 63.57044 512.1556 626 0.3522121 0.6121398
Moved 63.60114 532.1205 617.5542 0.398427 0.5904171
Moved 63.63181 543.9594 618 0.4258319 0.5915637
Moved 63.66252 550.3864 618 0.4407093 0.5915637
Moved 63.69321 555.5656 618 0.4526982 0.5915637
Expand 63.69321
Moved 63.72391 558.579 618 0.4596736 0.5915637
Moved 63.75458 561.4514 618 0.4663226 0.5915637
Moved 63.78532 564.3275 618 0.4729803 0.5915637
Moved 63.81599 565.5 618 0.4756944 0.5915637
Ended 63.8467 566.3224 618 0.4775983 0.5915637
Accept 63.90812 4 boxing
Began 64.15366 404 474 0.1018518 0.2211934
Stationary 64.18433 404 474 0.1018518 0.2211934
Stationary 64.21503 404 474 0.1018518 0.2211934
Stationary 64.24573 404 474 0.1018518 0.2211934
Moved 64.27647 377.8311 479.3601 0.04127562 0.2349797
Moved 64.30714 355.7983 493.3343 -0.009726186 0.2709214
Moved 64.33788 334.8833 505.7315 -0.05814056 0.3028073
Moved 64.36858 311.0054 520.3602 -0.1134134 0.3404325
Moved 64.39925 288.4906 533.1483 -0.165531 0.3733236
Moved 64.42993 276.0276 543.9724 -0.1943806 0.4011635
Moved 64.46063 270.5 552.5 -0.2071759 0.4230966
Moved 64.49131 270 565.3169 -0.2083333 0.4560618
Moved 64.52206 290.5463 581.6597 -0.1607724 0.4980959
Moved 64.55273 385.9337 626.3967 0.06003181 0.6131601
Moved 64.58344 432.0688 637.7082 0.166826 0.6422535
Moved 64.61411 466.6666 641 0.2469133 0.65072
Moved 64.64481 480.2802 641 0.2784265 0.65072
Moved 64.67551 484.9467 641 0.2892285 0.65072
Moved 64.70618 464.5735 578.1469 0.2420682 0.4890608
Moved 64.73693 403.445 474.2377 0.1005672 0.2218046
Moved 64.76759 349.6635 390.4952 -0.02392714 0.006417718
Moved 64.79829 315.8627 340.3707 -0.1021697 -0.1225034
Moved 64.82902 284.2495 302.2495 -0.1753485 -0.2205519
Moved 64.85967 264.9021 287.451 -0.2201341 -0.2586135
Moved 64.89041 251.8124 282.6041 -0.2504342 -0.2710799
Moved 64.9211 240.1326 289.768 -0.2774709 -0.2526545
Moved 64.95181 225.7894 313.2634 -0.3106728 -0.1922237
Moved 64.98251 220.2883 347.6758 -0.3234067 -0.1037145
Moved 65.01317 230.5 406 -0.2997685 0.04629618
Moved 65.04388 262.2533 496.7573 -0.2262655 0.2797255
