players must know all the rules
players must know all the rules
FixStart
List

0.6 0.6
432 388.8
Began 284.4758 264 533 -0.2222222 0.3729423
Stationary 284.5065 264 533 -0.2222222 0.3729423
Moved 284.5372 285.6412 546.2252 -0.1721269 0.4069577
Moved 284.5679 345.3376 588.9856 -0.03394077 0.5169381
Moved 284.5987 378.0263 611.8759 0.04172752 0.5758125
Moved 284.6294 398.1549 622.3521 0.08832157 0.6027574
Moved 284.6601 407.9632 625.321 0.1110259 0.6103935
Moved 284.6908 411.7957 625 0.1198973 0.6095678
Moved 284.7215 413 587.3875 0.1226852 0.5128279
Moved 284.7522 379.4825 529.0303 0.04509836 0.3627321
Moved 284.7829 348.6777 497.623 -0.02620896 0.2819522
Moved 284.8136 311.8007 478.9377 -0.1115724 0.2338933
Moved 284.8444 258.0765 469.1154 -0.235934 0.20863
Moved 284.8751 203.0132 468 -0.3633953 0.2057612
Moved 284.9058 146.5 481.5 -0.4942129 0.2404835
Moved 284.9365 100.5597 487.4067 -0.6005563 0.2556756
Moved 284.9672 77.75 492.0714 -0.6533565 0.2676733
Moved 284.998 69.09393 495.9061 -0.6733936 0.2775361
Moved 285.0287 67 502.3741 -0.6782408 0.2941721
Moved 285.0594 97.66161 533.9539 -0.6072648 0.3753958
Moved 285.0901 169.6611 581.4838 -0.4405992 0.4976433
Moved 285.1208 230.7814 611.9376 -0.2991171 0.5759712
Moved 285.1516 276.616 625.803 -0.1930185 0.6116331
Moved 285.1823 298.8465 630.4616 -0.141559 0.6236151
Moved 285.213 305.6781 631 -0.1257451 0.6249998
Moved 285.2437 306.5 631 -0.1238426 0.6249998
Moved 285.2744 307 631 -0.1226852 0.6249998
Moved 285.3051 284.5998 633.8801 -0.1745375 0.6324075
Moved 285.3358 226.5342 640.9964 -0.3089485 0.6507108
Moved 285.3665 187.7036 642 -0.3988341 0.653292
Moved 285.3973 164.6343 642 -0.4522355 0.653292
Moved 285.428 156.2349 642 -0.4716785 0.653292
Moved 285.4587 154 642 -0.4768519 0.653292
Moved 285.4894 153 642 -0.4791667 0.653292
Moved 285.5202 174.5236 647.2244 -0.4293435 0.6667294
Moved 285.5509 201.6196 650.9577 -0.3666213 0.6763315
Moved 285.5816 230.6046 652 -0.2995263 0.6790121
Moved 285.6123 237.8192 652 -0.282826 0.6790121
Moved 285.643 243.4684 652 -0.269749 0.6790121
Moved 285.6737 244 642.7636 -0.2685185 0.655256
Moved 285.7045 227.1919 622.418 -0.307426 0.6029268
Moved 285.7352 149.8493 559.2994 -0.4864598 0.4405849
Moved 285.7659 125.1895 538.5516 -0.5435428 0.387221
Moved 285.7966 115.2048 529.2048 -0.5666555 0.3631811
Moved 285.8274 112.2198 526 -0.5735653 0.3549381
Ended 285.8581 112 526 -0.5740741 0.3549381
Candidates 285.9195 13 laura layers lawyers ladies masters matters issues insurers overhead india hard issued laid
Began 286.5031 319 434 -0.09490739 0.1183127
Stationary 286.5338 319 434 -0.09490739 0.1183127
Moved 286.5646 302.9619 455.6837 -0.1320325 0.1740835
Moved 286.5952 284.1095 490.2992 -0.1756724 0.2631151
Moved 286.626 268.9785 520.0396 -0.210698 0.3396078
Moved 286.6567 260.2571 543.2287 -0.2308864 0.3992507
Moved 286.6875 253.5202 560.6995 -0.246481 0.4441858
Moved 286.7182 250.5 573 -0.2534722 0.4758229
Moved 286.7489 247.816 580.5519 -0.2596851 0.4952465
Moved 286.7796 247 587.1147 -0.2615741 0.5121261
Moved 286.8103 247 590.9305 -0.2615741 0.5219406
Moved 286.841 253.9545 599.2454 -0.2454757 0.5433266
Moved 286.8717 286.9724 615.9862 -0.1690453 0.5863842
Moved 286.9025 317.3132 627.8411 -0.09881208 0.6168752
Moved 286.9332 347.9231 637.2308 -0.02795572 0.6410255
Moved 286.9639 373.2586 645.1686 0.03069123 0.6614418
Moved 286.9946 393.7074 651.9025 0.07802635 0.6787614
Moved 287.0253 405.5144 654.7572 0.1053574 0.6861039
Moved 287.0561 406.9009 655 0.108567 0.6867283
Moved 287.0868 410.5 655 0.1168981 0.6867283
Moved 287.1175 412.0492 655 0.1204842 0.6867283
Stationary 287.1482 412 655 0.1203704 0.6867283
Moved 287.1789 413 655 0.1226852 0.6867283
Moved 287.2097 414 655 0.125 0.6867283
Moved 287.2404 415 655 0.1273148 0.6867283
Stationary 287.2711 415 655 0.1273148 0.6867283
Moved 287.3018 416.5 655 0.130787 0.6867283
Moved 287.3325 417.0116 655 0.1319712 0.6867283
Stationary 287.3632 417 655 0.1319444 0.6867283
Stationary 287.3939 417 655 0.1319444 0.6867283
Expand 287.3939
Stationary 287.4247 417 655 0.1319444 0.6867283
Stationary 287.4554 417 655 0.1319444 0.6867283
Stationary 287.4861 417 655 0.1319444 0.6867283
Stationary 287.5168 417 655 0.1319444 0.6867283
Stationary 287.5475 417 655 0.1319444 0.6867283
Stationary 287.5783 417 655 0.1319444 0.6867283
Stationary 287.609 417 655 0.1319444 0.6867283
Stationary 287.6397 417 655 0.1319444 0.6867283
Stationary 287.6704 417 655 0.1319444 0.6867283
Stationary 287.7011 417 655 0.1319444 0.6867283
Moved 287.7319 409.9947 655 0.1157285 0.6867283
Stationary 287.7626 409.9947 655 0.1157285 0.6867283
Moved 287.7933 408.2456 648 0.1116795 0.6687242
Moved 287.824 406.687 648 0.1080718 0.6687242
Moved 287.8547 404.8016 645.8016 0.1037075 0.6630698
Moved 287.8854 402.9286 644.9286 0.09937178 0.6608247
Moved 287.9161 400.058 644 0.09272694 0.6584361
Moved 287.9468 396.0307 640.5153 0.08340429 0.6494734
Moved 287.9776 390.2759 637.6379 0.07008315 0.6420728
Moved 288.0083 377.8144 628.2886 0.04123697 0.6180263
Moved 288.039 362.3809 614.4841 0.005511344 0.5825207
Moved 288.0697 346.7211 601.3324 -0.03073812 0.5486943
Moved 288.1004 327.1434 584.6255 -0.07605688 0.5057238
Moved 288.1312 300.1225 558.1225 -0.1386053 0.4375578
Moved 288.1619 295.3108 552.3884 -0.1497436 0.4228097
Moved 288.1926 285.6602 541.8802 -0.1720829 0.3957825
Moved 288.2233 278.7159 534.7158 -0.1881578 0.3773554
Moved 288.254 273.4808 528.9616 -0.2002759 0.3625555
Moved 288.2847 269.9576 522.9152 -0.2084314 0.3470041
Moved 288.3154 267.0872 519.0872 -0.215076 0.3371582
