a good response to the question
a good response to the question
FixStart
List

0.6 0.6
432 388.8
Began 61.86198 412 421 0.1203704 0.08487643
Stationary 61.89266 412 421 0.1203704 0.08487643
Moved 61.92346 386.4872 421 0.06131311 0.08487643
Moved 61.95419 352.0629 412 -0.01837298 0.06172835
Moved 61.98491 315.341 410 -0.1033773 0.05658428
Moved 62.01569 288.1746 408.575 -0.1662626 0.05291907
Moved 62.04637 266.8993 404.3998 -0.2155108 0.0421805
Moved 62.07708 251.6602 402.132 -0.2507866 0.03634778
Moved 62.10783 237.8022 401 -0.2828652 0.03343609
Moved 62.13859 229.8046 401 -0.3013783 0.03343609
Moved 62.16932 225.0931 401 -0.3122846 0.03343609
Moved 62.19998 224.5 401 -0.3136574 0.03343609
Ended 62.23075 225 411.9559 -0.3125 0.06161482
Candidates 62.32293 13 a as add sa da aa ga s gas aaa fda ass faa
Began 62.50735 298 359 -0.1435185 -0.07458848
Stationary 62.53802 298 359 -0.1435185 -0.07458848
Moved 62.56876 319.4175 377.5618 -0.093941 -0.02684715
Moved 62.59948 378.8982 427.0985 0.04374583 0.1005619
Moved 62.63023 425.8397 467.0361 0.1524068 0.2032821
Moved 62.66096 444.0116 483.0116 0.1944714 0.2443713
Moved 62.69169 449.5422 488.5422 0.2072736 0.258596
Moved 62.72243 451 490.0861 0.2106482 0.2625672
Stationary 62.75313 451 490 0.2106482 0.2623456
Moved 62.78389 424.9087 465.5688 0.1502516 0.1995081
Moved 62.81459 343.5 402.5 -0.03819446 0.03729416
Moved 62.84533 297.9424 375.2528 -0.1436518 -0.03278607
Moved 62.87606 270.3154 357.4866 -0.2076032 -0.07848112
Moved 62.90677 250.1753 346.0876 -0.2542239 -0.1077993
Moved 62.93745 238.8947 340.9473 -0.2803363 -0.1210203
Moved 62.96818 230.1933 337.5967 -0.3004785 -0.1296383
Moved 62.99893 222.1864 337 -0.3190129 -0.1311728
Moved 63.02966 215.5801 336 -0.3343052 -0.1337449
Moved 63.06044 211.6436 336 -0.3434177 -0.1337449
Moved 63.09114 207.4529 336 -0.3531184 -0.1337449
Moved 63.12189 204.5805 336 -0.3597675 -0.1337449
Moved 63.15263 202.0561 336 -0.365611 -0.1337449
Moved 63.18332 201 336 -0.3680556 -0.1337449
Ended 63.21408 201 336 -0.3680556 -0.1337449
Accept 63.30622 0 a
Candidates 63.30622 13 good of god odd odds gods foods pigs oops off oz food hood
Began 63.70575 347 330 -0.0300926 -0.149177
Stationary 63.73646 347 330 -0.0300926 -0.149177
Stationary 63.76722 347 330 -0.0300926 -0.149177
Moved 63.79789 326.4086 358.1828 -0.07775788 -0.0766904
Moved 63.82865 314.8019 386.9953 -0.1046253 -0.002584104
Moved 63.85933 309.6513 403.6974 -0.1165479 0.0403739
Moved 63.89009 308 413.0985 -0.1203704 0.06455375
Moved 63.92083 307 420.0364 -0.1226852 0.08239805
Moved 63.95158 307 425.869 -0.1226852 0.0973995
