experience is hard to come by
experience is hard to come by
Basic
List

0.6 0.6
432 388.8
Began 3339.727 236 476 -0.287037 0.2263374
Stationary 3339.757 236 476 -0.287037 0.2263374
Stationary 3339.788 236 476 -0.287037 0.2263374
Stationary 3339.819 236 476 -0.287037 0.2263374
Moved 3339.849 246.3246 452.8226 -0.2631375 0.1667246
Moved 3339.88 256.7563 420.731 -0.23899 0.08418451
Moved 3339.911 267.7568 393.1081 -0.213526 0.01313806
Moved 3339.942 275.8655 368.5379 -0.1947557 -0.05005691
Moved 3339.972 281.5919 352.8161 -0.1815001 -0.09049364
Moved 3340.003 286.5616 338.1922 -0.1699964 -0.1281065
Moved 3340.034 291.6058 324.4855 -0.1583199 -0.1633604
Moved 3340.064 295.0482 313.8072 -0.1503513 -0.1908252
Moved 3340.095 298.9421 304.5868 -0.1413377 -0.2145402
Moved 3340.126 301.2349 295.0604 -0.1360303 -0.2390421
Moved 3340.157 304.0031 288.9907 -0.1296224 -0.2546535
Moved 3340.188 306.5 284 -0.1238426 -0.2674897
Moved 3340.218 308.1622 278.6757 -0.119995 -0.2811841
Moved 3340.249 309 276.0875 -0.1180555 -0.2878409
Moved 3340.28 310 273.5 -0.1157407 -0.2944959
Moved 3340.311 311 273 -0.113426 -0.295782
Moved 3340.341 315.5833 272 -0.1028163 -0.2983539
Moved 3340.372 327.0575 281.446 -0.07625579 -0.2740587
Moved 3340.403 343.6394 297.6394 -0.03787175 -0.232409
Moved 3340.433 364.2758 319.4913 0.00989755 -0.1762056
Moved 3340.464 386.3225 344.4031 0.06093164 -0.1121321
Moved 3340.495 409.3917 373.6907 0.1143326 -0.03680382
Moved 3340.526 428.437 396.4995 0.158419 0.02186065
Moved 3340.556 445.6966 414.6966 0.1983717 0.06866396
Moved 3340.587 462.7198 434.0065 0.2377773 0.1183293
Moved 3340.618 483.4081 461.4591 0.2856669 0.188938
Moved 3340.648 498.5 478 0.3206019 0.2314814
Moved 3340.679 507.9634 487.7225 0.3425078 0.256488
Moved 3340.71 523.0325 503.027 0.3773899 0.2958513
Moved 3340.741 536.0782 515.3087 0.4075886 0.3274398
Moved 3340.771 542.2606 520.2606 0.4218995 0.3401764
Moved 3340.802 546.9406 523 0.4327328 0.3472221
Moved 3340.833 549.7047 525 0.4391312 0.3523662
Moved 3340.864 552.4621 527.4621 0.4455141 0.3586987
Moved 3340.894 554.5 528.5 0.4502314 0.3613682
Moved 3340.925 555.1467 528 0.4517284 0.3600822
Moved 3340.956 555 529.3601 0.4513889 0.3635805
Moved 3340.987 542.8788 529 0.4233306 0.3626543
Moved 3341.017 496.1092 516.6569 0.3150676 0.3309075
Moved 3341.048 447.4011 505.8802 0.2023173 0.3031897
Moved 3341.079 410.2995 503 0.116434 0.2957818
Moved 3341.11 379.8601 503 0.04597246 0.2957818
Moved 3341.14 348.5549 503 -0.02649322 0.2957818
Moved 3341.171 324.2642 503 -0.08272187 0.2957818
Moved 3341.202 301.0993 503 -0.1363441 0.2957818
Moved 3341.232 283.3778 503 -0.1773661 0.2957818
