I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Began 1423.832 268 265 -0.212963 -0.3163581
Stationary 1423.863 268 265 -0.212963 -0.3163581
Stationary 1423.893 268 265 -0.212963 -0.3163581
Stationary 1423.924 268 265 -0.212963 -0.3163581
Stationary 1423.955 268 265 -0.212963 -0.3163581
Moved 1423.986 283.1302 273.3472 -0.1779393 -0.2948889
Moved 1424.016 292.7513 279.8342 -0.1556684 -0.2782043
Moved 1424.047 301.814 287.2094 -0.1346898 -0.2592353
Moved 1424.078 308.7132 292.3566 -0.1187195 -0.2459965
Moved 1424.109 313.4552 298.4552 -0.1077426 -0.2303108
Moved 1424.139 317.0986 302.0986 -0.09930874 -0.2209399
Moved 1424.17 320.6368 304.6368 -0.09111856 -0.2144116
Moved 1424.201 323.5171 307.517 -0.08445124 -0.2070037
Moved 1424.231 326.3928 310.3928 -0.0777944 -0.1996069
Moved 1424.262 327.5 312.5 -0.07523149 -0.1941873
Moved 1424.293 328.756 314 -0.07232403 -0.1903292
Moved 1424.323 330 316.6315 -0.06944443 -0.1835611
Moved 1424.354 332 319.5 -0.06481484 -0.1761832
Moved 1424.385 333 322.0374 -0.06249999 -0.1696571
Moved 1424.416 334.9211 324.9211 -0.05805304 -0.1622401
Moved 1424.447 336.7905 330.5811 -0.05372564 -0.1476825
Moved 1424.477 339.6635 337.9904 -0.04707535 -0.1286258
Moved 1424.508 342.1847 345.554 -0.04123921 -0.1091719
Moved 1424.539 345.0648 352.1946 -0.03457208 -0.09209212
Moved 1424.569 347 356.8478 -0.0300926 -0.0801241
Moved 1424.6 349.6135 362.227 -0.02404283 -0.06628868
Moved 1424.631 352.3657 367.3657 -0.01767193 -0.0530717
Moved 1424.662 355.2398 373.4796 -0.01101896 -0.03734675
Moved 1424.692 358.1087 379.3262 -0.004377911 -0.02230931
Moved 1424.723 359.6447 383.2894 -0.0008224447 -0.01211574
Moved 1424.754 361.5157 388.0315 0.003508627 8.09642E-05
Moved 1424.784 364.3897 391.3898 0.0101614 0.008718506
Moved 1424.815 366.2609 396.2609 0.01449277 0.02124704
Moved 1424.846 367.7634 399.7634 0.0179708 0.03025557
Moved 1424.877 370.6282 403.2563 0.02460221 0.0392395
Moved 1424.907 372.514 406.514 0.02896766 0.04761841
Moved 1424.938 375.0434 410.0434 0.03482272 0.05669598
Moved 1424.969 377.9172 412.9172 0.0414751 0.0640875
Moved 1425 380 414.8007 0.04629632 0.06893182
Moved 1425.03 382.5 417.5 0.05208333 0.0758744
Moved 1425.061 383.3177 418.3177 0.05397628 0.07797771
Moved 1425.092 384.023 419 0.05560875 0.07973251
Moved 1425.122 384 420.4817 0.0555556 0.08354332
Moved 1425.153 385 421.5 0.05787035 0.08616251
Stationary 1425.184 385 421.5 0.05787035 0.08616251
Moved 1425.215 385 422 0.05787035 0.08744851
Ended 1425.245 385 422 0.05787035 0.08744851
Candidates 1425.307 13 I go o ii hi iii gi p u iu you ip hip
Began 1425.829 241 322 -0.275463 -0.1697531
Stationary 1425.86 241 322 -0.275463 -0.1697531
Stationary 1425.891 241 322 -0.275463 -0.1697531
Stationary 1425.921 241 322 -0.275463 -0.1697531
Moved 1425.952 256.1733 322 -0.2403395 -0.1697531
Moved 1425.983 276.6764 322 -0.1928788 -0.1697531
Moved 1426.014 292.7332 322 -0.1557102 -0.1697531
Moved 1426.044 308.3129 322 -0.1196461 -0.1697531
Moved 1426.075 314 322 -0.1064815 -0.1697531
Moved 1426.106 324.6417 322 -0.08184795 -0.1697531
Moved 1426.136 334.8141 322 -0.05830079 -0.1697531
Moved 1426.167 342.5381 322 -0.04042104 -0.1697531
Moved 1426.198 349.9978 322 -0.02315317 -0.1697531
Moved 1426.229 356.5346 322 -0.008021742 -0.1697531
Moved 1426.259 361.8229 312.1199 0.004219612 -0.1951648
Moved 1426.29 363.9812 315 0.009215772 -0.1877573
Moved 1426.321 366.8234 313.5883 0.01579483 -0.1913881
Moved 1426.351 369.5 314 0.02199074 -0.1903292
Moved 1426.382 370.0757 314 0.0233233 -0.1903292
Moved 1426.413 371 313 0.025463 -0.1929013
Ended 1426.444 372 313 0.02777775 -0.1929013
Accept 1426.536 0 I
Began 1426.935 359 266 -0.002314796 -0.3137861
Moved 1426.966 355.0698 266 -0.0114126 -0.3137861
Moved 1426.997 336.3957 282.3369 -0.05463968 -0.2717672
Moved 1427.028 318.0785 296.3834 -0.09704053 -0.2356394
Moved 1427.058 299.1264 308.5824 -0.140911 -0.2042634
Moved 1427.089 284.4356 319.0515 -0.1749175 -0.1773367
Moved 1427.12 270.0927 329.5259 -0.2081189 -0.1503965
Moved 1427.15 260.2885 336.7836 -0.2308137 -0.1317294
Moved 1427.181 251.5761 345.2318 -0.2509812 -0.1100005
Moved 1427.212 244.6661 352.3339 -0.2669767 -0.09173381
Moved 1427.243 240.8649 358.2703 -0.2757758 -0.07646544
Moved 1427.273 236.942 364.116 -0.2848564 -0.06143013
Moved 1427.304 234.0737 368.8527 -0.2914961 -0.04924735
Moved 1427.335 232.211 372.7891 -0.295808 -0.03912278
Moved 1427.366 229.636 377.728 -0.3017685 -0.02641976
Moved 1427.396 228 383.4445 -0.3055556 -0.01171701
Moved 1427.427 224.9092 387.1816 -0.3127103 -0.002104952
Moved 1427.458 223.2757 390.7244 -0.3164916 0.007007073
Moved 1427.489 222 394.5063 -0.3194444 0.01673424
Moved 1427.519 219.6207 397.3793 -0.3249521 0.02412352
Moved 1427.55 217.7535 400.2465 -0.3292742 0.03149806
Moved 1427.581 216.2589 402.7411 -0.332734 0.03791424
Moved 1427.611 214.3938 405 -0.3370513 0.04372424
Moved 1427.642 213.535 407 -0.3390394 0.04886827
Moved 1427.673 213 409.3248 -0.3402778 0.05484757
Moved 1427.704 212 410.8739 -0.3425926 0.05883201
Moved 1427.734 212 413.7485 -0.3425926 0.06622562
Moved 1427.765 212 417.2396 -0.3425926 0.07520467
Moved 1427.796 235.9474 421.1053 -0.2871587 0.08514722
Moved 1427.827 277.2049 422 -0.1916554 0.08744851
Moved 1427.857 306.8116 422 -0.1231213 0.08744851
