where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Began 2637.328 303 538 -0.1319445 0.3858024
Stationary 2637.359 303 538 -0.1319445 0.3858024
Stationary 2637.39 303 538 -0.1319445 0.3858024
Stationary 2637.42 303 538 -0.1319445 0.3858024
Stationary 2637.451 303 538 -0.1319445 0.3858024
Stationary 2637.482 303 538 -0.1319445 0.3858024
Moved 2637.512 293.6729 538 -0.1535349 0.3858024
Moved 2637.543 291.1219 538 -0.15944 0.3858024
Moved 2637.574 288.2437 538 -0.1661025 0.3858024
Moved 2637.605 285.3733 538 -0.172747 0.3858024
Moved 2637.635 283.7523 538 -0.1764993 0.3858024
Moved 2637.666 281.5 538 -0.181713 0.3858024
Moved 2637.697 280.7821 538 -0.1833748 0.3858024
Moved 2637.728 279.896 538 -0.1854259 0.3858024
Moved 2637.758 278.9331 538 -0.1876549 0.3858024
Stationary 2637.789 278.9331 538 -0.1876549 0.3858024
Moved 2637.82 277.8486 538 -0.1901654 0.3858024
Stationary 2637.85 277.8486 538 -0.1901654 0.3858024
Moved 2637.881 276.8502 538 -0.1924764 0.3858024
Stationary 2637.912 276.8502 538 -0.1924764 0.3858024
Moved 2637.942 275.8823 538 -0.1947169 0.3858024
Stationary 2637.973 275.8823 538 -0.1947169 0.3858024
Stationary 2638.004 275.8823 538 -0.1947169 0.3858024
Stationary 2638.035 275.8823 538 -0.1947169 0.3858024
Moved 2638.065 274.9752 538 -0.1968168 0.3858024
Stationary 2638.096 275 538 -0.1967592 0.3858024
Stationary 2638.127 275 538 -0.1967592 0.3858024
Stationary 2638.157 275 538 -0.1967592 0.3858024
Stationary 2638.188 275 538 -0.1967592 0.3858024
Stationary 2638.219 275 538 -0.1967592 0.3858024
Stationary 2638.25 275 538 -0.1967592 0.3858024
Stationary 2638.28 275 538 -0.1967592 0.3858024
Stationary 2638.311 275 538 -0.1967592 0.3858024
Stationary 2638.342 275 538 -0.1967592 0.3858024
Stationary 2638.372 275 538 -0.1967592 0.3858024
Stationary 2638.403 275 538 -0.1967592 0.3858024
Stationary 2638.434 275 538 -0.1967592 0.3858024
Stationary 2638.465 275 538 -0.1967592 0.3858024
Moved 2638.495 273.9835 538 -0.1991124 0.3858024
Stationary 2638.526 273.9835 538 -0.1991124 0.3858024
Moved 2638.557 271.3286 538 -0.2052578 0.3858024
Moved 2638.587 265.3525 538 -0.2190914 0.3858024
Moved 2638.618 256.3247 528.0682 -0.2399891 0.3602575
Moved 2638.649 245.226 530.0377 -0.2656806 0.3653231
Moved 2638.679 231.6584 529 -0.297087 0.3626543
Moved 2638.71 221.8641 526.288 -0.3197591 0.355679
Moved 2638.741 216 523.5 -0.3333333 0.3485081
Moved 2638.771 216 523 -0.3333333 0.3472221
Moved 2638.802 214.7362 523 -0.3362588 0.3472221
Moved 2638.833 228.8417 507.9928 -0.3036072 0.3086233
Moved 2638.864 262.7138 486.6431 -0.2251996 0.2537117
Moved 2638.894 305.7738 458.9873 -0.1255235 0.1825805
Moved 2638.925 337.1379 438.1149 -0.05292143 0.1288963
Moved 2638.956 366.9984 417.0013 0.01619985 0.07459185
Moved 2638.987 390.2296 400.8278 0.06997586 0.03299332
Moved 2639.017 407.9854 387.8088 0.1110772 -0.0004919468
Moved 2639.048 417.8169 379.4554 0.1338354 -0.02197674
Moved 2639.079 423.7531 375.1235 0.1475765 -0.03311864
Moved 2639.109 426.7202 372.2798 0.1544448 -0.04043249
Moved 2639.14 428 371 0.1574074 -0.04372435
Stationary 2639.171 428 371 0.1574074 -0.04372435
Moved 2639.201 398.9676 395.0323 0.09020279 0.01808724
Moved 2639.232 374.0854 414.1558 0.03260513 0.06727297
Moved 2639.263 348.7408 434.2592 -0.02606302 0.1189794
Moved 2639.294 330 450.5 -0.06944443 0.1607509
Moved 2639.324 313.2116 463.657 -0.1083064 0.194591
Moved 2639.355 296.0225 477.982 -0.1480961 0.2314351
Moved 2639.386 281.7577 489.3686 -0.1811165 0.2607216
Moved 2639.417 273.0501 496.9499 -0.201273 0.2802208
Moved 2639.447 265.4218 504.5782 -0.218931 0.2998409
Moved 2639.478 262 510.294 -0.2268519 0.3145421
Moved 2639.509 261 515.0471 -0.2291666 0.3267672
Moved 2639.539 261 518.089 -0.2291666 0.3345909
Moved 2639.57 261 521.4268 -0.2291666 0.3431759
Moved 2639.601 282.5119 526.6047 -0.1793706 0.3564936
Moved 2639.631 304.9342 528 -0.1274672 0.3600822
Moved 2639.662 328.1768 528 -0.07366483 0.3600822
Moved 2639.693 342.4297 528 -0.04067192 0.3600822
Moved 2639.723 350.9659 528 -0.02091229 0.3600822
Moved 2639.754 355.0534 528 -0.0114505 0.3600822
Moved 2639.785 356.3734 518.3861 -0.008394867 0.3353551
Moved 2639.816 356 519.2277 -0.009259283 0.3375197
Moved 2639.846 356 517.7935 -0.009259283 0.3338309
Moved 2639.877 344.5605 514.8535 -0.03573954 0.3262692
Moved 2639.908 334.921 514 -0.05805318 0.324074
Moved 2639.938 324.301 513 -0.08263652 0.321502
Moved 2639.969 316.9747 513 -0.09959554 0.321502
Moved 2640 305.7047 513 -0.1256835 0.321502
Moved 2640.031 297.4104 513 -0.1448832 0.321502
Moved 2640.061 291.9302 513 -0.1575691 0.321502
Moved 2640.092 289 517.1454 -0.1643519 0.332164
Ended 2640.123 289 520 -0.1643519 0.3395061
